,note,step,duration,channel,velocity
0,75.0,336.0,40.0,0.0,0.0
1,73.0,160.0,180.0,0.0,0.0
2,63.0,192.0,1350.0,1.0,0.0
3,56.0,240.0,540.0,1.0,0.0
4,72.0,80.0,150.0,0.0,0.0
5,73.0,96.0,40.0,0.0,0.0
6,61.0,48.0,540.0,1.0,0.0
7,72.0,160.0,180.0,0.0,0.0
8,70.0,176.0,150.0,0.0,0.0
9,67.0,192.0,180.0,0.0,0.0
10,60.0,0.0,180.0,1.0,0.0
11,68.0,0.0,180.0,0.0,0.0
12,67.0,160.0,180.0,0.0,0.0
13,58.0,0.0,180.0,1.0,0.0
14,73.0,0.0,180.0,0.0,0.0
15,56.0,192.0,150.0,1.0,0.0
16,68.0,0.0,150.0,0.0,0.0
17,72.0,0.0,150.0,0.0,0.0
18,68.0,0.0,180.0,0.0,0.0
19,72.0,160.0,180.0,0.0,0.0
20,63.0,32.0,150.0,1.0,0.0
21,70.0,0.0,150.0,0.0,0.0
22,67.0,80.0,150.0,0.0,0.0
23,55.0,0.0,40.0,1.0,0.0
24,70.0,192.0,40.0,0.0,0.0
25,56.0,0.0,40.0,1.0,0.0
26,72.0,192.0,40.0,0.0,0.0
27,56.0,0.0,40.0,1.0,0.0
28,74.0,192.0,40.0,0.0,0.0
29,53.0,0.0,40.0,1.0,0.0
30,58.0,0.0,40.0,1.0,0.0
31,55.0,0.0,40.0,1.0,0.0
32,76.0,192.0,40.0,0.0,0.0
33,60.0,0.0,40.0,1.0,0.0
34,77.0,96.0,300.0,0.0,0.0
35,56.0,192.0,40.0,1.0,0.0
36,60.0,48.0,40.0,1.0,0.0
37,56.0,0.0,40.0,1.0,0.0
38,79.0,160.0,90.0,0.0,0.0
39,80.0,80.0,150.0,0.0,0.0
40,46.0,192.0,40.0,1.0,0.0
41,70.0,96.0,300.0,0.0,0.0
42,56.0,0.0,40.0,1.0,0.0
43,46.0,0.0,40.0,1.0,0.0
44,56.0,48.0,40.0,1.0,0.0
45,72.0,160.0,90.0,0.0,0.0
46,74.0,128.0,150.0,0.0,0.0
47,75.0,32.0,150.0,0.0,0.0
48,55.0,64.0,90.0,1.0,0.0
49,51.0,0.0,90.0,1.0,0.0
50,58.0,96.0,90.0,1.0,0.0
51,51.0,0.0,90.0,1.0,0.0
52,55.0,96.0,90.0,1.0,0.0
53,58.0,96.0,90.0,1.0,0.0
54,55.0,0.0,90.0,1.0,0.0
55,51.0,94.0,90.0,1.0,0.0
56,58.0,98.0,90.0,1.0,0.0
57,70.0,96.0,90.0,0.0,0.0
58,56.0,0.0,90.0,1.0,0.0
59,51.0,0.0,90.0,1.0,0.0
60,58.0,96.0,90.0,1.0,0.0
61,72.0,0.0,90.0,0.0,0.0
62,51.0,96.0,90.0,1.0,0.0
63,56.0,0.0,90.0,1.0,0.0
64,74.0,0.0,90.0,0.0,0.0
65,75.0,96.0,90.0,0.0,0.0
66,58.0,0.0,90.0,1.0,0.0
67,77.0,0.0,90.0,0.0,0.0
68,51.0,94.0,90.0,1.0,0.0
69,56.0,0.0,90.0,1.0,0.0
70,74.0,98.0,90.0,0.0,0.0
71,58.0,0.0,90.0,1.0,0.0
72,51.0,64.0,90.0,1.0,0.0
73,55.0,0.0,90.0,1.0,0.0
74,75.0,32.0,150.0,0.0,0.0
75,58.0,96.0,90.0,1.0,0.0
76,55.0,96.0,90.0,1.0,0.0
77,51.0,0.0,90.0,1.0,0.0
78,58.0,96.0,90.0,1.0,0.0
79,51.0,0.0,90.0,1.0,0.0
80,55.0,94.0,90.0,1.0,0.0
81,58.0,98.0,90.0,1.0,0.0
82,51.0,0.0,90.0,1.0,0.0
83,70.0,96.0,90.0,0.0,0.0
84,56.0,0.0,90.0,1.0,0.0
85,72.0,0.0,90.0,0.0,0.0
86,58.0,96.0,90.0,1.0,0.0
87,74.0,96.0,90.0,0.0,0.0
88,51.0,0.0,90.0,1.0,0.0
89,56.0,0.0,90.0,1.0,0.0
90,58.0,0.0,90.0,1.0,0.0
91,75.0,96.0,90.0,0.0,0.0
92,51.0,0.0,90.0,1.0,0.0
93,56.0,0.0,90.0,1.0,0.0
94,77.0,94.0,90.0,0.0,0.0
95,74.0,162.0,90.0,0.0,0.0
96,58.0,0.0,90.0,1.0,0.0
97,51.0,0.0,150.0,1.0,0.0
98,55.0,0.0,150.0,1.0,0.0
99,75.0,272.0,150.0,0.0,0.0
100,75.0,336.0,40.0,0.0,0.0
101,73.0,160.0,180.0,0.0,0.0
102,56.0,240.0,540.0,1.0,0.0
103,63.0,192.0,1350.0,1.0,0.0
104,72.0,80.0,150.0,0.0,0.0
105,73.0,96.0,40.0,0.0,0.0
106,72.0,160.0,180.0,0.0,0.0
107,61.0,48.0,540.0,1.0,0.0
108,70.0,176.0,150.0,0.0,0.0
109,67.0,192.0,180.0,0.0,0.0
110,60.0,0.0,180.0,1.0,0.0
111,68.0,0.0,180.0,0.0,0.0
112,73.0,160.0,180.0,0.0,0.0
113,67.0,0.0,180.0,0.0,0.0
114,58.0,0.0,180.0,1.0,0.0
115,56.0,0.0,150.0,1.0,0.0
116,68.0,192.0,150.0,0.0,0.0
117,72.0,0.0,150.0,0.0,0.0
118,68.0,0.0,180.0,0.0,0.0
119,63.0,32.0,150.0,1.0,0.0
120,72.0,160.0,180.0,0.0,0.0
121,67.0,80.0,150.0,0.0,0.0
122,70.0,0.0,150.0,0.0,0.0
123,70.0,0.0,40.0,0.0,0.0
124,55.0,192.0,40.0,1.0,0.0
125,56.0,0.0,40.0,1.0,0.0
126,72.0,192.0,40.0,0.0,0.0
127,53.0,192.0,40.0,1.0,0.0
128,74.0,0.0,40.0,0.0,0.0
129,56.0,0.0,40.0,1.0,0.0
130,55.0,0.0,40.0,1.0,0.0
131,58.0,0.0,40.0,1.0,0.0
132,76.0,192.0,40.0,0.0,0.0
133,56.0,0.0,40.0,1.0,0.0
134,60.0,192.0,40.0,1.0,0.0
135,77.0,96.0,300.0,0.0,0.0
136,56.0,0.0,40.0,1.0,0.0
137,60.0,48.0,40.0,1.0,0.0
138,79.0,160.0,90.0,0.0,0.0
139,80.0,80.0,150.0,0.0,0.0
140,56.0,192.0,40.0,1.0,0.0
141,46.0,0.0,40.0,1.0,0.0
142,70.0,96.0,300.0,0.0,0.0
143,46.0,0.0,40.0,1.0,0.0
144,56.0,48.0,40.0,1.0,0.0
145,72.0,160.0,90.0,0.0,0.0
146,74.0,128.0,150.0,0.0,0.0
147,51.0,64.0,90.0,1.0,0.0
148,75.0,32.0,150.0,0.0,0.0
149,55.0,0.0,90.0,1.0,0.0
150,58.0,96.0,90.0,1.0,0.0
151,51.0,96.0,90.0,1.0,0.0
152,55.0,0.0,90.0,1.0,0.0
153,58.0,96.0,90.0,1.0,0.0
154,51.0,0.0,90.0,1.0,0.0
155,55.0,94.0,90.0,1.0,0.0
156,58.0,98.0,90.0,1.0,0.0
157,70.0,96.0,90.0,0.0,0.0
158,56.0,0.0,90.0,1.0,0.0
159,51.0,0.0,90.0,1.0,0.0
160,58.0,96.0,90.0,1.0,0.0
161,72.0,0.0,90.0,0.0,0.0
162,51.0,0.0,90.0,1.0,0.0
163,56.0,96.0,90.0,1.0,0.0
164,74.0,0.0,90.0,0.0,0.0
165,75.0,96.0,90.0,0.0,0.0
166,58.0,0.0,90.0,1.0,0.0
167,51.0,0.0,90.0,1.0,0.0
168,56.0,0.0,90.0,1.0,0.0
169,77.0,94.0,90.0,0.0,0.0
170,74.0,0.0,90.0,0.0,0.0
171,58.0,98.0,90.0,1.0,0.0
172,75.0,32.0,150.0,0.0,0.0
173,51.0,0.0,90.0,1.0,0.0
174,55.0,64.0,90.0,1.0,0.0
175,58.0,96.0,90.0,1.0,0.0
176,55.0,0.0,90.0,1.0,0.0
177,51.0,96.0,90.0,1.0,0.0
178,58.0,96.0,90.0,1.0,0.0
179,51.0,0.0,90.0,1.0,0.0
180,55.0,94.0,90.0,1.0,0.0
181,58.0,98.0,90.0,1.0,0.0
182,56.0,96.0,90.0,1.0,0.0
183,51.0,0.0,90.0,1.0,0.0
184,70.0,0.0,90.0,0.0,0.0
185,72.0,0.0,90.0,0.0,0.0
186,58.0,96.0,90.0,1.0,0.0
187,56.0,0.0,90.0,1.0,0.0
188,74.0,96.0,90.0,0.0,0.0
189,51.0,0.0,90.0,1.0,0.0
190,58.0,96.0,90.0,1.0,0.0
191,75.0,0.0,90.0,0.0,0.0
192,51.0,94.0,90.0,1.0,0.0
193,77.0,0.0,90.0,0.0,0.0
194,56.0,0.0,90.0,1.0,0.0
195,58.0,0.0,90.0,1.0,0.0
196,74.0,162.0,90.0,0.0,0.0
197,75.0,0.0,150.0,0.0,0.0
198,55.0,0.0,150.0,1.0,0.0
199,51.0,272.0,150.0,1.0,0.0
200,75.0,336.0,40.0,0.0,0.0
201,51.0,0.0,40.0,1.0,0.0
202,46.0,0.0,180.0,1.0,0.0
203,70.0,160.0,180.0,0.0,0.0
204,45.0,0.0,150.0,1.0,0.0
205,69.0,80.0,150.0,0.0,0.0
206,51.0,0.0,40.0,1.0,0.0
207,75.0,336.0,40.0,0.0,0.0
208,66.0,0.0,180.0,0.0,0.0
209,42.0,160.0,180.0,1.0,0.0
210,41.0,0.0,150.0,1.0,0.0
211,65.0,416.0,150.0,0.0,0.0
212,75.0,0.0,390.0,0.0,0.0
213,78.0,192.0,390.0,0.0,0.0
214,53.0,0.0,180.0,1.0,0.0
215,55.0,0.0,180.0,1.0,0.0
216,73.0,0.0,180.0,0.0,0.0
217,77.0,160.0,180.0,0.0,0.0
218,57.0,224.0,150.0,1.0,0.0
219,72.0,96.0,390.0,0.0,0.0
220,75.0,0.0,390.0,0.0,0.0
221,58.0,64.0,300.0,1.0,0.0
222,73.0,32.0,150.0,0.0,0.0
223,70.0,0.0,150.0,0.0,0.0
224,60.0,160.0,90.0,1.0,0.0
225,61.0,0.0,150.0,1.0,0.0
226,77.0,192.0,390.0,0.0,0.0
227,68.0,224.0,150.0,0.0,0.0
228,67.0,0.0,180.0,0.0,0.0
229,51.0,0.0,180.0,1.0,0.0
230,68.0,160.0,180.0,0.0,0.0
231,75.0,0.0,180.0,0.0,0.0
232,53.0,0.0,180.0,1.0,0.0
233,55.0,224.0,150.0,1.0,0.0
234,70.0,0.0,390.0,0.0,0.0
235,73.0,96.0,390.0,0.0,0.0
236,56.0,64.0,300.0,1.0,0.0
237,72.0,0.0,150.0,0.0,0.0
238,68.0,32.0,150.0,0.0,0.0
239,58.0,160.0,90.0,1.0,0.0
240,75.0,144.0,390.0,0.0,0.0
241,60.0,0.0,150.0,1.0,0.0
242,66.0,224.0,150.0,0.0,0.0
243,61.0,0.0,390.0,1.0,0.0
244,65.0,48.0,330.0,0.0,0.0
245,73.0,160.0,180.0,0.0,0.0
246,49.0,0.0,150.0,1.0,0.0
247,70.0,0.0,150.0,0.0,0.0
248,61.0,224.0,150.0,0.0,0.0
249,68.0,0.0,180.0,0.0,0.0
250,60.0,144.0,180.0,0.0,0.0
251,51.0,16.0,330.0,1.0,0.0
252,67.0,0.0,150.0,0.0,0.0
253,58.0,80.0,150.0,0.0,0.0
254,75.0,336.0,40.0,0.0,0.0
255,73.0,160.0,180.0,0.0,0.0
256,56.0,0.0,570.0,1.0,0.0
257,63.0,192.0,570.0,1.0,0.0
258,72.0,80.0,150.0,0.0,0.0
259,73.0,144.0,40.0,0.0,0.0
260,72.0,144.0,180.0,0.0,0.0
261,55.0,16.0,330.0,1.0,0.0
262,64.0,16.0,540.0,1.0,0.0
263,70.0,176.0,150.0,0.0,0.0
264,60.0,32.0,150.0,1.0,0.0
265,67.0,192.0,180.0,0.0,0.0
266,68.0,192.0,180.0,0.0,0.0
267,53.0,0.0,180.0,1.0,0.0
268,65.0,0.0,180.0,1.0,0.0
269,58.0,160.0,180.0,1.0,0.0
270,73.0,0.0,180.0,0.0,0.0
271,67.0,0.0,180.0,0.0,0.0
272,72.0,0.0,150.0,0.0,0.0
273,56.0,224.0,150.0,1.0,0.0
274,68.0,0.0,150.0,0.0,0.0
275,72.0,144.0,180.0,0.0,0.0
276,63.0,16.0,330.0,1.0,0.0
277,68.0,0.0,180.0,0.0,0.0
278,67.0,80.0,150.0,0.0,0.0
279,70.0,0.0,150.0,0.0,0.0
280,43.0,0.0,40.0,1.0,0.0
281,70.0,0.0,40.0,0.0,0.0
282,63.0,192.0,40.0,0.0,0.0
283,72.0,192.0,40.0,0.0,0.0
284,44.0,0.0,40.0,1.0,0.0
285,68.0,0.0,40.0,0.0,0.0
286,46.0,0.0,40.0,1.0,0.0
287,73.0,0.0,40.0,0.0,0.0
288,68.0,192.0,40.0,0.0,0.0
289,75.0,0.0,40.0,0.0,0.0
290,68.0,0.0,40.0,0.0,0.0
291,48.0,432.0,40.0,1.0,0.0
292,49.0,96.0,300.0,1.0,0.0
293,77.0,0.0,300.0,0.0,0.0
294,68.0,16.0,540.0,0.0,0.0
295,79.0,0.0,90.0,0.0,0.0
296,51.0,144.0,90.0,1.0,0.0
297,80.0,192.0,150.0,0.0,0.0
298,53.0,0.0,150.0,1.0,0.0
299,68.0,0.0,300.0,0.0,0.0
300,51.0,128.0,150.0,1.0,0.0
301,51.0,32.0,150.0,1.0,0.0
302,72.0,64.0,15.0,0.0,0.0
303,75.0,96.0,90.0,0.0,0.0
304,73.0,0.0,90.0,0.0,0.0
305,51.0,30.0,150.0,1.0,0.0
306,70.0,64.0,15.0,0.0,0.0
307,67.0,98.0,90.0,0.0,0.0
308,56.0,64.0,90.0,1.0,0.0
309,68.0,32.0,150.0,0.0,0.0
310,51.0,96.0,90.0,1.0,0.0
311,44.0,0.0,90.0,1.0,0.0
