,note,step,duration,channel,velocity
0,71.0,324.0,120.0,0.0,64.0
1,76.0,144.0,180.0,0.0,64.0
2,68.0,0.0,180.0,0.0,64.0
3,68.0,0.0,90.0,0.0,64.0
4,76.0,120.0,90.0,0.0,64.0
5,75.0,132.0,90.0,0.0,64.0
6,66.0,0.0,90.0,0.0,64.0
7,64.0,324.0,120.0,0.0,64.0
8,76.0,0.0,120.0,0.0,64.0
9,63.0,144.0,180.0,0.0,64.0
10,78.0,0.0,180.0,0.0,64.0
11,78.0,120.0,90.0,0.0,64.0
12,63.0,0.0,90.0,0.0,64.0
13,76.0,132.0,90.0,0.0,64.0
14,61.0,0.0,90.0,0.0,64.0
15,59.0,0.0,120.0,0.0,64.0
16,78.0,324.0,120.0,0.0,64.0
17,64.0,0.0,180.0,0.0,64.0
18,80.0,144.0,180.0,0.0,64.0
19,64.0,0.0,90.0,0.0,64.0
20,80.0,120.0,90.0,0.0,64.0
21,61.0,0.0,90.0,0.0,64.0
22,76.0,132.0,90.0,0.0,64.0
23,57.0,324.0,120.0,0.0,64.0
24,81.0,0.0,120.0,0.0,64.0
25,78.0,0.0,120.0,0.0,64.0
26,75.0,0.0,180.0,0.0,64.0
27,78.0,0.0,180.0,0.0,64.0
28,59.0,240.0,180.0,0.0,64.0
29,57.0,156.0,180.0,0.0,64.0
30,44.0,0.0,120.0,0.0,64.0
31,56.0,0.0,120.0,0.0,64.0
32,71.0,324.0,120.0,0.0,64.0
33,83.0,0.0,120.0,0.0,64.0
34,57.0,0.0,180.0,0.0,64.0
35,45.0,144.0,180.0,0.0,64.0
36,85.0,0.0,180.0,0.0,64.0
37,73.0,0.0,180.0,0.0,64.0
38,45.0,0.0,90.0,0.0,64.0
39,57.0,0.0,90.0,0.0,64.0
40,73.0,0.0,90.0,0.0,64.0
41,85.0,120.0,90.0,0.0,64.0
42,44.0,0.0,90.0,0.0,64.0
43,72.0,0.0,90.0,0.0,64.0
44,84.0,0.0,90.0,0.0,64.0
45,56.0,132.0,90.0,0.0,64.0
46,85.0,0.0,120.0,0.0,64.0
47,73.0,324.0,120.0,0.0,64.0
48,45.0,0.0,120.0,0.0,64.0
49,57.0,0.0,120.0,0.0,64.0
50,87.0,0.0,180.0,0.0,64.0
51,75.0,0.0,180.0,0.0,64.0
52,47.0,144.0,180.0,0.0,64.0
53,59.0,0.0,180.0,0.0,64.0
54,47.0,0.0,90.0,0.0,64.0
55,87.0,0.0,90.0,0.0,64.0
56,75.0,120.0,90.0,0.0,64.0
57,59.0,0.0,90.0,0.0,64.0
58,46.0,0.0,90.0,0.0,64.0
59,58.0,132.0,90.0,0.0,64.0
60,85.0,0.0,90.0,0.0,64.0
61,73.0,0.0,90.0,0.0,64.0
62,59.0,0.0,120.0,0.0,64.0
63,47.0,324.0,120.0,0.0,64.0
64,87.0,0.0,120.0,0.0,64.0
65,75.0,0.0,120.0,0.0,64.0
66,76.0,144.0,180.0,0.0,64.0
67,49.0,0.0,180.0,0.0,64.0
68,88.0,0.0,180.0,0.0,64.0
69,61.0,0.0,180.0,0.0,64.0
70,78.0,12.0,90.0,0.0,64.0
71,90.0,0.0,90.0,0.0,64.0
72,45.0,0.0,120.0,0.0,64.0
73,57.0,66.0,120.0,0.0,64.0
74,88.0,162.0,60.0,0.0,64.0
75,76.0,0.0,60.0,0.0,64.0
76,59.0,0.0,120.0,0.0,64.0
77,47.0,66.0,120.0,0.0,64.0
78,75.0,0.0,90.0,0.0,64.0
79,87.0,12.0,90.0,0.0,64.0
80,90.0,174.0,60.0,0.0,64.0
81,78.0,0.0,60.0,0.0,64.0
82,64.0,0.0,120.0,0.0,64.0
83,52.0,240.0,120.0,0.0,64.0
84,88.0,0.0,390.0,0.0,64.0
85,76.0,204.0,390.0,0.0,64.0
86,40.0,36.0,120.0,0.0,64.0
87,52.0,0.0,120.0,0.0,64.0
88,71.0,324.0,120.0,0.0,64.0
89,76.0,0.0,180.0,0.0,64.0
90,68.0,144.0,180.0,0.0,64.0
91,68.0,120.0,90.0,0.0,64.0
92,76.0,0.0,90.0,0.0,64.0
93,75.0,0.0,90.0,0.0,64.0
94,66.0,132.0,90.0,0.0,64.0
95,76.0,324.0,120.0,0.0,64.0
96,64.0,0.0,120.0,0.0,64.0
97,63.0,0.0,180.0,0.0,64.0
98,78.0,144.0,180.0,0.0,64.0
99,63.0,0.0,90.0,0.0,64.0
100,78.0,120.0,90.0,0.0,64.0
101,76.0,132.0,90.0,0.0,64.0
102,61.0,0.0,90.0,0.0,64.0
103,78.0,0.0,120.0,0.0,64.0
104,59.0,324.0,120.0,0.0,64.0
105,80.0,0.0,180.0,0.0,64.0
106,64.0,144.0,180.0,0.0,64.0
107,80.0,120.0,90.0,0.0,64.0
108,64.0,0.0,90.0,0.0,64.0
109,61.0,132.0,90.0,0.0,64.0
110,76.0,0.0,90.0,0.0,64.0
111,78.0,324.0,120.0,0.0,64.0
112,81.0,0.0,120.0,0.0,64.0
113,57.0,0.0,120.0,0.0,64.0
114,78.0,0.0,180.0,0.0,64.0
115,59.0,240.0,180.0,0.0,64.0
116,75.0,0.0,180.0,0.0,64.0
117,57.0,156.0,180.0,0.0,64.0
