,note,step,duration,channel,velocity
0,69.0,80.0,60.0,0.0,64.0
1,57.0,4.0,180.0,0.0,64.0
2,71.0,48.0,60.0,0.0,64.0
3,73.0,108.0,30.0,0.0,64.0
4,56.0,4.0,180.0,0.0,64.0
5,71.0,80.0,60.0,0.0,64.0
6,73.0,48.0,60.0,0.0,64.0
7,74.0,108.0,30.0,0.0,64.0
8,73.0,80.0,60.0,0.0,64.0
9,57.0,4.0,180.0,0.0,64.0
10,74.0,48.0,60.0,0.0,64.0
11,76.0,236.0,30.0,0.0,64.0
12,76.0,0.0,180.0,0.0,64.0
13,59.0,240.0,180.0,0.0,64.0
14,74.0,0.0,180.0,0.0,64.0
15,52.0,156.0,180.0,0.0,64.0
16,73.0,0.0,120.0,0.0,64.0
17,57.0,164.0,120.0,0.0,64.0
18,62.0,4.0,180.0,0.0,64.0
19,80.0,40.0,30.0,0.0,64.0
20,78.0,72.0,30.0,0.0,64.0
21,76.0,48.0,60.0,0.0,64.0
22,74.0,152.0,30.0,0.0,64.0
23,73.0,240.0,120.0,0.0,64.0
24,64.0,0.0,120.0,0.0,64.0
25,71.0,0.0,120.0,0.0,64.0
26,52.0,240.0,120.0,0.0,64.0
27,69.0,204.0,390.0,0.0,64.0
28,57.0,240.0,120.0,0.0,64.0
29,52.0,36.0,120.0,0.0,64.0
30,45.0,228.0,120.0,0.0,64.0
31,59.0,12.0,90.0,0.0,64.0
32,71.0,60.0,60.0,0.0,64.0
33,75.0,39.0,60.0,0.0,64.0
34,71.0,129.0,30.0,0.0,64.0
35,59.0,12.0,90.0,0.0,64.0
36,71.0,60.0,60.0,0.0,64.0
37,75.0,39.0,60.0,0.0,64.0
38,71.0,129.0,30.0,0.0,64.0
39,57.0,12.0,90.0,0.0,64.0
40,71.0,60.0,60.0,0.0,64.0
41,75.0,39.0,60.0,0.0,64.0
42,71.0,129.0,30.0,0.0,64.0
43,56.0,12.0,90.0,0.0,64.0
44,71.0,60.0,60.0,0.0,64.0
45,76.0,39.0,60.0,0.0,64.0
46,71.0,129.0,30.0,0.0,64.0
47,54.0,12.0,90.0,0.0,64.0
48,71.0,60.0,60.0,0.0,64.0
49,78.0,39.0,60.0,0.0,64.0
50,71.0,129.0,30.0,0.0,64.0
51,52.0,12.0,90.0,0.0,64.0
52,71.0,60.0,60.0,0.0,64.0
53,80.0,39.0,60.0,0.0,64.0
54,71.0,129.0,30.0,0.0,64.0
55,59.0,12.0,90.0,0.0,64.0
56,71.0,60.0,60.0,0.0,64.0
57,75.0,39.0,60.0,0.0,64.0
58,71.0,129.0,30.0,0.0,64.0
59,59.0,12.0,90.0,0.0,64.0
60,71.0,60.0,60.0,0.0,64.0
61,75.0,39.0,60.0,0.0,64.0
62,71.0,129.0,30.0,0.0,64.0
63,57.0,12.0,90.0,0.0,64.0
64,71.0,60.0,60.0,0.0,64.0
65,75.0,39.0,60.0,0.0,64.0
66,71.0,129.0,30.0,0.0,64.0
67,56.0,12.0,90.0,0.0,64.0
68,71.0,60.0,60.0,0.0,64.0
69,76.0,39.0,60.0,0.0,64.0
70,71.0,129.0,30.0,0.0,64.0
71,54.0,12.0,90.0,0.0,64.0
72,71.0,60.0,60.0,0.0,64.0
73,78.0,39.0,60.0,0.0,64.0
74,71.0,129.0,30.0,0.0,64.0
75,52.0,12.0,90.0,0.0,64.0
76,71.0,60.0,60.0,0.0,64.0
77,80.0,39.0,60.0,0.0,64.0
78,71.0,129.0,30.0,0.0,64.0
