,note,step,duration,channel,velocity
0,75.0,60.0,60.0,0.0,0.0
1,73.0,60.0,60.0,0.0,0.0
2,72.0,60.0,60.0,0.0,0.0
3,73.0,120.0,60.0,0.0,0.0
4,61.0,60.0,120.0,1.0,0.0
5,76.0,0.0,120.0,0.0,0.0
6,68.0,120.0,60.0,1.0,0.0
7,64.0,0.0,60.0,1.0,0.0
8,78.0,0.0,60.0,0.0,0.0
9,68.0,60.0,60.0,1.0,0.0
10,64.0,0.0,60.0,1.0,0.0
11,76.0,60.0,60.0,0.0,0.0
12,75.0,0.0,60.0,0.0,0.0
13,68.0,0.0,60.0,1.0,0.0
14,64.0,60.0,60.0,1.0,0.0
15,76.0,120.0,60.0,0.0,0.0
16,80.0,0.0,120.0,0.0,0.0
17,61.0,60.0,120.0,1.0,0.0
18,68.0,0.0,60.0,1.0,0.0
19,64.0,120.0,60.0,1.0,0.0
20,81.0,60.0,60.0,0.0,0.0
21,64.0,0.0,60.0,1.0,0.0
22,68.0,0.0,60.0,1.0,0.0
23,80.0,60.0,60.0,0.0,0.0
24,64.0,60.0,60.0,1.0,0.0
25,68.0,0.0,60.0,1.0,0.0
26,79.0,0.0,60.0,0.0,0.0
27,80.0,60.0,60.0,0.0,0.0
28,61.0,60.0,60.0,1.0,0.0
29,87.0,0.0,60.0,0.0,0.0
30,85.0,60.0,60.0,0.0,0.0
31,84.0,60.0,60.0,0.0,0.0
32,68.0,0.0,60.0,1.0,0.0
33,64.0,0.0,60.0,1.0,0.0
34,85.0,60.0,60.0,0.0,0.0
35,61.0,0.0,60.0,1.0,0.0
36,87.0,60.0,60.0,0.0,0.0
37,85.0,60.0,60.0,0.0,0.0
38,84.0,60.0,60.0,0.0,0.0
39,68.0,0.0,60.0,1.0,0.0
40,64.0,0.0,60.0,1.0,0.0
41,85.0,120.0,60.0,0.0,0.0
42,61.0,60.0,120.0,1.0,0.0
43,88.0,60.0,240.0,0.0,0.0
44,64.0,60.0,60.0,1.0,0.0
45,68.0,0.0,60.0,1.0,0.0
46,85.0,0.0,60.0,0.0,0.0
47,68.0,120.0,60.0,1.0,0.0
48,64.0,0.0,60.0,1.0,0.0
49,64.0,0.0,60.0,1.0,0.0
50,88.0,80.0,60.0,0.0,0.0
51,68.0,0.0,60.0,1.0,0.0
52,83.0,20.0,20.0,0.0,0.0
53,56.0,20.0,60.0,1.0,0.0
54,85.0,20.0,20.0,0.0,0.0
55,87.0,100.0,40.0,0.0,0.0
56,85.0,0.0,60.0,0.0,0.0
57,82.0,120.0,60.0,0.0,0.0
58,63.0,0.0,60.0,1.0,0.0
59,68.0,0.0,60.0,1.0,0.0
60,63.0,0.0,60.0,1.0,0.0
61,80.0,120.0,60.0,0.0,0.0
62,68.0,0.0,60.0,1.0,0.0
63,83.0,0.0,60.0,0.0,0.0
64,85.0,0.0,60.0,0.0,0.0
65,68.0,0.0,60.0,1.0,0.0
66,63.0,80.0,60.0,1.0,0.0
67,82.0,0.0,60.0,0.0,0.0
68,83.0,20.0,20.0,0.0,0.0
69,56.0,20.0,60.0,1.0,0.0
70,85.0,20.0,20.0,0.0,0.0
71,87.0,100.0,40.0,0.0,0.0
72,82.0,0.0,60.0,0.0,0.0
73,85.0,120.0,60.0,0.0,0.0
74,63.0,0.0,60.0,1.0,0.0
75,68.0,0.0,60.0,1.0,0.0
76,68.0,0.0,60.0,1.0,0.0
77,63.0,0.0,60.0,1.0,0.0
78,83.0,120.0,60.0,0.0,0.0
79,80.0,0.0,60.0,0.0,0.0
80,82.0,0.0,60.0,0.0,0.0
81,85.0,80.0,60.0,0.0,0.0
82,63.0,0.0,60.0,1.0,0.0
