,note,step,duration,channel,velocity
0,57.0,0.0,1800.0,0.0,0.0
1,45.0,60.0,120.0,8.0,0.0
2,69.0,0.0,480.0,1.0,0.0
3,61.0,0.0,60.0,2.0,0.0
4,64.0,60.0,60.0,2.0,0.0
5,69.0,60.0,60.0,2.0,0.0
6,64.0,60.0,60.0,2.0,0.0
7,61.0,119.0,60.0,2.0,0.0
8,73.0,1.0,120.0,10.0,0.0
9,69.0,0.0,120.0,10.0,0.0
10,44.0,60.0,120.0,8.0,0.0
11,61.0,0.0,60.0,2.0,0.0
12,64.0,60.0,60.0,2.0,0.0
13,71.0,0.0,120.0,1.0,0.0
14,69.0,60.0,60.0,2.0,0.0
15,73.0,0.0,120.0,1.0,0.0
16,64.0,60.0,60.0,2.0,0.0
17,61.0,119.0,60.0,2.0,0.0
18,42.0,0.0,120.0,8.0,0.0
19,74.0,0.0,480.0,1.0,0.0
20,74.0,1.0,120.0,10.0,0.0
21,62.0,60.0,60.0,2.0,0.0
22,66.0,60.0,60.0,2.0,0.0
23,69.0,60.0,60.0,2.0,0.0
24,66.0,60.0,60.0,2.0,0.0
25,62.0,119.0,60.0,2.0,0.0
26,69.0,1.0,120.0,10.0,0.0
27,35.0,0.0,120.0,8.0,0.0
28,62.0,60.0,60.0,2.0,0.0
29,76.0,0.0,120.0,1.0,0.0
30,66.0,60.0,60.0,2.0,0.0
31,69.0,60.0,60.0,2.0,0.0
32,78.0,0.0,120.0,1.0,0.0
33,66.0,60.0,60.0,2.0,0.0
34,62.0,119.0,60.0,2.0,0.0
35,76.0,0.0,480.0,1.0,0.0
36,69.0,1.0,120.0,10.0,0.0
37,71.0,0.0,120.0,10.0,0.0
38,40.0,60.0,120.0,8.0,0.0
39,59.0,0.0,60.0,2.0,0.0
40,64.0,60.0,60.0,2.0,0.0
41,69.0,60.0,60.0,2.0,0.0
42,64.0,60.0,60.0,2.0,0.0
43,59.0,119.0,60.0,2.0,0.0
44,56.0,0.0,240.0,0.0,0.0
45,40.0,60.0,120.0,8.0,0.0
46,68.0,0.0,120.0,10.0,0.0
47,71.0,1.0,120.0,10.0,0.0
