,note,step,duration,channel,velocity
0,43.0,0.0,300.0,0.0,0.0
1,47.0,0.0,270.0,0.0,0.0
2,50.0,0.0,270.0,0.0,0.0
3,59.0,0.0,240.0,0.0,0.0
4,62.0,0.0,240.0,0.0,0.0
5,67.0,108.0,210.0,0.0,0.0
6,71.0,0.0,210.0,0.0,0.0
7,74.0,0.0,180.0,0.0,0.0
8,71.0,0.0,60.0,0.0,0.0
9,67.0,120.0,60.0,1.0,0.0
10,71.0,0.0,60.0,0.0,0.0
11,67.0,300.0,60.0,1.0,0.0
12,71.0,0.0,300.0,0.0,0.0
13,67.0,72.0,300.0,1.0,0.0
14,55.0,48.0,120.0,3.0,0.0
15,43.0,120.0,120.0,3.0,0.0
16,62.0,0.0,120.0,1.0,0.0
17,47.0,0.0,120.0,3.0,0.0
18,67.0,24.0,120.0,0.0,0.0
19,69.0,120.0,20.0,0.0,0.0
20,50.0,0.0,360.0,3.0,0.0
21,66.0,0.0,20.0,1.0,0.0
22,66.0,0.0,20.0,1.0,0.0
23,69.0,216.0,20.0,0.0,0.0
24,66.0,0.0,120.0,1.0,0.0
25,69.0,96.0,120.0,0.0,0.0
26,55.0,24.0,90.0,3.0,0.0
27,71.0,0.0,120.0,0.0,0.0
28,67.0,96.0,120.0,1.0,0.0
29,69.0,96.0,240.0,1.0,0.0
30,54.0,24.0,90.0,3.0,0.0
31,74.0,30.0,15.0,0.0,0.0
32,50.0,24.0,90.0,3.0,0.0
33,72.0,30.0,30.0,0.0,0.0
34,71.0,6.0,30.0,0.0,0.0
35,72.0,0.0,30.0,0.0,0.0
36,55.0,24.0,90.0,3.0,0.0
37,67.0,96.0,120.0,1.0,0.0
38,71.0,0.0,120.0,0.0,0.0
39,43.0,6.0,90.0,3.0,0.0
40,71.0,15.0,15.0,0.0,0.0
41,74.0,123.0,15.0,0.0,0.0
42,79.0,48.0,180.0,0.0,0.0
43,55.0,36.0,390.0,3.0,0.0
44,62.0,0.0,120.0,1.0,0.0
45,59.0,72.0,15.0,2.0,0.0
46,62.0,0.0,120.0,1.0,0.0
47,60.0,120.0,20.0,2.0,0.0
48,78.0,0.0,20.0,0.0,0.0
49,62.0,0.0,20.0,1.0,0.0
50,60.0,0.0,120.0,2.0,0.0
51,78.0,60.0,60.0,0.0,0.0
52,62.0,0.0,120.0,1.0,0.0
53,81.0,120.0,60.0,0.0,0.0
54,62.0,0.0,120.0,1.0,0.0
55,55.0,36.0,390.0,3.0,0.0
56,79.0,0.0,240.0,0.0,0.0
57,59.0,120.0,15.0,2.0,0.0
58,62.0,0.0,120.0,1.0,0.0
59,62.0,0.0,20.0,1.0,0.0
60,78.0,120.0,20.0,0.0,0.0
61,60.0,0.0,20.0,2.0,0.0
62,78.0,60.0,60.0,0.0,0.0
63,60.0,0.0,120.0,2.0,0.0
64,62.0,0.0,120.0,1.0,0.0
65,81.0,96.0,60.0,0.0,0.0
66,62.0,0.0,90.0,1.0,0.0
67,79.0,0.0,90.0,0.0,0.0
68,55.0,0.0,90.0,3.0,0.0
69,59.0,144.0,90.0,2.0,0.0
70,71.0,0.0,120.0,1.0,0.0
71,74.0,0.0,120.0,0.0,0.0
72,47.0,120.0,120.0,3.0,0.0
73,69.0,120.0,120.0,1.0,0.0
74,48.0,0.0,120.0,3.0,0.0
75,72.0,0.0,120.0,0.0,0.0
76,49.0,96.0,120.0,3.0,0.0
77,67.0,0.0,120.0,1.0,0.0
78,71.0,0.0,15.0,0.0,0.0
79,50.0,84.0,90.0,3.0,0.0
80,67.0,60.0,240.0,1.0,0.0
81,62.0,60.0,60.0,3.0,0.0
82,61.0,0.0,60.0,3.0,0.0
83,62.0,36.0,60.0,3.0,0.0
84,69.0,120.0,90.0,0.0,0.0
85,66.0,0.0,90.0,1.0,0.0
86,50.0,216.0,90.0,3.0,0.0
87,43.0,0.0,300.0,0.0,0.0
