,note,step,duration,channel,velocity
0,52.0,7.0,90.0,1.0,0.0
1,64.0,26.0,40.0,0.0,0.0
2,66.0,17.0,20.0,0.0,0.0
3,68.0,24.0,20.0,0.0,0.0
4,69.0,24.0,20.0,0.0,0.0
5,71.0,24.0,20.0,0.0,0.0
6,73.0,24.0,20.0,0.0,0.0
7,75.0,24.0,20.0,0.0,0.0
8,76.0,24.0,20.0,0.0,0.0
9,75.0,24.0,20.0,0.0,0.0
10,73.0,24.0,20.0,0.0,0.0
11,71.0,24.0,20.0,0.0,0.0
12,69.0,24.0,20.0,0.0,0.0
13,52.0,7.0,90.0,1.0,0.0
14,68.0,24.0,20.0,0.0,0.0
15,66.0,17.0,20.0,0.0,0.0
16,64.0,46.0,20.0,0.0,0.0
17,66.0,26.0,40.0,0.0,0.0
18,47.0,7.0,90.0,1.0,0.0
19,68.0,17.0,20.0,0.0,0.0
20,69.0,24.0,20.0,0.0,0.0
21,71.0,24.0,20.0,0.0,0.0
22,73.0,24.0,20.0,0.0,0.0
23,75.0,24.0,20.0,0.0,0.0
24,76.0,89.0,20.0,0.0,0.0
25,78.0,5.0,90.0,0.0,0.0
26,59.0,48.0,40.0,1.0,0.0
27,54.0,48.0,40.0,1.0,0.0
28,51.0,48.0,40.0,1.0,0.0
29,66.0,26.0,40.0,0.0,0.0
30,47.0,7.0,90.0,1.0,0.0
31,68.0,17.0,20.0,0.0,0.0
32,69.0,24.0,20.0,0.0,0.0
33,71.0,24.0,20.0,0.0,0.0
34,73.0,24.0,20.0,0.0,0.0
35,75.0,24.0,20.0,0.0,0.0
36,76.0,24.0,20.0,0.0,0.0
37,78.0,24.0,20.0,0.0,0.0
38,76.0,24.0,20.0,0.0,0.0
39,75.0,24.0,20.0,0.0,0.0
40,73.0,24.0,20.0,0.0,0.0
41,71.0,24.0,20.0,0.0,0.0
42,47.0,7.0,90.0,1.0,0.0
43,69.0,24.0,20.0,0.0,0.0
44,68.0,17.0,20.0,0.0,0.0
45,66.0,46.0,20.0,0.0,0.0
46,68.0,26.0,40.0,0.0,0.0
47,52.0,7.0,90.0,1.0,0.0
48,69.0,17.0,20.0,0.0,0.0
49,71.0,24.0,20.0,0.0,0.0
50,73.0,24.0,20.0,0.0,0.0
51,75.0,24.0,20.0,0.0,0.0
52,76.0,24.0,20.0,0.0,0.0
53,78.0,89.0,20.0,0.0,0.0
54,80.0,5.0,90.0,0.0,0.0
