,note,step,duration,channel,velocity
0,59.0,0.0,120.0,13.0,0.0
1,62.0,0.0,120.0,12.0,0.0
2,66.0,0.0,120.0,11.0,0.0
3,71.0,0.0,120.0,10.0,0.0
4,71.0,30.0,150.0,4.0,0.0
5,59.0,30.0,30.0,5.0,0.0
6,62.0,0.0,60.0,6.0,0.0
7,71.0,0.0,180.0,15.0,0.0
8,66.0,0.0,180.0,15.0,0.0
9,74.0,0.0,180.0,15.0,0.0
10,59.0,0.0,60.0,15.0,0.0
11,62.0,30.0,30.0,5.0,0.0
12,59.0,0.0,60.0,7.0,0.0
13,47.0,0.0,60.0,8.0,0.0
14,66.0,30.0,30.0,5.0,0.0
15,71.0,0.0,60.0,10.0,0.0
16,66.0,0.0,60.0,6.0,0.0
17,66.0,0.0,60.0,11.0,0.0
18,71.0,30.0,150.0,5.0,0.0
19,62.0,0.0,60.0,12.0,0.0
20,59.0,0.0,60.0,13.0,0.0
21,50.0,0.0,60.0,8.0,0.0
22,62.0,30.0,60.0,15.0,0.0
23,62.0,0.0,60.0,7.0,0.0
24,62.0,0.0,30.0,4.0,0.0
25,66.0,0.0,60.0,11.0,0.0
26,59.0,0.0,60.0,15.0,0.0
27,62.0,0.0,60.0,6.0,0.0
28,59.0,0.0,60.0,7.0,0.0
29,59.0,30.0,60.0,13.0,0.0
30,66.0,30.0,30.0,4.0,0.0
31,47.0,0.0,60.0,8.0,0.0
32,71.0,0.0,60.0,10.0,0.0
33,62.0,0.0,60.0,12.0,0.0
34,71.0,0.0,30.0,4.0,0.0
35,71.0,30.0,120.0,11.0,0.0
36,74.0,30.0,150.0,4.0,0.0
37,59.0,0.0,120.0,13.0,0.0
38,74.0,0.0,120.0,10.0,0.0
39,66.0,0.0,120.0,12.0,0.0
40,62.0,30.0,30.0,5.0,0.0
41,66.0,30.0,30.0,5.0,0.0
42,59.0,0.0,60.0,7.0,0.0
43,66.0,0.0,180.0,15.0,0.0
44,62.0,0.0,60.0,6.0,0.0
45,71.0,0.0,180.0,15.0,0.0
46,74.0,0.0,180.0,15.0,0.0
47,59.0,0.0,60.0,15.0,0.0
48,47.0,0.0,60.0,8.0,0.0
49,71.0,0.0,30.0,5.0,0.0
50,71.0,0.0,120.0,11.0,0.0
51,62.0,0.0,60.0,7.0,0.0
52,66.0,0.0,60.0,6.0,0.0
53,74.0,0.0,120.0,5.0,0.0
54,50.0,30.0,60.0,8.0,0.0
55,59.0,0.0,120.0,13.0,0.0
56,62.0,0.0,60.0,15.0,0.0
57,74.0,30.0,120.0,10.0,0.0
58,66.0,0.0,120.0,12.0,0.0
59,66.0,0.0,30.0,4.0,0.0
60,47.0,0.0,60.0,8.0,0.0
61,62.0,0.0,60.0,6.0,0.0
62,59.0,0.0,60.0,15.0,0.0
63,59.0,0.0,60.0,7.0,0.0
64,71.0,30.0,30.0,4.0,0.0
65,74.0,0.0,30.0,4.0,0.0
66,78.0,0.0,240.0,10.0,0.0
67,78.0,30.0,150.0,4.0,0.0
68,58.0,0.0,240.0,13.0,0.0
69,73.0,0.0,240.0,11.0,0.0
70,73.0,30.0,30.0,5.0,0.0
71,66.0,30.0,240.0,12.0,0.0
72,61.0,30.0,30.0,5.0,0.0
73,58.0,30.0,60.0,15.0,0.0
74,78.0,0.0,180.0,15.0,0.0
75,46.0,0.0,60.0,8.0,0.0
76,66.0,30.0,30.0,5.0,0.0
77,61.0,0.0,60.0,6.0,0.0
78,66.0,0.0,180.0,15.0,0.0
79,58.0,0.0,60.0,7.0,0.0
80,73.0,0.0,180.0,15.0,0.0
81,70.0,0.0,30.0,5.0,0.0
82,42.0,30.0,60.0,8.0,0.0
83,54.0,0.0,60.0,15.0,0.0
84,58.0,0.0,60.0,6.0,0.0
85,54.0,0.0,60.0,7.0,0.0
86,73.0,0.0,120.0,5.0,0.0
87,70.0,0.0,30.0,4.0,0.0
88,73.0,30.0,30.0,4.0,0.0
89,46.0,0.0,60.0,8.0,0.0
90,58.0,0.0,60.0,15.0,0.0
91,61.0,0.0,60.0,6.0,0.0
92,58.0,0.0,60.0,7.0,0.0
93,78.0,0.0,30.0,4.0,0.0
94,66.0,0.0,120.0,12.0,0.0
95,74.0,0.0,240.0,0.0,0.0
96,71.0,0.0,240.0,0.0,0.0
97,71.0,0.0,120.0,11.0,0.0
98,71.0,30.0,30.0,5.0,0.0
99,59.0,0.0,120.0,13.0,0.0
100,74.0,0.0,120.0,10.0,0.0
101,74.0,30.0,150.0,4.0,0.0
102,59.0,30.0,30.0,5.0,0.0
103,59.0,0.0,60.0,15.0,0.0
104,71.0,0.0,180.0,15.0,0.0
105,59.0,0.0,60.0,1.0,0.0
106,74.0,0.0,180.0,15.0,0.0
107,66.0,0.0,180.0,15.0,0.0
108,62.0,0.0,60.0,6.0,0.0
109,62.0,30.0,30.0,5.0,0.0
110,59.0,0.0,60.0,7.0,0.0
111,47.0,0.0,60.0,8.0,0.0
112,66.0,30.0,30.0,5.0,0.0
113,71.0,0.0,120.0,5.0,0.0
114,62.0,0.0,60.0,1.0,0.0
115,62.0,0.0,60.0,7.0,0.0
116,50.0,0.0,60.0,8.0,0.0
117,62.0,0.0,60.0,15.0,0.0
118,66.0,30.0,60.0,6.0,0.0
119,71.0,0.0,30.0,4.0,0.0
120,78.0,30.0,60.0,10.0,0.0
121,59.0,0.0,60.0,1.0,0.0
122,47.0,0.0,60.0,8.0,0.0
123,74.0,30.0,30.0,4.0,0.0
124,59.0,0.0,60.0,13.0,0.0
125,71.0,0.0,60.0,11.0,0.0
126,62.0,0.0,60.0,6.0,0.0
127,59.0,0.0,60.0,7.0,0.0
128,59.0,0.0,60.0,3.0,0.0
129,62.0,0.0,60.0,12.0,0.0
130,59.0,0.0,60.0,15.0,0.0
131,71.0,0.0,60.0,3.0,0.0
132,62.0,0.0,60.0,3.0,0.0
133,78.0,0.0,30.0,4.0,0.0
134,79.0,0.0,120.0,0.0,0.0
135,67.0,0.0,90.0,12.0,0.0
136,55.0,0.0,120.0,3.0,0.0
137,43.0,30.0,30.0,8.0,0.0
138,55.0,0.0,30.0,1.0,0.0
139,55.0,0.0,30.0,7.0,0.0
140,71.0,0.0,120.0,0.0,0.0
141,55.0,0.0,90.0,13.0,0.0
142,83.0,0.0,90.0,4.0,0.0
143,67.0,0.0,120.0,3.0,0.0
144,74.0,0.0,120.0,3.0,0.0
