,note,step,duration,channel,velocity
0,74.0,23.0,360.0,1.0,0.0
1,66.0,0.0,360.0,1.0,0.0
2,50.0,48.0,40.0,3.0,0.0
3,62.0,0.0,40.0,3.0,0.0
4,74.0,12.0,180.0,3.0,0.0
5,74.0,0.0,180.0,0.0,0.0
6,66.0,4.0,90.0,3.0,0.0
7,50.0,44.0,40.0,3.0,0.0
8,62.0,0.0,40.0,3.0,0.0
9,62.0,0.0,40.0,3.0,0.0
10,50.0,36.0,40.0,3.0,0.0
11,62.0,44.0,40.0,3.0,0.0
12,69.0,4.0,90.0,3.0,0.0
13,50.0,0.0,40.0,3.0,0.0
14,50.0,44.0,40.0,3.0,0.0
15,78.0,4.0,90.0,3.0,0.0
16,62.0,0.0,40.0,3.0,0.0
17,78.0,0.0,90.0,0.0,0.0
18,62.0,44.0,40.0,3.0,0.0
19,50.0,0.0,40.0,3.0,0.0
20,66.0,4.0,90.0,3.0,0.0
21,74.0,0.0,90.0,3.0,0.0
22,74.0,4.0,90.0,0.0,0.0
23,62.0,21.0,40.0,3.0,0.0
24,50.0,0.0,40.0,3.0,0.0
25,69.0,0.0,90.0,3.0,0.0
26,50.0,0.0,40.0,3.0,0.0
27,62.0,48.0,40.0,3.0,0.0
28,76.0,12.0,180.0,1.0,0.0
29,61.0,48.0,40.0,3.0,0.0
30,49.0,0.0,40.0,3.0,0.0
31,81.0,0.0,150.0,3.0,0.0
32,69.0,0.0,180.0,1.0,0.0
33,81.0,14.0,150.0,0.0,0.0
34,61.0,44.0,40.0,3.0,0.0
35,49.0,0.0,40.0,3.0,0.0
36,69.0,4.0,90.0,3.0,0.0
37,49.0,22.0,40.0,3.0,0.0
38,61.0,0.0,40.0,3.0,0.0
39,61.0,0.0,40.0,3.0,0.0
40,76.0,4.0,90.0,3.0,0.0
41,49.0,2.0,40.0,3.0,0.0
42,83.0,0.0,20.0,3.0,0.0
43,83.0,40.0,20.0,0.0,0.0
44,81.0,4.0,90.0,3.0,0.0
45,76.0,0.0,90.0,1.0,0.0
46,69.0,0.0,90.0,1.0,0.0
47,49.0,0.0,40.0,3.0,0.0
48,81.0,2.0,40.0,0.0,0.0
49,61.0,44.0,40.0,3.0,0.0
50,49.0,44.0,40.0,3.0,0.0
51,61.0,0.0,40.0,3.0,0.0
52,73.0,4.0,90.0,3.0,0.0
53,61.0,0.0,40.0,3.0,0.0
54,49.0,48.0,40.0,3.0,0.0
55,61.0,0.0,40.0,3.0,0.0
56,76.0,0.0,40.0,3.0,0.0
