,note,step,duration,channel,velocity
0,76.0,161.0,630.0,3.0,0.0
1,76.0,0.0,480.0,5.0,0.0
2,69.0,0.0,480.0,6.0,0.0
3,61.0,159.0,480.0,4.0,0.0
4,78.0,160.0,150.0,3.0,0.0
5,80.0,0.0,150.0,3.0,0.0
6,81.0,161.0,150.0,3.0,0.0
7,64.0,0.0,480.0,6.0,0.0
8,73.0,480.0,480.0,5.0,0.0
9,57.0,0.0,480.0,4.0,0.0
10,83.0,160.0,150.0,3.0,0.0
11,85.0,0.0,150.0,3.0,0.0
12,68.0,0.0,480.0,6.0,0.0
13,86.0,192.0,480.0,3.0,0.0
14,52.0,192.0,960.0,4.0,0.0
15,71.0,0.0,480.0,5.0,0.0
16,74.0,0.0,480.0,5.0,0.0
17,71.0,288.0,180.0,6.0,0.0
18,80.0,0.0,180.0,3.0,0.0
19,73.0,480.0,480.0,5.0,0.0
20,69.0,288.0,180.0,6.0,0.0
21,81.0,0.0,180.0,3.0,0.0
22,54.0,0.0,480.0,4.0,0.0
23,83.0,0.0,480.0,3.0,0.0
24,74.0,480.0,480.0,5.0,0.0
25,74.0,0.0,480.0,3.0,0.0
26,59.0,54.0,480.0,4.0,0.0
27,71.0,0.0,480.0,5.0,0.0
28,66.0,0.0,480.0,6.0,0.0
29,76.0,30.0,60.0,3.0,0.0
30,59.0,0.0,480.0,6.0,0.0
31,57.0,0.0,480.0,4.0,0.0
32,73.0,0.0,60.0,5.0,0.0
33,74.0,30.0,60.0,3.0,0.0
34,71.0,0.0,60.0,5.0,0.0
35,73.0,30.0,60.0,5.0,0.0
36,76.0,0.0,60.0,3.0,0.0
37,74.0,0.0,60.0,3.0,0.0
38,71.0,84.0,60.0,5.0,0.0
39,70.0,0.0,120.0,5.0,0.0
40,73.0,60.0,120.0,3.0,0.0
41,74.0,0.0,120.0,3.0,0.0
42,71.0,192.0,120.0,5.0,0.0
43,74.0,0.0,240.0,5.0,0.0
44,78.0,480.0,240.0,3.0,0.0
45,73.0,480.0,480.0,5.0,0.0
46,76.0,0.0,480.0,3.0,0.0
47,64.0,0.0,960.0,6.0,0.0
48,56.0,0.0,960.0,4.0,0.0
49,71.0,0.0,480.0,5.0,0.0
50,74.0,480.0,480.0,3.0,0.0
51,57.0,159.0,480.0,4.0,0.0
