,note,step,duration,channel,velocity
0,74.0,0.0,240.0,4.0,0.0
1,71.0,240.0,240.0,5.0,0.0
2,72.0,0.0,240.0,4.0,0.0
3,54.0,192.0,240.0,6.0,0.0
4,69.0,0.0,240.0,5.0,0.0
5,55.0,48.0,180.0,6.0,0.0
6,55.0,0.0,180.0,7.0,0.0
7,43.0,0.0,180.0,8.0,0.0
8,67.0,0.0,180.0,5.0,0.0
9,71.0,0.0,180.0,4.0,0.0
10,59.0,0.0,240.0,1.0,0.0
11,62.0,240.0,240.0,1.0,0.0
12,57.0,0.0,240.0,1.0,0.0
13,60.0,144.0,240.0,1.0,0.0
14,43.0,0.0,390.0,7.0,0.0
15,31.0,48.0,390.0,8.0,0.0
16,71.0,0.0,240.0,5.0,0.0
17,59.0,0.0,180.0,1.0,0.0
18,55.0,48.0,180.0,1.0,0.0
19,76.0,240.0,240.0,4.0,0.0
20,68.0,0.0,240.0,5.0,0.0
21,59.0,0.0,240.0,6.0,0.0
22,74.0,192.0,240.0,4.0,0.0
23,45.0,0.0,180.0,8.0,0.0
24,57.0,48.0,180.0,6.0,0.0
25,64.0,240.0,240.0,1.0,0.0
26,69.0,0.0,180.0,5.0,0.0
27,72.0,0.0,180.0,4.0,0.0
28,60.0,0.0,240.0,1.0,0.0
29,57.0,0.0,180.0,7.0,0.0
30,59.0,0.0,240.0,1.0,0.0
31,62.0,144.0,240.0,1.0,0.0
32,33.0,48.0,390.0,8.0,0.0
33,45.0,0.0,390.0,7.0,0.0
34,57.0,48.0,180.0,1.0,0.0
35,72.0,240.0,240.0,4.0,0.0
36,60.0,0.0,180.0,1.0,0.0
37,69.0,0.0,240.0,5.0,0.0
38,67.0,192.0,240.0,5.0,0.0
39,71.0,0.0,240.0,4.0,0.0
40,61.0,0.0,240.0,6.0,0.0
41,62.0,0.0,180.0,6.0,0.0
42,60.0,0.0,240.0,1.0,0.0
43,57.0,240.0,240.0,1.0,0.0
44,50.0,0.0,180.0,8.0,0.0
45,62.0,48.0,180.0,7.0,0.0
46,66.0,0.0,180.0,5.0,0.0
47,69.0,0.0,180.0,4.0,0.0
48,55.0,144.0,240.0,1.0,0.0
49,59.0,0.0,240.0,1.0,0.0
50,38.0,48.0,390.0,8.0,0.0
51,50.0,0.0,390.0,7.0,0.0
52,54.0,0.0,180.0,1.0,0.0
53,57.0,48.0,180.0,1.0,0.0
54,74.0,0.0,240.0,4.0,0.0
55,69.0,240.0,240.0,5.0,0.0
56,57.0,0.0,240.0,6.0,0.0
57,66.0,0.0,240.0,5.0,0.0
58,72.0,192.0,240.0,4.0,0.0
59,55.0,0.0,180.0,6.0,0.0
60,59.0,0.0,240.0,1.0,0.0
61,62.0,240.0,240.0,1.0,0.0
62,67.0,48.0,180.0,5.0,0.0
63,71.0,0.0,180.0,4.0,0.0
64,43.0,0.0,180.0,8.0,0.0
65,55.0,0.0,180.0,7.0,0.0
66,60.0,132.0,240.0,1.0,0.0
67,31.0,0.0,390.0,8.0,0.0
68,57.0,0.0,240.0,1.0,0.0
69,43.0,48.0,390.0,7.0,0.0
70,79.0,0.0,120.0,4.0,0.0
71,59.0,0.0,180.0,1.0,0.0
72,71.0,12.0,120.0,5.0,0.0
73,55.0,288.0,180.0,1.0,0.0
74,60.0,0.0,240.0,6.0,0.0
75,76.0,0.0,240.0,5.0,0.0
76,79.0,192.0,240.0,4.0,0.0
77,60.0,0.0,240.0,1.0,0.0
78,48.0,240.0,240.0,8.0,0.0
79,69.0,0.0,180.0,4.0,0.0
80,60.0,0.0,240.0,7.0,0.0
81,64.0,0.0,180.0,6.0,0.0
82,67.0,48.0,180.0,5.0,0.0
83,64.0,0.0,240.0,1.0,0.0
84,64.0,0.0,240.0,1.0,0.0
85,67.0,0.0,240.0,1.0,0.0
86,61.0,132.0,240.0,7.0,0.0
87,49.0,0.0,240.0,8.0,0.0
88,66.0,0.0,180.0,1.0,0.0
89,74.0,60.0,120.0,4.0,0.0
90,62.0,0.0,180.0,1.0,0.0
91,66.0,0.0,120.0,5.0,0.0
92,50.0,288.0,180.0,8.0,0.0
93,62.0,0.0,180.0,7.0,0.0
94,69.0,0.0,240.0,5.0,0.0
95,72.0,192.0,240.0,4.0,0.0
96,63.0,0.0,240.0,6.0,0.0
97,71.0,0.0,180.0,4.0,0.0
98,52.0,0.0,240.0,8.0,0.0
99,59.0,0.0,480.0,1.0,0.0
100,64.0,240.0,240.0,7.0,0.0
101,64.0,48.0,180.0,6.0,0.0
102,67.0,0.0,180.0,5.0,0.0
103,62.0,132.0,240.0,7.0,0.0
104,50.0,0.0,240.0,8.0,0.0
105,76.0,0.0,120.0,4.0,0.0
106,60.0,0.0,180.0,1.0,0.0
107,67.0,0.0,15.0,1.0,0.0
108,60.0,0.0,180.0,7.0,0.0
109,48.0,288.0,180.0,8.0,0.0
110,67.0,60.0,120.0,5.0,0.0
111,76.0,0.0,240.0,4.0,0.0
112,66.0,192.0,240.0,5.0,0.0
113,60.0,0.0,240.0,6.0,0.0
114,59.0,0.0,240.0,1.0,0.0
115,59.0,0.0,180.0,6.0,0.0
116,50.0,156.0,240.0,7.0,0.0
117,74.0,0.0,180.0,4.0,0.0
118,62.0,0.0,240.0,1.0,0.0
119,38.0,0.0,240.0,8.0,0.0
120,67.0,48.0,180.0,5.0,0.0
121,50.0,84.0,150.0,8.0,0.0
122,55.0,0.0,240.0,1.0,0.0
123,59.0,156.0,240.0,1.0,0.0
124,62.0,0.0,150.0,7.0,0.0
125,50.0,0.0,150.0,7.0,0.0
126,60.0,0.0,240.0,5.0,0.0
127,66.0,0.0,240.0,4.0,0.0
128,57.0,384.0,240.0,1.0,0.0
129,60.0,0.0,240.0,1.0,0.0
130,57.0,0.0,240.0,6.0,0.0
131,38.0,84.0,150.0,8.0,0.0
132,55.0,48.0,390.0,6.0,0.0
133,59.0,0.0,390.0,5.0,0.0
134,67.0,0.0,390.0,4.0,0.0
135,62.0,240.0,240.0,1.0,0.0
136,43.0,48.0,180.0,8.0,0.0
137,55.0,0.0,180.0,7.0,0.0
138,59.0,0.0,240.0,1.0,0.0
139,57.0,132.0,240.0,1.0,0.0
140,60.0,0.0,240.0,1.0,0.0
141,43.0,48.0,390.0,7.0,0.0
142,31.0,0.0,390.0,8.0,0.0
