,note,step,duration,channel,velocity
0,78.0,0.0,360.0,0.0,0.0
1,42.0,0.0,360.0,11.0,0.0
2,54.0,0.0,360.0,3.0,0.0
3,66.0,0.0,360.0,3.0,0.0
4,54.0,15.0,15.0,5.0,0.0
5,66.0,100.0,360.0,8.0,0.0
6,66.0,0.0,360.0,7.0,0.0
7,78.0,0.0,360.0,1.0,0.0
8,66.0,0.0,360.0,4.0,0.0
9,78.0,0.0,360.0,4.0,0.0
10,66.0,0.0,360.0,6.0,0.0
11,54.0,0.0,360.0,2.0,0.0
12,54.0,0.0,360.0,10.0,0.0
13,54.0,15.0,15.0,5.0,0.0
14,54.0,15.0,15.0,5.0,0.0
15,54.0,15.0,15.0,5.0,0.0
16,54.0,15.0,15.0,5.0,0.0
17,54.0,15.0,15.0,5.0,0.0
18,54.0,15.0,15.0,5.0,0.0
19,54.0,15.0,15.0,5.0,0.0
20,54.0,15.0,15.0,5.0,0.0
21,54.0,15.0,15.0,5.0,0.0
22,54.0,15.0,15.0,5.0,0.0
23,54.0,15.0,15.0,5.0,0.0
24,54.0,120.0,15.0,5.0,0.0
25,37.0,0.0,15.0,11.0,0.0
26,73.0,0.0,15.0,0.0,0.0
27,61.0,0.0,15.0,7.0,0.0
28,49.0,0.0,15.0,2.0,0.0
29,49.0,10.0,15.0,10.0,0.0
30,61.0,0.0,15.0,8.0,0.0
31,61.0,0.0,15.0,6.0,0.0
32,73.0,0.0,15.0,1.0,0.0
33,63.0,0.0,15.0,6.0,0.0
34,63.0,0.0,15.0,8.0,0.0
35,75.0,0.0,15.0,0.0,0.0
36,63.0,0.0,15.0,7.0,0.0
37,75.0,0.0,15.0,1.0,0.0
38,39.0,0.0,15.0,11.0,0.0
39,51.0,0.0,15.0,2.0,0.0
40,51.0,10.0,15.0,10.0,0.0
41,65.0,0.0,15.0,8.0,0.0
42,53.0,0.0,15.0,2.0,0.0
43,77.0,120.0,15.0,0.0,0.0
44,65.0,0.0,15.0,7.0,0.0
45,53.0,0.0,15.0,10.0,0.0
46,41.0,0.0,15.0,11.0,0.0
47,65.0,0.0,15.0,6.0,0.0
48,77.0,0.0,15.0,1.0,0.0
49,66.0,0.0,120.0,6.0,0.0
