tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,note,velocity,channel
0,time_signature,3,2,48,8,0,1,0,,,,,
0,track_name,,,,,0,1,3,,,,,
0,note_on,,,,,0,0,3,,,59,96,2
0,note_on,,,,,0,0,2,,,66,96,1
0,track_name,,,,,0,1,4,,,,,
0,note_on,,,,,0,0,4,,,47,96,3
0,track_name,,,,,0,1,2,,,,,
0,note_on,,,,,0,0,1,,,74,96,0
0,key_signature,,,,,0,1,0,Bm,,,,
0,set_tempo,,,,,0,1,0,,375000,,,
0,track_name,,,,,0,1,1,,,,,
2048,note_off,,,,,2048,0,3,,,59,0,2
2048,note_on,,,,,0,0,3,,,59,96,2
2048,note_off,,,,,2048,0,1,,,74,0,0
2048,note_off,,,,,2048,0,4,,,47,0,3
2048,note_on,,,,,0,0,4,,,59,96,3
2048,note_on,,,,,0,0,2,,,66,96,1
2048,note_off,,,,,2048,0,2,,,66,0,1
2048,note_on,,,,,0,0,1,,,74,96,0
3072,note_on,,,,,0,0,4,,,57,96,3
3072,note_off,,,,,1024,0,4,,,59,0,3
4096,note_on,,,,,0,0,3,,,59,96,2
4096,note_on,,,,,0,0,2,,,65,96,1
4096,note_off,,,,,2048,0,2,,,66,0,1
4096,note_off,,,,,2048,0,1,,,74,0,0
4096,note_on,,,,,0,0,1,,,74,96,0
4096,note_on,,,,,0,0,4,,,56,96,3
4096,note_off,,,,,2048,0,3,,,59,0,2
4096,note_off,,,,,1024,0,4,,,57,0,3
5120,note_on,,,,,0,0,4,,,54,96,3
5120,note_on,,,,,0,0,2,,,66,96,1
5120,note_off,,,,,1024,0,2,,,65,0,1
5120,note_off,,,,,1024,0,4,,,56,0,3
5120,note_off,,,,,1024,0,3,,,59,0,2
5120,note_on,,,,,0,0,3,,,57,96,2
6144,note_off,,,,,1024,0,2,,,66,0,1
6144,note_off,,,,,1024,0,3,,,57,0,2
6144,note_off,,,,,1024,0,4,,,54,0,3
6144,note_on,,,,,0,0,1,,,73,96,0
6144,note_off,,,,,2048,0,1,,,74,0,0
6144,note_on,,,,,0,0,2,,,68,96,1
6144,note_on,,,,,0,0,3,,,56,96,2
6144,note_on,,,,,0,0,4,,,53,96,3
8192,note_on,,,,,0,0,4,,,49,96,3
8192,note_on,,,,,0,0,2,,,65,96,1
8192,note_on,,,,,0,0,3,,,61,96,2
8192,note_off,,,,,2048,0,3,,,56,0,2
8192,note_off,,,,,2048,0,2,,,68,0,1
8192,note_off,,,,,2048,0,4,,,53,0,3
9216,note_off,,,,,3072,0,1,,,73,0,0
9216,note_on,,,,,0,0,1,,,71,96,0
10240,note_on,,,,,0,0,2,,,66,96,1
10240,note_off,,,,,2048,0,2,,,65,0,1
10240,note_on,,,,,0,0,3,,,61,96,2
10240,note_on,,,,,0,0,1,,,69,96,0
10240,note_off,,,,,2048,0,3,,,61,0,2
10240,note_on,,,,,0,0,4,,,54,96,3
10240,note_off,,,,,2048,0,4,,,49,0,3
