tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,program,channel,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,
0,program_change,,,,,0,0,3,,,0,2,,
0,track_name,,,,,0,1,3,,,,,,
0,track_name,,,,,0,1,5,,,,,,
0,program_change,,,,,0,0,5,,,0,4,,
0,program_change,,,,,0,0,4,,,0,3,,
0,program_change,,,,,0,0,2,,,0,1,,
0,track_name,,,,,0,1,2,,,,,,
0,track_name,,,,,0,1,4,,,,,,
0,set_tempo,,,,,0,1,0,,681818,,,,
0,key_signature,,,,,0,1,0,F,,,,,
0,program_change,,,,,0,0,1,,,0,0,,
0,track_name,,,,,0,1,1,,,,,,
3072,note_on,,,,,3072,0,4,,,,3,53,96
3072,note_on,,,,,3072,0,1,,,,0,65,96
3072,note_on,,,,,3072,0,2,,,,1,60,96
3072,note_on,,,,,3072,0,3,,,,2,57,96
3072,note_on,,,,,3072,0,5,,,,4,77,96
4096,note_on,,,,,0,0,4,,,,3,52,96
4096,note_off,,,,,1024,0,1,,,,0,65,0
4096,note_off,,,,,1024,0,2,,,,1,60,0
4096,note_on,,,,,0,0,2,,,,1,60,96
4096,note_on,,,,,0,0,1,,,,0,72,96
4096,note_off,,,,,1024,0,4,,,,3,53,0
4096,note_off,,,,,1024,0,5,,,,4,77,0
4096,note_on,,,,,0,0,5,,,,4,79,96
4096,note_on,,,,,0,0,3,,,,2,55,96
4096,note_off,,,,,1024,0,3,,,,2,57,0
4608,note_off,,,,,512,0,1,,,,0,72,0
4608,note_on,,,,,0,0,1,,,,0,70,96
5120,note_off,,,,,1024,0,4,,,,3,52,0
5120,note_on,,,,,0,0,3,,,,2,53,96
5120,note_off,,,,,1024,0,5,,,,4,79,0
5120,note_on,,,,,0,0,5,,,,4,81,96
5120,note_off,,,,,1024,0,3,,,,2,55,0
5120,note_on,,,,,0,0,4,,,,3,53,96
5120,note_on,,,,,0,0,2,,,,1,60,96
5120,note_off,,,,,1024,0,2,,,,1,60,0
5120,note_on,,,,,0,0,1,,,,0,69,96
5120,note_off,,,,,512,0,1,,,,0,70,0
5632,note_off,,,,,512,0,4,,,,3,53,0
5632,note_on,,,,,0,0,4,,,,3,52,96
5632,note_on,,,,,0,0,1,,,,0,67,96
5632,note_off,,,,,512,0,1,,,,0,69,0
5632,note_off,,,,,512,0,3,,,,2,53,0
5632,note_on,,,,,0,0,3,,,,2,55,96
6144,note_off,,,,,512,0,4,,,,3,52,0
6144,note_on,,,,,0,0,3,,,,2,57,96
6144,note_off,,,,,1024,0,2,,,,1,60,0
6144,note_on,,,,,0,0,4,,,,3,50,96
6144,note_off,,,,,512,0,3,,,,2,55,0
6144,note_on,,,,,0,0,2,,,,1,62,96
6144,note_on,,,,,0,0,1,,,,0,65,96
6144,note_off,,,,,512,0,1,,,,0,67,0
6656,note_on,,,,,0,0,2,,,,1,64,96
6656,note_off,,,,,512,0,3,,,,2,57,0
6656,note_off,,,,,512,0,2,,,,1,62,0
6656,note_on,,,,,0,0,3,,,,2,58,96
6656,note_on,,,,,0,0,5,,,,4,79,96
6656,note_off,,,,,1536,0,5,,,,4,81,0
7168,note_off,,,,,1024,0,4,,,,3,50,0
7168,note_on,,,,,0,0,4,,,,3,45,96
7168,note_off,,,,,512,0,3,,,,2,58,0
7168,note_on,,,,,0,0,3,,,,2,60,96
7168,note_off,,,,,1024,0,1,,,,0,65,0
7168,note_on,,,,,0,0,1,,,,0,72,96
7168,note_on,,,,,0,0,5,,,,4,77,96
7168,note_on,,,,,0,0,2,,,,1,65,96
7168,note_off,,,,,512,0,2,,,,1,64,0
7168,note_off,,,,,512,0,5,,,,4,79,0
7680,note_off,,,,,512,0,5,,,,4,77,0
7680,note_on,,,,,0,0,5,,,,4,75,96
8192,note_off,,,,,1024,0,3,,,,2,60,0
8192,note_on,,,,,0,0,5,,,,4,74,96
8192,note_on,,,,,0,0,1,,,,0,74,96
8192,note_off,,,,,1024,0,1,,,,0,72,0
8192,note_on,,,,,0,0,2,,,,1,65,96
8192,note_off,,,,,1024,0,2,,,,1,65,0
8192,note_on,,,,,0,0,3,,,,2,60,96
8192,note_off,,,,,512,0,5,,,,4,75,0
8192,note_on,,,,,0,0,4,,,,3,46,96
8192,note_off,,,,,1024,0,4,,,,3,45,0
8704,note_on,,,,,0,0,4,,,,3,48,96
8704,note_off,,,,,512,0,5,,,,4,74,0
8704,note_on,,,,,0,0,5,,,,4,76,96
8704,note_on,,,,,0,0,3,,,,2,58,96
8704,note_off,,,,,512,0,3,,,,2,60,0
8704,note_off,,,,,512,0,4,,,,3,46,0
8960,note_on,,,,,0,0,3,,,,2,57,96
8960,note_off,,,,,256,0,3,,,,2,58,0
9216,note_on,,,,,0,0,1,,,,0,74,96
9216,note_on,,,,,0,0,3,,,,2,58,96
9216,note_off,,,,,256,0,3,,,,2,57,0
9216,note_on,,,,,0,0,4,,,,3,50,96
9216,note_off,,,,,1024,0,2,,,,1,65,0
9216,note_on,,,,,0,0,2,,,,1,65,96
9216,note_on,,,,,0,0,5,,,,4,77,96
9216,note_off,,,,,1024,0,1,,,,0,74,0
9216,note_off,,,,,512,0,4,,,,3,48,0
9216,note_off,,,,,512,0,5,,,,4,76,0
9728,note_on,,,,,0,0,3,,,,2,58,96
9728,note_off,,,,,512,0,3,,,,2,58,0
9728,note_off,,,,,512,0,5,,,,4,77,0
9728,note_on,,,,,0,0,4,,,,3,52,96
9728,note_off,,,,,512,0,4,,,,3,50,0
9728,note_on,,,,,0,0,5,,,,4,79,96
10240,note_on,,,,,0,0,3,,,,2,57,96
10240,note_off,,,,,512,0,3,,,,2,58,0
10240,note_on,,,,,0,0,2,,,,1,65,96
10240,note_off,,,,,512,0,4,,,,3,52,0
10240,note_on,,,,,0,0,1,,,,0,72,96
10240,note_off,,,,,1024,0,2,,,,1,65,0
10240,note_off,,,,,512,0,5,,,,4,79,0
10240,note_on,,,,,0,0,5,,,,4,81,96
10240,note_on,,,,,0,0,4,,,,3,53,96
10240,note_off,,,,,1024,0,1,,,,0,74,0
11264,note_on,,,,,1024,0,2,,,,1,67,96
11264,note_on,,,,,1024,0,5,,,,4,79,96
11264,note_on,,,,,1024,0,3,,,,2,60,96
11264,note_on,,,,,1024,0,4,,,,3,52,96
11264,note_on,,,,,1024,0,1,,,,0,72,96
11469,note_off,,,,,205,0,3,,,,2,57,0
11469,note_off,,,,,205,0,5,,,,4,81,0
11469,note_off,,,,,205,0,4,,,,3,53,0
11469,note_off,,,,,205,0,1,,,,0,72,0
11469,note_off,,,,,205,0,2,,,,1,65,0
12288,note_off,,,,,819,0,5,,,,4,79,0
12288,note_on,,,,,0,0,5,,,,4,77,96
12288,note_off,,,,,819,0,1,,,,0,72,0
12288,note_off,,,,,819,0,2,,,,1,67,0
12288,note_on,,,,,0,0,2,,,,1,69,96
12288,note_on,,,,,0,0,3,,,,2,60,96
12288,note_on,,,,,0,0,4,,,,3,53,96
12288,note_off,,,,,819,0,4,,,,3,52,0
12288,note_off,,,,,819,0,3,,,,2,60,0
12288,note_on,,,,,0,0,1,,,,0,74,96
13312,note_on,,,,,0,0,2,,,,1,67,96
13312,note_off,,,,,1024,0,2,,,,1,69,0
13312,note_off,,,,,1024,0,1,,,,0,74,0
13312,note_on,,,,,0,0,1,,,,0,76,96
13312,note_on,,,,,0,0,4,,,,3,55,96
13312,note_off,,,,,1024,0,4,,,,3,53,0
13312,note_on,,,,,0,0,5,,,,4,76,96
13312,note_off,,,,,1024,0,5,,,,4,77,0
13312,note_on,,,,,0,0,3,,,,2,59,96
13312,note_off,,,,,1024,0,3,,,,2,60,0
14336,note_off,,,,,1024,0,3,,,,2,59,0
14336,note_on,,,,,0,0,2,,,,1,65,96
14336,note_on,,,,,0,0,3,,,,2,60,96
14336,note_off,,,,,1024,0,1,,,,0,76,0
14336,note_off,,,,,1024,0,4,,,,3,55,0
14336,note_on,,,,,0,0,4,,,,3,57,96
14336,note_off,,,,,1024,0,2,,,,1,67,0
14336,note_on,,,,,0,0,1,,,,0,77,96
14848,note_on,,,,,0,0,4,,,,3,59,96
14848,note_on,,,,,0,0,5,,,,4,74,96
14848,note_off,,,,,512,0,2,,,,1,65,0
14848,note_on,,,,,0,0,2,,,,1,67,96
14848,note_off,,,,,512,0,3,,,,2,60,0
14848,note_off,,,,,512,0,4,,,,3,57,0
14848,note_off,,,,,1536,0,5,,,,4,76,0
14848,note_on,,,,,0,0,3,,,,2,62,96
15360,note_on,,,,,0,0,2,,,,1,67,96
15360,note_off,,,,,512,0,4,,,,3,59,0
15360,note_off,,,,,1024,0,1,,,,0,77,0
15360,note_on,,,,,0,0,4,,,,3,60,96
15360,note_off,,,,,512,0,2,,,,1,67,0
15360,note_on,,,,,0,0,1,,,,0,76,96
15360,note_on,,,,,0,0,3,,,,2,64,96
15360,note_off,,,,,512,0,3,,,,2,62,0
15872,note_on,,,,,0,0,3,,,,2,55,96
15872,note_off,,,,,512,0,4,,,,3,60,0
15872,note_on,,,,,0,0,4,,,,3,52,96
15872,note_off,,,,,1024,0,5,,,,4,74,0
15872,note_on,,,,,0,0,5,,,,4,72,96
15872,note_off,,,,,512,0,3,,,,2,64,0
16384,note_off,,,,,512,0,4,,,,3,52,0
16384,note_on,,,,,0,0,4,,,,3,53,96
16384,note_on,,,,,0,0,3,,,,2,57,96
16384,note_off,,,,,512,0,3,,,,2,55,0
16384,note_on,,,,,0,0,2,,,,1,65,96
16384,note_off,,,,,1024,0,2,,,,1,67,0
16384,note_off,,,,,1024,0,1,,,,0,76,0
16384,note_on,,,,,0,0,1,,,,0,74,96
16384,note_on,,,,,0,0,5,,,,4,81,96
16384,note_off,,,,,512,0,5,,,,4,72,0
16896,note_on,,,,,0,0,5,,,,4,77,96
16896,note_off,,,,,512,0,3,,,,2,57,0
16896,note_on,,,,,0,0,3,,,,2,62,96
16896,note_off,,,,,512,0,5,,,,4,81,0
16896,note_off,,,,,512,0,4,,,,3,53,0
16896,note_on,,,,,0,0,4,,,,3,50,96
17408,note_off,,,,,512,0,3,,,,2,62,0
17408,note_on,,,,,0,0,3,,,,2,59,96
17408,note_on,,,,,0,0,4,,,,3,55,96
17408,note_on,,,,,0,0,1,,,,0,74,96
17408,note_on,,,,,0,0,2,,,,1,65,96
17408,note_off,,,,,1024,0,2,,,,1,65,0
17408,note_off,,,,,512,0,5,,,,4,77,0
17408,note_on,,,,,0,0,5,,,,4,74,96
17408,note_off,,,,,1024,0,1,,,,0,74,0
17408,note_off,,,,,512,0,4,,,,3,50,0
17920,note_off,,,,,512,0,5,,,,4,74,0
17920,note_on,,,,,0,0,5,,,,4,79,96
18432,note_off,,,,,1024,0,1,,,,0,74,0
18432,note_off,,,,,1024,0,4,,,,3,55,0
18432,note_on,,,,,0,0,4,,,,3,48,96
18432,note_off,,,,,1024,0,3,,,,2,59,0
18432,note_on,,,,,0,0,1,,,,0,72,96
18432,note_on,,,,,0,0,3,,,,2,60,96
18432,note_on,,,,,0,0,2,,,,1,64,96
18432,note_off,,,,,1024,0,2,,,,1,65,0
18944,note_on,,,,,0,0,5,,,,4,76,96
18944,note_off,,,,,1024,0,5,,,,4,79,0
19456,note_on,,,,,1024,0,3,,,,2,60,96
19456,note_off,,,,,512,0,5,,,,4,76,0
19456,note_on,,,,,0,0,5,,,,4,72,96
19456,note_on,,,,,1024,0,1,,,,0,69,96
19456,note_on,,,,,1024,0,4,,,,3,53,96
19456,note_on,,,,,1024,0,2,,,,1,65,96
19661,note_off,,,,,205,0,1,,,,0,72,0
19661,note_off,,,,,205,0,4,,,,3,48,0
19661,note_off,,,,,205,0,3,,,,2,60,0
19661,note_off,,,,,205,0,2,,,,1,64,0
19968,note_off,,,,,512,0,5,,,,4,72,0
19968,note_on,,,,,0,0,5,,,,4,77,96
20480,note_on,,,,,0,0,3,,,,2,58,96
20480,note_off,,,,,819,0,2,,,,1,65,0
20480,note_off,,,,,819,0,1,,,,0,69,0
20480,note_off,,,,,819,0,3,,,,2,60,0
20480,note_on,,,,,0,0,2,,,,1,65,96
20480,note_on,,,,,0,0,1,,,,0,74,96
20480,note_on,,,,,0,0,4,,,,3,46,96
20480,note_off,,,,,819,0,4,,,,3,53,0
20992,note_on,,,,,0,0,3,,,,2,57,96
20992,note_off,,,,,1024,0,5,,,,4,77,0
20992,note_off,,,,,512,0,3,,,,2,58,0
20992,note_on,,,,,0,0,5,,,,4,79,96
21504,note_off,,,,,512,0,3,,,,2,57,0
21504,note_on,,,,,0,0,2,,,,1,64,96
21504,note_on,,,,,0,0,3,,,,2,55,96
21504,note_off,,,,,1024,0,2,,,,1,65,0
21504,note_off,,,,,1024,0,1,,,,0,74,0
21504,note_off,,,,,1024,0,4,,,,3,46,0
21504,note_on,,,,,0,0,4,,,,3,48,96
21504,note_on,,,,,0,0,1,,,,0,72,96
22016,note_on,,,,,0,0,5,,,,4,81,96
22016,note_off,,,,,1024,0,5,,,,4,79,0
22528,note_on,,,,,0,0,1,,,,0,70,96
22528,note_on,,,,,0,0,2,,,,1,65,96
22528,note_off,,,,,1024,0,2,,,,1,64,0
22528,note_off,,,,,1024,0,3,,,,2,55,0
22528,note_off,,,,,1024,0,4,,,,3,48,0
22528,note_on,,,,,0,0,4,,,,3,50,96
22528,note_on,,,,,0,0,5,,,,4,70,96
22528,note_off,,,,,512,0,5,,,,4,81,0
22528,note_off,,,,,1024,0,1,,,,0,72,0
22528,note_on,,,,,0,0,3,,,,2,62,96
23040,note_on,,,,,0,0,3,,,,2,60,96
23040,note_off,,,,,512,0,3,,,,2,62,0
23040,note_off,,,,,512,0,4,,,,3,50,0
23040,note_on,,,,,0,0,4,,,,3,52,96
23040,note_on,,,,,0,0,2,,,,1,67,96
23040,note_off,,,,,512,0,5,,,,4,70,0
23040,note_on,,,,,0,0,5,,,,4,72,96
23040,note_off,,,,,512,0,2,,,,1,65,0
23552,note_on,,,,,0,0,4,,,,3,53,96
23552,note_on,,,,,0,0,1,,,,0,69,96
23552,note_off,,,,,512,0,3,,,,2,60,0
23552,note_off,,,,,512,0,4,,,,3,52,0
23552,note_on,,,,,0,0,2,,,,1,65,96
23552,note_on,,,,,0,0,3,,,,2,60,96
23552,note_off,,,,,512,0,2,,,,1,67,0
23552,note_off,,,,,1024,0,1,,,,0,70,0
24064,note_on,,,,,0,0,5,,,,4,74,96
24064,note_on,,,,,0,0,4,,,,3,46,96
24064,note_off,,,,,512,0,4,,,,3,53,0
24064,note_off,,,,,1024,0,5,,,,4,72,0
24576,note_off,,,,,1024,0,1,,,,0,69,0
24576,note_on,,,,,0,0,1,,,,0,67,96
24576,note_on,,,,,0,0,4,,,,3,48,96
24576,note_on,,,,,0,0,2,,,,1,65,96
24576,note_off,,,,,1024,0,2,,,,1,65,0
24576,note_off,,,,,1024,0,3,,,,2,60,0
24576,note_on,,,,,0,0,3,,,,2,60,96
24576,note_off,,,,,512,0,4,,,,3,46,0
24576,note_on,,,,,0,0,5,,,,4,67,96
24576,note_off,,,,,512,0,5,,,,4,74,0
25088,note_off,,,,,512,0,5,,,,4,67,0
25088,note_on,,,,,0,0,5,,,,4,69,96
25600,note_off,,,,,1024,0,2,,,,1,65,0
25600,note_on,,,,,0,0,2,,,,1,64,96
25600,note_off,,,,,512,0,5,,,,4,69,0
25600,note_on,,,,,0,0,5,,,,4,70,96
26112,note_on,,,,,0,0,5,,,,4,72,96
26112,note_off,,,,,512,0,5,,,,4,70,0
26624,note_on,,,,,0,0,1,,,,0,65,96
26624,note_off,,,,,2048,0,1,,,,0,67,0
26624,note_on,,,,,0,0,3,,,,2,60,96
26624,note_off,,,,,2048,0,3,,,,2,60,0
26624,note_off,,,,,2048,0,4,,,,3,48,0
26624,note_on,,,,,0,0,4,,,,3,41,96
26624,note_on,,,,,0,0,5,,,,4,69,96
26624,note_off,,,,,512,0,5,,,,4,72,0
26624,note_off,,,,,1024,0,2,,,,1,64,0
26624,note_on,,,,,0,0,2,,,,1,65,96
27648,note_on,,,,,1024,0,1,,,,0,65,96
27648,note_on,,,,,1024,0,4,,,,3,53,96
27648,note_on,,,,,1024,0,3,,,,2,57,96
27648,note_on,,,,,1024,0,5,,,,4,77,96
27648,note_on,,,,,1024,0,2,,,,1,60,96
27853,note_off,,,,,205,0,4,,,,3,41,0
27853,note_off,,,,,205,0,1,,,,0,65,0
27853,note_off,,,,,205,0,3,,,,2,60,0
27853,note_off,,,,,205,0,5,,,,4,69,0
28058,note_off,,,,,410,0,2,,,,1,65,0
28672,note_on,,,,,0,0,3,,,,2,55,96
28672,note_off,,,,,819,0,3,,,,2,57,0
28672,note_on,,,,,0,0,2,,,,1,60,96
28672,note_on,,,,,0,0,4,,,,3,52,96
28672,note_on,,,,,0,0,5,,,,4,79,96
28672,note_off,,,,,819,0,5,,,,4,77,0
28672,note_off,,,,,614,0,2,,,,1,60,0
28672,note_on,,,,,0,0,1,,,,0,72,96
28672,note_off,,,,,819,0,1,,,,0,65,0
28672,note_off,,,,,819,0,4,,,,3,53,0
29184,note_off,,,,,512,0,1,,,,0,72,0
29184,note_on,,,,,0,0,1,,,,0,70,96
29696,note_on,,,,,0,0,2,,,,1,60,96
29696,note_on,,,,,0,0,3,,,,2,53,96
29696,note_on,,,,,0,0,5,,,,4,81,96
29696,note_off,,,,,1024,0,5,,,,4,79,0
29696,note_off,,,,,1024,0,4,,,,3,52,0
29696,note_on,,,,,0,0,4,,,,3,53,96
29696,note_on,,,,,0,0,1,,,,0,69,96
29696,note_off,,,,,1024,0,3,,,,2,55,0
29696,note_off,,,,,512,0,1,,,,0,70,0
29696,note_off,,,,,1024,0,2,,,,1,60,0
30208,note_on,,,,,0,0,1,,,,0,67,96
30208,note_off,,,,,512,0,1,,,,0,69,0
30208,note_on,,,,,0,0,3,,,,2,55,96
30208,note_off,,,,,512,0,3,,,,2,53,0
30208,note_on,,,,,0,0,4,,,,3,52,96
30208,note_off,,,,,512,0,4,,,,3,53,0
30720,note_on,,,,,0,0,3,,,,2,57,96
30720,note_off,,,,,512,0,3,,,,2,55,0
30720,note_on,,,,,0,0,2,,,,1,62,96
30720,note_off,,,,,512,0,1,,,,0,67,0
30720,note_on,,,,,0,0,4,,,,3,50,96
30720,note_off,,,,,512,0,4,,,,3,52,0
30720,note_on,,,,,0,0,1,,,,0,65,96
30720,note_off,,,,,1024,0,2,,,,1,60,0
31232,note_on,,,,,0,0,5,,,,4,79,96
31232,note_off,,,,,1536,0,5,,,,4,81,0
31232,note_off,,,,,512,0,3,,,,2,57,0
31232,note_on,,,,,0,0,3,,,,2,58,96
31232,note_off,,,,,512,0,2,,,,1,62,0
31232,note_on,,,,,0,0,2,,,,1,64,96
31744,note_off,,,,,512,0,2,,,,1,64,0
31744,note_off,,,,,512,0,3,,,,2,58,0
31744,note_on,,,,,0,0,3,,,,2,60,96
31744,note_on,,,,,0,0,1,,,,0,72,96
31744,note_on,,,,,0,0,5,,,,4,77,96
31744,note_off,,,,,512,0,5,,,,4,79,0
31744,note_off,,,,,1024,0,1,,,,0,65,0
31744,note_on,,,,,0,0,4,,,,3,45,96
31744,note_on,,,,,0,0,2,,,,1,65,96
31744,note_off,,,,,1024,0,4,,,,3,50,0
32256,note_off,,,,,512,0,5,,,,4,77,0
32256,note_on,,,,,0,0,5,,,,4,75,96
32768,note_off,,,,,1024,0,4,,,,3,45,0
32768,note_off,,,,,512,0,5,,,,4,75,0
32768,note_on,,,,,0,0,5,,,,4,74,96
32768,note_off,,,,,1024,0,1,,,,0,72,0
32768,note_on,,,,,0,0,1,,,,0,74,96
32768,note_off,,,,,1024,0,2,,,,1,65,0
32768,note_on,,,,,0,0,2,,,,1,65,96
32768,note_off,,,,,1024,0,3,,,,2,60,0
32768,note_on,,,,,0,0,4,,,,3,46,96
32768,note_on,,,,,0,0,3,,,,2,60,96
33280,note_off,,,,,512,0,3,,,,2,60,0
33280,note_on,,,,,0,0,4,,,,3,48,96
33280,note_off,,,,,512,0,4,,,,3,46,0
33280,note_on,,,,,0,0,5,,,,4,76,96
33280,note_off,,,,,512,0,5,,,,4,74,0
33280,note_on,,,,,0,0,3,,,,2,58,96
33536,note_off,,,,,256,0,3,,,,2,58,0
33536,note_on,,,,,0,0,3,,,,2,57,96
33792,note_on,,,,,0,0,3,,,,2,58,96
33792,note_on,,,,,0,0,4,,,,3,50,96
33792,note_off,,,,,512,0,4,,,,3,48,0
33792,note_off,,,,,256,0,3,,,,2,57,0
33792,note_off,,,,,512,0,5,,,,4,76,0
33792,note_off,,,,,1024,0,2,,,,1,65,0
33792,note_on,,,,,0,0,2,,,,1,65,96
33792,note_on,,,,,0,0,1,,,,0,74,96
33792,note_off,,,,,1024,0,1,,,,0,74,0
33792,note_on,,,,,0,0,5,,,,4,77,96
34304,note_on,,,,,0,0,5,,,,4,79,96
34304,note_off,,,,,512,0,5,,,,4,77,0
34304,note_on,,,,,0,0,3,,,,2,58,96
34304,note_on,,,,,0,0,4,,,,3,52,96
34304,note_off,,,,,512,0,3,,,,2,58,0
34304,note_off,,,,,512,0,4,,,,3,50,0
34816,note_on,,,,,0,0,3,,,,2,57,96
34816,note_off,,,,,512,0,3,,,,2,58,0
