,note,step,duration,channel,velocity
0,67.0,0,1024,1.0,96.0
1,48.0,0,1024,4.0,96.0
2,72.0,0,1024,0.0,96.0
3,64.0,0,1024,2.0,96.0
4,48.0,0,1024,3.0,96.0
5,64.0,0,1024,5.0,96.0
6,67.0,0,512,1.0,96.0
7,65.0,512,512,1.0,96.0
8,55.0,0,1024,3.0,96.0
9,71.0,0,1024,0.0,96.0
10,55.0,0,1024,4.0,96.0
11,62.0,0,1536,2.0,96.0
12,62.0,1024,1536,5.0,96.0
13,57.0,0,1024,4.0,96.0
14,60.0,0,512,5.0,96.0
15,60.0,512,512,2.0,96.0
16,64.0,512,1024,1.0,96.0
17,57.0,0,1024,3.0,96.0
18,69.0,0,1024,0.0,96.0
19,71.0,0,512,0.0,96.0
20,51.0,0,1024,4.0,96.0
21,51.0,0,1024,3.0,96.0
22,59.0,0,1024,2.0,96.0
23,66.0,0,1024,1.0,96.0
24,69.0,512,512,0.0,96.0
25,59.0,512,1024,5.0,96.0
26,60.0,0,512,2.0,96.0
27,60.0,0,512,5.0,96.0
28,64.0,512,512,1.0,96.0
29,67.0,0,1024,0.0,96.0
30,59.0,0,512,2.0,96.0
31,62.0,0,512,1.0,96.0
32,59.0,512,512,5.0,96.0
33,52.0,0,1024,3.0,96.0
34,52.0,0,1024,4.0,96.0
35,53.0,0,512,4.0,96.0
36,57.0,512,512,2.0,96.0
37,53.0,0,512,3.0,96.0
38,57.0,0,512,5.0,96.0
39,69.0,0,1024,0.0,96.0
40,55.0,0,512,2.0,96.0
41,55.0,0,512,5.0,96.0
42,52.0,0,512,3.0,96.0
43,52.0,512,512,4.0,96.0
44,60.0,0,1024,1.0,96.0
45,62.0,0,1024,1.0,96.0
46,71.0,0,1024,0.0,96.0
47,50.0,512,1024,3.0,96.0
48,53.0,0,1024,2.0,96.0
49,50.0,0,1024,4.0,96.0
50,53.0,0,1024,5.0,96.0
51,55.0,0,1024,5.0,96.0
52,72.0,0,1024,0.0,96.0
53,48.0,0,1024,4.0,96.0
54,48.0,1024,1024,3.0,96.0
55,64.0,0,1024,1.0,96.0
56,55.0,0,1024,2.0,96.0
57,45.0,0,512,3.0,96.0
58,45.0,0,512,4.0,96.0
59,47.0,512,512,3.0,96.0
60,47.0,0,512,4.0,96.0
61,57.0,0,1024,2.0,96.0
62,72.0,512,0,0.0,96.0
63,57.0,1024,1024,5.0,96.0
64,64.0,0,0,1.0,96.0
65,48.0,0,512,4.0,96.0
66,57.0,0,512,2.0,96.0
67,48.0,0,512,3.0,96.0
68,57.0,0,512,5.0,96.0
69,50.0,0,512,3.0,96.0
70,59.0,512,512,5.0,96.0
71,50.0,0,512,4.0,96.0
72,59.0,0,512,2.0,96.0
73,52.0,0,512,3.0,96.0
74,52.0,0,512,4.0,96.0
75,64.0,512,1024,1.0,96.0
76,53.0,512,512,4.0,96.0
77,60.0,0,1024,5.0,96.0
78,67.0,0,0,0.0,96.0
79,60.0,0,1024,2.0,96.0
80,53.0,0,512,3.0,96.0
81,59.0,0,512,2.0,96.0
82,55.0,0,512,4.0,96.0
83,55.0,0,512,3.0,96.0
84,59.0,0,512,5.0,96.0
85,57.0,0,512,5.0,96.0
86,57.0,0,512,3.0,96.0
87,57.0,0,512,4.0,96.0
88,57.0,512,512,2.0,96.0
89,62.0,512,1024,1.0,96.0
90,65.0,0,512,0.0,96.0
91,55.0,512,512,5.0,96.0
92,55.0,0,512,2.0,96.0
93,64.0,0,512,0.0,96.0
94,60.0,0,1024,1.0,96.0
95,65.0,0,512,0.0,96.0
96,58.0,0,1024,3.0,96.0
97,57.0,0,512,5.0,96.0
98,57.0,512,512,2.0,96.0
99,58.0,0,1024,4.0,96.0
100,67.0,0,1024,0.0,96.0
101,52.0,0,1024,3.0,96.0
102,60.0,512,1024,1.0,96.0
103,52.0,0,1024,4.0,96.0
104,58.0,0,1536,5.0,96.0
105,58.0,0,1536,2.0,96.0
106,57.0,512,512,5.0,96.0
107,57.0,0,512,2.0,96.0
108,60.0,0,1024,1.0,96.0
109,53.0,0,1024,3.0,96.0
110,65.0,1024,1024,0.0,96.0
111,53.0,0,1024,4.0,96.0
112,64.0,0,1024,0.0,96.0
113,55.0,512,1024,5.0,96.0
114,48.0,0,1024,4.0,96.0
115,55.0,0,1024,2.0,96.0
116,60.0,0,0,1.0,96.0
117,48.0,0,1024,3.0,96.0
118,60.0,0,512,5.0,96.0
119,57.0,0,512,3.0,96.0
120,60.0,0,512,2.0,96.0
121,57.0,1024,512,4.0,96.0
122,59.0,0,512,5.0,96.0
123,64.0,0,1024,0.0,96.0
124,59.0,0,512,2.0,96.0
125,55.0,512,512,3.0,96.0
126,55.0,0,512,4.0,96.0
127,60.0,0,0,1.0,96.0
128,57.0,512,512,5.0,96.0
129,53.0,0,512,3.0,96.0
130,53.0,0,512,4.0,96.0
131,57.0,0,512,2.0,96.0
132,52.0,512,512,3.0,96.0
133,55.0,0,512,2.0,96.0
134,52.0,0,512,4.0,96.0
135,69.0,0,1024,0.0,96.0
136,55.0,0,512,5.0,96.0
137,50.0,0,512,4.0,96.0
138,65.0,0,512,1.0,96.0
139,50.0,0,512,3.0,96.0
140,48.0,512,512,3.0,96.0
141,53.0,512,1024,5.0,96.0
142,64.0,0,512,1.0,96.0
143,69.0,0,1024,0.0,96.0
144,48.0,0,512,4.0,96.0
145,53.0,0,0,2.0,96.0
146,47.0,0,512,4.0,96.0
147,62.0,0,512,1.0,96.0
148,67.0,0,512,0.0,96.0
149,47.0,512,512,3.0,96.0
150,55.0,0,1024,5.0,96.0
151,69.0,0,512,0.0,96.0
152,45.0,0,512,3.0,96.0
153,60.0,0,512,1.0,96.0
154,45.0,512,512,4.0,96.0
155,55.0,0,512,2.0,96.0
156,53.0,512,512,2.0,96.0
157,43.0,0,1024,3.0,96.0
158,71.0,0,1024,0.0,96.0
159,59.0,512,1024,1.0,96.0
160,62.0,0,1024,5.0,96.0
161,43.0,0,1024,4.0,96.0
162,72.0,0,512,0.0,96.0
163,52.0,512,512,2.0,96.0
164,57.0,0,512,1.0,96.0
165,48.0,0,512,2.0,96.0
166,64.0,512,512,1.0,96.0
167,71.0,0,512,0.0,96.0
168,60.0,512,0,5.0,96.0
169,45.0,0,1536,3.0,96.0
170,45.0,0,1536,4.0,96.0
171,60.0,0,1024,2.0,96.0
172,47.0,512,512,4.0,96.0
173,65.0,0,1024,1.0,96.0
174,47.0,0,512,3.0,96.0
175,60.0,0,0,5.0,96.0
176,69.0,0,1024,0.0,96.0
177,67.0,0,1024,0.0,96.0
178,64.0,512,1024,1.0,96.0
179,60.0,0,1024,2.0,96.0
180,48.0,0,0,3.0,96.0
181,48.0,1024,0,4.0,96.0
182,50.0,512,512,3.0,96.0
183,69.0,512,0,1.0,96.0
184,64.0,0,0,5.0,96.0
185,72.0,0,1024,0.0,96.0
186,64.0,0,1024,2.0,96.0
187,50.0,0,512,4.0,96.0
188,64.0,0,512,2.0,96.0
189,67.0,0,512,1.0,96.0
190,59.0,0,512,2.0,96.0
191,59.0,512,512,5.0,96.0
192,71.0,0,1024,0.0,96.0
193,52.0,0,1536,4.0,96.0
194,52.0,0,1536,3.0,96.0
195,65.0,0,1024,1.0,96.0
196,69.0,0,1024,0.0,96.0
197,60.0,512,1024,2.0,96.0
198,60.0,0,1024,5.0,96.0
199,50.0,0,1024,3.0,96.0
200,50.0,512,1024,4.0,96.0
201,59.0,0,1024,2.0,96.0
202,67.0,512,1024,0.0,96.0
203,59.0,0,1024,5.0,96.0
204,69.0,0,512,0.0,96.0
205,57.0,512,512,2.0,96.0
206,48.0,512,1024,3.0,96.0
207,57.0,0,512,5.0,96.0
208,48.0,0,1024,4.0,96.0
209,64.0,0,1536,1.0,96.0
210,59.0,0,512,5.0,96.0
211,67.0,512,512,0.0,96.0
212,62.0,0,512,1.0,96.0
213,59.0,0,512,2.0,96.0
214,47.0,0,512,3.0,96.0
215,47.0,0,512,4.0,96.0
216,45.0,0,256,3.0,96.0
217,47.0,256,256,3.0,96.0
218,60.0,0,512,2.0,96.0
219,45.0,512,512,4.0,96.0
220,65.0,0,512,0.0,96.0
221,43.0,0,256,4.0,96.0
222,60.0,0,1024,5.0,96.0
223,48.0,0,512,3.0,96.0
224,64.0,0,512,0.0,96.0
225,57.0,256,512,2.0,96.0
226,41.0,256,256,4.0,96.0
227,55.0,0,512,3.0,96.0
228,50.0,0,512,2.0,96.0
229,67.0,256,512,5.0,96.0
230,60.0,0,1536,1.0,96.0
