tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,
0,key_signature,0,1,0,,,,,F,,,,,,,
0,set_tempo,0,1,0,,,,,,857143,,,,,,
0,control_change,0,0,0,,,,,,,0,0,0,,,
0,control_change,0,0,0,,,,,,,32,0,0,,,
0,program_change,0,0,0,,,,,,,,,0,6,,
0,control_change,0,0,0,,,,,,,7,110,0,,,
0,control_change,0,0,0,,,,,,,10,32,0,,,
0,note_on,0,0,0,,,,,,,,,0,,77,100
0,control_change,0,0,0,,,,,,,0,0,0,,,
0,control_change,0,0,0,,,,,,,7,110,0,,,
0,control_change,0,0,0,,,,,,,10,32,0,,,
0,control_change,0,0,0,,,,,,,0,8,0,,,
0,control_change,0,0,0,,,,,,,7,110,0,,,
0,control_change,0,0,0,,,,,,,10,32,0,,,
0,control_change,0,0,0,,,,,,,0,8,0,,,
0,control_change,0,0,0,,,,,,,7,110,0,,,
0,control_change,0,0,0,,,,,,,10,32,0,,,
0,control_change,0,0,0,,,,,,,32,0,0,,,
0,control_change,0,0,0,,,,,,,32,0,0,,,
0,control_change,0,0,0,,,,,,,0,8,0,,,
0,control_change,0,0,0,,,,,,,0,8,0,,,
0,control_change,0,0,0,,,,,,,0,8,0,,,
0,control_change,0,0,0,,,,,,,32,0,0,,,
0,control_change,0,0,0,,,,,,,32,0,0,,,
0,control_change,0,0,0,,,,,,,32,0,0,,,
0,control_change,0,0,0,,,,,,,0,8,0,,,
0,control_change,0,0,0,,,,,,,0,8,0,,,
0,control_change,0,0,0,,,,,,,0,8,0,,,
0,control_change,0,0,0,,,,,,,0,0,1,,,
0,program_change,0,0,0,,,,,,,,,1,6,,
0,control_change,0,0,0,,,,,,,7,105,1,,,
0,control_change,0,0,0,,,,,,,7,105,1,,,
0,control_change,0,0,0,,,,,,,10,95,1,,,
0,note_on,0,0,0,,,,,,,,,1,,57,100
0,note_on,0,0,0,,,,,,,,,1,,53,100
0,control_change,0,0,0,,,,,,,0,0,1,,,
0,control_change,0,0,0,,,,,,,7,105,1,,,
0,control_change,0,0,0,,,,,,,10,95,1,,,
0,control_change,0,0,0,,,,,,,0,8,1,,,
0,control_change,0,0,0,,,,,,,7,105,1,,,
0,control_change,0,0,0,,,,,,,10,95,1,,,
0,control_change,0,0,0,,,,,,,0,8,1,,,
0,control_change,0,0,0,,,,,,,7,105,1,,,
0,control_change,0,0,0,,,,,,,10,95,1,,,
0,control_change,0,0,0,,,,,,,32,0,1,,,
0,control_change,0,0,0,,,,,,,32,0,1,,,
0,control_change,0,0,0,,,,,,,0,8,1,,,
0,control_change,0,0,0,,,,,,,0,8,1,,,
0,control_change,0,0,0,,,,,,,0,8,1,,,
0,control_change,0,0,0,,,,,,,32,0,1,,,
0,control_change,0,0,0,,,,,,,0,8,1,,,
0,control_change,0,0,0,,,,,,,32,0,1,,,
0,control_change,0,0,0,,,,,,,0,8,1,,,
