,note,step,duration,channel,velocity
0,57.0,0,512,2.0,95.0
1,69.0,0,2048,0.0,95.0
2,61.0,1024,1024,1.0,95.0
3,55.0,512,512,2.0,95.0
4,62.0,0,512,1.0,95.0
5,64.0,512,512,1.0,95.0
6,65.0,0,512,1.0,95.0
7,50.0,512,512,3.0,95.0
8,48.0,0,512,3.0,95.0
9,53.0,0,2048,2.0,95.0
10,72.0,512,2048,0.0,95.0
11,64.0,512,512,1.0,95.0
12,67.0,0,512,0.0,95.0
13,65.0,512,512,0.0,95.0
14,47.0,0,1024,3.0,95.0
15,48.0,0,512,3.0,95.0
16,46.0,512,512,3.0,95.0
17,62.0,512,2048,1.0,95.0
18,55.0,0,2560,2.0,95.0
19,64.0,512,2048,0.0,95.0
20,48.0,512,512,2.0,95.0
21,53.0,0,512,2.0,95.0
22,69.0,512,1024,0.0,95.0
23,52.0,512,512,2.0,95.0
24,60.0,0,2048,1.0,95.0
25,45.0,512,2048,3.0,95.0
26,67.0,512,1024,0.0,95.0
27,50.0,0,1024,2.0,95.0
28,47.0,0,1024,3.0,95.0
29,62.0,512,512,1.0,95.0
30,64.0,512,1024,0.0,95.0
31,49.0,0,1024,3.0,95.0
32,57.0,0,1536,2.0,95.0
33,64.0,0,1536,1.0,95.0
34,55.0,512,512,2.0,95.0
35,57.0,0,512,1.0,95.0
36,53.0,0,1024,2.0,95.0
37,50.0,1024,2048,3.0,95.0
38,65.0,0,2048,0.0,95.0
39,62.0,512,1536,1.0,95.0
40,60.0,512,512,1.0,95.0
41,52.0,1024,1024,2.0,95.0
42,58.0,0,512,1.0,95.0
43,54.0,512,1024,2.0,95.0
44,57.0,512,512,1.0,95.0
45,55.0,512,512,2.0,95.0
46,58.0,0,512,1.0,95.0
47,57.0,512,512,2.0,95.0
48,60.0,0,512,1.0,95.0
49,62.0,512,512,1.0,95.0
50,59.0,0,512,2.0,95.0
51,55.0,512,512,2.0,95.0
52,64.0,0,512,1.0,95.0
53,57.0,512,512,2.0,95.0
54,53.0,512,512,2.0,95.0
55,65.0,0,1536,1.0,95.0
56,62.0,512,512,1.0,95.0
57,58.0,512,1536,2.0,95.0
58,57.0,512,256,2.0,95.0
59,50.0,0,0,3.0,95.0
60,55.0,256,256,2.0,95.0
61,67.0,512,1536,1.0,95.0
62,65.0,512,256,1.0,95.0
63,64.0,256,256,1.0,95.0
64,57.0,256,1024,2.0,95.0
65,60.0,256,512,2.0,95.0
66,58.0,512,512,2.0,95.0
67,45.0,0,1024,3.0,95.0
68,57.0,512,512,2.0,95.0
69,65.0,0,1536,1.0,95.0
70,50.0,0,1024,3.0,95.0
71,67.0,512,512,1.0,95.0
72,58.0,0,1024,2.0,95.0
73,64.0,0,512,1.0,95.0
74,65.0,0,512,1.0,95.0
75,48.0,512,1024,3.0,95.0
76,62.0,512,512,1.0,95.0
77,57.0,512,1024,2.0,95.0
78,64.0,0,512,1.0,95.0
79,46.0,0,1024,3.0,95.0
80,55.0,512,1024,2.0,95.0
81,61.0,512,1024,1.0,95.0
82,57.0,512,512,2.0,95.0
83,53.0,0,512,2.0,95.0
84,52.0,512,256,2.0,95.0
85,50.0,256,256,2.0,95.0
86,45.0,0,2048,3.0,95.0
87,62.0,0,1536,1.0,95.0
88,69.0,512,2048,0.0,95.0
89,52.0,256,1024,2.0,95.0
90,60.0,512,1024,1.0,95.0
91,45.0,0,1536,3.0,95.0
92,65.0,512,1024,0.0,95.0
93,57.0,0,1024,2.0,95.0
94,47.0,0,512,3.0,95.0
95,55.0,0,512,2.0,95.0
96,53.0,512,512,2.0,95.0
97,62.0,512,1536,1.0,95.0
98,60.0,0,512,1.0,95.0
99,58.0,512,512,1.0,95.0
100,64.0,512,2048,0.0,95.0
101,48.0,0,2048,3.0,95.0
102,52.0,512,1536,2.0,95.0
103,57.0,0,1024,1.0,95.0
104,55.0,512,512,2.0,95.0
105,49.0,0,1024,3.0,95.0
106,50.0,512,512,3.0,95.0
107,53.0,0,512,2.0,95.0
108,69.0,512,2048,0.0,95.0
109,52.0,512,512,2.0,95.0
110,48.0,0,512,3.0,95.0
111,46.0,0,1024,3.0,95.0
112,62.0,512,512,1.0,95.0
113,67.0,512,1024,0.0,95.0
114,50.0,0,1024,2.0,95.0
115,60.0,0,512,1.0,95.0
116,64.0,0,1024,0.0,95.0
117,55.0,0,1024,2.0,95.0
118,48.0,512,1024,3.0,95.0
119,58.0,512,512,1.0,95.0
120,53.0,0,512,2.0,95.0
121,57.0,0,1024,1.0,95.0
122,52.0,512,512,2.0,95.0
123,41.0,0,1024,3.0,95.0
124,50.0,0,512,2.0,95.0
125,46.0,0,1024,3.0,95.0
126,65.0,512,2048,0.0,95.0
127,62.0,512,1024,1.0,95.0
128,55.0,512,1024,2.0,95.0
129,60.0,512,1024,1.0,95.0
130,45.0,0,1024,3.0,95.0
131,53.0,512,1024,2.0,95.0
132,43.0,0,1024,3.0,95.0
133,52.0,512,512,2.0,95.0
134,58.0,512,1024,1.0,95.0
135,57.0,0,512,1.0,95.0
136,53.0,512,1024,2.0,95.0
137,69.0,512,512,1.0,95.0
138,71.0,0,512,1.0,95.0
139,41.0,0,2048,3.0,95.0
140,69.0,512,512,1.0,95.0
141,67.0,0,512,1.0,95.0
142,69.0,512,256,1.0,95.0
143,67.0,256,256,1.0,95.0
144,50.0,512,2048,2.0,95.0
145,65.0,0,512,1.0,95.0
146,49.0,256,1024,2.0,95.0
147,40.0,512,2048,3.0,95.0
148,64.0,512,512,1.0,95.0
149,65.0,0,512,1.0,95.0
150,50.0,512,512,2.0,95.0
151,38.0,0,1024,3.0,95.0
152,64.0,512,512,1.0,95.0
153,52.0,0,512,2.0,95.0
154,53.0,0,512,2.0,95.0
155,55.0,512,512,2.0,95.0
156,62.0,512,1536,1.0,95.0
157,60.0,512,256,1.0,95.0
158,57.0,512,1024,2.0,95.0
159,59.0,256,256,1.0,95.0
160,53.0,0,512,2.0,95.0
161,60.0,256,1024,1.0,95.0
162,69.0,0,1024,0.0,95.0
163,52.0,512,512,2.0,95.0
164,65.0,512,512,1.0,95.0
165,71.0,512,1024,0.0,95.0
166,50.0,0,1024,2.0,95.0
167,64.0,512,512,1.0,95.0
168,73.0,0,1024,0.0,95.0
169,45.0,0,1024,3.0,95.0
170,67.0,512,512,1.0,95.0
171,57.0,0,1536,2.0,95.0
172,56.0,512,256,2.0,95.0
173,65.0,0,1024,1.0,95.0
174,54.0,256,256,2.0,95.0
175,62.0,256,512,1.0,95.0
176,74.0,0,2048,0.0,95.0
177,56.0,0,1024,2.0,95.0
178,65.0,512,512,1.0,95.0
179,47.0,512,2048,3.0,95.0
180,57.0,0,512,2.0,95.0
181,52.0,512,512,2.0,95.0
182,69.0,0,1024,0.0,95.0
183,48.0,0,1536,3.0,95.0
184,64.0,512,1536,1.0,95.0
185,67.0,0,512,1.0,95.0
186,72.0,0,1024,0.0,95.0
187,45.0,512,512,3.0,95.0
188,57.0,512,1536,2.0,95.0
189,59.0,512,256,2.0,95.0
190,65.0,512,1024,1.0,95.0
191,57.0,256,256,2.0,95.0
192,50.0,0,1024,3.0,95.0
193,64.0,0,512,1.0,95.0
194,52.0,0,1024,3.0,95.0
195,62.0,512,512,1.0,95.0
196,71.0,0,2048,0.0,95.0
197,56.0,256,1024,2.0,95.0
198,57.0,0,512,2.0,95.0
199,61.0,0,512,1.0,95.0
