,note,step,duration,channel,velocity
0,70.0,0,75,11.0,127.0
1,69.0,58,58,10.0,127.0
2,62.0,0,229,2.0,127.0
3,70.0,58,115,11.0,127.0
4,63.0,0,228,3.0,127.0
5,72.0,115,228,0.0,127.0
6,58.0,0,459,11.0,127.0
7,72.0,0,228,0.0,127.0
8,63.0,0,228,3.0,127.0
9,65.0,0,228,5.0,127.0
10,74.0,230,228,2.0,127.0
11,58.0,230,458,11.0,127.0
12,72.0,0,82,0.0,127.0
13,74.0,82,79,2.0,127.0
14,63.0,230,228,3.0,127.0
15,72.0,81,79,0.0,127.0
16,70.0,0,228,11.0,127.0
17,62.0,67,228,2.0,127.0
18,51.0,0,458,3.0,127.0
19,70.0,0,228,11.0,127.0
20,69.0,230,75,10.0,127.0
21,70.0,58,60,11.0,127.0
22,69.0,58,105,10.0,127.0
23,60.0,0,456,0.0,127.0
24,70.0,0,228,11.0,127.0
25,62.0,115,228,2.0,127.0
26,72.0,0,228,0.0,127.0
27,63.0,230,228,3.0,127.0
28,53.0,230,919,5.0,127.0
29,70.0,0,75,11.0,127.0
30,69.0,58,58,10.0,127.0
31,70.0,58,115,11.0,127.0
32,65.0,115,228,5.0,127.0
33,62.0,0,912,2.0,127.0
34,58.0,230,919,11.0,127.0
35,65.0,230,671,5.0,127.0
36,46.0,460,458,11.0,127.0
37,70.0,460,75,11.0,127.0
38,69.0,58,53,10.0,127.0
39,62.0,0,229,2.0,127.0
40,70.0,58,113,11.0,127.0
41,63.0,0,228,3.0,127.0
42,72.0,115,228,0.0,127.0
43,58.0,0,459,11.0,127.0
44,72.0,230,228,0.0,127.0
45,65.0,0,456,5.0,127.0
46,74.0,230,228,2.0,127.0
47,75.0,230,74,3.0,127.0
48,74.0,62,55,2.0,127.0
49,63.0,0,227,3.0,127.0
50,75.0,62,115,3.0,127.0
51,77.0,105,228,5.0,127.0
52,58.0,0,917,11.0,127.0
53,62.0,0,228,2.0,127.0
54,79.0,230,228,7.0,127.0
55,63.0,0,456,3.0,127.0
56,77.0,230,228,5.0,127.0
57,75.0,0,74,3.0,127.0
58,77.0,81,74,5.0,127.0
59,75.0,81,74,3.0,127.0
60,77.0,86,202,5.0,127.0
61,60.0,230,455,0.0,127.0
62,51.0,0,917,3.0,127.0
63,77.0,0,228,5.0,127.0
64,70.0,230,228,11.0,127.0
65,62.0,0,911,2.0,127.0
66,58.0,211,918,11.0,127.0
67,70.0,230,671,11.0,127.0
68,46.0,460,458,11.0,127.0
69,65.0,0,458,5.0,127.0
70,57.0,460,458,10.0,127.0
71,72.0,0,458,0.0,127.0
72,74.0,0,458,2.0,127.0
73,72.0,460,113,0.0,127.0
74,70.0,115,113,11.0,127.0
75,65.0,0,911,5.0,127.0
76,69.0,115,228,10.0,127.0
77,58.0,460,918,11.0,127.0
78,69.0,0,228,10.0,127.0
79,64.0,230,456,4.0,127.0
80,60.0,0,458,0.0,127.0
81,67.0,230,228,7.0,127.0
82,69.0,230,228,10.0,127.0
83,62.0,0,456,2.0,127.0
84,70.0,230,228,11.0,127.0
85,58.0,0,458,11.0,127.0
86,72.0,0,228,0.0,127.0
87,65.0,230,228,5.0,127.0
88,60.0,0,911,0.0,127.0
89,65.0,230,456,5.0,127.0
90,57.0,230,918,10.0,127.0
91,58.0,460,458,11.0,127.0
92,62.0,0,911,2.0,127.0
93,57.0,460,458,10.0,127.0
94,65.0,0,458,5.0,127.0
95,67.0,460,113,7.0,127.0
96,69.0,115,113,10.0,127.0
97,55.0,0,458,7.0,127.0
98,64.0,0,458,4.0,127.0
99,70.0,115,228,11.0,127.0
100,69.0,0,228,10.0,127.0
101,65.0,230,456,5.0,127.0
102,53.0,0,458,5.0,127.0
103,70.0,230,228,11.0,127.0
104,69.0,230,209,10.0,127.0
105,67.0,211,58,7.0,127.0
106,69.0,63,58,10.0,127.0
107,67.0,63,58,7.0,127.0
108,69.0,63,58,10.0,127.0
109,60.0,0,460,0.0,127.0
110,67.0,62,228,7.0,127.0
111,64.0,0,456,4.0,127.0
112,69.0,230,228,10.0,127.0
113,48.0,0,458,0.0,127.0
114,69.0,0,228,10.0,127.0
115,65.0,0,456,5.0,127.0
116,67.0,230,228,7.0,127.0
117,69.0,230,74,10.0,127.0
118,67.0,76,74,7.0,127.0
119,69.0,76,74,10.0,127.0
120,60.0,0,226,0.0,127.0
121,62.0,0,228,2.0,127.0
122,70.0,76,228,11.0,127.0
123,69.0,0,228,10.0,127.0
124,60.0,230,228,0.0,127.0
125,67.0,230,228,7.0,127.0
126,58.0,0,228,11.0,127.0
127,69.0,230,74,10.0,127.0
128,67.0,76,74,7.0,127.0
129,69.0,76,74,10.0,127.0
130,60.0,0,226,0.0,127.0
131,62.0,0,228,2.0,127.0
132,53.0,230,1834,5.0,127.0
133,70.0,76,228,11.0,127.0
134,45.0,0,458,10.0,127.0
135,69.0,0,458,10.0,127.0
136,60.0,230,458,0.0,127.0
137,69.0,0,58,10.0,127.0
138,67.0,58,58,7.0,127.0
139,69.0,58,58,10.0,127.0
140,58.0,0,229,11.0,127.0
141,67.0,58,57,7.0,127.0
142,65.0,55,228,5.0,127.0
143,57.0,2,228,10.0,127.0
144,46.0,460,459,11.0,127.0
145,65.0,230,228,5.0,127.0
146,64.0,230,60,4.0,127.0
147,65.0,58,62,5.0,127.0
148,48.0,0,458,0.0,127.0
149,55.0,0,458,7.0,127.0
150,64.0,67,112,4.0,127.0
151,57.0,0,228,10.0,127.0
152,65.0,105,228,5.0,127.0
153,58.0,0,228,11.0,127.0
154,67.0,230,228,7.0,127.0
155,36.0,0,458,0.0,127.0
156,65.0,0,228,5.0,127.0
157,60.0,230,228,0.0,127.0
158,57.0,0,911,10.0,127.0
159,41.0,230,918,5.0,127.0
160,60.0,230,671,0.0,127.0
161,53.0,460,228,5.0,127.0
162,52.0,230,228,4.0,127.0
163,65.0,230,75,5.0,127.0
164,64.0,58,58,4.0,127.0
165,57.0,0,229,10.0,127.0
166,65.0,58,115,5.0,127.0
167,50.0,0,459,2.0,127.0
168,58.0,0,228,11.0,127.0
169,67.0,115,228,7.0,127.0
170,67.0,0,228,7.0,127.0
171,60.0,230,456,0.0,127.0
172,69.0,230,228,10.0,127.0
173,45.0,0,458,10.0,127.0
174,67.0,0,74,7.0,127.0
175,69.0,76,74,10.0,127.0
176,67.0,76,74,7.0,127.0
177,58.0,0,226,11.0,127.0
178,46.0,230,456,11.0,127.0
179,57.0,0,228,10.0,127.0
180,65.0,76,228,5.0,127.0
181,65.0,0,151,5.0,127.0
182,64.0,153,74,4.0,127.0
183,65.0,76,74,5.0,127.0
184,55.0,230,454,7.0,127.0
185,64.0,76,365,4.0,127.0
186,57.0,154,228,10.0,127.0
187,58.0,0,228,11.0,127.0
188,65.0,230,228,5.0,127.0
189,48.0,0,917,0.0,127.0
190,65.0,230,1152,5.0,127.0
191,57.0,0,1152,10.0,127.0
192,41.0,0,1152,5.0,127.0
193,70.0,1382,113,11.0,127.0
194,69.0,115,113,10.0,127.0
195,65.0,0,458,5.0,127.0
196,67.0,0,228,7.0,127.0
197,70.0,115,228,11.0,127.0
198,65.0,0,458,5.0,127.0
199,72.0,0,458,0.0,127.0
200,77.0,460,228,5.0,127.0
201,69.0,230,911,10.0,127.0
202,75.0,230,228,3.0,127.0
203,62.0,0,458,2.0,127.0
204,74.0,230,228,2.0,127.0
205,72.0,230,228,0.0,127.0
206,67.0,0,458,7.0,127.0
207,74.0,230,228,2.0,127.0
208,71.0,0,911,12.0,127.0
209,55.0,0,458,7.0,127.0
210,75.0,230,228,3.0,127.0
211,75.0,230,228,3.0,127.0
212,67.0,0,456,7.0,127.0
213,72.0,230,228,0.0,127.0
214,63.0,0,458,3.0,127.0
215,72.0,230,458,0.0,127.0
216,60.0,0,918,0.0,127.0
217,77.0,461,228,5.0,127.0
218,60.0,460,912,0.0,127.0
219,75.0,230,228,3.0,127.0
220,57.0,0,919,10.0,127.0
221,75.0,230,336,3.0,127.0
222,55.0,0,458,7.0,127.0
223,58.0,0,458,11.0,127.0
224,77.0,0,228,5.0,127.0
225,76.0,230,228,4.0,127.0
226,57.0,460,458,10.0,127.0
227,60.0,0,458,0.0,127.0
228,76.0,0,336,4.0,127.0
229,58.0,230,458,11.0,127.0
230,55.0,0,458,7.0,127.0
231,75.0,460,228,3.0,127.0
232,57.0,0,458,10.0,127.0
233,74.0,230,228,2.0,127.0
234,60.0,0,458,0.0,127.0
235,74.0,0,458,2.0,127.0
236,58.0,230,458,11.0,127.0
237,75.0,460,228,3.0,127.0
238,55.0,0,458,7.0,127.0
