tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,number,port,control,value,channel,program,note,velocity,frame_rate,hours,minutes,seconds,frames,sub_frames
0,track_name,0,1,0,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,9,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,9,,,,,,,65535,,,,,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,10,64,6,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,7,80,6,,,,,,,,,
0,program_change,0,0,8,,,,,,,,,,,6,6,,,,,,,,
0,control_change,0,0,8,,,,,,,,,32,0,6,,,,,,,,,
0,control_change,0,0,8,,,,,,,,,0,0,6,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,,,,,,,,
0,track_name,0,1,8,,,,,,,,,,,,,,,,,,,,
0,sequence_number,0,1,8,,,,,,,65535,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,10,104,5,,,,,,,,,
0,program_change,0,0,7,,,,,,,,,,,5,48,,,,,,,,
0,control_change,0,0,7,,,,,,,,,7,80,5,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,32,0,5,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,0,0,5,,,,,,,,,
0,midi_port,0,1,7,,,,,,,,0,,,,,,,,,,,,
0,midi_port,0,1,8,,,,,,,,0,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,0,0,7,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,32,0,7,,,,,,,,,
0,program_change,0,0,9,,,,,,,,,,,7,6,,,,,,,,
0,control_change,0,0,11,,,,,,,,,7,80,10,,,,,,,,,
0,program_change,0,0,11,,,,,,,,,,,10,6,,,,,,,,
0,control_change,0,0,11,,,,,,,,,32,0,10,,,,,,,,,
0,control_change,0,0,11,,,,,,,,,0,0,10,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,11,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,11,,,,,,,65535,,,,,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,10,64,8,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,7,80,8,,,,,,,,,
0,program_change,0,0,10,,,,,,,,,,,8,6,,,,,,,,
0,control_change,0,0,10,,,,,,,,,32,0,8,,,,,,,,,
0,control_change,0,0,10,,,,,,,,,0,0,8,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,10,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,10,,,,,,,65535,,,,,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,10,64,7,,,,,,,,,
0,control_change,0,0,9,,,,,,,,,7,80,7,,,,,,,,,
0,smpte_offset,0,1,7,,,,,,,,,,,,,,,24,0,0,0,0,0
0,sequence_number,0,1,7,,,,,,,0,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,,0,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,10,94,5,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,5,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,5,,,,,,,65535,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,10,114,3,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,7,80,3,,,,,,,,,
0,program_change,0,0,4,,,,,,,,,,,3,48,,,,,,,,
0,control_change,0,0,4,,,,,,,,,32,0,3,,,,,,,,,
0,control_change,0,0,4,,,,,,,,,0,0,3,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,4,,,,,,,65535,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,10,14,2,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,7,80,2,,,,,,,,,
0,program_change,0,0,3,,,,,,,,,,,2,48,,,,,,,,
0,control_change,0,0,3,,,,,,,,,32,0,2,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,0,0,2,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,0,0,4,,,,,,,,,
0,control_change,0,0,11,,,,,,,,,10,64,10,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,32,0,4,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,7,80,4,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,7,80,5,,,,,,,,,
0,program_change,0,0,6,,,,,,,,,,,5,48,,,,,,,,
0,control_change,0,0,6,,,,,,,,,32,0,5,,,,,,,,,
0,control_change,0,0,6,,,,,,,,,0,0,5,,,,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,,0,,,,,,,,,,,,
0,sequence_number,0,1,6,,,,,,,65535,,,,,,,,,,,,,
0,sequence_number,0,1,2,,,,,,,65535,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,,0,,,,,,,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,0,0,1,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,32,0,1,,,,,,,,,
0,program_change,0,0,2,,,,,,,,,,,1,40,,,,,,,,
0,control_change,0,0,2,,,,,,,,,7,100,1,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,10,74,1,,,,,,,,,
0,note_on,0,0,5,,,,,,,,,,,4,,57,100,,,,,,
0,control_change,0,0,5,,,,,,,,,10,34,4,,,,,,,,,
0,program_change,0,0,5,,,,,,,,,,,4,48,,,,,,,,
0,note_on,0,0,11,,,,,,,,,,,10,,57,100,,,,,,
0,sequence_number,0,1,3,,,,,,,65535,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,,,,,,,,
0,time_signature,0,1,0,2,2,48,8,,,,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,428571,,,,,,,,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,,,,,,,,
0,sequence_number,0,1,1,,,,,,,65535,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,,0,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,32,0,0,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,7,100,0,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,10,54,0,,,,,,,,,
0,program_change,0,0,1,,,,,,,,,,,0,73,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,0,0,,,,,,,,,
216,note_on,216,0,5,,,,,,,,,,,4,,57,0,,,,,,
216,note_on,216,0,11,,,,,,,,,,,10,,57,0,,,,,,
240,note_on,24,0,11,,,,,,,,,,,10,,65,100,,,,,,
240,note_on,24,0,5,,,,,,,,,,,4,,65,100,,,,,,
456,note_on,216,0,5,,,,,,,,,,,4,,65,0,,,,,,
456,note_on,216,0,11,,,,,,,,,,,10,,65,0,,,,,,
480,note_on,24,0,5,,,,,,,,,,,4,,64,100,,,,,,
480,note_on,24,0,11,,,,,,,,,,,10,,64,100,,,,,,
696,note_on,216,0,11,,,,,,,,,,,10,,64,0,,,,,,
696,note_on,216,0,5,,,,,,,,,,,4,,64,0,,,,,,
720,note_on,24,0,5,,,,,,,,,,,4,,62,100,,,,,,
720,note_on,24,0,11,,,,,,,,,,,10,,62,100,,,,,,
936,note_on,216,0,11,,,,,,,,,,,10,,62,0,,,,,,
936,note_on,216,0,5,,,,,,,,,,,4,,62,0,,,,,,
960,note_on,24,0,5,,,,,,,,,,,4,,60,100,,,,,,
960,note_on,24,0,11,,,,,,,,,,,10,,60,100,,,,,,
1200,note_on,1200,0,3,,,,,,,,,,,2,,77,100,,,,,,
1200,note_on,1200,0,9,,,,,,,,,,,7,,74,100,,,,,,
1200,note_on,1200,0,8,,,,,,,,,,,6,,77,100,,,,,,
1200,note_on,1200,0,4,,,,,,,,,,,3,,74,100,,,,,,
1392,note_on,432,0,5,,,,,,,,,,,4,,60,0,,,,,,
1392,note_on,432,0,11,,,,,,,,,,,10,,60,0,,,,,,
1416,note_on,216,0,3,,,,,,,,,,,2,,77,0,,,,,,
1440,note_on,48,0,5,,,,,,,,,,,4,,59,100,,,,,,
1440,note_on,240,0,8,,,,,,,,,,,6,,67,100,,,,,,
1440,note_on,24,0,3,,,,,,,,,,,2,,67,100,,,,,,
1440,note_on,48,0,11,,,,,,,,,,,10,,59,100,,,,,,
1632,note_on,192,0,8,,,,,,,,,,,6,,77,0,,,,,,
1632,note_on,432,0,9,,,,,,,,,,,7,,74,0,,,,,,
1632,note_on,432,0,4,,,,,,,,,,,3,,74,0,,,,,,
1656,note_on,216,0,3,,,,,,,,,,,2,,67,0,,,,,,
1680,note_on,48,0,8,,,,,,,,,,,6,,76,100,,,,,,
1680,note_on,24,0,3,,,,,,,,,,,2,,76,100,,,,,,
1680,note_on,48,0,9,,,,,,,,,,,7,,72,100,,,,,,
1680,note_on,48,0,4,,,,,,,,,,,3,,72,100,,,,,,
1872,note_on,432,0,5,,,,,,,,,,,4,,59,0,,,,,,
1872,note_on,432,0,11,,,,,,,,,,,10,,59,0,,,,,,
1872,note_on,192,0,8,,,,,,,,,,,6,,67,0,,,,,,
1896,note_on,216,0,3,,,,,,,,,,,2,,76,0,,,,,,
1920,note_on,48,0,8,,,,,,,,,,,6,,65,100,,,,,,
1920,note_on,48,0,5,,,,,,,,,,,4,,57,100,,,,,,
1920,note_on,24,0,3,,,,,,,,,,,2,,65,100,,,,,,
1920,note_on,48,0,11,,,,,,,,,,,10,,57,100,,,,,,
2136,note_on,456,0,4,,,,,,,,,,,3,,72,0,,,,,,
2136,note_on,216,0,3,,,,,,,,,,,2,,65,0,,,,,,
2136,note_on,456,0,9,,,,,,,,,,,7,,72,0,,,,,,
2136,note_on,216,0,8,,,,,,,,,,,6,,76,0,,,,,,
2160,note_on,24,0,4,,,,,,,,,,,3,,71,100,,,,,,
2160,note_on,24,0,3,,,,,,,,,,,2,,74,100,,,,,,
2160,note_on,24,0,9,,,,,,,,,,,7,,71,100,,,,,,
2160,note_on,24,0,8,,,,,,,,,,,6,,74,100,,,,,,
2268,note_on,108,0,9,,,,,,,,,,,7,,71,0,,,,,,
2268,note_on,108,0,4,,,,,,,,,,,3,,71,0,,,,,,
2280,note_on,12,0,9,,,,,,,,,,,7,,69,100,,,,,,
2280,note_on,12,0,4,,,,,,,,,,,3,,69,100,,,,,,
2352,note_on,432,0,5,,,,,,,,,,,4,,57,0,,,,,,
2352,note_on,192,0,8,,,,,,,,,,,6,,65,0,,,,,,
2352,note_on,432,0,11,,,,,,,,,,,10,,57,0,,,,,,
2376,note_on,216,0,3,,,,,,,,,,,2,,74,0,,,,,,
2388,note_on,108,0,9,,,,,,,,,,,7,,69,0,,,,,,
2388,note_on,108,0,4,,,,,,,,,,,3,,69,0,,,,,,
2400,note_on,48,0,8,,,,,,,,,,,6,,64,100,,,,,,
2400,note_on,12,0,4,,,,,,,,,,,3,,71,100,,,,,,
2400,note_on,48,0,5,,,,,,,,,,,4,,56,100,,,,,,
2400,note_on,48,0,11,,,,,,,,,,,10,,56,100,,,,,,
