,note,step,duration,channel,velocity
0,51.0,0,1024,2.0,47.0
1,39.0,0,2048,3.0,47.0
2,53.0,1024,1024,2.0,47.0
3,51.0,0,2048,4.0,47.0
4,55.0,0,1024,2.0,47.0
5,70.0,0,2048,1.0,47.0
6,43.0,0,2048,3.0,47.0
7,55.0,1024,2048,4.0,47.0
8,53.0,1024,1024,2.0,47.0
9,56.0,1024,1024,2.0,47.0
10,56.0,0,2048,4.0,47.0
11,44.0,0,2048,3.0,47.0
12,53.0,1024,1024,2.0,47.0
13,72.0,0,2048,1.0,47.0
14,63.0,0,256,1.0,47.0
15,62.0,256,256,1.0,47.0
16,63.0,256,128,1.0,47.0
17,62.0,128,128,1.0,47.0
18,63.0,128,128,1.0,47.0
19,62.0,128,128,1.0,47.0
20,58.0,0,1024,2.0,47.0
21,63.0,128,128,1.0,47.0
22,62.0,128,128,1.0,47.0
23,63.0,128,128,1.0,47.0
24,62.0,128,128,1.0,47.0
25,63.0,128,128,1.0,47.0
26,62.0,128,128,1.0,47.0
27,63.0,128,128,1.0,47.0
28,62.0,128,128,1.0,47.0
29,56.0,0,1024,2.0,47.0
30,63.0,128,128,1.0,47.0
31,62.0,128,128,1.0,47.0
32,63.0,128,128,1.0,47.0
33,62.0,128,128,1.0,47.0
34,63.0,128,128,1.0,47.0
35,62.0,128,128,1.0,47.0
36,63.0,128,128,1.0,47.0
37,62.0,128,128,1.0,47.0
38,58.0,0,1024,2.0,47.0
39,63.0,128,128,1.0,47.0
40,62.0,128,128,1.0,47.0
41,63.0,128,128,1.0,47.0
42,62.0,128,128,1.0,47.0
43,63.0,128,128,1.0,47.0
44,62.0,128,128,1.0,47.0
45,60.0,128,128,1.0,47.0
46,55.0,0,1024,2.0,47.0
47,62.0,128,128,1.0,47.0
48,46.0,0,4096,3.0,47.0
49,58.0,1024,4096,4.0,47.0
50,60.0,0,1024,2.0,47.0
51,60.0,128,2048,4.0,47.0
52,48.0,0,2048,3.0,47.0
53,58.0,1024,1024,2.0,47.0
54,63.0,0,2048,1.0,47.0
