tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,5,7,80,,
0,program_change,0,0,6,,,,,,,6,5,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,note_on,0,0,5,,,,,,,,4,,,72,100
0,control_change,0,0,5,,,,,,,,4,10,30,,
0,control_change,0,0,5,,,,,,,,4,7,80,,
0,program_change,0,0,5,,,,,,,6,4,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,note_on,0,0,4,,,,,,,,3,,,60,100
0,control_change,0,0,4,,,,,,,,3,10,98,,
0,control_change,0,0,4,,,,,,,,3,7,80,,
0,program_change,0,0,4,,,,,,,6,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,note_on,0,0,3,,,,,,,,2,,,72,100
0,control_change,0,0,3,,,,,,,,2,10,32,,
0,control_change,0,0,3,,,,,,,,2,7,80,,
0,program_change,0,0,3,,,,,,,6,2,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,1,,,60,100
0,control_change,0,0,2,,,,,,,,1,10,105,,
0,control_change,0,0,2,,,,,,,,1,7,80,,
0,control_change,0,0,6,,,,,,,,5,10,107,,
0,note_on,0,0,6,,,,,,,,5,,,60,100
0,track_name,0,1,7,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,40,6,,,,
0,note_on,0,0,11,,,,,,,,10,,,48,100
0,control_change,0,0,11,,,,,,,,10,10,72,,
0,control_change,0,0,11,,,,,,,,10,7,127,,
0,program_change,0,0,11,,,,,,,43,10,,,,
0,note_on,0,0,10,,,,,,,,10,,,60,100
0,control_change,0,0,10,,,,,,,,10,10,94,,
0,control_change,0,0,10,,,,,,,,10,7,127,,
0,program_change,0,0,10,,,,,,,42,10,,,,
0,track_name,0,1,10,,,,,,,,,,,,
0,note_on,0,0,9,,,,,,,,8,,,67,100
0,program_change,0,0,2,,,,,,,6,1,,,,
0,control_change,0,0,9,,,,,,,,8,10,34,,
0,program_change,0,0,9,,,,,,,41,8,,,,
0,track_name,0,1,9,,,,,,,,,,,,
0,note_on,0,0,8,,,,,,,,7,,,72,100
0,control_change,0,0,8,,,,,,,,7,10,114,,
0,control_change,0,0,8,,,,,,,,7,7,120,,
0,program_change,0,0,8,,,,,,,40,7,,,,
0,track_name,0,1,8,,,,,,,,,,,,
0,note_on,0,0,7,,,,,,,,6,,,76,100
0,control_change,0,0,7,,,,,,,,6,10,14,,
0,control_change,0,0,7,,,,,,,,6,7,120,,
0,control_change,0,0,9,,,,,,,,8,7,120,,
0,track_name,0,1,2,,,,,,,,,,,,
0,end_of_track,0,1,12,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,
0,note_on,0,0,1,,,,,,,,0,,,72,100
0,program_change,0,0,1,,,,,,,6,0,,,,
0,control_change,0,0,1,,,,,,,,0,7,80,,
0,key_signature,0,1,0,,,,,C,,,,,,,
0,set_tempo,0,1,0,,,,,,697674,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,0,10,32,,
0,track_name,0,1,1,,,,,,,,,,,,
108,note_on,108,0,1,,,,,,,,0,,,72,0
108,note_on,108,0,2,,,,,,,,1,,,60,0
108,note_on,108,0,11,,,,,,,,10,,,48,0
108,note_on,108,0,10,,,,,,,,10,,,60,0
108,note_on,108,0,9,,,,,,,,8,,,67,0
108,note_on,108,0,8,,,,,,,,7,,,72,0
108,note_on,108,0,6,,,,,,,,5,,,60,0
108,note_on,108,0,3,,,,,,,,2,,,72,0
108,note_on,108,0,4,,,,,,,,3,,,60,0
108,note_on,108,0,5,,,,,,,,4,,,72,0
