,note,step,duration,channel,velocity
0,66.0,0,63,0.0,85.0
1,66.0,10,71,4.0,82.0
2,66.0,19,66,1.0,82.0
3,62.0,216,90,2.0,85.0
4,59.0,5,90,3.0,74.0
5,61.0,8,69,3.0,62.0
6,64.0,75,81,2.0,80.0
7,71.0,238,503,0.0,82.0
8,71.0,7,519,4.0,80.0
9,66.0,121,98,2.0,85.0
10,62.0,9,112,3.0,80.0
11,73.0,79,94,0.0,80.0
12,73.0,21,88,4.0,63.0
13,74.0,18,73,4.0,80.0
14,74.0,84,95,0.0,80.0
15,64.0,0,78,2.0,74.0
16,61.0,0,94,3.0,62.0
17,76.0,92,81,0.0,78.0
18,76.0,6,78,4.0,74.0
19,71.0,33,474,1.0,85.0
20,78.0,8,67,4.0,85.0
21,62.0,121,92,2.0,82.0
22,78.0,5,93,0.0,82.0
23,59.0,6,90,3.0,70.0
24,64.0,232,77,2.0,80.0
25,70.0,2,75,0.0,66.0
26,70.0,2,75,4.0,66.0
27,61.0,2,90,3.0,64.0
28,79.0,6,94,1.0,91.0
29,71.0,4,68,0.0,80.0
30,62.0,236,98,3.0,85.0
31,78.0,7,91,1.0,80.0
32,71.0,4,83,4.0,72.0
33,76.0,7,79,0.0,80.0
34,70.0,0,92,1.0,66.0
35,76.0,2,83,4.0,74.0
36,61.0,229,97,3.0,63.0
37,71.0,238,87,1.0,80.0
38,74.0,12,82,0.0,85.0
39,59.0,0,102,3.0,74.0
40,74.0,2,98,4.0,80.0
41,66.0,2,594,2.0,70.0
42,79.0,6,82,0.0,87.0
43,79.0,5,85,4.0,80.0
44,61.0,230,102,3.0,63.0
45,64.0,4,101,1.0,89.0
46,70.0,2,101,2.0,68.0
47,78.0,227,102,0.0,70.0
48,62.0,4,103,3.0,82.0
49,71.0,6,99,2.0,85.0
50,78.0,5,96,4.0,64.0
51,62.0,0,104,1.0,87.0
52,82.0,5,65,4.0,76.0
53,82.0,222,84,0.0,82.0
54,61.0,0,94,3.0,63.0
55,76.0,2,105,1.0,82.0
56,73.0,7,98,2.0,82.0
57,66.0,5,95,2.0,85.0
58,59.0,8,105,3.0,70.0
59,74.0,2,117,1.0,78.0
60,83.0,225,192,0.0,89.0
61,83.0,2,189,4.0,82.0
62,81.0,0,80,4.0,80.0
63,81.0,219,101,0.0,80.0
64,61.0,10,98,3.0,66.0
65,64.0,2,102,2.0,80.0
66,76.0,4,99,1.0,76.0
67,79.0,90,73,0.0,72.0
68,79.0,11,66,4.0,66.0
69,78.0,12,90,1.0,76.0
70,78.0,110,109,0.0,85.0
71,78.0,7,102,4.0,66.0
72,62.0,4,96,2.0,78.0
73,62.0,2,109,3.0,80.0
74,79.0,6,58,4.0,64.0
75,79.0,84,71,0.0,76.0
76,76.0,117,94,0.0,80.0
77,70.0,6,88,1.0,66.0
78,76.0,8,98,4.0,76.0
79,64.0,2,88,2.0,85.0
80,61.0,7,94,3.0,61.0
81,78.0,2,62,4.0,57.0
82,78.0,90,71,0.0,49.0
83,66.0,13,79,2.0,80.0
84,74.0,6,96,4.0,82.0
85,74.0,127,104,0.0,82.0
86,71.0,2,105,1.0,85.0
87,59.0,0,113,3.0,72.0
88,76.0,90,64,0.0,68.0
89,76.0,10,61,4.0,59.0
90,64.0,12,75,2.0,80.0
91,73.0,115,106,0.0,85.0
92,73.0,9,95,4.0,80.0
93,70.0,8,105,1.0,64.0
94,61.0,2,108,3.0,64.0
95,74.0,77,71,0.0,68.0
96,74.0,19,60,4.0,59.0
97,71.0,111,110,1.0,85.0
98,71.0,6,106,0.0,87.0
99,71.0,2,101,4.0,78.0
100,62.0,12,109,3.0,80.0
101,73.0,90,62,0.0,60.0
102,73.0,16,61,4.0,51.0
103,69.0,109,102,0.0,80.0
104,73.0,0,90,1.0,76.0
105,69.0,16,105,4.0,63.0
106,61.0,5,106,3.0,63.0
107,71.0,91,63,0.0,70.0
108,71.0,3,75,4.0,68.0
109,66.0,5,524,2.0,82.0
110,74.0,6,73,1.0,89.0
111,67.0,131,96,0.0,76.0
112,67.0,7,93,4.0,76.0
113,59.0,6,103,3.0,64.0
114,67.0,83,61,2.0,80.0
115,64.0,119,88,2.0,74.0
116,76.0,9,79,0.0,87.0
117,76.0,2,92,4.0,85.0
118,61.0,27,107,3.0,63.0
119,66.0,77,71,2.0,72.0
120,69.0,10,313,1.0,91.0
121,66.0,7,91,0.0,85.0
122,62.0,142,111,2.0,87.0
123,62.0,2,111,3.0,80.0
124,66.0,6,98,4.0,82.0
125,67.0,111,79,1.0,78.0
126,66.0,110,75,1.0,82.0
127,69.0,10,61,0.0,98.0
128,61.0,4,89,3.0,63.0
129,69.0,8,75,4.0,87.0
130,64.0,7,100,2.0,85.0
131,64.0,83,74,1.0,87.0
132,66.0,128,98,2.0,80.0
133,74.0,2,88,0.0,87.0
134,74.0,10,88,4.0,85.0
135,59.0,19,118,3.0,82.0
136,62.0,2,121,1.0,93.0
137,79.0,6,85,0.0,89.0
138,71.0,216,93,2.0,87.0
139,74.0,2,87,1.0,85.0
140,55.0,0,100,3.0,80.0
141,79.0,10,92,4.0,82.0
142,79.0,215,65,0.0,87.0
143,79.0,10,67,4.0,76.0
144,74.0,6,90,1.0,91.0
145,69.0,1,98,2.0,89.0
146,57.0,6,103,3.0,80.0
147,78.0,27,67,0.0,87.0
148,78.0,30,60,4.0,70.0
149,79.0,27,69,0.0,68.0
150,79.0,33,67,4.0,68.0
151,78.0,10,92,0.0,63.0
152,78.0,40,81,4.0,66.0
153,67.0,50,84,2.0,82.0
154,76.0,6,78,0.0,78.0
155,76.0,4,79,4.0,66.0
156,73.0,2,81,1.0,82.0
157,45.0,5,110,3.0,87.0
158,74.0,104,67,0.0,76.0
159,74.0,17,54,4.0,80.0
160,50.0,6,83,3.0,80.0
161,45.0,224,73,3.0,85.0
162,74.0,4,483,4.0,85.0
163,74.0,11,492,0.0,87.0
164,66.0,109,517,2.0,82.0
165,69.0,3,510,1.0,78.0
166,38.0,265,246,3.0,85.0
167,66.0,4,77,0.0,85.0
168,66.0,207,87,4.0,64.0
169,66.0,226,71,1.0,80.0
170,59.0,8,86,3.0,82.0
171,62.0,8,104,2.0,82.0
172,61.0,14,80,3.0,70.0
173,64.0,86,102,2.0,76.0
174,71.0,3,509,0.0,87.0
175,71.0,249,514,4.0,85.0
176,62.0,121,111,3.0,82.0
177,66.0,3,108,2.0,85.0
178,73.0,96,86,0.0,74.0
179,73.0,9,96,4.0,64.0
180,74.0,97,78,4.0,76.0
181,74.0,0,75,0.0,87.0
182,61.0,15,79,3.0,63.0
183,64.0,11,102,2.0,68.0
184,76.0,92,73,4.0,60.0
185,76.0,0,75,0.0,80.0
186,71.0,18,480,1.0,89.0
187,62.0,121,89,2.0,85.0
188,78.0,14,82,0.0,95.0
189,78.0,5,81,4.0,76.0
190,59.0,0,95,3.0,76.0
191,70.0,0,77,0.0,72.0
192,64.0,2,90,2.0,82.0
193,79.0,2,90,1.0,87.0
194,61.0,233,94,3.0,66.0
195,70.0,14,82,4.0,72.0
196,71.0,4,77,0.0,82.0
197,71.0,2,84,4.0,70.0
198,62.0,226,107,3.0,80.0
199,78.0,13,98,1.0,82.0
200,76.0,7,77,0.0,85.0
201,61.0,8,93,3.0,64.0
202,76.0,0,87,4.0,78.0
203,70.0,227,113,1.0,76.0
204,66.0,0,537,2.0,82.0
205,74.0,2,82,0.0,89.0
206,71.0,4,88,1.0,87.0
207,74.0,3,85,4.0,80.0
208,59.0,238,100,3.0,66.0
209,79.0,0,81,0.0,87.0
210,61.0,225,88,3.0,63.0
211,79.0,8,74,4.0,72.0
212,70.0,4,108,2.0,80.0
213,64.0,2,123,1.0,87.0
214,78.0,6,90,0.0,82.0
215,62.0,228,104,3.0,80.0
216,62.0,2,94,1.0,85.0
217,71.0,4,103,2.0,82.0
218,78.0,7,96,4.0,64.0
219,82.0,0,87,0.0,87.0
220,61.0,217,92,3.0,61.0
221,82.0,14,83,4.0,66.0
222,73.0,4,89,2.0,82.0
223,76.0,5,94,1.0,82.0
224,59.0,2,102,3.0,74.0
225,74.0,2,101,1.0,78.0
226,66.0,5,108,2.0,78.0
227,83.0,4,188,4.0,80.0
228,83.0,221,198,0.0,93.0
229,81.0,227,88,0.0,85.0
230,81.0,4,86,4.0,66.0
231,76.0,2,88,1.0,85.0
232,61.0,3,89,3.0,64.0
233,64.0,4,109,2.0,78.0
234,79.0,83,56,4.0,70.0
235,79.0,10,59,0.0,72.0
236,62.0,2,74,2.0,76.0
237,78.0,6,99,0.0,95.0
238,78.0,115,105,4.0,68.0
239,78.0,19,88,1.0,93.0
240,62.0,2,107,3.0,76.0
241,79.0,76,71,4.0,61.0
242,79.0,8,70,0.0,72.0
243,76.0,115,98,0.0,85.0
244,76.0,8,99,4.0,64.0
245,64.0,12,83,2.0,78.0
246,70.0,11,112,1.0,68.0
247,61.0,6,103,3.0,63.0
248,78.0,75,61,0.0,57.0
249,78.0,5,62,4.0,57.0
250,74.0,6,96,4.0,70.0
251,74.0,121,104,0.0,80.0
252,66.0,3,87,2.0,80.0
253,71.0,14,101,1.0,85.0
254,59.0,18,103,3.0,66.0
255,76.0,75,71,0.0,60.0
256,76.0,11,63,4.0,63.0
257,64.0,6,82,2.0,85.0
258,73.0,6,100,0.0,85.0
259,70.0,119,106,1.0,70.0
260,73.0,0,96,4.0,64.0
261,61.0,15,98,3.0,64.0
262,74.0,2,60,4.0,66.0
263,74.0,84,68,0.0,72.0
264,71.0,5,94,0.0,72.0
265,71.0,7,89,4.0,76.0
266,71.0,130,103,1.0,80.0
267,62.0,12,102,3.0,80.0
268,73.0,90,60,0.0,48.0
269,73.0,4,56,4.0,47.0
270,73.0,2,90,1.0,74.0
271,69.0,118,110,0.0,76.0
272,61.0,7,94,3.0,68.0
273,69.0,11,113,4.0,72.0
274,71.0,83,62,0.0,66.0
275,71.0,9,68,4.0,66.0
276,66.0,2,546,2.0,80.0
277,67.0,137,94,0.0,78.0
278,74.0,4,103,1.0,85.0
279,59.0,1,104,3.0,66.0
280,67.0,8,102,4.0,82.0
281,67.0,123,67,2.0,78.0
282,64.0,0,84,2.0,80.0
283,76.0,6,90,4.0,80.0
284,76.0,5,98,0.0,85.0
285,61.0,106,103,3.0,66.0
286,66.0,100,73,2.0,82.0
287,69.0,6,319,1.0,89.0
288,66.0,4,86,0.0,85.0
289,66.0,3,94,4.0,68.0
290,62.0,130,106,3.0,82.0
291,62.0,9,116,2.0,87.0
292,67.0,107,77,1.0,78.0
293,66.0,115,73,1.0,74.0
294,69.0,2,73,0.0,93.0
295,69.0,4,71,4.0,85.0
296,61.0,2,84,3.0,64.0
297,64.0,12,102,2.0,85.0
298,64.0,88,81,1.0,80.0
299,66.0,130,93,2.0,80.0
300,74.0,7,92,0.0,89.0
301,74.0,2,90,4.0,80.0
302,59.0,9,112,3.0,85.0
303,62.0,7,102,1.0,93.0
304,79.0,6,79,0.0,87.0
305,71.0,215,98,2.0,85.0
306,79.0,6,86,4.0,78.0
307,74.0,11,75,1.0,91.0
