,note,step,duration,channel,velocity
0,66.0,0,38,2.0,98.0
1,74.0,0,53,0.0,82.0
2,69.0,3,53,1.0,85.0
3,62.0,5,45,8.0,102.0
4,50.0,7,31,3.0,100.0
5,62.0,0,52,6.0,87.0
6,62.0,4,59,5.0,87.0
7,62.0,0,61,4.0,105.0
8,66.0,7,52,7.0,102.0
9,50.0,8,66,10.0,91.0
10,50.0,3,39,3.0,105.0
11,50.0,43,39,3.0,105.0
12,50.0,46,32,3.0,87.0
13,62.0,5,132,10.0,102.0
14,61.0,27,58,10.0,82.0
15,50.0,23,67,3.0,100.0
16,74.0,2,243,1.0,93.0
17,66.0,87,252,2.0,100.0
18,81.0,3,262,0.0,87.0
19,69.0,3,258,5.0,98.0
20,66.0,4,263,7.0,100.0
21,69.0,0,250,6.0,102.0
22,62.0,1,257,8.0,105.0
23,50.0,87,29,3.0,98.0
24,69.0,1,277,4.0,100.0
25,62.0,1,51,10.0,89.0
26,50.0,34,28,3.0,64.0
27,50.0,55,67,3.0,85.0
28,50.0,58,31,3.0,95.0
29,50.0,41,28,3.0,85.0
30,62.0,0,134,10.0,102.0
31,61.0,8,73,10.0,82.0
32,79.0,18,220,1.0,87.0
33,50.0,40,60,3.0,91.0
34,67.0,5,225,7.0,93.0
35,62.0,4,235,2.0,95.0
36,62.0,1,230,8.0,107.0
37,71.0,0,233,4.0,95.0
38,71.0,1,240,5.0,87.0
39,71.0,2,253,6.0,89.0
40,83.0,1,264,0.0,85.0
41,62.0,59,49,10.0,80.0
42,50.0,26,53,3.0,89.0
43,50.0,72,65,3.0,85.0
44,50.0,39,55,3.0,98.0
45,62.0,32,133,10.0,102.0
46,50.0,38,55,3.0,91.0
47,61.0,47,123,10.0,70.0
48,50.0,78,53,3.0,85.0
49,62.0,2,66,10.0,87.0
50,50.0,69,46,3.0,91.0
51,50.0,13,37,3.0,105.0
52,66.0,3,419,2.0,98.0
53,69.0,1,428,4.0,91.0
54,69.0,1,427,5.0,87.0
55,69.0,3,430,6.0,98.0
56,81.0,1,434,0.0,93.0
