,note,step,duration,channel,velocity
0,60.0,360,60,2.0,64.0
1,62.0,60,60,2.0,64.0
2,60.0,0,600,1.0,64.0
3,59.0,120,120,1.0,64.0
4,60.0,120,120,1.0,64.0
5,63.0,60,360,2.0,64.0
6,62.0,120,120,1.0,64.0
7,65.0,0,120,2.0,64.0
8,67.0,240,120,0.0,64.0
9,65.0,120,120,0.0,64.0
10,63.0,0,720,1.0,64.0
11,67.0,120,720,2.0,64.0
12,65.0,60,60,2.0,64.0
13,63.0,60,60,2.0,64.0
14,65.0,240,240,1.0,64.0
15,62.0,60,60,2.0,64.0
16,63.0,120,720,0.0,64.0
17,60.0,0,360,2.0,64.0
18,58.0,120,120,2.0,64.0
19,62.0,240,240,0.0,64.0
20,67.0,60,600,1.0,64.0
21,63.0,120,120,1.0,64.0
22,65.0,120,120,1.0,64.0
23,56.0,120,360,2.0,64.0
24,55.0,120,120,2.0,64.0
25,67.0,0,120,1.0,64.0
26,53.0,120,300,2.0,64.0
27,48.0,300,60,2.0,64.0
28,50.0,60,60,2.0,64.0
29,52.0,60,60,2.0,64.0
30,68.0,0,720,1.0,64.0
31,53.0,60,360,2.0,64.0
32,60.0,0,120,1.0,64.0
33,56.0,360,120,2.0,64.0
34,60.0,0,1440,0.0,64.0
35,62.0,120,120,0.0,64.0
36,63.0,120,120,0.0,64.0
37,65.0,120,120,0.0,64.0
38,55.0,0,480,2.0,64.0
39,59.0,120,600,1.0,64.0
40,55.0,120,120,1.0,64.0
41,59.0,120,120,1.0,64.0
42,62.0,120,120,1.0,64.0
43,67.0,120,720,0.0,64.0
44,63.0,120,120,2.0,64.0
45,69.0,240,240,0.0,64.0
46,67.0,120,720,1.0,64.0
47,62.0,0,360,2.0,64.0
48,60.0,0,120,2.0,64.0
49,69.0,360,120,1.0,64.0
50,67.0,120,40,1.0,64.0
51,66.0,40,40,1.0,64.0
52,67.0,40,40,1.0,64.0
53,71.0,120,720,0.0,64.0
54,62.0,0,360,2.0,64.0
55,72.0,120,240,0.0,64.0
56,57.0,120,120,2.0,64.0
57,66.0,40,600,1.0,64.0
58,59.0,0,360,2.0,64.0
59,64.0,360,120,1.0,64.0
60,60.0,0,120,2.0,64.0
61,74.0,120,600,0.0,64.0
62,79.0,120,120,0.0,64.0
63,59.0,120,360,2.0,64.0
64,77.0,120,120,0.0,64.0
65,55.0,120,120,2.0,64.0
66,75.0,0,120,0.0,64.0
67,65.0,0,720,1.0,64.0
68,57.0,120,360,2.0,64.0
69,59.0,0,120,2.0,64.0
70,67.0,360,120,1.0,64.0
71,74.0,0,720,0.0,64.0
72,60.0,120,360,2.0,64.0
73,55.0,120,120,2.0,64.0
74,71.0,240,240,0.0,64.0
75,64.0,0,720,1.0,64.0
76,60.0,0,360,2.0,64.0
77,62.0,360,120,1.0,64.0
78,58.0,0,120,2.0,64.0
79,56.0,0,360,2.0,64.0
80,72.0,120,960,0.0,64.0
81,51.0,360,120,2.0,64.0
82,56.0,120,360,2.0,64.0
83,55.0,360,120,2.0,64.0
84,63.0,120,1200,1.0,64.0
85,62.0,240,240,1.0,64.0
86,53.0,120,720,2.0,64.0
87,55.0,300,60,2.0,64.0
88,62.0,240,360,1.0,64.0
89,53.0,0,60,2.0,64.0
90,61.0,60,120,1.0,64.0
91,52.0,60,60,2.0,64.0
92,63.0,60,40,1.0,64.0
93,61.0,40,40,1.0,64.0
94,63.0,40,40,1.0,64.0
95,61.0,40,240,1.0,64.0
96,53.0,0,360,2.0,64.0
97,55.0,120,60,2.0,64.0
98,64.0,120,240,0.0,64.0
99,56.0,60,60,2.0,64.0
100,60.0,0,120,1.0,64.0
101,61.0,60,40,1.0,64.0
102,60.0,40,40,1.0,64.0
103,61.0,40,40,1.0,64.0
104,50.0,0,360,2.0,64.0
105,60.0,40,240,1.0,64.0
106,51.0,240,60,2.0,64.0
107,53.0,60,60,2.0,64.0
108,59.0,0,120,1.0,64.0
109,60.0,60,40,1.0,64.0
110,59.0,40,40,1.0,64.0
111,60.0,40,40,1.0,64.0
112,65.0,0,720,0.0,64.0
113,67.0,120,240,0.0,64.0
114,59.0,40,600,1.0,64.0
115,55.0,0,750,2.0,64.0
116,57.0,30,30,2.0,64.0
117,59.0,30,30,2.0,64.0
118,57.0,240,120,1.0,64.0
119,60.0,30,30,2.0,64.0
120,62.0,30,30,2.0,64.0
121,63.0,30,30,2.0,64.0
122,65.0,30,30,2.0,64.0
123,67.0,30,30,2.0,64.0
124,55.0,0,120,1.0,64.0
125,65.0,240,720,0.0,64.0
126,68.0,0,300,2.0,64.0
127,67.0,60,60,2.0,64.0
128,65.0,60,60,2.0,64.0
129,70.0,240,240,0.0,64.0
130,64.0,60,60,2.0,64.0
131,60.0,30,720,1.0,64.0
132,65.0,0,360,2.0,64.0
133,65.0,0,120,1.0,64.0
134,59.0,360,120,2.0,64.0
135,68.0,60,720,0.0,64.0
136,60.0,0,300,2.0,64.0
137,48.0,60,60,2.0,64.0
138,50.0,60,60,2.0,64.0
139,51.0,60,60,2.0,64.0
140,67.0,240,240,0.0,64.0
141,63.0,120,600,1.0,64.0
142,62.0,120,120,1.0,64.0
143,60.0,120,120,1.0,64.0
144,62.0,120,120,1.0,64.0
145,63.0,120,40,1.0,64.0
146,62.0,40,40,1.0,64.0
147,53.0,0,600,2.0,64.0
148,63.0,40,40,1.0,64.0
149,62.0,40,40,1.0,64.0
150,63.0,40,40,1.0,64.0
151,68.0,60,720,0.0,64.0
152,62.0,40,40,1.0,64.0
153,50.0,0,120,2.0,64.0
154,63.0,0,40,1.0,64.0
155,62.0,40,40,1.0,64.0
156,51.0,0,120,2.0,64.0
157,63.0,40,40,1.0,64.0
158,53.0,40,120,2.0,64.0
159,72.0,40,240,0.0,64.0
160,55.0,120,120,2.0,64.0
161,62.0,0,360,1.0,64.0
162,56.0,120,120,2.0,64.0
163,55.0,120,120,2.0,64.0
164,60.0,0,240,1.0,64.0
165,53.0,120,120,2.0,64.0
166,70.0,0,720,0.0,64.0
167,51.0,120,360,2.0,64.0
168,60.0,120,60,2.0,64.0
169,68.0,240,240,0.0,64.0
170,62.0,60,60,2.0,64.0
171,60.0,0,600,1.0,64.0
172,59.0,120,120,1.0,64.0
173,60.0,120,120,1.0,64.0
174,63.0,60,360,2.0,64.0
175,62.0,120,120,1.0,64.0
176,65.0,0,120,2.0,64.0
177,67.0,0,720,0.0,64.0
178,72.0,240,240,0.0,64.0
179,63.0,0,720,1.0,64.0
180,67.0,120,720,2.0,64.0
181,65.0,60,60,2.0,64.0
182,63.0,60,60,2.0,64.0
183,65.0,240,240,1.0,64.0
184,62.0,60,60,2.0,64.0
185,67.0,240,720,0.0,64.0
186,60.0,0,360,2.0,64.0
187,58.0,120,120,2.0,64.0
188,69.0,240,240,0.0,64.0
189,67.0,60,600,1.0,64.0
190,63.0,120,120,1.0,64.0
191,56.0,120,360,2.0,64.0
192,65.0,120,120,1.0,64.0
193,55.0,0,120,2.0,64.0
194,67.0,120,120,1.0,64.0
195,71.0,0,720,0.0,64.0
196,53.0,120,300,2.0,64.0
197,48.0,60,60,2.0,64.0
198,50.0,60,60,2.0,64.0
199,75.0,240,240,0.0,64.0
200,52.0,60,60,2.0,64.0
201,68.0,0,720,1.0,64.0
202,53.0,0,360,2.0,64.0
203,56.0,0,120,2.0,64.0
204,60.0,360,120,1.0,64.0
205,71.0,60,720,0.0,64.0
206,72.0,240,240,0.0,64.0
207,55.0,120,480,2.0,64.0
208,59.0,0,600,1.0,64.0
209,55.0,120,120,1.0,64.0
210,59.0,120,120,1.0,64.0
211,62.0,120,120,1.0,64.0
212,63.0,360,120,2.0,64.0
213,67.0,120,720,1.0,64.0
214,62.0,120,360,2.0,64.0
215,60.0,0,120,2.0,64.0
216,74.0,240,1440,0.0,64.0
217,69.0,360,120,1.0,64.0
218,67.0,120,40,1.0,64.0
219,66.0,40,40,1.0,64.0
220,67.0,40,40,1.0,64.0
221,72.0,0,120,0.0,64.0
222,74.0,120,120,0.0,64.0
223,62.0,0,360,2.0,64.0
224,75.0,120,120,0.0,64.0
225,57.0,0,120,2.0,64.0
226,66.0,40,600,1.0,64.0
227,59.0,0,360,2.0,64.0
228,60.0,0,120,2.0,64.0
229,64.0,360,120,1.0,64.0
230,74.0,120,720,0.0,64.0
231,72.0,240,120,0.0,64.0
232,59.0,120,360,2.0,64.0
233,55.0,120,120,2.0,64.0
234,71.0,0,120,0.0,64.0
235,65.0,0,720,1.0,64.0
236,57.0,0,360,2.0,64.0
237,59.0,0,120,2.0,64.0
238,67.0,360,120,1.0,64.0
239,77.0,120,720,0.0,64.0
240,60.0,0,360,2.0,64.0
241,76.0,240,120,0.0,64.0
242,55.0,120,120,2.0,64.0
243,74.0,0,120,0.0,64.0
244,64.0,120,720,1.0,64.0
245,60.0,0,360,2.0,64.0
246,58.0,0,120,2.0,64.0
247,62.0,360,120,1.0,64.0
248,56.0,120,360,2.0,64.0
249,51.0,360,120,2.0,64.0
250,56.0,120,360,2.0,64.0
251,55.0,360,120,2.0,64.0
252,72.0,120,1500,0.0,64.0
253,70.0,60,60,0.0,64.0
254,68.0,60,60,0.0,64.0
255,67.0,60,60,0.0,64.0
256,63.0,0,1200,1.0,64.0
257,65.0,60,60,0.0,64.0
258,63.0,60,60,0.0,64.0
259,62.0,60,60,0.0,64.0
260,60.0,60,60,0.0,64.0
261,62.0,60,0,1.0,64.0
262,53.0,120,720,2.0,64.0
263,55.0,300,60,2.0,64.0
264,53.0,60,60,2.0,64.0
265,52.0,60,60,2.0,64.0
266,61.0,0,120,1.0,64.0
267,63.0,0,40,1.0,64.0
268,61.0,40,40,1.0,64.0
269,63.0,40,40,1.0,64.0
270,59.0,0,600,0.0,64.0
271,60.0,40,120,0.0,64.0
272,61.0,0,240,1.0,64.0
273,53.0,60,360,2.0,64.0
274,62.0,120,120,0.0,64.0
275,55.0,120,60,2.0,64.0
276,56.0,60,60,2.0,64.0
277,63.0,0,120,0.0,64.0
278,60.0,0,120,1.0,64.0
279,61.0,60,40,1.0,64.0
280,60.0,40,40,1.0,64.0
281,61.0,40,40,1.0,64.0
282,60.0,40,240,1.0,64.0
283,50.0,0,360,2.0,64.0
284,51.0,0,60,2.0,64.0
285,59.0,240,120,1.0,64.0
286,53.0,60,60,2.0,64.0
