tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,channel,control,value,program,note,velocity
0,set_tempo,600000,0,1,0,,,,,,,,,,,,
0,channel_prefix,,0,1,1,,,,,,,0,,,,,
0,control_change,,0,0,1,,,,,,,0,7,100,,,
0,control_change,,0,0,1,,,,,,,0,10,39,,,
0,control_change,,0,0,1,,,,,,,0,7,89,,,
0,control_change,,0,0,1,,,,,,,0,93,95,,,
0,program_change,,0,0,1,,,,,,,0,,,0,,
0,program_change,,0,0,3,,,,,,,2,,,0,,
0,midi_port,,0,1,1,,,,,,0,,,,,,
0,control_change,,0,0,3,,,,,,,2,7,100,,,
0,control_change,,0,0,3,,,,,,,2,7,100,,,
0,channel_prefix,,0,1,3,,,,,,,2,,,,,
0,midi_port,,0,1,3,,,,,,0,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,
0,control_change,,0,0,3,,,,,,,2,10,94,,,
0,midi_port,,0,1,2,,,,,,0,,,,,,
0,time_signature,,0,1,0,3,4,24,8,,,,,,,,
0,key_signature,,0,1,0,,,,,F,,,,,,,
0,program_change,,0,0,2,,,,,,,1,,,0,,
0,track_name,,0,1,2,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,
0,channel_prefix,,0,1,2,,,,,,,1,,,,,
0,control_change,,0,0,2,,,,,,,1,7,107,,,
0,control_change,,0,0,2,,,,,,,1,10,70,,,
0,control_change,,0,0,2,,,,,,,1,7,102,,,
0,control_change,,0,0,2,,,,,,,1,93,75,,,
80,control_change,,80,0,2,,,,,,,1,7,104,,,
120,control_change,,120,0,3,,,,,,,2,7,109,,,
120,control_change,,120,0,1,,,,,,,0,7,109,,,
240,note_on,,120,0,1,,,,,,,0,,,,65,64
360,note_off,,120,0,1,,,,,,,0,,,,65,64
440,control_change,,80,0,1,,,,,,,0,7,110,,,
480,note_on,,40,0,1,,,,,,,0,,,,69,64
600,note_off,,120,0,1,,,,,,,0,,,,69,64
720,note_on,,120,0,1,,,,,,,0,,,,65,64
720,note_on,,640,0,2,,,,,,,1,,,,53,64
800,control_change,,80,0,2,,,,,,,1,7,103,,,
840,note_off,,120,0,1,,,,,,,0,,,,65,64
840,note_off,,40,0,2,,,,,,,1,,,,53,64
960,note_on,,120,0,1,,,,,,,0,,,,72,64
960,note_on,,120,0,2,,,,,,,1,,,,57,64
1080,note_off,,120,0,2,,,,,,,1,,,,57,64
1080,note_off,,120,0,1,,,,,,,0,,,,72,64
1200,note_on,,120,0,2,,,,,,,1,,,,53,64
1200,note_on,,120,0,1,,,,,,,0,,,,65,64
1320,note_off,,120,0,1,,,,,,,0,,,,65,64
1320,note_off,,120,0,2,,,,,,,1,,,,53,64
1440,note_on,,120,0,2,,,,,,,1,,,,60,64
1440,note_on,,120,0,1,,,,,,,0,,,,77,64
1560,note_off,,120,0,2,,,,,,,1,,,,60,64
1560,note_off,,120,0,1,,,,,,,0,,,,77,64
1680,note_on,,120,0,1,,,,,,,0,,,,76,64
1680,note_on,,1560,0,3,,,,,,,2,,,,41,64
1680,note_on,,120,0,2,,,,,,,1,,,,53,64
1800,note_on,,0,0,1,,,,,,,0,,,,74,64
1800,note_off,,120,0,1,,,,,,,0,,,,76,64
1800,note_off,,120,0,2,,,,,,,1,,,,53,64
1800,note_off,,120,0,3,,,,,,,2,,,,41,64
1920,note_off,,120,0,1,,,,,,,0,,,,74,64
1920,note_on,,120,0,3,,,,,,,2,,,,45,64
1920,note_on,,120,0,2,,,,,,,1,,,,65,64
1920,note_on,,0,0,1,,,,,,,0,,,,72,64
2040,note_off,,120,0,1,,,,,,,0,,,,72,64
2040,note_off,,120,0,3,,,,,,,2,,,,45,64
2040,note_on,,0,0,1,,,,,,,0,,,,74,64
2040,note_off,,120,0,2,,,,,,,1,,,,65,64
2160,note_on,,120,0,3,,,,,,,2,,,,41,64
2160,note_on,,0,0,1,,,,,,,0,,,,72,64
2160,note_on,,120,0,2,,,,,,,1,,,,64,64
2160,note_off,,120,0,1,,,,,,,0,,,,74,64
2280,note_off,,120,0,1,,,,,,,0,,,,72,64
2280,note_on,,0,0,1,,,,,,,0,,,,70,64
2280,note_on,,0,0,2,,,,,,,1,,,,62,64
2280,note_off,,120,0,2,,,,,,,1,,,,64,64
2280,note_off,,120,0,3,,,,,,,2,,,,41,64
2400,note_on,,0,0,2,,,,,,,1,,,,60,64
2400,note_on,,0,0,1,,,,,,,0,,,,69,64
