tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,
0,program_change,,,,,0,0,2,,,,6,0,,
0,note_on,,,,,0,0,2,,,,,0,60,64
0,track_name,,,,,0,1,2,,,,,,,
0,program_change,,,,,0,0,1,,,,6,0,,
0,track_name,,,,,0,1,1,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,
0,midi_port,,,,,0,1,2,,,0,,,,
0,key_signature,,,,,0,1,0,C,,,,,,
0,set_tempo,,,,,0,1,0,,833333,,,,,
60,note_on,,,,,60,0,2,,,,,0,64,64
120,note_on,,,,,120,0,1,,,,,0,67,64
180,note_on,,,,,60,0,1,,,,,0,67,0
180,note_on,,,,,0,0,1,,,,,0,72,64
240,note_on,,,,,0,0,1,,,,,0,76,64
240,note_on,,,,,60,0,1,,,,,0,72,0
300,note_on,,,,,60,0,1,,,,,0,76,0
300,note_on,,,,,0,0,1,,,,,0,67,64
360,note_on,,,,,0,0,1,,,,,0,72,64
360,note_on,,,,,60,0,1,,,,,0,67,0
420,note_on,,,,,60,0,1,,,,,0,72,0
420,note_on,,,,,0,0,1,,,,,0,76,64
435,note_on,,,,,375,0,2,,,,,0,64,0
470,note_on,,,,,35,0,2,,,,,0,60,0
480,note_on,,,,,10,0,2,,,,,0,60,64
480,note_on,,,,,60,0,1,,,,,0,76,0
540,note_on,,,,,60,0,2,,,,,0,64,64
600,note_on,,,,,120,0,1,,,,,0,67,64
660,note_on,,,,,60,0,1,,,,,0,67,0
660,note_on,,,,,0,0,1,,,,,0,72,64
720,note_on,,,,,60,0,1,,,,,0,72,0
720,note_on,,,,,0,0,1,,,,,0,76,64
780,note_on,,,,,0,0,1,,,,,0,67,64
780,note_on,,,,,60,0,1,,,,,0,76,0
840,note_on,,,,,0,0,1,,,,,0,72,64
840,note_on,,,,,60,0,1,,,,,0,67,0
900,note_on,,,,,0,0,1,,,,,0,76,64
900,note_on,,,,,60,0,1,,,,,0,72,0
938,note_on,,,,,398,0,2,,,,,0,64,0
950,note_on,,,,,12,0,2,,,,,0,60,0
960,note_on,,,,,60,0,1,,,,,0,76,0
960,note_on,,,,,10,0,2,,,,,0,60,64
1020,note_on,,,,,60,0,2,,,,,0,62,64
1080,note_on,,,,,120,0,1,,,,,0,69,64
1140,note_on,,,,,0,0,1,,,,,0,74,64
1140,note_on,,,,,60,0,1,,,,,0,69,0
1200,note_on,,,,,60,0,1,,,,,0,74,0
1200,note_on,,,,,0,0,1,,,,,0,77,64
1260,note_on,,,,,0,0,1,,,,,0,69,64
1260,note_on,,,,,60,0,1,,,,,0,77,0
1320,note_on,,,,,0,0,1,,,,,0,74,64
1320,note_on,,,,,60,0,1,,,,,0,69,0
1380,note_on,,,,,60,0,1,,,,,0,74,0
1380,note_on,,,,,0,0,1,,,,,0,77,64
1409,note_on,,,,,389,0,2,,,,,0,62,0
1430,note_on,,,,,21,0,2,,,,,0,60,0
1440,note_on,,,,,60,0,1,,,,,0,77,0
1440,note_on,,,,,10,0,2,,,,,0,60,64
1500,note_on,,,,,60,0,2,,,,,0,62,64
1560,note_on,,,,,120,0,1,,,,,0,69,64
1620,note_on,,,,,0,0,1,,,,,0,74,64
1620,note_on,,,,,60,0,1,,,,,0,69,0
1680,note_on,,,,,60,0,1,,,,,0,74,0
1680,note_on,,,,,0,0,1,,,,,0,77,64
1740,note_on,,,,,0,0,1,,,,,0,69,64
1740,note_on,,,,,60,0,1,,,,,0,77,0
1800,note_on,,,,,60,0,1,,,,,0,69,0
