,note,step,duration,channel,velocity
0,68.0,0,120,0.0,64.0
1,70.0,120,60,0.0,64.0
2,68.0,60,60,0.0,64.0
3,66.0,60,60,0.0,64.0
4,68.0,60,60,0.0,64.0
5,77.0,60,120,0.0,64.0
6,73.0,120,120,0.0,64.0
7,68.0,120,120,0.0,64.0
8,66.0,120,60,0.0,64.0
9,65.0,60,60,0.0,64.0
10,66.0,60,120,0.0,64.0
11,75.0,120,120,0.0,64.0
12,65.0,120,120,0.0,64.0
13,73.0,120,120,0.0,64.0
14,63.0,120,120,0.0,64.0
15,72.0,120,120,0.0,64.0
16,61.0,120,120,0.0,64.0
17,73.0,120,60,0.0,64.0
18,72.0,60,60,0.0,64.0
19,73.0,60,60,0.0,64.0
20,75.0,60,60,0.0,64.0
21,77.0,0,60,0.0,64.0
22,78.0,60,60,0.0,64.0
23,61.0,60,120,1.0,64.0
24,65.0,0,60,1.0,64.0
25,80.0,60,60,0.0,64.0
26,79.0,0,60,0.0,64.0
27,63.0,60,60,1.0,64.0
28,77.0,60,60,0.0,64.0
29,61.0,0,60,1.0,64.0
30,79.0,60,60,0.0,64.0
31,63.0,0,60,1.0,64.0
32,80.0,0,60,0.0,64.0
33,78.0,60,60,0.0,64.0
34,72.0,60,120,1.0,64.0
35,77.0,60,60,0.0,64.0
36,75.0,60,60,0.0,64.0
37,68.0,0,120,1.0,64.0
38,63.0,60,120,1.0,64.0
39,61.0,120,60,1.0,64.0
40,60.0,60,60,1.0,64.0
41,77.0,0,300,0.0,64.0
42,61.0,60,120,1.0,64.0
43,75.0,60,60,0.0,64.0
44,73.0,0,60,0.0,64.0
45,70.0,60,120,1.0,64.0
46,77.0,60,60,0.0,64.0
47,75.0,60,60,0.0,64.0
48,60.0,0,120,1.0,64.0
49,73.0,60,60,0.0,64.0
50,72.0,60,60,0.0,64.0
51,68.0,0,120,1.0,64.0
52,75.0,60,60,0.0,64.0
53,73.0,60,60,0.0,64.0
54,72.0,60,60,0.0,64.0
55,58.0,0,120,1.0,64.0
56,73.0,60,60,0.0,64.0
57,70.0,60,0,0.0,64.0
58,67.0,0,120,1.0,64.0
59,56.0,0,120,1.0,64.0
60,72.0,30,120,0.0,64.0
61,68.0,90,60,1.0,64.0
62,75.0,0,120,0.0,64.0
63,67.0,60,60,1.0,64.0
64,68.0,60,60,1.0,64.0
65,70.0,60,60,1.0,64.0
66,72.0,0,60,1.0,64.0
67,56.0,60,120,2.0,64.0
68,68.0,60,60,1.0,64.0
69,73.0,0,60,1.0,64.0
70,58.0,60,60,2.0,64.0
71,72.0,60,60,1.0,64.0
72,56.0,0,60,2.0,64.0
73,54.0,60,60,2.0,64.0
74,70.0,0,60,1.0,64.0
75,78.0,0,480,0.0,64.0
76,72.0,60,60,1.0,64.0
77,56.0,0,60,2.0,64.0
78,73.0,0,60,1.0,64.0
79,65.0,0,120,2.0,64.0
80,72.0,60,60,1.0,64.0
81,70.0,0,60,1.0,64.0
82,61.0,60,120,2.0,64.0
83,68.0,60,60,1.0,64.0
84,56.0,60,120,2.0,64.0
85,54.0,120,60,2.0,64.0
86,77.0,60,480,0.0,64.0
87,53.0,60,60,2.0,64.0
88,70.0,0,300,1.0,64.0
89,68.0,60,60,1.0,64.0
90,54.0,60,120,2.0,64.0
91,66.0,0,60,1.0,64.0
92,70.0,60,60,1.0,64.0
93,63.0,60,120,2.0,64.0
94,68.0,0,60,1.0,64.0
95,66.0,60,60,1.0,64.0
96,53.0,60,120,2.0,64.0
97,75.0,0,360,0.0,64.0
98,65.0,0,60,1.0,64.0
99,73.0,60,120,0.0,64.0
100,68.0,60,60,1.0,64.0
101,61.0,0,120,2.0,64.0
102,66.0,0,60,1.0,64.0
103,65.0,60,60,1.0,64.0
104,51.0,0,120,2.0,64.0
105,72.0,60,120,0.0,64.0
106,66.0,0,60,1.0,64.0
107,63.0,60,60,1.0,64.0
108,60.0,60,120,2.0,64.0
109,49.0,0,120,2.0,64.0
110,75.0,0,247,0.0,64.0
111,61.0,120,60,2.0,64.0
112,68.0,0,120,0.0,64.0
113,60.0,60,60,2.0,64.0
114,65.0,60,240,1.0,64.0
115,61.0,0,60,2.0,64.0
116,63.0,60,60,2.0,64.0
117,65.0,60,60,2.0,64.0
118,61.0,60,60,2.0,64.0
119,68.0,0,126,1.0,64.0
120,58.0,60,60,2.0,64.0
121,77.0,60,350,0.0,64.0
122,60.0,60,60,2.0,64.0
123,77.0,60,60,0.0,64.0
124,61.0,0,60,2.0,64.0
125,73.0,0,60,0.0,64.0
126,58.0,60,60,2.0,64.0
127,55.0,0,60,2.0,64.0
128,73.0,0,305,1.0,64.0
129,56.0,60,60,2.0,64.0
130,73.0,60,60,1.0,64.0
131,58.0,0,60,2.0,64.0
132,55.0,0,60,2.0,64.0
133,70.0,60,60,1.0,64.0
134,70.0,60,350,0.0,64.0
135,48.0,0,120,2.0,64.0
136,60.0,120,60,2.0,64.0
137,58.0,60,60,2.0,64.0
138,63.0,60,240,1.0,64.0
139,70.0,0,120,0.0,64.0
140,60.0,0,60,2.0,64.0
141,61.0,60,60,2.0,64.0
142,63.0,0,60,2.0,64.0
143,60.0,60,60,2.0,64.0
144,67.0,60,120,1.0,64.0
145,56.0,0,60,2.0,64.0
146,75.0,60,340,0.0,64.0
147,58.0,60,60,2.0,64.0
148,75.0,0,60,0.0,64.0
149,60.0,60,60,2.0,64.0
150,72.0,60,60,0.0,64.0
151,56.0,0,60,2.0,64.0
152,53.0,60,60,2.0,64.0
153,72.0,60,350,1.0,64.0
154,55.0,60,60,2.0,64.0
155,72.0,0,60,1.0,64.0
156,56.0,60,60,2.0,64.0
157,68.0,60,60,1.0,64.0
158,53.0,0,60,2.0,64.0
159,68.0,0,350,0.0,64.0
160,46.0,0,120,2.0,64.0
161,58.0,0,60,2.0,64.0
162,68.0,120,120,0.0,64.0
163,56.0,60,60,2.0,64.0
164,58.0,0,60,2.0,64.0
165,61.0,60,360,1.0,64.0
166,60.0,60,60,2.0,64.0
167,61.0,60,60,2.0,64.0
168,58.0,60,60,2.0,64.0
169,65.0,0,120,1.0,64.0
170,55.0,0,60,2.0,64.0
171,73.0,60,300,0.0,64.0
172,56.0,0,60,2.0,64.0
173,72.0,60,60,0.0,64.0
174,73.0,0,60,0.0,64.0
175,58.0,60,60,2.0,64.0
176,70.0,60,60,0.0,64.0
177,55.0,0,60,2.0,64.0
178,51.0,0,60,2.0,64.0
179,70.0,60,300,1.0,64.0
180,53.0,60,60,2.0,64.0
181,73.0,0,60,1.0,64.0
182,55.0,60,60,2.0,64.0
183,75.0,0,60,1.0,64.0
184,51.0,0,60,2.0,64.0
185,70.0,60,60,1.0,64.0
186,82.0,60,300,0.0,64.0
187,44.0,60,120,2.0,64.0
188,80.0,60,60,0.0,64.0
189,56.0,60,60,2.0,64.0
190,79.0,0,60,0.0,64.0
191,58.0,60,60,2.0,64.0
192,72.0,0,240,1.0,64.0
193,82.0,0,60,0.0,64.0
194,80.0,0,60,0.0,64.0
195,75.0,60,60,0.0,64.0
196,60.0,60,120,2.0,64.0
197,77.0,0,60,0.0,64.0
198,78.0,60,60,0.0,64.0
199,56.0,0,120,2.0,64.0
200,77.0,60,60,0.0,64.0
201,68.0,60,180,1.0,64.0
202,67.0,0,60,1.0,64.0
203,75.0,60,60,0.0,64.0
204,65.0,60,60,1.0,64.0
205,73.0,0,60,0.0,64.0
206,67.0,0,60,1.0,64.0
207,75.0,60,60,0.0,64.0
208,61.0,0,240,2.0,64.0
209,68.0,60,60,1.0,64.0
210,66.0,60,60,1.0,64.0
211,84.0,0,120,0.0,64.0
212,65.0,0,60,1.0,64.0
213,63.0,60,60,1.0,64.0
214,80.0,60,120,0.0,64.0
215,60.0,0,240,2.0,64.0
216,75.0,0,120,0.0,64.0
217,58.0,60,120,2.0,64.0
218,73.0,0,60,0.0,64.0
219,56.0,120,120,2.0,64.0
220,72.0,60,60,0.0,64.0
221,65.0,0,300,1.0,64.0
222,73.0,60,120,0.0,64.0
223,63.0,60,60,1.0,64.0
224,61.0,0,60,1.0,64.0
225,82.0,60,120,0.0,64.0
226,65.0,60,60,1.0,64.0
227,55.0,0,240,2.0,64.0
228,63.0,0,60,1.0,64.0
229,61.0,60,60,1.0,64.0
230,72.0,60,120,0.0,64.0
231,60.0,0,60,1.0,64.0
232,56.0,0,240,2.0,64.0
233,63.0,60,60,1.0,64.0
234,80.0,60,120,0.0,64.0
235,61.0,0,60,1.0,64.0
236,70.0,0,120,0.0,64.0
237,60.0,60,60,1.0,64.0
238,61.0,0,60,1.0,64.0
239,79.0,60,120,0.0,64.0
240,51.0,60,240,2.0,64.0
241,58.0,60,60,1.0,64.0
242,68.0,0,60,0.0,64.0
243,60.0,0,120,1.0,64.0
244,70.0,60,60,0.0,64.0
245,72.0,0,60,0.0,64.0
246,73.0,60,60,0.0,64.0
247,56.0,60,240,2.0,64.0
248,63.0,60,120,1.0,64.0
249,72.0,60,60,0.0,64.0
250,70.0,60,60,0.0,64.0
251,68.0,0,120,1.0,64.0
252,63.0,60,60,2.0,64.0
253,68.0,0,60,0.0,64.0
254,72.0,0,60,0.0,64.0
255,60.0,60,60,2.0,64.0
256,77.0,0,60,0.0,64.0
257,75.0,60,60,0.0,64.0
258,74.0,60,60,0.0,64.0
259,59.0,0,60,1.0,64.0
260,56.0,60,240,2.0,64.0
261,77.0,60,60,0.0,64.0
262,56.0,0,60,1.0,64.0
263,80.0,0,60,0.0,64.0
264,78.0,60,60,0.0,64.0
265,77.0,0,60,0.0,64.0
266,56.0,60,60,2.0,64.0
267,53.0,60,234,1.0,64.0
268,80.0,60,60,0.0,64.0
269,53.0,0,60,2.0,64.0
270,83.0,60,22,0.0,64.0
271,82.0,20,22,0.0,64.0
272,83.0,20,80,0.0,64.0
273,53.0,0,60,1.0,64.0
274,82.0,80,60,0.0,64.0
275,56.0,60,60,1.0,64.0
276,80.0,0,60,0.0,64.0
277,50.0,0,240,2.0,64.0
278,78.0,0,60,0.0,64.0
279,77.0,60,60,0.0,64.0
280,75.0,0,60,0.0,64.0
281,53.0,60,120,2.0,64.0
282,74.0,60,60,0.0,64.0
283,59.0,60,240,1.0,64.0
284,75.0,0,60,0.0,64.0
285,58.0,60,120,1.0,64.0
286,78.0,60,60,0.0,64.0
287,54.0,0,120,2.0,64.0
288,77.0,60,60,0.0,64.0
289,75.0,60,60,0.0,64.0
290,56.0,0,120,2.0,64.0
291,59.0,0,120,1.0,64.0
292,74.0,60,60,0.0,64.0
293,77.0,60,60,0.0,64.0
294,58.0,0,120,2.0,64.0
295,58.0,0,120,1.0,64.0
296,70.0,60,60,0.0,64.0
297,50.0,0,120,1.0,64.0
298,68.0,60,60,0.0,64.0
299,46.0,0,120,2.0,64.0
300,66.0,0,60,0.0,64.0
301,65.0,60,60,0.0,64.0
302,63.0,60,60,0.0,64.0
303,62.0,60,60,0.0,64.0
304,39.0,0,240,2.0,64.0
305,51.0,60,240,1.0,64.0
306,63.0,60,60,0.0,64.0
307,65.0,60,60,0.0,64.0
308,66.0,0,60,0.0,64.0
309,68.0,60,60,0.0,64.0
310,51.0,60,120,2.0,64.0
311,54.0,0,60,2.0,64.0
312,70.0,60,60,0.0,64.0
313,53.0,60,60,2.0,64.0
314,68.0,0,60,0.0,64.0
315,51.0,60,60,2.0,64.0
316,66.0,0,60,0.0,64.0
317,53.0,60,60,2.0,64.0
318,68.0,0,60,0.0,64.0
319,70.0,60,60,0.0,64.0
320,61.0,0,120,2.0,64.0
321,68.0,60,60,0.0,64.0
322,66.0,0,60,0.0,64.0
323,58.0,60,120,2.0,64.0
324,65.0,60,60,0.0,64.0
325,53.0,0,120,2.0,64.0
326,51.0,120,60,2.0,64.0
327,49.0,60,60,2.0,64.0
328,66.0,60,300,0.0,64.0
329,51.0,60,120,2.0,64.0
330,65.0,60,60,0.0,64.0
331,63.0,0,60,0.0,64.0
332,66.0,60,60,0.0,64.0
333,60.0,60,120,2.0,64.0
334,65.0,60,60,0.0,64.0
335,63.0,60,60,0.0,64.0
336,49.0,0,120,2.0,64.0
337,61.0,60,60,0.0,64.0
338,58.0,0,120,2.0,64.0
339,65.0,60,60,0.0,64.0
340,63.0,0,60,0.0,64.0
341,61.0,60,60,0.0,64.0
342,48.0,60,120,2.0,64.0
343,63.0,60,60,0.0,64.0
344,57.0,0,120,2.0,64.0
345,60.0,60,60,0.0,64.0
346,61.0,0,60,0.0,64.0
347,65.0,60,60,0.0,64.0
348,46.0,60,120,2.0,64.0
349,66.0,0,60,0.0,64.0
350,58.0,60,60,2.0,64.0
351,57.0,60,60,2.0,64.0
352,65.0,0,60,0.0,64.0
353,58.0,60,60,2.0,64.0
354,60.0,60,60,2.0,64.0
355,61.0,0,60,2.0,64.0
356,58.0,60,60,2.0,64.0
357,65.0,60,120,1.0,64.0
358,55.0,60,60,2.0,64.0
359,73.0,0,300,0.0,64.0
360,72.0,0,60,0.0,64.0
361,56.0,60,60,2.0,64.0
362,73.0,60,60,0.0,64.0
363,58.0,0,60,2.0,64.0
364,55.0,0,60,2.0,64.0
365,70.0,60,60,0.0,64.0
366,51.0,0,60,2.0,64.0
367,70.0,0,300,1.0,64.0
368,53.0,60,60,2.0,64.0
369,73.0,0,60,1.0,64.0
370,55.0,60,60,2.0,64.0
371,75.0,0,60,1.0,64.0
372,70.0,0,60,1.0,64.0
373,51.0,60,60,2.0,64.0
374,82.0,60,300,0.0,64.0
375,44.0,60,120,2.0,64.0
376,63.0,60,60,0.0,64.0
377,72.0,0,120,1.0,64.0
378,65.0,0,60,0.0,64.0
379,56.0,60,60,2.0,64.0
380,63.0,60,60,0.0,64.0
381,55.0,0,60,2.0,64.0
382,56.0,60,60,2.0,64.0
383,58.0,60,60,2.0,64.0
384,60.0,0,60,2.0,64.0
385,63.0,60,120,1.0,64.0
386,56.0,60,60,2.0,64.0
387,53.0,0,60,2.0,64.0
388,72.0,0,300,0.0,64.0
389,55.0,0,60,2.0,64.0
390,70.0,60,60,0.0,64.0
391,72.0,0,60,0.0,64.0
392,56.0,60,60,2.0,64.0
393,68.0,60,60,0.0,64.0
394,53.0,0,60,2.0,64.0
395,49.0,60,60,2.0,64.0
396,68.0,60,300,1.0,64.0
397,51.0,60,60,2.0,64.0
398,72.0,0,60,1.0,64.0
399,73.0,60,60,1.0,64.0
400,53.0,0,60,2.0,64.0
401,49.0,0,60,2.0,64.0
402,68.0,60,60,1.0,64.0
403,80.0,0,300,0.0,64.0
404,43.0,60,120,2.0,64.0
405,70.0,0,120,1.0,64.0
406,61.0,60,60,0.0,64.0
407,63.0,0,60,0.0,64.0
408,55.0,60,60,2.0,64.0
409,61.0,0,60,0.0,64.0
410,53.0,60,60,2.0,64.0
411,55.0,0,60,2.0,64.0
412,56.0,60,60,2.0,64.0
413,58.0,0,60,2.0,64.0
414,55.0,60,60,2.0,64.0
415,61.0,60,120,1.0,64.0
416,70.0,60,300,0.0,64.0
417,52.0,0,60,2.0,64.0
418,53.0,60,60,2.0,64.0
419,68.0,0,60,0.0,64.0
420,55.0,60,60,2.0,64.0
421,70.0,0,60,0.0,64.0
422,52.0,60,60,2.0,64.0
423,67.0,0,60,0.0,64.0
424,48.0,60,60,2.0,64.0
425,67.0,60,300,1.0,64.0
426,50.0,0,60,2.0,64.0
427,70.0,60,60,1.0,64.0
428,73.0,60,60,1.0,64.0
429,52.0,0,60,2.0,64.0
430,67.0,0,60,1.0,64.0
431,48.0,60,60,2.0,64.0
432,41.0,60,60,2.0,64.0
433,79.0,0,300,0.0,64.0
434,76.0,60,60,0.0,64.0
435,43.0,0,60,2.0,64.0
