tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity
0,track_name,0,1,0,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,1,50,64
0,program_change,0,0,2,,,,,,,0,1,,
0,track_name,0,1,2,,,,,,,,,,
0,program_change,0,0,1,,,,,,,0,0,,
0,track_name,0,1,1,,,,,,,,,,
0,end_of_track,0,1,3,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,681818,,,,
0,key_signature,0,1,0,,,,,C,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,
60,note_on,60,0,1,,,,,,,,0,74,64
120,note_on,120,0,2,,,,,,,,1,50,0
120,note_on,0,0,1,,,,,,,,0,76,64
120,note_on,60,0,1,,,,,,,,0,74,0
180,note_on,0,0,1,,,,,,,,0,78,64
180,note_on,60,0,1,,,,,,,,0,76,0
240,note_on,120,0,2,,,,,,,,1,62,64
240,note_on,0,0,1,,,,,,,,0,69,64
240,note_on,60,0,1,,,,,,,,0,78,0
300,note_on,60,0,1,,,,,,,,0,69,0
300,note_on,0,0,1,,,,,,,,0,78,64
360,note_on,0,0,1,,,,,,,,0,76,64
360,note_on,60,0,1,,,,,,,,0,78,0
360,note_on,120,0,2,,,,,,,,1,62,0
420,note_on,0,0,1,,,,,,,,0,74,64
420,note_on,60,0,1,,,,,,,,0,76,0
480,note_on,0,0,1,,,,,,,,0,81,64
480,note_on,120,0,2,,,,,,,,1,54,64
480,note_on,60,0,1,,,,,,,,0,74,0
540,note_on,0,0,1,,,,,,,,0,74,64
540,note_on,60,0,1,,,,,,,,0,81,0
600,note_on,60,0,1,,,,,,,,0,74,0
600,note_on,0,0,1,,,,,,,,0,76,64
600,note_on,120,0,2,,,,,,,,1,54,0
660,note_on,60,0,1,,,,,,,,0,76,0
660,note_on,0,0,1,,,,,,,,0,78,64
720,note_on,0,0,1,,,,,,,,0,69,64
720,note_on,60,0,1,,,,,,,,0,78,0
720,note_on,120,0,2,,,,,,,,1,62,64
780,note_on,0,0,1,,,,,,,,0,78,64
