tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity
0,time_signature,12,16,6,8,0,1,0,,,,,,,
0,program_change,,,,,0,0,3,,,,6,2,,
0,program_change,,,,,0,0,2,,,,6,1,,
0,track_name,,,,,0,1,2,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,program_change,,,,,0,0,1,,,,6,0,,
0,track_name,,,,,0,1,1,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,
0,midi_port,,,,,0,1,3,,,0,,,,
0,marker,,,,,0,1,0,,,,,,,
0,set_tempo,,,,,0,1,0,,779221,,,,,
0,key_signature,,,,,0,1,0,Bb,,,,,,
4,note_on,,,,,4,0,3,,,,,2,58,64
34,note_on,,,,,34,0,1,,,,,0,82,64
60,note_on,,,,,26,0,1,,,,,0,82,0
64,note_on,,,,,4,0,1,,,,,0,81,64
90,note_on,,,,,26,0,1,,,,,0,81,0
94,note_on,,,,,4,0,1,,,,,0,79,64
120,note_on,,,,,26,0,1,,,,,0,79,0
124,note_on,,,,,4,0,1,,,,,0,77,64
150,note_on,,,,,26,0,1,,,,,0,77,0
154,note_on,,,,,4,0,1,,,,,0,75,64
180,note_on,,,,,26,0,1,,,,,0,75,0
184,note_on,,,,,4,0,1,,,,,0,74,64
214,note_on,,,,,214,0,2,,,,,1,70,64
240,note_on,,,,,26,0,2,,,,,1,70,0
244,note_on,,,,,4,0,2,,,,,1,69,64
262,note_on,,,,,78,0,1,,,,,0,74,0
270,note_on,,,,,26,0,2,,,,,1,69,0
274,note_on,,,,,12,0,1,,,,,0,75,64
274,note_on,,,,,4,0,2,,,,,1,67,64
300,note_on,,,,,26,0,2,,,,,1,67,0
304,note_on,,,,,4,0,2,,,,,1,65,64
330,note_on,,,,,26,0,2,,,,,1,65,0
334,note_on,,,,,4,0,2,,,,,1,63,64
352,note_on,,,,,78,0,1,,,,,0,75,0
360,note_on,,,,,26,0,2,,,,,1,63,0
364,note_on,,,,,12,0,1,,,,,0,77,64
364,note_on,,,,,4,0,2,,,,,1,62,64
390,note_on,,,,,386,0,3,,,,,2,58,0
394,note_on,,,,,4,0,3,,,,,2,58,64
416,note_on,,,,,52,0,1,,,,,0,77,0
416,note_on,,,,,52,0,2,,,,,1,62,0
420,note_on,,,,,26,0,3,,,,,2,58,0
424,note_on,,,,,8,0,2,,,,,1,65,64
424,note_on,,,,,4,0,3,,,,,2,56,64
424,note_on,,,,,8,0,1,,,,,0,74,64
450,note_on,,,,,26,0,2,,,,,1,65,0
450,note_on,,,,,26,0,3,,,,,2,56,0
450,note_on,,,,,26,0,1,,,,,0,74,0
454,note_on,,,,,4,0,3,,,,,2,55,64
454,note_on,,,,,4,0,2,,,,,1,70,64
454,note_on,,,,,4,0,1,,,,,0,75,64
480,note_on,,,,,26,0,3,,,,,2,55,0
484,note_on,,,,,4,0,3,,,,,2,53,64
506,note_on,,,,,52,0,2,,,,,1,70,0
506,note_on,,,,,52,0,1,,,,,0,75,0
510,note_on,,,,,26,0,3,,,,,2,53,0
514,note_on,,,,,8,0,2,,,,,1,75,64
514,note_on,,,,,4,0,3,,,,,2,51,64
514,note_on,,,,,8,0,1,,,,,0,79,64
540,note_on,,,,,26,0,1,,,,,0,79,0
540,note_on,,,,,26,0,3,,,,,2,51,0
540,note_on,,,,,26,0,2,,,,,1,75,0
544,note_on,,,,,4,0,3,,,,,2,58,64
544,note_on,,,,,4,0,1,,,,,0,79,64
544,note_on,,,,,4,0,2,,,,,1,75,64
570,note_on,,,,,26,0,3,,,,,2,58,0
570,note_on,,,,,26,0,1,,,,,0,79,0
574,note_on,,,,,4,0,3,,,,,2,57,64
574,note_on,,,,,4,0,1,,,,,0,77,64
600,note_on,,,,,26,0,3,,,,,2,57,0
600,note_on,,,,,26,0,1,,,,,0,77,0
604,note_on,,,,,4,0,3,,,,,2,58,64
604,note_on,,,,,4,0,1,,,,,0,79,64
630,note_on,,,,,26,0,3,,,,,2,58,0
630,note_on,,,,,26,0,1,,,,,0,79,0
634,note_on,,,,,4,0,1,,,,,0,77,64
634,note_on,,,,,4,0,3,,,,,2,46,64
660,note_on,,,,,116,0,2,,,,,1,75,0
664,note_on,,,,,4,0,2,,,,,1,74,64
