tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity
0,time_signature,2,2,48,8,0,1,0,,,,,,,
0,midi_port,,,,,0,1,1,,,0,,,,
0,track_name,,,,,0,1,1,,,,,,,
0,program_change,,,,,0,0,1,,,,6,0,,
0,set_tempo,,,,,0,1,0,,447761,,,,,
0,key_signature,,,,,0,1,0,F#,,,,,,
0,marker,,,,,0,1,0,,,,,,,
245,note_on,,,,,245,0,1,,,,,0,65,64
310,note_on,,,,,65,0,1,,,,,0,66,64
314,note_on,,,,,4,0,1,,,,,0,65,0
340,note_on,,,,,26,0,1,,,,,0,65,64
344,note_on,,,,,4,0,1,,,,,0,66,0
370,note_on,,,,,26,0,1,,,,,0,66,64
374,note_on,,,,,4,0,1,,,,,0,65,0
399,note_on,,,,,25,0,1,,,,,0,66,0
400,note_on,,,,,1,0,1,,,,,0,65,64
424,note_on,,,,,24,0,1,,,,,0,65,0
425,note_on,,,,,1,0,1,,,,,0,63,64
451,note_on,,,,,26,0,1,,,,,0,63,0
455,note_on,,,,,4,0,1,,,,,0,65,64
481,note_on,,,,,26,0,1,,,,,0,65,0
485,note_on,,,,,4,0,1,,,,,0,66,64
590,note_on,,,,,105,0,1,,,,,0,66,0
725,note_on,,,,,135,0,1,,,,,0,61,64
830,note_on,,,,,105,0,1,,,,,0,61,0
845,note_on,,,,,15,0,1,,,,,0,63,64
950,note_on,,,,,105,0,1,,,,,0,63,0
965,note_on,,,,,15,0,1,,,,,0,64,64
1130,note_on,,,,,165,0,1,,,,,0,64,0
1145,note_on,,,,,15,0,1,,,,,0,63,64
1171,note_on,,,,,26,0,1,,,,,0,63,0
1175,note_on,,,,,4,0,1,,,,,0,61,64
1201,note_on,,,,,26,0,1,,,,,0,61,0
1205,note_on,,,,,4,0,1,,,,,0,59,64
1257,note_on,,,,,52,0,1,,,,,0,59,0
1265,note_on,,,,,8,0,1,,,,,0,58,64
1317,note_on,,,,,52,0,1,,,,,0,58,0
1325,note_on,,,,,8,0,1,,,,,0,59,64
1377,note_on,,,,,52,0,1,,,,,0,59,0
1385,note_on,,,,,8,0,1,,,,,0,61,64
1437,note_on,,,,,52,0,1,,,,,0,61,0
1445,note_on,,,,,8,0,1,,,,,0,63,64
1497,note_on,,,,,52,0,1,,,,,0,63,0
1505,note_on,,,,,8,0,1,,,,,0,65,64
1557,note_on,,,,,52,0,1,,,,,0,65,0
1565,note_on,,,,,8,0,1,,,,,0,66,64
1617,note_on,,,,,52,0,1,,,,,0,66,0
1625,note_on,,,,,8,0,1,,,,,0,63,64
1677,note_on,,,,,52,0,1,,,,,0,63,0
1685,note_on,,,,,8,0,1,,,,,0,68,64
1790,note_on,,,,,105,0,1,,,,,0,68,0
1805,note_on,,,,,15,0,1,,,,,0,59,64
1910,note_on,,,,,105,0,1,,,,,0,59,0
1925,note_on,,,,,15,0,1,,,,,0,61,64
1940,note_on,,,,,15,0,1,,,,,0,59,64
1959,note_on,,,,,19,0,1,,,,,0,61,0
1965,note_on,,,,,6,0,1,,,,,0,61,64
1974,note_on,,,,,9,0,1,,,,,0,59,0
1980,note_on,,,,,6,0,1,,,,,0,59,64
