tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,control_change,0,0,4,,,,,,,,,3,7,100,,
0,note_on,0,0,2,,,,,,,,,1,,,57,73
0,note_on,0,0,2,,,,,,,,,1,,,61,73
0,note_on,0,0,2,,,,,,,,,1,,,66,73
0,control_change,0,0,2,,,,,,,,,1,7,100,,
0,control_change,0,0,2,,,,,,,,,1,32,0,,
0,control_change,0,0,2,,,,,,,,,1,0,0,,
0,control_change,0,0,2,,,,,,,,,1,91,11,,
0,control_change,0,0,2,,,,,,,,,1,93,16,,
0,control_change,0,0,2,,,,,,,,,1,10,32,,
0,control_change,0,0,2,,,,,,,,,1,7,110,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,control_change,0,0,3,,,,,,,,,2,7,104,,
0,control_change,0,0,3,,,,,,,,,2,10,94,,
0,control_change,0,0,4,,,,,,,,,3,91,11,,
0,control_change,0,0,4,,,,,,,,,3,93,18,,
0,control_change,0,0,4,,,,,,,,,3,10,64,,
0,control_change,0,0,4,,,,,,,,,3,7,121,,
0,program_change,0,0,4,,,,,,,,61,3,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,note_on,0,0,3,,,,,,,,,2,,,42,72
0,note_on,0,0,3,,,,,,,,,2,,,49,72
0,note_on,0,0,3,,,,,,,,,2,,,54,72
0,control_change,0,0,3,,,,,,,,,2,7,100,,
0,control_change,0,0,3,,,,,,,,,2,32,0,,
0,control_change,0,0,3,,,,,,,,,2,0,0,,
0,control_change,0,0,3,,,,,,,,,2,91,14,,
0,control_change,0,0,3,,,,,,,,,2,93,12,,
0,note_on,0,0,3,,,,,,,,,2,,,45,72
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,71,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,7,120,,
0,control_change,0,0,1,,,,,,,,,0,10,64,,
0,control_change,0,0,1,,,,,,,,,0,93,11,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,control_change,0,0,1,,,,,,,,,0,91,16,,
0,set_tempo,0,1,0,,,,,,750000,,,,,,,
0,key_signature,0,1,0,,,,,A,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,
360,note_on,0,0,3,,,,,,,,,2,,,45,0
360,note_on,360,0,3,,,,,,,,,2,,,42,0
360,note_on,0,0,3,,,,,,,,,2,,,54,0
360,note_on,0,0,3,,,,,,,,,2,,,49,0
360,note_on,0,0,2,,,,,,,,,1,,,66,47
360,note_on,360,0,1,,,,,,,,,0,,,66,58
360,note_on,0,0,2,,,,,,,,,1,,,61,0
360,note_on,360,0,2,,,,,,,,,1,,,57,0
360,note_on,0,0,2,,,,,,,,,1,,,66,0
600,note_on,0,0,1,,,,,,,,,0,,,66,57
600,note_on,240,0,1,,,,,,,,,0,,,66,0
713,note_on,353,0,2,,,,,,,,,1,,,66,0
720,note_on,0,0,1,,,,,,,,,0,,,66,57
720,note_on,120,0,1,,,,,,,,,0,,,66,0
720,note_on,7,0,2,,,,,,,,,1,,,66,47
960,note_on,240,0,1,,,,,,,,,0,,,66,0
960,note_on,0,0,1,,,,,,,,,0,,,66,56
1073,note_on,353,0,2,,,,,,,,,1,,,66,0
1080,note_on,7,0,2,,,,,,,,,1,,,66,48
1080,note_on,120,0,1,,,,,,,,,0,,,66,0
1080,note_on,0,0,1,,,,,,,,,0,,,66,56
1320,note_on,0,0,1,,,,,,,,,0,,,66,56
1320,note_on,240,0,1,,,,,,,,,0,,,66,0
1433,note_on,353,0,2,,,,,,,,,1,,,66,0
1440,note_on,0,0,2,,,,,,,,,1,,,67,48
1440,note_on,7,0,2,,,,,,,,,1,,,66,48
1440,note_on,0,0,1,,,,,,,,,0,,,67,56
1440,note_on,120,0,1,,,,,,,,,0,,,66,0
1680,note_on,240,0,2,,,,,,,,,1,,,67,0
1680,note_on,0,0,2,,,,,,,,,1,,,66,0
1680,note_on,0,0,2,,,,,,,,,1,,,66,48
1680,note_on,0,0,2,,,,,,,,,1,,,67,48
1800,note_on,0,0,2,,,,,,,,,1,,,67,48
1800,note_on,360,0,1,,,,,,,,,0,,,67,0
1800,note_on,0,0,1,,,,,,,,,0,,,67,55
1800,note_on,120,0,2,,,,,,,,,1,,,67,0
1800,note_on,0,0,2,,,,,,,,,1,,,66,0
1800,note_on,0,0,2,,,,,,,,,1,,,66,48
2040,note_on,0,0,2,,,,,,,,,1,,,66,48
2040,note_on,0,0,2,,,,,,,,,1,,,67,48
2040,note_on,0,0,2,,,,,,,,,1,,,66,0
2040,note_on,0,0,1,,,,,,,,,0,,,67,55
2040,note_on,240,0,1,,,,,,,,,0,,,67,0
2040,note_on,240,0,2,,,,,,,,,1,,,67,0
2160,note_on,0,0,2,,,,,,,,,1,,,66,0
2160,note_on,120,0,2,,,,,,,,,1,,,67,0
2160,note_on,0,0,2,,,,,,,,,1,,,64,50
2160,note_on,120,0,1,,,,,,,,,0,,,67,0
2160,note_on,0,0,2,,,,,,,,,1,,,67,50
2160,note_on,0,0,1,,,,,,,,,0,,,67,55
2400,note_on,240,0,2,,,,,,,,,1,,,67,0
2400,note_on,0,0,1,,,,,,,,,0,,,67,55
2400,note_on,240,0,1,,,,,,,,,0,,,67,0
2400,note_on,0,0,2,,,,,,,,,1,,,64,0
2400,note_on,0,0,2,,,,,,,,,1,,,67,50
2400,note_on,0,0,2,,,,,,,,,1,,,64,50
2520,note_on,0,0,2,,,,,,,,,1,,,64,0
2520,note_on,120,0,2,,,,,,,,,1,,,67,0
