,note,step,duration,channel,velocity
0,74.0,0,90,0.0,75.0
1,76.0,90,30,0.0,66.0
2,50.0,30,120,1.0,66.0
3,78.0,0,0,0.0,66.0
4,62.0,0,120,1.0,66.0
5,69.0,0,0,0.0,66.0
6,54.0,120,120,1.0,66.0
7,62.0,120,0,1.0,66.0
8,78.0,0,90,0.0,65.0
9,50.0,0,120,1.0,66.0
10,62.0,30,0,1.0,66.0
11,78.0,90,30,0.0,66.0
12,69.0,0,120,0.0,66.0
13,78.0,0,60,0.0,66.0
14,69.0,0,0,0.0,66.0
15,76.0,60,0,0.0,66.0
16,61.0,60,60,1.0,66.0
17,55.0,0,120,1.0,66.0
18,61.0,0,120,1.0,66.0
19,55.0,0,120,1.0,66.0
20,69.0,120,0,0.0,66.0
21,78.0,0,60,0.0,66.0
22,54.0,0,60,1.0,66.0
23,62.0,0,60,1.0,66.0
24,52.0,60,60,1.0,66.0
25,64.0,0,60,1.0,66.0
26,79.0,0,60,0.0,66.0
27,81.0,0,90,0.0,65.0
28,69.0,0,120,0.0,66.0
29,54.0,0,120,1.0,66.0
30,62.0,60,120,1.0,66.0
31,83.0,90,30,0.0,66.0
32,79.0,30,90,0.0,65.0
33,81.0,90,30,0.0,66.0
34,69.0,0,120,0.0,66.0
35,61.0,0,120,1.0,66.0
36,52.0,0,120,1.0,66.0
37,78.0,0,90,0.0,65.0
38,69.0,0,120,0.0,66.0
39,79.0,90,30,0.0,66.0
40,50.0,30,120,1.0,66.0
41,62.0,0,0,1.0,66.0
42,78.0,30,120,0.0,66.0
43,69.0,0,240,0.0,66.0
44,76.0,0,120,0.0,66.0
45,57.0,0,240,1.0,66.0
46,61.0,120,120,1.0,66.0
47,74.0,120,90,0.0,65.0
48,76.0,90,30,0.0,66.0
49,78.0,0,120,0.0,66.0
50,74.0,0,120,0.0,66.0
51,62.0,30,120,1.0,66.0
52,59.0,0,120,1.0,66.0
53,74.0,0,0,0.0,66.0
54,78.0,0,0,0.0,65.0
55,57.0,120,120,1.0,66.0
56,78.0,0,0,0.0,66.0
57,76.0,60,60,0.0,66.0
58,56.0,30,240,1.0,66.0
59,76.0,60,120,0.0,66.0
60,71.0,0,240,0.0,66.0
61,74.0,0,60,0.0,66.0
62,64.0,0,120,0.0,66.0
63,57.0,120,120,1.0,66.0
64,73.0,60,120,0.0,66.0
65,71.0,60,60,0.0,66.0
66,66.0,60,120,0.0,66.0
67,50.0,0,120,1.0,66.0
68,52.0,0,120,1.0,66.0
69,69.0,0,0,0.0,66.0
70,64.0,0,0,0.0,66.0
71,40.0,120,120,1.0,66.0
72,68.0,60,60,0.0,66.0
73,45.0,0,120,1.0,66.0
74,62.0,0,120,0.0,66.0
75,71.0,60,120,0.0,66.0
76,69.0,120,120,0.0,66.0
77,61.0,0,120,0.0,66.0
78,74.0,120,90,0.0,75.0
79,76.0,90,30,0.0,66.0
80,62.0,0,120,1.0,66.0
81,50.0,0,120,1.0,66.0
82,69.0,0,0,0.0,66.0
83,78.0,0,0,0.0,66.0
84,69.0,120,0,0.0,66.0
85,78.0,0,0,0.0,65.0
86,54.0,120,120,1.0,66.0
87,62.0,0,0,1.0,66.0
88,78.0,90,30,0.0,66.0
89,69.0,0,0,0.0,66.0
90,50.0,0,120,1.0,66.0
91,62.0,0,0,1.0,66.0
92,78.0,30,60,0.0,66.0
93,69.0,0,0,0.0,66.0
94,76.0,60,0,0.0,66.0
95,61.0,60,60,1.0,66.0
96,55.0,0,120,1.0,66.0
97,69.0,0,0,0.0,66.0
98,55.0,0,120,1.0,66.0
99,61.0,0,120,1.0,66.0
100,78.0,0,60,0.0,66.0
101,62.0,120,60,1.0,66.0
102,54.0,0,60,1.0,66.0
103,79.0,60,60,0.0,66.0
104,64.0,0,60,1.0,66.0
105,52.0,0,60,1.0,66.0
106,81.0,60,90,0.0,65.0
107,83.0,90,30,0.0,66.0
108,69.0,0,120,0.0,66.0
109,54.0,0,120,1.0,66.0
110,62.0,0,120,1.0,66.0
111,79.0,30,90,0.0,65.0
112,69.0,30,0,0.0,66.0
113,81.0,90,30,0.0,66.0
114,52.0,0,120,1.0,66.0
115,61.0,0,120,1.0,66.0
116,78.0,0,90,0.0,65.0
117,50.0,0,120,1.0,66.0
118,62.0,0,0,1.0,66.0
119,79.0,90,30,0.0,66.0
120,78.0,0,120,0.0,66.0
121,57.0,30,240,1.0,66.0
122,61.0,0,120,1.0,66.0
123,76.0,120,120,0.0,66.0
124,69.0,0,240,0.0,66.0
125,74.0,120,90,0.0,65.0
126,76.0,90,30,0.0,66.0
127,78.0,0,120,0.0,66.0
128,74.0,0,0,0.0,66.0
129,62.0,30,120,1.0,66.0
130,74.0,120,0,0.0,66.0
131,78.0,0,0,0.0,65.0
132,59.0,0,120,1.0,66.0
133,78.0,90,0,0.0,66.0
134,57.0,0,120,1.0,66.0
135,78.0,0,0,0.0,66.0
136,76.0,60,0,0.0,66.0
137,56.0,30,240,1.0,66.0
138,71.0,0,240,0.0,66.0
139,74.0,0,60,0.0,66.0
140,64.0,0,120,0.0,66.0
141,57.0,120,120,1.0,66.0
142,73.0,60,120,0.0,66.0
143,50.0,60,120,1.0,66.0
144,66.0,0,120,0.0,66.0
145,71.0,60,60,0.0,66.0
146,52.0,0,120,1.0,66.0
147,69.0,0,0,0.0,66.0
148,64.0,0,0,0.0,66.0
149,40.0,120,120,1.0,66.0
150,68.0,60,60,0.0,66.0
151,45.0,0,120,1.0,66.0
152,71.0,0,120,0.0,66.0
153,62.0,60,120,0.0,66.0
154,61.0,0,120,0.0,66.0
155,69.0,120,120,0.0,66.0
156,69.0,120,120,0.0,66.0
157,74.0,0,120,0.0,66.0
158,74.0,120,120,0.0,66.0
159,62.0,0,0,1.0,66.0
160,59.0,0,0,1.0,66.0
161,66.0,0,240,0.0,66.0
162,74.0,120,90,0.0,66.0
163,68.0,0,120,0.0,66.0
164,74.0,90,30,0.0,66.0
165,74.0,0,120,0.0,66.0
166,73.0,120,120,0.0,66.0
167,57.0,30,240,1.0,66.0
168,64.0,0,240,1.0,66.0
169,69.0,0,0,0.0,66.0
170,72.0,90,0,0.0,66.0
171,54.0,0,120,1.0,66.0
172,62.0,30,0,1.0,66.0
173,67.0,0,120,0.0,66.0
174,71.0,0,120,0.0,66.0
175,55.0,0,120,1.0,66.0
176,83.0,120,60,0.0,66.0
177,81.0,60,60,0.0,66.0
178,79.0,60,60,0.0,66.0
179,55.0,0,120,1.0,66.0
180,78.0,0,0,0.0,66.0
181,71.0,0,120,0.0,66.0
182,62.0,0,240,1.0,66.0
183,69.0,0,240,0.0,66.0
184,76.0,120,120,0.0,66.0
185,61.0,0,120,1.0,66.0
186,57.0,60,240,1.0,66.0
187,74.0,120,90,0.0,66.0
188,76.0,90,30,0.0,66.0
189,50.0,25,120,1.0,66.0
190,62.0,120,0,1.0,66.0
191,78.0,0,120,0.0,66.0
192,69.0,0,0,0.0,66.0
193,69.0,120,0,0.0,66.0
194,78.0,0,0,0.0,65.0
195,54.0,0,120,1.0,66.0
196,62.0,0,0,1.0,66.0
197,50.0,0,120,1.0,66.0
198,69.0,0,0,0.0,66.0
199,78.0,0,0,0.0,66.0
200,62.0,0,60,1.0,66.0
201,55.0,0,0,1.0,66.0
202,61.0,60,0,1.0,66.0
203,76.0,0,0,0.0,66.0
204,69.0,0,0,0.0,66.0
205,78.0,0,60,0.0,66.0
206,62.0,0,60,1.0,66.0
207,54.0,120,60,1.0,66.0
208,52.0,0,60,1.0,66.0
209,79.0,60,60,0.0,66.0
210,64.0,0,60,1.0,66.0
211,81.0,0,60,0.0,66.0
212,54.0,0,120,1.0,66.0
213,62.0,65,120,1.0,66.0
214,78.0,60,60,0.0,66.0
215,69.0,0,120,0.0,66.0
216,74.0,0,60,0.0,66.0
217,66.0,60,120,0.0,66.0
218,73.0,60,60,0.0,66.0
219,57.0,0,120,1.0,66.0
220,76.0,60,60,0.0,66.0
221,73.0,60,60,0.0,66.0
222,67.0,60,0,0.0,66.0
223,45.0,0,120,1.0,66.0
224,76.0,0,120,0.0,66.0
225,66.0,0,120,0.0,66.0
226,50.0,0,240,1.0,66.0
227,74.0,120,120,0.0,66.0
228,69.0,119,120,0.0,66.0
229,74.0,0,120,0.0,66.0
230,74.0,120,120,0.0,66.0
231,66.0,0,240,0.0,66.0
232,59.0,0,240,1.0,66.0
233,62.0,120,240,1.0,66.0
234,74.0,120,90,0.0,66.0
235,68.0,0,120,0.0,66.0
236,74.0,0,0,0.0,66.0
237,62.0,0,120,1.0,66.0
238,59.0,0,120,1.0,66.0
239,64.0,0,240,1.0,66.0
240,57.0,0,240,1.0,66.0
241,73.0,120,120,0.0,66.0
242,69.0,0,0,0.0,66.0
243,72.0,90,0,0.0,66.0
244,62.0,30,0,1.0,66.0
245,54.0,120,120,1.0,66.0
246,71.0,0,120,0.0,66.0
247,67.0,0,120,0.0,66.0
248,55.0,0,120,1.0,66.0
249,83.0,120,60,0.0,66.0
250,81.0,60,60,0.0,66.0
251,79.0,0,60,0.0,66.0
252,71.0,0,120,0.0,66.0
253,55.0,60,120,1.0,66.0
254,78.0,0,0,0.0,66.0
255,62.0,0,240,1.0,66.0
256,76.0,0,120,0.0,66.0
257,69.0,60,240,0.0,66.0
258,61.0,120,120,1.0,66.0
259,57.0,0,240,1.0,66.0
260,74.0,120,90,0.0,66.0
261,76.0,90,30,0.0,66.0
262,62.0,0,0,1.0,66.0
263,78.0,0,0,0.0,66.0
264,69.0,0,120,0.0,66.0
265,50.0,25,120,1.0,66.0
266,54.0,120,120,1.0,66.0
267,69.0,0,120,0.0,66.0
268,62.0,0,0,1.0,66.0
269,78.0,0,90,0.0,65.0
270,69.0,0,120,0.0,66.0
271,78.0,90,30,0.0,66.0
272,50.0,120,120,1.0,66.0
273,62.0,0,0,1.0,66.0
274,78.0,30,60,0.0,66.0
275,61.0,0,60,1.0,66.0
276,55.0,0,0,1.0,66.0
277,76.0,60,60,0.0,66.0
278,69.0,60,0,0.0,66.0
279,76.0,0,120,0.0,66.0
280,61.0,0,120,1.0,66.0
281,78.0,0,60,0.0,66.0
282,62.0,120,60,1.0,66.0
283,54.0,0,60,1.0,66.0
284,52.0,0,60,1.0,66.0
285,79.0,60,60,0.0,66.0
286,69.0,0,120,0.0,66.0
287,64.0,0,60,1.0,66.0
288,81.0,0,60,0.0,66.0
289,54.0,0,120,1.0,66.0
290,62.0,0,120,1.0,66.0
291,69.0,65,120,0.0,66.0
292,78.0,60,60,0.0,66.0
293,74.0,0,60,0.0,66.0
294,73.0,60,60,0.0,66.0
295,57.0,0,120,1.0,66.0
296,66.0,60,120,0.0,66.0
297,76.0,60,60,0.0,66.0
298,67.0,0,120,0.0,66.0
299,73.0,60,60,0.0,66.0
300,45.0,0,120,1.0,66.0
301,67.0,0,120,0.0,66.0
302,76.0,60,120,0.0,66.0
303,50.0,0,240,1.0,66.0
304,74.0,120,120,0.0,66.0
305,66.0,0,120,0.0,66.0
