,note,step,duration,channel,velocity
0,76.0,0,110,6.0,102.0
1,64.0,0,110,6.0,102.0
2,76.0,0,150,10.0,100.0
3,76.0,0,150,0.0,94.0
4,52.0,2,150,4.0,93.0
5,64.0,0,150,4.0,93.0
6,76.0,0,150,1.0,93.0
7,76.0,1,150,11.0,100.0
8,76.0,0,150,2.0,94.0
9,52.0,2,150,5.0,93.0
10,64.0,0,150,5.0,93.0
11,64.0,2,150,12.0,100.0
12,52.0,4,150,13.0,99.0
13,52.0,2,150,3.0,93.0
14,40.0,1,150,14.0,97.0
15,52.0,2,150,15.0,70.0
16,71.0,164,50,10.0,100.0
17,71.0,2,50,0.0,94.0
18,59.0,0,50,4.0,93.0
19,47.0,0,50,4.0,93.0
20,71.0,1,50,11.0,100.0
21,71.0,0,50,1.0,93.0
22,47.0,2,50,5.0,93.0
23,59.0,0,50,5.0,93.0
24,71.0,0,50,2.0,94.0
25,59.0,2,50,12.0,100.0
26,47.0,4,50,13.0,99.0
27,47.0,2,50,3.0,93.0
28,35.0,1,50,14.0,97.0
29,47.0,2,50,15.0,70.0
30,71.0,44,60,10.0,100.0
31,71.0,0,60,0.0,94.0
32,47.0,2,60,4.0,93.0
33,59.0,0,60,4.0,93.0
34,71.0,0,60,1.0,93.0
35,71.0,1,60,11.0,100.0
36,47.0,0,60,5.0,93.0
37,59.0,2,60,5.0,93.0
38,71.0,0,60,2.0,94.0
39,59.0,2,60,12.0,100.0
40,47.0,4,60,13.0,99.0
41,47.0,2,60,3.0,93.0
42,35.0,1,60,14.0,97.0
43,47.0,2,60,15.0,70.0
44,64.0,0,110,6.0,102.0
45,76.0,0,110,6.0,102.0
46,80.0,224,150,10.0,100.0
47,68.0,2,150,4.0,93.0
48,80.0,0,150,0.0,94.0
49,56.0,0,150,4.0,93.0
50,80.0,0,150,1.0,93.0
51,80.0,1,150,11.0,100.0
52,68.0,0,150,5.0,93.0
53,80.0,0,150,2.0,94.0
54,68.0,2,150,2.0,94.0
55,56.0,0,150,5.0,93.0
56,68.0,2,150,12.0,100.0
57,56.0,4,150,13.0,99.0
58,56.0,2,150,3.0,93.0
59,44.0,1,150,14.0,97.0
60,52.0,2,150,15.0,70.0
61,76.0,164,50,10.0,100.0
62,64.0,0,50,4.0,93.0
63,52.0,2,50,4.0,93.0
64,76.0,0,50,0.0,94.0
65,76.0,0,50,1.0,93.0
66,76.0,1,50,11.0,100.0
67,64.0,2,50,2.0,94.0
68,76.0,0,50,2.0,94.0
69,64.0,0,50,5.0,93.0
70,52.0,0,50,5.0,93.0
71,64.0,2,50,12.0,100.0
72,52.0,4,50,13.0,99.0
73,52.0,2,50,3.0,93.0
74,40.0,1,50,14.0,97.0
75,52.0,2,50,15.0,70.0
76,76.0,44,60,10.0,100.0
77,64.0,0,60,4.0,93.0
78,52.0,0,60,4.0,93.0
79,76.0,2,60,0.0,94.0
80,76.0,1,60,1.0,93.0
81,76.0,0,60,11.0,100.0
82,64.0,0,60,2.0,94.0
83,52.0,2,60,5.0,93.0
84,64.0,0,60,5.0,93.0
85,76.0,0,60,2.0,94.0
86,64.0,2,60,12.0,100.0
87,52.0,4,60,13.0,99.0
88,52.0,2,60,3.0,93.0
89,40.0,1,60,14.0,97.0
90,52.0,2,60,15.0,70.0
91,64.0,0,110,6.0,102.0
92,76.0,0,110,6.0,102.0
93,83.0,224,150,10.0,100.0
94,83.0,0,150,0.0,94.0
95,71.0,0,150,4.0,93.0
96,59.0,2,150,4.0,93.0
97,83.0,0,150,1.0,93.0
98,83.0,1,150,11.0,100.0
99,59.0,2,150,5.0,93.0
100,71.0,0,150,5.0,93.0
101,71.0,0,150,2.0,94.0
102,83.0,0,150,2.0,94.0
103,71.0,2,150,12.0,100.0
104,59.0,4,150,13.0,99.0
105,59.0,2,150,3.0,93.0
106,47.0,1,150,14.0,97.0
107,52.0,2,150,15.0,70.0
108,80.0,164,50,10.0,100.0
109,56.0,0,50,4.0,93.0
110,80.0,0,50,0.0,94.0
111,68.0,2,50,4.0,93.0
112,80.0,0,50,1.0,93.0
113,80.0,1,50,11.0,100.0
114,56.0,2,50,5.0,93.0
115,68.0,0,50,5.0,93.0
116,64.0,0,50,6.0,102.0
117,76.0,0,50,6.0,102.0
118,80.0,0,50,2.0,94.0
119,68.0,0,50,2.0,94.0
120,68.0,2,50,12.0,100.0
121,56.0,4,50,13.0,99.0
122,56.0,2,50,3.0,93.0
123,44.0,1,50,14.0,97.0
124,52.0,2,50,15.0,70.0
125,80.0,44,60,10.0,100.0
126,80.0,0,60,0.0,94.0
127,56.0,0,60,4.0,93.0
128,68.0,2,60,4.0,93.0
129,80.0,1,60,11.0,100.0
130,80.0,0,60,1.0,93.0
131,80.0,0,60,2.0,94.0
132,68.0,0,60,5.0,93.0
