,note,step,duration,channel,velocity
0,55.0,0,60,10.0,83.0
1,67.0,0,60,10.0,95.0
2,67.0,0,60,11.0,95.0
3,55.0,1,60,11.0,83.0
4,43.0,1,60,13.0,88.0
5,67.0,0,60,6.0,93.0
6,55.0,0,60,12.0,90.0
7,55.0,0,60,6.0,93.0
8,43.0,0,60,15.0,102.0
9,31.0,1,60,14.0,87.0
10,79.0,1,420,0.0,57.0
11,79.0,0,420,1.0,84.0
12,67.0,0,420,4.0,84.0
13,55.0,0,420,4.0,84.0
14,55.0,1,420,3.0,56.0
15,79.0,354,240,10.0,51.0
16,91.0,0,600,0.0,53.0
17,79.0,2,240,11.0,51.0
18,67.0,1,240,12.0,88.0
19,55.0,0,240,13.0,86.0
20,79.0,0,600,2.0,53.0
21,67.0,1,600,2.0,73.0
22,67.0,0,600,3.0,72.0
23,43.0,3,240,14.0,85.0
24,77.0,234,117,10.0,51.0
25,89.0,1,117,0.0,61.0
26,77.0,1,117,11.0,51.0
27,53.0,1,117,13.0,86.0
28,65.0,0,117,12.0,88.0
29,77.0,0,117,2.0,73.0
30,65.0,1,117,2.0,73.0
31,65.0,1,117,3.0,72.0
32,41.0,1,117,14.0,85.0
33,76.0,114,120,10.0,51.0
34,88.0,1,120,0.0,61.0
35,76.0,1,120,11.0,51.0
36,64.0,0,120,12.0,88.0
37,52.0,1,120,13.0,86.0
38,76.0,1,120,2.0,73.0
39,64.0,0,120,2.0,73.0
40,64.0,1,120,3.0,72.0
41,40.0,1,120,14.0,85.0
42,74.0,114,120,10.0,51.0
43,86.0,1,120,0.0,61.0
44,74.0,1,120,11.0,51.0
45,62.0,1,120,12.0,88.0
46,50.0,0,120,13.0,86.0
47,74.0,1,120,2.0,73.0
48,62.0,1,120,3.0,72.0
49,38.0,1,120,14.0,85.0
50,72.0,114,120,10.0,51.0
51,84.0,1,120,0.0,61.0
52,72.0,1,120,11.0,51.0
53,48.0,1,120,13.0,86.0
54,60.0,0,120,12.0,88.0
55,72.0,1,120,2.0,73.0
56,60.0,1,120,3.0,72.0
57,36.0,1,120,14.0,85.0
58,71.0,114,120,10.0,51.0
59,83.0,1,120,0.0,61.0
60,71.0,1,120,11.0,51.0
61,59.0,0,120,12.0,88.0
62,47.0,1,120,13.0,86.0
63,71.0,1,120,2.0,73.0
64,59.0,1,120,3.0,72.0
65,35.0,1,120,14.0,85.0
66,69.0,114,120,10.0,51.0
67,81.0,1,120,0.0,61.0
68,69.0,1,120,11.0,51.0
69,57.0,1,120,12.0,88.0
70,45.0,0,120,13.0,86.0
71,69.0,1,120,2.0,73.0
72,57.0,1,120,3.0,72.0
73,33.0,1,120,14.0,85.0
74,67.0,114,117,10.0,51.0
75,79.0,1,117,0.0,61.0
76,67.0,1,117,11.0,51.0
77,43.0,1,117,13.0,86.0
78,55.0,0,117,12.0,88.0
79,67.0,1,117,2.0,73.0
80,55.0,1,117,3.0,72.0
81,31.0,1,117,14.0,85.0
82,78.0,1,60,0.0,61.0
83,66.0,1,60,2.0,73.0
84,54.0,1,60,3.0,72.0
85,61.0,0,0,3.0,49.0
86,58.0,119,120,3.0,82.0
87,64.0,120,60,3.0,49.0
88,66.0,114,357,10.0,52.0
89,66.0,1,357,11.0,52.0
90,54.0,0,357,12.0,75.0
91,42.0,1,357,13.0,73.0
92,30.0,1,357,14.0,97.0
93,61.0,119,120,3.0,82.0
94,58.0,0,120,3.0,82.0
95,61.0,0,60,3.0,49.0
96,64.0,120,60,3.0,49.0
97,66.0,115,357,10.0,52.0
98,66.0,2,357,11.0,52.0
99,54.0,1,357,12.0,75.0
100,42.0,0,357,13.0,73.0
101,30.0,3,357,14.0,97.0
102,62.0,0,0,3.0,69.0
103,59.0,119,120,3.0,82.0
104,66.0,120,60,3.0,69.0
105,66.0,115,357,10.0,59.0
106,66.0,2,357,11.0,59.0
107,47.0,1,357,13.0,83.0
108,54.0,0,357,12.0,85.0
109,35.0,3,357,14.0,82.0
110,67.0,2,120,11.0,88.0
111,55.0,0,120,12.0,88.0
112,67.0,115,237,10.0,88.0
113,43.0,1,237,13.0,86.0
114,65.0,116,120,11.0,94.0
115,62.0,1,120,12.0,94.0
116,31.0,3,237,14.0,85.0
117,68.0,2,60,11.0,100.0
118,65.0,1,60,12.0,99.0
119,67.0,56,30,11.0,100.0
120,63.0,1,30,12.0,100.0
121,71.0,117,117,10.0,100.0
122,65.0,29,27,11.0,100.0
123,62.0,1,27,12.0,100.0
124,43.0,0,117,13.0,97.0
125,31.0,3,117,14.0,96.0
126,32.0,3,60,14.0,77.0
127,72.0,27,237,10.0,54.0
128,63.0,2,237,11.0,54.0
129,60.0,0,237,12.0,54.0
130,63.0,0,120,2.0,77.0
131,72.0,0,120,2.0,87.0
132,51.0,0,120,3.0,76.0
133,60.0,1,120,3.0,86.0
134,67.0,113,117,10.0,80.0
135,55.0,1,117,12.0,80.0
136,70.0,0,117,2.0,85.0
137,61.0,1,117,2.0,75.0
138,49.0,0,117,3.0,74.0
139,58.0,1,117,3.0,84.0
140,63.0,118,300,7.0,114.0
141,51.0,2,300,7.0,114.0
142,63.0,2,297,11.0,80.0
143,68.0,1,177,2.0,93.0
144,60.0,0,177,2.0,83.0
145,48.0,0,177,3.0,82.0
146,56.0,1,177,3.0,92.0
147,68.0,0,40,2.0,106.0
148,60.0,177,57,11.0,80.0
149,60.0,2,60,2.0,106.0
150,75.0,39,20,2.0,118.0
151,56.0,0,60,3.0,103.0
152,48.0,1,60,3.0,103.0
153,68.0,115,297,10.0,80.0
154,56.0,18,57,11.0,80.0
155,56.0,3,297,12.0,80.0
156,73.0,0,90,2.0,106.0
157,65.0,2,90,2.0,106.0
158,53.0,1,90,3.0,105.0
