tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,,0,4,,,,
0,control_change,0,0,5,,,,,,,,,4,7,100,,
0,control_change,0,0,5,,,,,,,,,4,10,64,,
0,control_change,0,0,5,,,,,,,,,4,93,0,,
0,control_change,0,0,5,,,,,,,,,4,91,66,,
0,track_name,0,1,16,,,,,,,,,,,,,
0,midi_port,0,1,6,,,,,,,0,,,,,,
0,track_name,0,1,6,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,program_change,0,0,6,,,,,,,,48,5,,,,
0,control_change,0,0,6,,,,,,,,,5,10,37,,
0,control_change,0,0,6,,,,,,,,,5,93,0,,
0,control_change,0,0,6,,,,,,,,,5,91,66,,
0,note_on,0,0,6,,,,,,,,,5,,,67,58
0,midi_port,0,1,7,,,,,,,0,,,,,,
0,track_name,0,1,7,,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,,48,6,,,,
0,control_change,0,0,7,,,,,,,,,6,7,100,,
0,control_change,0,0,6,,,,,,,,,5,7,100,,
0,midi_port,0,1,5,,,,,,,0,,,,,,
0,control_change,0,0,4,,,,,,,,,3,91,66,,
0,control_change,0,0,4,,,,,,,,,3,93,0,,
0,program_change,0,0,2,,,,,,,,68,1,,,,
0,control_change,0,0,2,,,,,,,,,1,7,100,,
0,control_change,0,0,2,,,,,,,,,1,10,58,,
0,control_change,0,0,2,,,,,,,,,1,93,0,,
0,control_change,0,0,2,,,,,,,,,1,91,66,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,70,2,,,,
0,control_change,0,0,3,,,,,,,,,2,7,100,,
0,control_change,0,0,3,,,,,,,,,2,10,89,,
0,control_change,0,0,3,,,,,,,,,2,93,0,,
0,control_change,0,0,3,,,,,,,,,2,91,66,,
0,note_on,0,0,3,,,,,,,,,2,,,55,46
0,note_on,0,0,3,,,,,,,,,2,,,51,56
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,60,3,,,,
0,control_change,0,0,4,,,,,,,,,3,7,100,,
0,control_change,0,0,4,,,,,,,,,3,10,53,,
0,control_change,0,0,7,,,,,,,,,6,10,9,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,7,,,,,,,,,6,93,0,,
0,note_on,0,0,7,,,,,,,,,6,,,63,40
0,control_change,0,0,10,,,,,,,,,10,91,66,,
0,note_on,0,0,10,,,,,,,,,10,,,39,57
0,midi_port,0,1,11,,,,,,,0,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,end_of_track,0,1,11,,,,,,,,,,,,,
0,midi_port,0,1,12,,,,,,,0,,,,,,
