tick,type,port,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,,0,0,0,,,
0,control_change,,0,0,1,,,,,,,,121,0,0,,,
0,control_change,,0,0,1,,,,,,,,1,0,0,,,
0,control_change,,0,0,1,,,,,,,,11,127,0,,,
0,control_change,,0,0,1,,,,,,,,64,0,0,,,
0,control_change,,0,0,1,,,,,,,,91,104,0,,,
0,control_change,,0,0,1,,,,,,,,93,0,0,,,
0,track_name,,0,1,7,,,,,,,,,,,,,
0,midi_port,0,0,1,2,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,end_of_track,,0,1,2,,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,midi_port,0,0,1,3,,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,
0,midi_port,0,0,1,4,,,,,,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,
0,midi_port,0,0,1,5,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,end_of_track,,0,1,5,,,,,,,,,,,,,
0,midi_port,0,0,1,6,,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,
0,end_of_track,,0,1,6,,,,,,,,,,,,,
0,midi_port,0,0,1,7,,,,,,,,,,,,,
0,track_name,,0,1,3,,,,,,,,,,,,,
0,midi_port,0,0,1,1,,,,,,,,,,,,,
0,end_of_track,,0,1,7,,,,,,,,,,,,,
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,time_signature,,0,1,0,,2,4,24,8,,,,,,,,
0,key_signature,,0,1,0,,,,,,G,,,,,,,
0,set_tempo,,0,1,0,,,,,,,810811,,,,,,
0,marker,,0,1,0,,,,,,,,,,,,,
0,sysex,,0,0,0,"(65, 16, 66, 18, 64, 1, 48, 3, 12)",,,,,,,,,,,,
60,control_change,,60,0,1,,,,,,,,0,0,0,,,
60,control_change,,0,0,1,,,,,,,,10,64,0,,,
60,control_change,,0,0,1,,,,,,,,7,120,0,,,
60,program_change,,0,0,1,,,,,,,,,,0,0,,
120,text,,60,1,1,,,,,,,,,,,,,
120,text,,0,1,1,,,,,,,,,,,,,
120,text,,0,1,1,,,,,,,,,,,,,
120,text,,0,1,1,,,,,,,,,,,,,
120,text,,0,1,1,,,,,,,,,,,,,
150,note_on,,30,0,1,,,,,,,,,,0,,62,53
179,note_on,,29,0,1,,,,,,,,,,0,,62,0
180,set_tempo,,180,1,0,,,,,,,789474,,,,,,
180,note_on,,1,0,1,,,,,,,,,,0,,74,54
209,note_on,,29,0,1,,,,,,,,,,0,,74,0
210,set_tempo,,30,1,0,,,,,,,750000,,,,,,
210,note_on,,1,0,1,,,,,,,,,,0,,70,59
239,note_on,,29,0,1,,,,,,,,,,0,,70,0
240,set_tempo,,30,1,0,,,,,,,674157,,,,,,
240,note_on,,1,0,1,,,,,,,,,,0,,71,57
269,note_on,,29,0,1,,,,,,,,,,0,,71,0
270,note_on,,1,0,1,,,,,,,,,,0,,66,58
299,note_on,,29,0,1,,,,,,,,,,0,,66,0
300,note_on,,1,0,1,,,,,,,,,,0,,67,58
300,note_on,,0,0,1,,,,,,,,,,0,,43,56
330,note_on,,30,0,1,,,,,,,,,,0,,47,50
360,note_on,,30,0,1,,,,,,,,,,0,,50,54
389,note_on,,29,0,1,,,,,,,,,,0,,67,0
390,note_on,,1,0,1,,,,,,,,,,0,,62,55
419,note_on,,29,0,1,,,,,,,,,,0,,62,0
420,note_on,,1,0,1,,,,,,,,,,0,,74,58
449,note_on,,29,0,1,,,,,,,,,,0,,74,0
450,note_on,,1,0,1,,,,,,,,,,0,,70,54
479,note_on,,29,0,1,,,,,,,,,,0,,70,0
479,note_on,,0,0,1,,,,,,,,,,0,,50,0
479,note_on,,0,0,1,,,,,,,,,,0,,47,0
479,note_on,,0,0,1,,,,,,,,,,0,,43,0
480,note_on,,1,0,1,,,,,,,,,,0,,71,59
509,note_on,,29,0,1,,,,,,,,,,0,,71,0
510,note_on,,1,0,1,,,,,,,,,,0,,66,56
539,note_on,,29,0,1,,,,,,,,,,0,,66,0
540,note_on,,0,0,1,,,,,,,,,,0,,55,48
540,note_on,,1,0,1,,,,,,,,,,0,,67,53
570,note_on,,30,0,1,,,,,,,,,,0,,59,50
600,note_on,,30,0,1,,,,,,,,,,0,,62,51
629,note_on,,29,0,1,,,,,,,,,,0,,67,0
630,note_on,,1,0,1,,,,,,,,,,0,,64,57
659,note_on,,29,0,1,,,,,,,,,,0,,64,0
660,note_on,,1,0,1,,,,,,,,,,0,,76,59
689,note_on,,29,0,1,,,,,,,,,,0,,76,0
690,note_on,,1,0,1,,,,,,,,,,0,,71,57
719,note_on,,0,0,1,,,,,,,,,,0,,55,0
719,note_on,,0,0,1,,,,,,,,,,0,,59,0
719,note_on,,29,0,1,,,,,,,,,,0,,71,0
719,note_on,,0,0,1,,,,,,,,,,0,,62,0
720,note_on,,1,0,1,,,,,,,,,,0,,72,54
749,note_on,,29,0,1,,,,,,,,,,0,,72,0
750,note_on,,1,0,1,,,,,,,,,,0,,68,53
779,note_on,,29,0,1,,,,,,,,,,0,,68,0
780,note_on,,1,0,1,,,,,,,,,,0,,69,55
780,note_on,,0,0,1,,,,,,,,,,0,,43,53
810,note_on,,30,0,1,,,,,,,,,,0,,48,47
840,note_on,,30,0,1,,,,,,,,,,0,,52,47
869,note_on,,29,0,1,,,,,,,,,,0,,69,0
870,note_on,,1,0,1,,,,,,,,,,0,,64,53
899,note_on,,29,0,1,,,,,,,,,,0,,64,0
900,note_on,,1,0,1,,,,,,,,,,0,,76,59
929,note_on,,29,0,1,,,,,,,,,,0,,76,0
930,note_on,,1,0,1,,,,,,,,,,0,,71,53
959,note_on,,0,0,1,,,,,,,,,,0,,43,0
959,note_on,,0,0,1,,,,,,,,,,0,,48,0
959,note_on,,0,0,1,,,,,,,,,,0,,52,0
959,note_on,,29,0,1,,,,,,,,,,0,,71,0
960,note_on,,1,0,1,,,,,,,,,,0,,72,52
989,note_on,,29,0,1,,,,,,,,,,0,,72,0
990,note_on,,1,0,1,,,,,,,,,,0,,68,54
1019,note_on,,29,0,1,,,,,,,,,,0,,68,0
1020,note_on,,0,0,1,,,,,,,,,,0,,55,48
1020,note_on,,1,0,1,,,,,,,,,,0,,69,55
1050,note_on,,30,0,1,,,,,,,,,,0,,60,55
1080,note_on,,30,0,1,,,,,,,,,,0,,64,47
1109,note_on,,29,0,1,,,,,,,,,,0,,69,0
1110,note_on,,1,0,1,,,,,,,,,,0,,69,55
1139,note_on,,29,0,1,,,,,,,,,,0,,69,0
1140,note_on,,1,0,1,,,,,,,,,,0,,84,55
1154,note_on,,14,0,1,,,,,,,,,,0,,84,0
1170,note_on,,16,0,1,,,,,,,,,,0,,83,58
1184,note_on,,14,0,1,,,,,,,,,,0,,83,0
1199,note_on,,15,0,1,,,,,,,,,,0,,64,0
1199,note_on,,0,0,1,,,,,,,,,,0,,60,0
1199,note_on,,0,0,1,,,,,,,,,,0,,55,0
1200,note_on,,1,0,1,,,,,,,,,,0,,81,52
1230,note_on,,30,0,1,,,,,,,,,,0,,54,49
1259,note_on,,29,0,1,,,,,,,,,,0,,54,0
1260,note_on,,1,0,1,,,,,,,,,,0,,57,51
1289,note_on,,0,0,1,,,,,,,,,,0,,81,0
1289,note_on,,29,0,1,,,,,,,,,,0,,57,0
1290,note_on,,0,0,1,,,,,,,,,,0,,62,53
1290,note_on,,1,0,1,,,,,,,,,,0,,79,58
1319,note_on,,0,0,1,,,,,,,,,,0,,79,0
1319,note_on,,29,0,1,,,,,,,,,,0,,62,0
1320,note_on,,1,0,1,,,,,,,,,,0,,78,59
1349,note_on,,29,0,1,,,,,,,,,,0,,78,0
1350,note_on,,0,0,1,,,,,,,,,,0,,50,56
1350,note_on,,1,0,1,,,,,,,,,,0,,76,58
1379,note_on,,29,0,1,,,,,,,,,,0,,50,0
1379,note_on,,0,0,1,,,,,,,,,,0,,76,0
1380,note_on,,0,0,1,,,,,,,,,,0,,57,55
1380,note_on,,1,0,1,,,,,,,,,,0,,74,57
1409,note_on,,29,0,1,,,,,,,,,,0,,57,0
1409,note_on,,0,0,1,,,,,,,,,,0,,74,0
1410,note_on,,1,0,1,,,,,,,,,,0,,72,56
1410,note_on,,0,0,1,,,,,,,,,,0,,60,52
1435,note_on,,25,0,1,,,,,,,,,,0,,72,0
1436,note_on,,1,0,1,,,,,,,,,,0,,74,53
1439,note_on,,3,0,1,,,,,,,,,,0,,60,0
1443,note_on,,4,0,1,,,,,,,,,,0,,74,0
1443,note_on,,0,0,1,,,,,,,,,,0,,72,57
1469,note_on,,26,0,1,,,,,,,,,,0,,72,0
1470,note_on,,0,0,1,,,,,,,,,,0,,55,55
1470,note_on,,1,0,1,,,,,,,,,,0,,71,52
1499,note_on,,29,0,1,,,,,,,,,,0,,55,0
1500,note_on,,1,0,1,,,,,,,,,,0,,59,55
1529,note_on,,0,0,1,,,,,,,,,,0,,71,0
1529,note_on,,29,0,1,,,,,,,,,,0,,59,0
1530,note_on,,0,0,1,,,,,,,,,,0,,62,46
1530,note_on,,1,0,1,,,,,,,,,,0,,79,56
1559,note_on,,29,0,1,,,,,,,,,,0,,62,0
