tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,control_change,0,0,2,,,,,,,,,1,7,100,,
0,control_change,0,0,2,,,,,,,,,1,10,89,,
0,control_change,0,0,2,,,,,,,,,1,93,13,,
0,control_change,0,0,2,,,,,,,,,1,91,18,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,57,52
0,control_change,0,0,1,,,,,,,,,0,91,21,,
0,control_change,0,0,1,,,,,,,,,0,93,15,,
0,control_change,0,0,1,,,,,,,,,0,10,37,,
0,control_change,0,0,1,,,,,,,,,0,7,113,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
0,key_signature,0,1,0,,,,,A,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,0,,,,
0,set_tempo,0,1,0,,,,,,441176,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
40,note_on,40,0,1,,,,,,,,,0,,,57,0
40,note_on,0,0,1,,,,,,,,,0,,,61,52
80,note_on,40,0,1,,,,,,,,,0,,,61,0
80,note_on,0,0,1,,,,,,,,,0,,,64,52
120,note_on,40,0,1,,,,,,,,,0,,,64,0
120,note_on,0,0,1,,,,,,,,,0,,,69,52
160,note_on,0,0,1,,,,,,,,,0,,,73,52
160,note_on,40,0,1,,,,,,,,,0,,,69,0
200,note_on,40,0,1,,,,,,,,,0,,,73,0
200,note_on,0,0,1,,,,,,,,,0,,,76,52
240,note_on,40,0,1,,,,,,,,,0,,,76,0
240,note_on,0,0,1,,,,,,,,,0,,,81,52
360,note_on,360,0,2,,,,,,,,,1,,,47,52
360,note_on,0,0,1,,,,,,,,,0,,,81,72
360,note_on,120,0,1,,,,,,,,,0,,,81,0
400,note_on,0,0,2,,,,,,,,,1,,,50,52
400,note_on,40,0,2,,,,,,,,,1,,,47,0
440,note_on,0,0,2,,,,,,,,,1,,,56,52
440,note_on,40,0,2,,,,,,,,,1,,,50,0
480,note_on,0,0,2,,,,,,,,,1,,,59,52
480,note_on,40,0,2,,,,,,,,,1,,,56,0
520,note_on,0,0,2,,,,,,,,,1,,,62,52
520,note_on,40,0,2,,,,,,,,,1,,,59,0
560,note_on,0,0,2,,,,,,,,,1,,,68,52
560,note_on,40,0,2,,,,,,,,,1,,,62,0
600,note_on,0,0,1,,,,,,,,,0,,,80,52
600,note_on,0,0,1,,,,,,,,,0,,,71,52
600,note_on,240,0,1,,,,,,,,,0,,,81,0
600,note_on,40,0,2,,,,,,,,,1,,,68,0
720,note_on,120,0,1,,,,,,,,,0,,,80,0
720,note_on,0,0,1,,,,,,,,,0,,,71,0
720,note_on,0,0,1,,,,,,,,,0,,,71,52
720,note_on,0,0,1,,,,,,,,,0,,,59,52
760,note_on,0,0,1,,,,,,,,,0,,,62,52
760,note_on,40,0,1,,,,,,,,,0,,,59,0
800,note_on,0,0,1,,,,,,,,,0,,,68,52
800,note_on,40,0,1,,,,,,,,,0,,,62,0
840,note_on,40,0,1,,,,,,,,,0,,,68,0
840,note_on,0,0,1,,,,,,,,,0,,,71,52
880,note_on,0,0,1,,,,,,,,,0,,,74,52
880,note_on,40,0,1,,,,,,,,,0,,,71,0
920,note_on,0,0,1,,,,,,,,,0,,,80,52
920,note_on,40,0,1,,,,,,,,,0,,,74,0
960,note_on,0,0,1,,,,,,,,,0,,,68,52
960,note_on,40,0,1,,,,,,,,,0,,,80,0
960,note_on,0,0,1,,,,,,,,,0,,,83,52
