,note,step,duration,channel,velocity
0,79.0,0,124,0.0,107.0
1,67.0,0,124,0.0,109.0
2,55.0,0,188,0.0,84.0
3,59.0,0,188,0.0,78.0
4,62.0,192,188,0.0,63.0
5,71.0,192,124,0.0,100.0
6,83.0,0,124,0.0,116.0
7,59.0,0,188,0.0,82.0
8,55.0,0,188,0.0,82.0
9,62.0,192,188,0.0,76.0
10,67.0,0,124,0.0,110.0
11,79.0,192,124,0.0,107.0
12,55.0,0,188,0.0,93.0
13,59.0,0,188,0.0,87.0
14,62.0,192,188,0.0,87.0
15,59.0,0,188,0.0,77.0
16,55.0,0,188,0.0,88.0
17,62.0,192,188,0.0,66.0
18,59.0,192,188,0.0,76.0
19,55.0,0,188,0.0,74.0
20,62.0,192,188,0.0,63.0
21,86.0,192,764,0.0,86.0
22,74.0,0,764,0.0,110.0
23,55.0,0,188,0.0,82.0
24,84.0,192,188,0.0,86.0
25,59.0,0,188,0.0,82.0
26,83.0,192,188,0.0,99.0
27,62.0,0,188,0.0,81.0
28,81.0,0,188,0.0,85.0
29,59.0,192,188,0.0,77.0
30,55.0,0,188,0.0,89.0
31,79.0,192,188,0.0,92.0
32,62.0,0,188,0.0,79.0
33,55.0,192,188,0.0,92.0
34,78.0,0,188,0.0,87.0
35,59.0,0,188,0.0,85.0
36,62.0,192,188,0.0,86.0
37,79.0,0,188,0.0,88.0
38,83.0,192,188,0.0,93.0
39,59.0,0,188,0.0,82.0
40,55.0,0,188,0.0,89.0
41,79.0,0,188,0.0,99.0
42,62.0,192,188,0.0,86.0
43,55.0,0,188,0.0,87.0
44,60.0,192,188,0.0,90.0
45,64.0,192,188,0.0,68.0
46,78.0,0,380,0.0,93.0
47,55.0,192,188,0.0,87.0
48,60.0,0,188,0.0,79.0
49,76.0,0,380,0.0,107.0
50,64.0,192,188,0.0,81.0
51,55.0,0,188,0.0,90.0
52,60.0,0,188,0.0,88.0
53,74.0,192,188,0.0,90.0
54,72.0,0,188,0.0,89.0
55,64.0,192,188,0.0,82.0
56,71.0,0,188,0.0,92.0
57,55.0,192,188,0.0,88.0
58,60.0,0,188,0.0,88.0
59,64.0,192,188,0.0,80.0
60,69.0,0,188,0.0,90.0
61,55.0,192,188,0.0,88.0
62,60.0,0,188,0.0,85.0
63,68.0,0,188,0.0,89.0
64,69.0,0,188,0.0,92.0
65,64.0,192,188,0.0,82.0
66,55.0,0,188,0.0,94.0
67,60.0,192,188,0.0,93.0
68,72.0,0,188,0.0,82.0
69,69.0,0,188,0.0,97.0
70,64.0,192,188,0.0,86.0
71,57.0,0,188,0.0,83.0
72,55.0,192,188,0.0,81.0
73,60.0,0,188,0.0,86.0
74,62.0,192,188,0.0,40.0
75,55.0,192,188,0.0,83.0
76,60.0,0,188,0.0,73.0
77,57.0,0,188,0.0,80.0
78,62.0,192,188,0.0,85.0
79,66.0,0,764,0.0,93.0
80,69.0,0,124,0.0,84.0
81,60.0,192,188,0.0,81.0
82,55.0,0,188,0.0,78.0
83,57.0,0,188,0.0,80.0
84,62.0,192,188,0.0,90.0
85,72.0,192,124,0.0,92.0
86,55.0,0,188,0.0,80.0
87,60.0,0,188,0.0,88.0
88,57.0,0,188,0.0,82.0
89,62.0,192,188,0.0,79.0
90,69.0,0,124,0.0,88.0
91,55.0,0,188,0.0,71.0
92,57.0,0,188,0.0,79.0
93,60.0,192,188,0.0,89.0
94,62.0,192,188,0.0,96.0
95,66.0,0,124,0.0,93.0
96,57.0,0,188,0.0,86.0
97,60.0,192,188,0.0,87.0
98,55.0,0,188,0.0,82.0
99,62.0,192,188,0.0,76.0
100,67.0,0,188,0.0,74.0
101,62.0,192,188,0.0,74.0
102,61.0,192,188,0.0,74.0
103,62.0,192,188,0.0,80.0
104,66.0,192,188,0.0,81.0
105,59.0,0,1148,0.0,64.0
106,67.0,192,188,0.0,84.0
107,55.0,192,1148,0.0,69.0
108,69.0,192,188,0.0,81.0
109,62.0,192,188,0.0,78.0
110,61.0,192,188,0.0,78.0
111,62.0,192,188,0.0,76.0
112,67.0,192,188,0.0,93.0
113,54.0,0,1148,0.0,49.0
114,42.0,0,1148,0.0,52.0
115,50.0,0,1148,0.0,60.0
116,69.0,192,188,0.0,77.0
117,71.0,0,188,0.0,79.0
118,67.0,192,188,0.0,82.0
119,66.0,192,188,0.0,76.0
120,43.0,0,764,0.0,62.0
121,50.0,192,764,0.0,75.0
122,55.0,0,764,0.0,59.0
123,67.0,192,188,0.0,80.0
124,57.0,192,188,0.0,61.0
125,72.0,0,188,0.0,79.0
