tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,1,,,,
0,control_change,0,0,1,,,,,,,,,1,7,127,,
0,control_change,0,0,1,,,,,,,,,1,10,64,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,2,,,,
0,control_change,0,0,2,,,,,,,,,2,7,127,,
0,control_change,0,0,2,,,,,,,,,2,10,64,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,0,3,,,,
0,control_change,0,0,3,,,,,,,,,3,7,127,,
0,control_change,0,0,3,,,,,,,,,3,10,64,,
0,note_on,0,0,3,,,,,,,,,3,,,53,45
0,control_change,0,0,4,,,,,,,,,4,10,64,,
0,control_change,0,0,4,,,,,,,,,4,7,127,,
0,program_change,0,0,4,,,,,,,,0,4,,,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,,,6,8,24,8,,,,,,,
0,set_tempo,0,1,0,2068965,,,,,,,,,,,,
0,key_signature,0,1,0,,Db,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
288,note_on,288,0,2,,,,,,,,,2,,,56,45
576,note_on,0,0,3,,,,,,,,,3,,,53,45
576,note_on,288,0,2,,,,,,,,,2,,,56,0
576,note_on,0,0,2,,,,,,,,,2,,,56,45
576,note_on,576,0,3,,,,,,,,,3,,,53,0
576,note_on,576,0,1,,,,,,,,,1,,,61,45
864,note_on,0,0,3,,,,,,,,,3,,,53,60
864,note_on,288,0,3,,,,,,,,,3,,,53,0
864,note_on,288,0,2,,,,,,,,,2,,,56,0
864,note_on,0,0,2,,,,,,,,,2,,,56,60
864,note_on,864,0,4,,,,,,,,,4,,,37,60
864,note_on,0,0,1,,,,,,,,,1,,,65,60
864,note_on,0,0,1,,,,,,,,,1,,,61,60
864,note_on,288,0,1,,,,,,,,,1,,,61,0
864,note_on,0,0,4,,,,,,,,,4,,,49,60
1120,note_on,256,0,3,,,,,,,,,3,,,53,0
1120,note_on,0,0,1,,,,,,,,,1,,,65,0
1120,note_on,256,0,1,,,,,,,,,1,,,61,0
1120,note_on,256,0,2,,,,,,,,,2,,,56,0
1120,note_on,0,0,4,,,,,,,,,4,,,49,0
1120,note_on,256,0,4,,,,,,,,,4,,,37,0
1152,note_on,32,0,2,,,,,,,,,2,,,56,45
1152,note_on,0,0,4,,,,,,,,,4,,,44,45
1152,note_on,32,0,4,,,,,,,,,4,,,37,45
1152,note_on,32,0,1,,,,,,,,,1,,,61,45
1152,note_on,32,0,3,,,,,,,,,3,,,53,45
1248,note_on,96,0,1,,,,,,,,,1,,,61,0
1248,note_on,0,0,1,,,,,,,,,1,,,60,45
1344,note_on,0,0,1,,,,,,,,,1,,,58,45
1344,note_on,96,0,1,,,,,,,,,1,,,60,0
1440,note_on,0,0,1,,,,,,,,,1,,,56,45
1440,note_on,288,0,3,,,,,,,,,3,,,53,0
1440,note_on,96,0,1,,,,,,,,,1,,,58,0
1440,note_on,288,0,4,,,,,,,,,4,,,37,0
1440,note_on,0,0,3,,,,,,,,,3,,,54,45
1440,note_on,0,0,4,,,,,,,,,4,,,39,45
1536,note_on,0,0,1,,,,,,,,,1,,,58,45
1536,note_on,96,0,1,,,,,,,,,1,,,56,0
1632,note_on,0,0,1,,,,,,,,,1,,,60,45
1632,note_on,96,0,1,,,,,,,,,1,,,58,0
1680,note_on,240,0,4,,,,,,,,,4,,,44,0
1696,note_on,16,0,4,,,,,,,,,4,,,39,0
1726,note_on,94,0,1,,,,,,,,,1,,,60,0
1728,note_on,32,0,4,,,,,,,,,4,,,37,45
1728,note_on,0,0,4,,,,,,,,,4,,,44,45
1728,note_on,0,0,3,,,,,,,,,3,,,53,45
1728,note_on,288,0,3,,,,,,,,,3,,,54,0
1728,note_on,2,0,1,,,,,,,,,1,,,61,45
1728,note_on,576,0,2,,,,,,,,,2,,,56,0
1728,note_on,0,0,2,,,,,,,,,2,,,56,45
1824,note_on,0,0,1,,,,,,,,,1,,,63,45
1824,note_on,96,0,1,,,,,,,,,1,,,61,0
1920,note_on,0,0,1,,,,,,,,,1,,,65,45
1920,note_on,96,0,1,,,,,,,,,1,,,63,0
2014,note_on,94,0,1,,,,,,,,,1,,,65,0
2016,note_on,0,0,3,,,,,,,,,3,,,54,45
2016,note_on,288,0,3,,,,,,,,,3,,,53,0
2016,note_on,2,0,1,,,,,,,,,1,,,63,45
2016,note_on,0,0,4,,,,,,,,,4,,,36,45
2016,note_on,288,0,4,,,,,,,,,4,,,37,0
2256,note_on,240,0,4,,,,,,,,,4,,,44,0
2256,note_on,528,0,2,,,,,,,,,2,,,56,0
2272,note_on,256,0,1,,,,,,,,,1,,,63,0
2272,note_on,256,0,3,,,,,,,,,3,,,54,0
2272,note_on,16,0,4,,,,,,,,,4,,,36,0
2304,note_on,32,0,1,,,,,,,,,1,,,61,45
2304,note_on,32,0,3,,,,,,,,,3,,,53,45
2304,note_on,48,0,2,,,,,,,,,2,,,56,45
2304,note_on,0,0,4,,,,,,,,,4,,,44,45
2304,note_on,32,0,4,,,,,,,,,4,,,37,45
2400,note_on,0,0,1,,,,,,,,,1,,,60,45
2400,note_on,96,0,1,,,,,,,,,1,,,61,0
2496,note_on,0,0,1,,,,,,,,,1,,,58,45
2496,note_on,96,0,1,,,,,,,,,1,,,60,0
2592,note_on,0,0,4,,,,,,,,,4,,,39,45
2592,note_on,288,0,3,,,,,,,,,3,,,53,0
2592,note_on,0,0,3,,,,,,,,,3,,,54,45
2592,note_on,96,0,1,,,,,,,,,1,,,58,0
2592,note_on,0,0,1,,,,,,,,,1,,,56,45
2592,note_on,288,0,4,,,,,,,,,4,,,37,0
2688,note_on,0,0,1,,,,,,,,,1,,,58,45
2688,note_on,96,0,1,,,,,,,,,1,,,56,0
2784,note_on,96,0,1,,,,,,,,,1,,,58,0
2784,note_on,0,0,1,,,,,,,,,1,,,60,45
2832,note_on,240,0,4,,,,,,,,,4,,,44,0
2848,note_on,16,0,4,,,,,,,,,4,,,39,0
2848,note_on,256,0,3,,,,,,,,,3,,,54,0
2878,note_on,94,0,1,,,,,,,,,1,,,60,0
2880,note_on,32,0,4,,,,,,,,,4,,,37,45
2880,note_on,0,0,2,,,,,,,,,2,,,56,45
2880,note_on,576,0,2,,,,,,,,,2,,,56,0
2880,note_on,0,0,4,,,,,,,,,4,,,44,45
2880,note_on,32,0,3,,,,,,,,,3,,,53,45
2880,note_on,2,0,1,,,,,,,,,1,,,61,45
2976,note_on,0,0,1,,,,,,,,,1,,,63,45
2976,note_on,96,0,1,,,,,,,,,1,,,61,0
3072,note_on,192,0,3,,,,,,,,,3,,,53,0
3072,note_on,0,0,3,,,,,,,,,3,,,49,45
3072,note_on,96,0,1,,,,,,,,,1,,,63,0
3072,note_on,0,0,1,,,,,,,,,1,,,65,45
3136,note_on,256,0,4,,,,,,,,,4,,,37,0
3136,note_on,256,0,2,,,,,,,,,2,,,56,0
3136,note_on,0,0,4,,,,,,,,,4,,,44,0
3166,note_on,94,0,1,,,,,,,,,1,,,65,0
3168,note_on,0,0,3,,,,,,,,,3,,,48,45
3168,note_on,96,0,3,,,,,,,,,3,,,49,0
3168,note_on,2,0,1,,,,,,,,,1,,,65,45
3168,note_on,32,0,2,,,,,,,,,2,,,56,45
3168,note_on,32,0,4,,,,,,,,,4,,,44,45
3264,note_on,0,0,1,,,,,,,,,1,,,63,45
3264,note_on,96,0,1,,,,,,,,,1,,,65,0
3264,note_on,96,0,2,,,,,,,,,2,,,56,0
3264,note_on,0,0,2,,,,,,,,,2,,,60,45
3360,note_on,192,0,4,,,,,,,,,4,,,44,0
3360,note_on,0,0,4,,,,,,,,,4,,,42,45
3360,note_on,0,0,3,,,,,,,,,3,,,51,45
3360,note_on,192,0,3,,,,,,,,,3,,,48,0
3360,note_on,96,0,2,,,,,,,,,2,,,60,0
3360,note_on,0,0,2,,,,,,,,,2,,,58,45
3424,note_on,160,0,1,,,,,,,,,1,,,63,0
3454,note_on,94,0,4,,,,,,,,,4,,,42,0
3454,note_on,94,0,2,,,,,,,,,2,,,58,0
3456,note_on,2,0,2,,,,,,,,,2,,,57,45
3456,note_on,2,0,4,,,,,,,,,4,,,41,45
3456,note_on,32,0,1,,,,,,,,,1,,,65,45
3616,note_on,160,0,1,,,,,,,,,1,,,65,0
3648,note_on,32,0,1,,,,,,,,,1,,,65,65
3648,note_on,0,0,3,,,,,,,,,3,,,48,65
3648,note_on,288,0,3,,,,,,,,,3,,,51,0
3712,note_on,256,0,4,,,,,,,,,4,,,41,0
3742,note_on,94,0,1,,,,,,,,,1,,,65,0
3744,note_on,0,0,3,,,,,,,,,3,,,49,45
3744,note_on,96,0,3,,,,,,,,,3,,,48,0
3744,note_on,0,0,2,,,,,,,,,2,,,58,45
3744,note_on,288,0,2,,,,,,,,,2,,,57,0
3744,note_on,2,0,1,,,,,,,,,1,,,65,45
3744,note_on,32,0,4,,,,,,,,,4,,,46,45
3840,note_on,0,0,1,,,,,,,,,1,,,61,45
