tick,type,time,meta,track,tempo,key,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,2,,,,
0,control_change,0,0,2,,,,,,,,,2,7,127,,
0,control_change,0,0,2,,,,,,,,,2,10,64,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,0,3,,,,
0,control_change,0,0,3,,,,,,,,,3,7,127,,
0,control_change,0,0,3,,,,,,,,,3,10,64,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,0,4,,,,
0,control_change,0,0,4,,,,,,,,,4,7,127,,
0,control_change,0,0,4,,,,,,,,,4,10,64,,
0,note_on,0,0,4,,,,,,,,,4,,,50,45
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,1,10,64,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,,,2,4,24,8,,,,,,,
0,key_signature,0,1,0,,G,,,,,,,,,,,
0,set_tempo,0,1,0,375000,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,1,,,,,,,,0,1,,,,
0,control_change,0,0,1,,,,,,,,,1,7,127,,
0,text,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
48,note_on,48,0,4,,,,,,,,,4,,,50,0
192,note_on,144,0,4,,,,,,,,,4,,,55,45
240,note_on,48,0,4,,,,,,,,,4,,,55,0
384,note_on,144,0,4,,,,,,,,,4,,,59,45
672,note_on,0,0,4,,,,,,,,,4,,,57,45
672,note_on,288,0,4,,,,,,,,,4,,,59,0
720,note_on,48,0,4,,,,,,,,,4,,,57,0
720,note_on,0,0,4,,,,,,,,,4,,,55,45
766,note_on,46,0,4,,,,,,,,,4,,,55,0
768,note_on,2,0,4,,,,,,,,,4,,,54,45
800,note_on,32,0,4,,,,,,,,,4,,,54,0
864,note_on,64,0,4,,,,,,,,,4,,,55,45
896,note_on,32,0,4,,,,,,,,,4,,,55,0
960,note_on,64,0,4,,,,,,,,,4,,,57,45
992,note_on,32,0,4,,,,,,,,,4,,,57,0
1056,note_on,64,0,4,,,,,,,,,4,,,59,45
