,note,step,duration,channel,velocity
0,60.0,0,60,10.0,108.0
1,60.0,1,60,11.0,58.0
2,65.0,59,39,10.0,108.0
3,65.0,1,39,11.0,58.0
4,65.0,59,39,10.0,108.0
5,65.0,1,39,11.0,58.0
6,65.0,59,60,10.0,108.0
7,65.0,1,60,11.0,58.0
8,69.0,59,39,10.0,108.0
9,69.0,1,39,11.0,58.0
10,69.0,59,39,10.0,108.0
11,69.0,1,39,11.0,58.0
12,69.0,59,60,10.0,108.0
13,69.0,1,60,11.0,58.0
14,70.0,59,39,10.0,108.0
15,70.0,1,39,11.0,58.0
16,70.0,59,30,10.0,108.0
17,70.0,1,30,11.0,58.0
18,69.0,44,10,10.0,108.0
19,69.0,1,10,11.0,58.0
20,67.0,14,30,10.0,108.0
21,67.0,1,30,11.0,58.0
22,65.0,44,10,10.0,108.0
23,65.0,1,10,11.0,58.0
24,64.0,14,39,10.0,108.0
25,64.0,1,39,11.0,58.0
26,64.0,59,39,10.0,108.0
27,64.0,1,39,11.0,58.0
28,64.0,59,60,10.0,108.0
29,64.0,1,60,11.0,58.0
30,65.0,59,60,10.0,108.0
31,65.0,1,60,11.0,61.0
32,67.0,59,60,10.0,108.0
33,67.0,1,60,11.0,65.0
34,69.0,59,55,10.0,108.0
35,69.0,1,55,11.0,68.0
36,70.0,59,90,10.0,108.0
37,70.0,1,90,11.0,72.0
38,72.0,89,25,10.0,108.0
39,72.0,1,25,11.0,77.0
40,69.0,29,30,10.0,108.0
41,69.0,1,30,11.0,79.0
42,53.0,1,60,12.0,93.0
43,53.0,2,60,13.0,91.0
44,60.0,1,39,12.0,108.0
45,60.0,2,39,13.0,106.0
46,67.0,56,60,10.0,108.0
47,67.0,1,60,11.0,83.0
48,60.0,58,39,12.0,108.0
49,60.0,2,39,13.0,106.0
50,67.0,57,60,11.0,76.0
51,60.0,1,60,12.0,108.0
52,60.0,2,60,13.0,106.0
53,72.0,57,39,11.0,108.0
54,64.0,1,39,12.0,108.0
