,note,step,duration,channel,velocity
0,76.0,0,59,0.0,100.0
1,57.0,0,119,1.0,100.0
2,73.0,60,59,0.0,100.0
3,71.0,60,20,0.0,100.0
4,73.0,20,20,0.0,100.0
5,71.0,20,20,0.0,100.0
6,69.0,20,59,0.0,100.0
7,49.0,0,59,1.0,100.0
8,81.0,60,119,0.0,100.0
9,57.0,60,59,1.0,100.0
10,52.0,60,59,1.0,100.0
11,49.0,60,59,1.0,100.0
12,76.0,0,59,0.0,100.0
13,73.0,60,59,0.0,100.0
14,45.0,60,119,1.0,100.0
15,71.0,60,20,0.0,100.0
16,73.0,20,20,0.0,100.0
17,71.0,20,20,0.0,100.0
18,69.0,20,59,0.0,100.0
19,49.0,60,59,1.0,100.0
20,81.0,0,119,0.0,100.0
21,57.0,60,59,1.0,100.0
22,45.0,60,59,1.0,100.0
23,57.0,60,59,1.0,100.0
24,81.0,0,59,0.0,100.0
25,59.0,60,119,1.0,100.0
26,80.0,60,59,0.0,100.0
27,80.0,60,59,0.0,100.0
28,78.0,60,59,0.0,100.0
29,57.0,0,119,1.0,100.0
30,78.0,0,59,0.0,100.0
31,56.0,60,119,1.0,100.0
32,76.0,60,59,0.0,100.0
33,76.0,0,59,0.0,100.0
34,74.0,60,59,0.0,100.0
35,54.0,60,119,1.0,100.0
36,73.0,60,59,0.0,100.0
37,76.0,60,59,0.0,100.0
38,52.0,0,119,1.0,100.0
39,68.0,0,59,0.0,100.0
40,50.0,60,119,1.0,100.0
41,71.0,60,59,0.0,100.0
42,49.0,60,119,1.0,100.0
43,69.0,0,119,0.0,100.0
44,45.0,120,119,1.0,100.0
45,76.0,0,59,0.0,100.0
46,57.0,120,119,1.0,100.0
47,73.0,60,59,0.0,100.0
48,71.0,60,20,0.0,100.0
49,73.0,20,20,0.0,100.0
50,71.0,20,20,0.0,100.0
51,69.0,20,59,0.0,100.0
52,49.0,0,59,1.0,100.0
53,81.0,60,119,0.0,100.0
54,57.0,60,59,1.0,100.0
55,52.0,60,59,1.0,100.0
56,49.0,60,59,1.0,100.0
57,76.0,0,59,0.0,100.0
58,73.0,60,59,0.0,100.0
59,45.0,60,119,1.0,100.0
60,71.0,60,20,0.0,100.0
61,73.0,20,20,0.0,100.0
62,71.0,20,20,0.0,100.0
63,69.0,20,59,0.0,100.0
64,49.0,60,59,1.0,100.0
