,note,step,duration,channel,velocity
0,60.0,0,48,0.0,72.0
1,64.0,48,48,0.0,72.0
2,67.0,48,48,0.0,72.0
3,48.0,0,604,1.0,72.0
4,36.0,0,604,1.0,72.0
5,72.0,48,604,0.0,72.0
6,43.0,0,764,1.0,72.0
7,31.0,624,764,1.0,72.0
8,67.0,0,764,0.0,72.0
9,52.0,768,572,1.0,72.0
10,76.0,0,576,0.0,72.0
11,77.0,0,92,0.0,72.0
12,53.0,576,92,1.0,72.0
13,74.0,96,92,0.0,72.0
14,50.0,0,92,1.0,72.0
15,72.0,96,380,0.0,72.0
16,48.0,0,380,1.0,72.0
17,64.0,0,144,0.0,51.0
18,67.0,192,144,0.0,51.0
19,79.0,768,380,0.0,51.0
20,64.0,0,144,0.0,51.0
21,67.0,192,144,0.0,51.0
22,79.0,192,380,0.0,51.0
23,61.0,192,144,0.0,51.0
24,67.0,192,144,0.0,51.0
25,61.0,0,144,0.0,51.0
26,67.0,192,144,0.0,51.0
27,81.0,192,380,0.0,51.0
28,79.0,192,48,0.0,51.0
29,62.0,0,144,0.0,51.0
30,67.0,144,144,0.0,51.0
31,77.0,48,332,0.0,51.0
32,62.0,0,144,0.0,51.0
33,67.0,192,144,0.0,51.0
34,77.0,192,380,0.0,51.0
35,59.0,192,144,0.0,51.0
36,67.0,192,144,0.0,51.0
37,59.0,0,144,0.0,51.0
38,67.0,192,144,0.0,51.0
39,79.0,192,380,0.0,51.0
40,77.0,192,48,0.0,51.0
41,60.0,0,144,0.0,51.0
42,67.0,144,144,0.0,51.0
43,76.0,48,332,0.0,51.0
44,60.0,0,144,0.0,51.0
45,67.0,192,144,0.0,51.0
46,76.0,192,380,0.0,51.0
47,64.0,192,144,0.0,51.0
48,67.0,192,144,0.0,51.0
49,64.0,192,144,0.0,51.0
50,79.0,0,192,0.0,51.0
51,67.0,0,144,0.0,51.0
52,76.0,192,192,0.0,51.0
53,73.0,192,144,0.0,51.0
54,74.0,192,144,0.0,51.0
55,77.0,192,144,0.0,51.0
56,76.0,192,144,0.0,51.0
57,73.0,192,144,0.0,51.0
58,74.0,192,144,0.0,51.0
59,77.0,192,144,0.0,51.0
60,76.0,192,144,0.0,51.0
61,69.0,0,1532,0.0,51.0
62,65.0,0,1532,0.0,51.0
63,73.0,192,144,0.0,51.0
64,74.0,192,144,0.0,51.0
65,77.0,0,144,0.0,51.0
66,81.0,192,144,0.0,51.0
67,62.0,192,380,1.0,51.0
68,57.0,0,380,1.0,51.0
69,53.0,0,380,1.0,51.0
70,79.0,0,144,0.0,51.0
71,76.0,192,144,0.0,51.0
72,55.0,192,380,1.0,51.0
73,60.0,0,380,1.0,51.0
74,64.0,0,380,1.0,51.0
75,77.0,192,144,0.0,51.0
76,74.0,192,144,0.0,51.0
77,55.0,0,380,1.0,51.0
78,59.0,0,380,1.0,51.0
79,62.0,0,380,1.0,51.0
80,60.0,192,48,0.0,72.0
81,64.0,48,48,0.0,72.0
82,67.0,48,48,0.0,72.0
83,72.0,0,604,0.0,72.0
84,48.0,0,604,1.0,72.0
85,36.0,48,604,1.0,72.0
86,31.0,624,764,1.0,72.0
87,43.0,0,764,1.0,72.0
88,67.0,0,764,0.0,72.0
89,76.0,768,572,0.0,72.0
90,52.0,0,572,1.0,72.0
91,53.0,0,92,1.0,72.0
92,77.0,576,92,0.0,72.0
93,50.0,0,92,1.0,72.0
94,74.0,96,92,0.0,72.0
95,48.0,80,380,1.0,72.0
96,72.0,16,380,0.0,72.0
97,64.0,0,144,0.0,51.0
98,67.0,192,144,0.0,51.0
99,79.0,768,380,0.0,51.0
100,64.0,0,144,0.0,51.0
101,67.0,192,144,0.0,51.0
102,79.0,192,380,0.0,51.0
103,61.0,192,144,0.0,51.0
104,67.0,192,144,0.0,51.0
105,61.0,192,144,0.0,51.0
106,67.0,192,144,0.0,51.0
107,81.0,0,380,0.0,51.0
108,79.0,192,48,0.0,51.0
109,62.0,0,144,0.0,51.0
110,67.0,144,144,0.0,51.0
111,77.0,48,332,0.0,51.0
112,62.0,0,144,0.0,51.0
113,67.0,192,144,0.0,51.0
114,77.0,192,380,0.0,51.0
115,59.0,192,144,0.0,51.0
116,67.0,192,144,0.0,51.0
117,78.0,0,144,0.0,51.0
118,59.0,192,144,0.0,51.0
119,81.0,0,144,0.0,51.0
120,79.0,0,144,0.0,51.0
121,67.0,192,144,0.0,51.0
122,77.0,192,44,0.0,51.0
123,60.0,48,144,0.0,51.0
124,67.0,144,144,0.0,51.0
125,76.0,0,332,0.0,51.0
126,60.0,0,144,0.0,51.0
127,67.0,192,144,0.0,51.0
128,76.0,192,380,0.0,51.0
129,64.0,192,144,0.0,51.0
130,76.0,192,144,0.0,51.0
131,67.0,0,144,0.0,51.0
132,64.0,0,144,0.0,51.0
133,79.0,192,144,0.0,51.0
134,67.0,0,144,0.0,51.0
135,76.0,192,144,0.0,51.0
136,67.0,0,528,0.0,51.0
137,70.0,0,528,0.0,51.0
138,73.0,192,572,0.0,72.0
139,74.0,576,92,0.0,51.0
140,76.0,96,92,0.0,51.0
141,74.0,0,380,0.0,51.0
142,65.0,96,380,0.0,51.0
143,69.0,0,380,0.0,51.0
144,77.0,576,144,0.0,51.0
145,71.0,192,528,0.0,51.0
146,67.0,0,528,0.0,51.0
147,76.0,0,572,0.0,72.0
148,77.0,576,92,0.0,51.0
149,79.0,96,92,0.0,51.0
150,72.0,0,380,0.0,51.0
151,69.0,0,380,0.0,51.0
152,77.0,96,380,0.0,51.0
153,57.0,0,144,1.0,72.0
154,84.0,768,144,0.0,72.0
155,72.0,0,144,0.0,72.0
156,60.0,192,144,1.0,72.0
157,84.0,0,144,0.0,72.0
158,72.0,0,144,0.0,72.0
159,57.0,0,144,1.0,72.0
160,60.0,192,144,1.0,72.0
161,53.0,192,144,1.0,51.0
162,60.0,192,144,1.0,51.0
163,72.0,0,764,0.0,72.0
164,84.0,192,764,0.0,72.0
165,53.0,192,144,1.0,51.0
166,83.0,0,188,0.0,51.0
167,60.0,192,144,1.0,51.0
168,81.0,0,188,0.0,51.0
169,52.0,0,144,1.0,72.0
170,79.0,0,144,0.0,72.0
171,72.0,192,144,0.0,72.0
172,60.0,0,144,1.0,72.0
173,79.0,0,144,0.0,72.0
174,72.0,192,144,0.0,72.0
175,52.0,192,144,1.0,72.0
176,60.0,192,144,1.0,72.0
177,48.0,192,144,1.0,51.0
178,72.0,0,528,0.0,72.0
179,79.0,0,528,0.0,72.0
180,60.0,192,144,1.0,51.0
181,77.0,0,144,0.0,51.0
182,48.0,192,144,1.0,51.0
183,60.0,0,144,1.0,51.0
184,76.0,192,144,0.0,51.0
185,76.0,192,92,0.0,51.0
186,53.0,0,144,1.0,51.0
187,74.0,96,92,0.0,51.0
188,77.0,96,92,0.0,51.0
189,57.0,0,144,1.0,51.0
190,81.0,96,92,0.0,51.0
191,79.0,96,44,0.0,51.0
192,53.0,0,144,1.0,51.0
193,77.0,48,140,0.0,51.0
194,76.0,144,92,0.0,51.0
195,62.0,0,144,1.0,51.0
196,74.0,96,92,0.0,51.0
197,55.0,0,144,1.0,51.0
198,64.0,192,144,1.0,51.0
199,72.0,96,380,0.0,51.0
200,71.0,192,44,0.0,51.0
201,72.0,48,44,0.0,51.0
202,71.0,48,44,0.0,51.0
203,55.0,0,144,1.0,51.0
204,72.0,48,44,0.0,51.0
205,69.0,0,92,0.0,51.0
206,62.0,48,144,1.0,51.0
207,72.0,96,92,0.0,51.0
208,84.0,0,144,0.0,72.0
209,72.0,0,144,0.0,72.0
210,57.0,96,144,1.0,72.0
211,84.0,192,144,0.0,72.0
212,72.0,0,144,0.0,72.0
213,60.0,0,144,1.0,72.0
214,57.0,192,144,1.0,72.0
215,60.0,192,144,1.0,72.0
216,53.0,192,144,1.0,51.0
217,84.0,0,572,0.0,72.0
218,72.0,0,572,0.0,72.0
219,86.0,192,92,0.0,51.0
220,60.0,0,144,1.0,51.0
221,84.0,96,92,0.0,51.0
222,53.0,96,144,1.0,51.0
223,83.0,0,144,0.0,51.0
224,81.0,192,144,0.0,51.0
225,60.0,0,144,1.0,51.0
226,52.0,0,144,1.0,72.0
227,79.0,0,144,0.0,72.0
228,72.0,192,144,0.0,72.0
229,60.0,192,144,1.0,72.0
230,79.0,0,144,0.0,72.0
231,72.0,0,144,0.0,72.0
232,52.0,0,144,1.0,72.0
233,60.0,192,144,1.0,72.0
234,48.0,192,144,1.0,51.0
235,72.0,0,572,0.0,72.0
236,79.0,192,572,0.0,72.0
237,81.0,0,92,0.0,51.0
238,60.0,192,144,1.0,51.0
239,79.0,96,92,0.0,51.0
240,77.0,0,144,0.0,51.0
241,48.0,96,144,1.0,51.0
242,76.0,0,144,0.0,51.0
243,60.0,192,144,1.0,51.0
244,76.0,192,92,0.0,51.0
245,53.0,0,144,1.0,51.0
246,71.0,96,92,0.0,51.0
247,81.0,0,92,0.0,51.0
248,60.0,96,144,1.0,51.0
249,80.0,96,92,0.0,51.0
250,83.0,0,44,0.0,51.0
251,53.0,96,144,1.0,51.0
252,81.0,48,140,0.0,51.0
