,note,step,duration,channel,velocity
0,53.0,48,28,1.0,88.0
1,53.0,48,28,1.0,88.0
2,77.0,0,129,0.0,88.0
3,76.0,48,21,0.0,88.0
4,53.0,0,28,1.0,88.0
5,74.0,24,21,0.0,88.0
6,74.0,24,24,0.0,88.0
7,53.0,24,28,1.0,88.0
8,53.0,48,28,1.0,88.0
9,72.0,24,117,0.0,88.0
10,70.0,0,21,0.0,88.0
11,53.0,48,28,1.0,88.0
12,69.0,24,21,0.0,88.0
13,72.0,24,6,0.0,88.0
14,70.0,6,6,0.0,88.0
15,72.0,6,6,0.0,88.0
16,70.0,6,6,0.0,88.0
17,72.0,6,6,0.0,88.0
18,70.0,6,6,0.0,88.0
19,72.0,6,6,0.0,88.0
20,70.0,6,6,0.0,88.0
21,72.0,6,6,0.0,88.0
22,70.0,6,6,0.0,88.0
23,72.0,6,6,0.0,88.0
24,70.0,6,6,0.0,88.0
25,50.0,0,28,1.0,88.0
26,69.0,6,12,0.0,88.0
27,70.0,12,12,0.0,88.0
28,52.0,0,28,1.0,88.0
29,72.0,12,48,0.0,88.0
30,52.0,48,28,1.0,88.0
31,70.0,0,48,0.0,88.0
32,68.0,48,48,0.0,88.0
33,69.0,48,48,0.0,88.0
34,53.0,0,48,1.0,88.0
35,48.0,48,48,1.0,88.0
36,45.0,48,28,1.0,88.0
37,41.0,48,28,1.0,88.0
38,53.0,48,28,1.0,88.0
39,57.0,48,28,1.0,88.0
40,53.0,48,28,1.0,88.0
41,65.0,0,172,0.0,88.0
42,48.0,48,28,1.0,88.0
43,52.0,48,28,1.0,88.0
44,67.0,48,172,0.0,88.0
45,48.0,48,28,1.0,88.0
46,69.0,48,72,0.0,88.0
47,70.0,72,24,0.0,88.0
48,53.0,0,96,1.0,88.0
49,72.0,24,24,0.0,88.0
50,74.0,24,24,0.0,88.0
51,76.0,24,24,0.0,88.0
52,77.0,24,24,0.0,88.0
53,57.0,0,96,1.0,88.0
54,79.0,0,24,0.0,88.0
55,77.0,24,24,0.0,88.0
56,76.0,24,24,0.0,88.0
57,55.0,24,96,1.0,88.0
58,74.0,24,24,0.0,88.0
59,72.0,0,48,0.0,88.0
60,72.0,48,6,0.0,88.0
61,48.0,24,57,1.0,88.0
62,70.0,6,6,0.0,88.0
63,72.0,6,6,0.0,88.0
64,70.0,6,6,0.0,88.0
65,72.0,6,6,0.0,88.0
66,70.0,6,6,0.0,88.0
67,72.0,6,6,0.0,88.0
68,70.0,6,5,0.0,88.0
69,53.0,0,28,1.0,114.0
70,69.0,6,86,0.0,88.0
71,57.0,48,48,1.0,88.0
72,60.0,48,24,1.0,88.0
73,57.0,24,24,1.0,88.0
74,58.0,24,24,1.0,88.0
75,55.0,24,24,1.0,88.0
76,67.0,0,6,0.0,88.0
77,65.0,6,6,0.0,88.0
78,67.0,6,6,0.0,88.0
79,65.0,6,6,0.0,88.0
80,67.0,6,6,0.0,88.0
81,65.0,6,6,0.0,88.0
82,67.0,6,6,0.0,88.0
83,53.0,24,48,1.0,88.0
84,65.0,6,6,0.0,88.0
85,67.0,6,6,0.0,88.0
86,65.0,6,6,0.0,88.0
87,67.0,6,6,0.0,88.0
88,65.0,6,6,0.0,88.0
89,41.0,0,28,1.0,88.0
90,67.0,6,6,0.0,88.0
91,65.0,6,6,0.0,88.0
92,67.0,6,6,0.0,88.0
93,65.0,6,6,0.0,88.0
94,67.0,6,6,0.0,88.0
95,65.0,6,6,0.0,88.0
96,67.0,6,6,0.0,88.0
97,65.0,6,6,0.0,88.0
98,45.0,0,28,1.0,88.0
99,67.0,6,6,0.0,88.0
100,65.0,6,6,0.0,88.0
101,67.0,6,6,0.0,88.0
102,65.0,6,6,0.0,88.0
103,64.0,0,24,0.0,88.0
104,41.0,6,28,1.0,88.0
105,65.0,24,21,0.0,88.0
106,69.0,24,6,0.0,88.0
107,67.0,6,6,0.0,88.0
108,69.0,6,6,0.0,88.0
109,67.0,6,6,0.0,88.0
110,69.0,6,6,0.0,88.0
111,67.0,6,6,0.0,88.0
112,69.0,6,6,0.0,88.0
113,67.0,6,6,0.0,88.0
114,69.0,0,6,0.0,88.0
115,67.0,6,6,0.0,88.0
116,69.0,6,6,0.0,88.0
117,67.0,6,6,0.0,88.0
118,48.0,6,28,1.0,88.0
119,69.0,6,6,0.0,88.0
120,67.0,6,6,0.0,88.0
121,69.0,6,6,0.0,88.0
122,67.0,6,6,0.0,88.0
123,69.0,0,6,0.0,88.0
124,67.0,6,6,0.0,88.0
125,69.0,6,6,0.0,88.0
126,67.0,6,6,0.0,88.0
127,52.0,6,28,1.0,88.0
128,69.0,6,6,0.0,88.0
129,67.0,6,6,0.0,88.0
130,69.0,6,6,0.0,88.0
131,67.0,6,6,0.0,88.0
132,65.0,6,24,0.0,88.0
133,48.0,0,28,1.0,88.0
134,67.0,24,24,0.0,88.0
135,69.0,24,72,0.0,88.0
136,70.0,72,24,0.0,88.0
137,53.0,0,96,1.0,88.0
138,72.0,24,16,0.0,88.0
139,74.0,16,16,0.0,88.0
140,76.0,16,16,0.0,88.0
141,57.0,0,57,1.0,88.0
142,77.0,16,16,0.0,88.0
143,79.0,16,16,0.0,88.0
144,81.0,16,14,0.0,88.0
145,82.0,0,21,0.0,88.0
146,81.0,24,21,0.0,88.0
147,79.0,24,21,0.0,88.0
148,77.0,24,21,0.0,88.0
149,55.0,16,96,1.0,88.0
150,76.0,24,21,0.0,88.0
151,74.0,24,21,0.0,88.0
152,72.0,24,21,0.0,88.0
153,70.0,24,21,0.0,88.0
154,48.0,0,96,1.0,88.0
155,69.0,24,48,0.0,88.0
156,53.0,48,28,1.0,88.0
157,72.0,0,48,0.0,88.0
158,53.0,48,28,1.0,88.0
159,53.0,48,28,1.0,88.0
160,72.0,0,43,0.0,88.0
161,72.0,48,48,0.0,88.0
162,53.0,48,28,1.0,88.0
163,77.0,0,48,0.0,88.0
164,53.0,48,28,1.0,88.0
165,53.0,48,28,1.0,88.0
166,77.0,0,43,0.0,88.0
167,77.0,0,60,0.0,88.0
168,79.0,60,12,0.0,88.0
169,81.0,12,12,0.0,88.0
170,79.0,12,12,0.0,88.0
171,47.0,48,115,1.0,88.0
172,77.0,12,24,0.0,88.0
173,69.0,48,43,0.0,88.0
174,72.0,48,129,0.0,88.0
175,70.0,144,12,0.0,88.0
176,69.0,12,12,0.0,88.0
177,67.0,12,12,0.0,88.0
178,69.0,12,12,0.0,88.0
179,48.0,0,220,1.0,88.0
180,67.0,12,48,0.0,88.0
181,48.0,48,28,1.0,88.0
182,48.0,48,28,1.0,88.0
183,48.0,48,28,1.0,88.0
184,60.0,192,172,0.0,88.0
185,50.0,48,28,1.0,88.0
186,50.0,48,28,1.0,88.0
187,58.0,48,172,0.0,88.0
188,50.0,48,28,1.0,88.0
189,46.0,48,28,1.0,88.0
190,46.0,48,28,1.0,88.0
191,76.0,48,172,0.0,88.0
192,46.0,48,28,1.0,88.0
193,45.0,48,57,1.0,88.0
194,77.0,0,110,0.0,88.0
195,81.0,112,16,0.0,88.0
196,79.0,16,16,0.0,88.0
197,77.0,16,16,0.0,88.0
198,76.0,16,16,0.0,88.0
199,74.0,16,16,0.0,88.0
200,72.0,16,48,0.0,88.0
201,75.0,96,96,0.0,88.0
