tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,note,velocity
0,track_name,0,1,0,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,0,60,88
0,program_change,0,0,1,,,,,,,0,0,,
0,end_of_track,0,1,0,,,,,,,,,,
0,end_of_track,0,1,2,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,
0,copyright,0,1,0,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,
172,note_on,172,0,1,,,,,,,,0,60,0
192,note_on,20,0,1,,,,,,,,0,62,88
235,note_on,43,0,1,,,,,,,,0,62,0
240,note_on,5,0,1,,,,,,,,0,60,88
283,note_on,43,0,1,,,,,,,,0,60,0
288,note_on,5,0,1,,,,,,,,0,62,88
331,note_on,43,0,1,,,,,,,,0,62,0
336,note_on,5,0,1,,,,,,,,0,60,88
379,note_on,43,0,1,,,,,,,,0,60,0
384,note_on,5,0,1,,,,,,,,0,65,88
427,note_on,43,0,1,,,,,,,,0,65,0
432,note_on,5,0,1,,,,,,,,0,60,88
475,note_on,43,0,1,,,,,,,,0,60,0
480,note_on,5,0,1,,,,,,,,0,67,88
523,note_on,43,0,1,,,,,,,,0,67,0
528,note_on,5,0,1,,,,,,,,0,60,88
571,note_on,43,0,1,,,,,,,,0,60,0
576,note_on,5,0,1,,,,,,,,0,69,88
619,note_on,43,0,1,,,,,,,,0,69,0
624,note_on,5,0,1,,,,,,,,0,60,88
667,note_on,43,0,1,,,,,,,,0,60,0
672,note_on,5,0,1,,,,,,,,0,71,88
715,note_on,43,0,1,,,,,,,,0,71,0
720,note_on,5,0,1,,,,,,,,0,60,88
763,note_on,43,0,1,,,,,,,,0,60,0
768,note_on,5,0,1,,,,,,,,0,72,88
811,note_on,43,0,1,,,,,,,,0,72,0
816,note_on,5,0,1,,,,,,,,0,60,88
859,note_on,43,0,1,,,,,,,,0,60,0
864,note_on,5,0,1,,,,,,,,0,74,88
907,note_on,43,0,1,,,,,,,,0,74,0
912,note_on,5,0,1,,,,,,,,0,60,88
