,note,step,duration,channel,velocity
0,36.0,0,206,1.0,107.0
1,48.0,0,208,1.0,107.0
2,60.0,0,214,0.0,107.0
3,72.0,0,217,0.0,113.0
4,67.0,0,27,0.0,113.0
5,55.0,0,28,0.0,98.0
6,43.0,210,34,1.0,93.0
7,31.0,0,34,1.0,93.0
8,64.0,29,205,0.0,98.0
9,76.0,5,204,0.0,102.0
10,40.0,0,209,1.0,89.0
11,52.0,1,210,1.0,98.0
12,72.0,0,26,0.0,89.0
13,60.0,205,29,0.0,89.0
14,48.0,0,31,1.0,93.0
15,36.0,0,32,1.0,85.0
16,79.0,30,12,0.0,98.0
17,67.0,0,15,0.0,107.0
18,55.0,0,17,1.0,93.0
19,43.0,0,19,1.0,89.0
20,76.0,60,12,0.0,98.0
21,40.0,0,14,1.0,93.0
22,64.0,0,14,0.0,93.0
23,52.0,0,16,1.0,98.0
24,69.0,60,174,0.0,107.0
25,81.0,0,175,0.0,107.0
26,45.0,0,177,1.0,107.0
27,57.0,0,179,1.0,107.0
28,43.0,0,62,1.0,89.0
29,67.0,180,64,0.0,93.0
30,55.0,0,65,1.0,93.0
31,79.0,0,66,0.0,93.0
32,41.0,0,59,1.0,89.0
33,65.0,0,59,0.0,93.0
34,77.0,0,59,0.0,102.0
35,53.0,60,62,1.0,89.0
36,52.0,0,59,1.0,98.0
37,40.0,0,63,1.0,89.0
38,64.0,0,65,0.0,93.0
39,76.0,60,65,0.0,93.0
40,41.0,0,58,1.0,85.0
41,53.0,60,59,1.0,98.0
42,77.0,0,61,0.0,93.0
43,65.0,0,61,0.0,93.0
44,74.0,0,59,0.0,89.0
45,62.0,0,60,0.0,93.0
46,38.0,0,61,1.0,89.0
47,50.0,60,63,1.0,98.0
48,67.0,60,178,0.0,98.0
49,79.0,0,179,0.0,107.0
50,43.0,0,180,1.0,89.0
51,55.0,0,181,1.0,98.0
52,41.0,0,59,1.0,89.0
53,53.0,0,61,1.0,89.0
54,65.0,0,62,0.0,89.0
55,77.0,180,64,0.0,93.0
56,64.0,0,60,0.0,89.0
57,40.0,0,60,1.0,80.0
58,76.0,60,62,0.0,98.0
59,52.0,0,63,1.0,93.0
60,50.0,0,61,1.0,89.0
61,62.0,0,63,0.0,93.0
62,74.0,60,65,0.0,102.0
63,38.0,0,65,1.0,93.0
64,76.0,60,60,0.0,98.0
65,52.0,0,61,1.0,89.0
66,64.0,0,62,0.0,89.0
67,40.0,0,64,1.0,89.0
68,36.0,60,62,1.0,89.0
69,72.0,0,63,0.0,93.0
70,48.0,0,64,1.0,93.0
71,60.0,0,64,0.0,89.0
72,77.0,0,57,0.0,89.0
73,53.0,0,58,1.0,93.0
74,65.0,0,58,0.0,93.0
75,41.0,60,59,1.0,85.0
76,50.0,0,57,1.0,98.0
77,62.0,0,57,0.0,89.0
78,74.0,0,58,0.0,93.0
79,38.0,60,59,1.0,89.0
80,71.0,60,56,0.0,89.0
81,59.0,0,58,0.0,85.0
82,47.0,0,59,1.0,93.0
83,35.0,0,60,1.0,85.0
84,43.0,0,58,1.0,93.0
85,31.0,0,60,1.0,89.0
86,67.0,60,62,0.0,93.0
87,55.0,0,65,0.0,89.0
88,57.0,60,58,0.0,89.0
89,45.0,0,59,1.0,107.0
90,69.0,0,59,0.0,107.0
91,33.0,0,64,1.0,89.0
92,35.0,0,28,1.0,89.0
93,47.0,60,37,1.0,98.0
94,59.0,0,60,0.0,93.0
95,71.0,0,61,0.0,102.0
96,48.0,60,26,1.0,80.0
97,36.0,0,52,1.0,59.0
98,48.0,60,60,1.0,62.0
99,60.0,0,134,0.0,93.0
100,72.0,0,135,0.0,89.0
101,36.0,60,59,1.0,62.0
102,48.0,60,61,1.0,64.0
103,36.0,60,59,1.0,62.0
104,52.0,0,34,1.0,60.0
105,60.0,60,34,1.0,62.0
106,48.0,0,52,1.0,46.0
107,62.0,60,40,1.0,76.0
108,53.0,0,40,1.0,62.0
109,36.0,0,57,1.0,59.0
110,55.0,0,33,1.0,62.0
111,64.0,0,36,1.0,72.0
112,48.0,60,54,1.0,53.0
113,57.0,0,37,1.0,56.0
114,65.0,60,39,1.0,64.0
115,36.0,0,56,1.0,57.0
116,48.0,60,64,1.0,62.0
117,69.0,0,44,1.0,76.0
118,60.0,0,47,1.0,55.0
119,36.0,60,53,1.0,59.0
120,48.0,60,65,1.0,56.0
121,36.0,60,58,1.0,49.0
122,62.0,0,59,1.0,76.0
123,59.0,0,59,1.0,62.0
124,48.0,60,63,1.0,60.0
125,62.0,0,49,1.0,76.0
126,65.0,0,49,1.0,72.0
127,36.0,60,59,1.0,60.0
128,48.0,60,56,1.0,60.0
129,64.0,0,54,1.0,72.0
130,36.0,0,56,1.0,59.0
131,65.0,0,19,1.0,76.0
132,64.0,15,18,1.0,76.0
133,62.0,15,26,1.0,76.0
134,48.0,60,59,1.0,68.0
135,60.0,60,130,1.0,57.0
136,64.0,30,14,1.0,85.0
137,36.0,0,24,1.0,72.0
138,62.0,60,15,1.0,76.0
139,65.0,0,17,1.0,72.0
140,48.0,0,22,1.0,60.0
141,64.0,0,53,1.0,62.0
142,67.0,0,54,1.0,72.0
143,36.0,60,56,1.0,68.0
144,79.0,60,60,0.0,76.0
145,88.0,60,54,0.0,72.0
146,84.0,60,23,0.0,72.0
147,84.0,0,32,0.0,107.0
148,83.0,30,34,0.0,62.0
149,81.0,30,29,0.0,72.0
150,79.0,30,28,0.0,64.0
151,78.0,30,29,0.0,64.0
152,79.0,30,32,0.0,76.0
153,78.0,30,29,0.0,72.0
154,79.0,30,33,0.0,80.0
155,78.0,30,31,0.0,76.0
156,79.0,30,30,0.0,76.0
157,78.0,30,32,0.0,64.0
158,79.0,30,29,0.0,62.0
159,78.0,30,30,0.0,72.0
160,79.0,30,32,0.0,76.0
161,81.0,30,31,0.0,93.0
162,67.0,0,459,0.0,89.0
163,77.0,60,461,0.0,85.0
164,74.0,0,471,0.0,89.0
165,83.0,30,31,0.0,72.0
166,84.0,30,13,0.0,89.0
