,note,step,duration,channel,velocity
0,67.0,1,73,0.0,80.0
1,70.0,0,74,0.0,68.0
2,51.0,0,133,1.0,30.0
3,39.0,0,133,1.0,45.0
4,63.0,118,30,0.0,72.0
5,67.0,1,30,0.0,76.0
6,65.0,61,15,0.0,72.0
7,58.0,0,27,0.0,55.0
8,46.0,0,59,1.0,79.0
9,55.0,0,60,0.0,60.0
10,63.0,59,61,0.0,56.0
11,58.0,60,57,0.0,68.0
12,51.0,1,117,1.0,41.0
13,63.0,58,59,0.0,68.0
14,62.0,60,29,0.0,51.0
15,65.0,0,31,0.0,64.0
16,46.0,0,62,1.0,46.0
17,51.0,60,63,1.0,39.0
18,67.0,0,63,0.0,76.0
19,68.0,0,61,0.0,72.0
20,48.0,60,62,1.0,62.0
21,70.0,0,59,0.0,68.0
22,43.0,60,60,1.0,54.0
23,63.0,0,228,0.0,59.0
24,72.0,0,48,0.0,60.0
25,44.0,60,63,1.0,46.0
26,67.0,0,93,0.0,85.0
27,68.0,90,15,0.0,72.0
28,63.0,60,108,0.0,59.0
29,65.0,29,29,0.0,85.0
30,67.0,28,29,0.0,80.0
31,46.0,2,181,1.0,47.0
32,68.0,30,29,0.0,72.0
33,62.0,1,102,0.0,72.0
34,69.0,30,16,0.0,93.0
35,82.0,30,123,0.0,89.0
36,67.0,0,123,1.0,52.0
37,79.0,121,59,0.0,80.0
38,63.0,1,59,1.0,46.0
39,70.0,0,224,0.0,76.0
40,77.0,58,44,0.0,76.0
41,58.0,1,59,1.0,54.0
42,70.0,0,15,0.0,60.0
43,75.0,0,15,0.0,76.0
44,55.0,59,15,1.0,75.0
45,74.0,0,15,0.0,68.0
46,77.0,0,15,0.0,80.0
47,58.0,60,16,1.0,62.0
48,79.0,0,15,0.0,80.0
49,75.0,60,15,0.0,80.0
50,63.0,0,15,1.0,58.0
51,75.0,0,15,0.0,76.0
52,80.0,60,15,0.0,89.0
53,60.0,0,15,1.0,62.0
54,82.0,0,33,0.0,85.0
55,75.0,0,33,0.0,68.0
56,55.0,60,59,1.0,66.0
57,83.0,60,15,0.0,76.0
58,56.0,1,17,1.0,70.0
59,65.0,0,30,1.0,41.0
60,84.0,14,17,0.0,60.0
61,80.0,15,15,0.0,76.0
62,77.0,15,16,0.0,64.0
63,75.0,0,61,0.0,60.0
64,67.0,15,62,1.0,47.0
65,79.0,60,18,0.0,76.0
66,68.0,2,27,1.0,54.0
67,58.0,0,91,1.0,50.0
68,77.0,13,17,0.0,68.0
69,76.0,15,15,0.0,76.0
70,77.0,15,15,0.0,72.0
71,68.0,1,73,1.0,42.0
72,74.0,15,123,0.0,62.0
73,77.0,0,123,0.0,89.0
74,75.0,118,63,0.0,60.0
75,67.0,2,72,1.0,30.0
76,63.0,1,192,1.0,50.0
77,70.0,119,58,0.0,45.0
78,67.0,0,57,0.0,56.0
79,39.0,1,121,1.0,35.0
80,51.0,0,132,1.0,27.0
81,63.0,118,28,0.0,56.0
82,67.0,0,28,0.0,59.0
83,65.0,1,17,0.0,62.0
84,58.0,0,27,0.0,43.0
85,46.0,60,63,1.0,35.0
86,63.0,60,33,0.0,49.0
87,55.0,0,47,0.0,50.0
88,58.0,60,59,0.0,55.0
89,51.0,1,150,1.0,33.0
90,63.0,58,59,0.0,60.0
91,62.0,0,49,0.0,51.0
92,65.0,60,58,0.0,64.0
93,46.0,1,58,1.0,39.0
94,67.0,0,61,0.0,62.0
95,51.0,59,63,1.0,47.0
96,48.0,60,60,1.0,46.0
97,68.0,2,61,0.0,59.0
98,70.0,2,46,0.0,53.0
99,43.0,58,62,1.0,46.0
100,72.0,2,31,0.0,64.0
101,63.0,0,214,0.0,57.0
