tick,type,port,time,meta,track,data,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,midi_port,0,0,1,0,,,,,,,,,,,,,
0,track_name,,0,1,2,,,,,,,,,,,,,
0,program_change,,0,0,2,,,,,,,,19,1,,,,
0,control_change,,0,0,2,,,,,,,,,1,121,0,,
0,control_change,,0,0,2,,,,,,,,,1,1,5,,
0,control_change,,0,0,2,,,,,,,,,1,7,127,,
0,control_change,,0,0,2,,,,,,,,,1,10,44,,
0,control_change,,0,0,2,,,,,,,,,1,91,127,,
0,midi_port,0,0,1,3,,,,,,,,,,,,,
0,end_of_track,,0,1,3,,,,,,,,,,,,,
0,midi_port,0,0,1,4,,,,,,,,,,,,,
0,track_name,,0,1,4,,,,,,,,,,,,,
0,end_of_track,,0,1,4,,,,,,,,,,,,,
0,midi_port,0,0,1,5,,,,,,,,,,,,,
0,track_name,,0,1,5,,,,,,,,,,,,,
0,end_of_track,,0,1,5,,,,,,,,,,,,,
0,midi_port,0,0,1,6,,,,,,,,,,,,,
0,track_name,,0,1,6,,,,,,,,,,,,,
0,end_of_track,,0,1,6,,,,,,,,,,,,,
0,midi_port,0,0,1,7,,,,,,,,,,,,,
0,midi_port,0,0,1,2,,,,,,,,,,,,,
0,track_name,,0,1,7,,,,,,,,,,,,,
0,end_of_track,,0,1,7,,,,,,,,,,,,,
0,control_change,,0,0,1,,,,,,,,,0,91,127,,
0,midi_port,0,0,1,1,,,,,,,,,,,,,
0,track_name,,0,1,1,,,,,,,,,,,,,
0,program_change,,0,0,1,,,,,,,,19,0,,,,
0,control_change,,0,0,1,,,,,,,,,0,121,0,,
0,control_change,,0,0,1,,,,,,,,,0,7,127,,
0,control_change,,0,0,1,,,,,,,,,0,10,84,,
0,control_change,,0,0,1,,,,,,,,,0,1,5,,
0,set_tempo,,0,1,0,,,,,,,545455,,,,,,
0,key_signature,,0,1,0,,,,,,Ab,,,,,,,
0,time_signature,,0,1,0,,4,4,24,8,,,,,,,,
0,sysex,,0,0,0,"(126, 127, 9, 1)",,,,,,,,,,,,
0,midi_port,0,0,1,0,,,,,,,,,,,,,
480,marker,,480,1,0,,,,,,,,,,,,,
480,note_on,,0,0,2,,,,,,,,,1,,,44,76
480,note_on,,480,0,2,,,,,,,,,1,,,48,57
480,note_on,,0,0,2,,,,,,,,,1,,,53,85
480,note_on,,0,0,2,,,,,,,,,1,,,41,68
480,note_on,,480,0,1,,,,,,,,,0,,,68,89
480,note_on,,0,0,1,,,,,,,,,0,,,77,93
480,note_on,,0,0,1,,,,,,,,,0,,,72,89
592,note_on,,112,0,1,,,,,,,,,0,,,72,0
593,note_on,,1,0,1,,,,,,,,,0,,,77,0
596,note_on,,3,0,1,,,,,,,,,0,,,68,0
602,note_on,,0,0,2,,,,,,,,,1,,,53,0
602,note_on,,0,0,2,,,,,,,,,1,,,48,0
602,note_on,,122,0,2,,,,,,,,,1,,,44,0
603,note_on,,1,0,2,,,,,,,,,1,,,41,0
660,note_on,,64,0,1,,,,,,,,,0,,,70,98
660,note_on,,0,0,1,,,,,,,,,0,,,67,93
675,note_on,,15,0,1,,,,,,,,,0,,,67,0
675,note_on,,0,0,1,,,,,,,,,0,,,68,90
675,note_on,,0,0,1,,,,,,,,,0,,,65,85
679,note_on,,4,0,1,,,,,,,,,0,,,70,0
686,note_on,,7,0,1,,,,,,,,,0,,,68,0
689,note_on,,3,0,1,,,,,,,,,0,,,65,0
690,note_on,,1,0,1,,,,,,,,,0,,,67,85
690,note_on,,0,0,1,,,,,,,,,0,,,64,80
705,note_on,,15,0,1,,,,,,,,,0,,,67,0
705,note_on,,0,0,1,,,,,,,,,0,,,68,80
705,note_on,,0,0,1,,,,,,,,,0,,,65,85
706,note_on,,1,0,1,,,,,,,,,0,,,64,0
717,note_on,,11,0,1,,,,,,,,,0,,,65,0
718,note_on,,1,0,1,,,,,,,,,0,,,68,0
720,note_on,,2,0,1,,,,,,,,,0,,,72,85
720,note_on,,0,0,1,,,,,,,,,0,,,68,76
795,note_on,,75,0,1,,,,,,,,,0,,,72,0
796,note_on,,1,0,1,,,,,,,,,0,,,68,0
810,note_on,,14,0,1,,,,,,,,,0,,,72,80
810,note_on,,0,0,1,,,,,,,,,0,,,68,89
834,note_on,,24,0,1,,,,,,,,,0,,,68,0
839,note_on,,5,0,1,,,,,,,,,0,,,72,0
840,note_on,,1,0,1,,,,,,,,,0,,,70,93
840,note_on,,0,0,1,,,,,,,,,0,,,67,85
917,note_on,,77,0,1,,,,,,,,,0,,,70,0
922,note_on,,5,0,1,,,,,,,,,0,,,67,0
930,note_on,,0,0,1,,,,,,,,,0,,,65,102
930,note_on,,8,0,1,,,,,,,,,0,,,68,93
951,note_on,,21,0,1,,,,,,,,,0,,,68,0
955,note_on,,4,0,1,,,,,,,,,0,,,65,0
960,note_on,,5,0,1,,,,,,,,,0,,,73,89
960,note_on,,0,0,1,,,,,,,,,0,,,70,85
960,note_on,,0,0,1,,,,,,,,,0,,,79,98
960,note_on,,0,0,1,,,,,,,,,0,,,67,93
960,note_on,,357,0,2,,,,,,,,,1,,,46,64
960,note_on,,0,0,2,,,,,,,,,1,,,41,76
960,note_on,,0,0,2,,,,,,,,,1,,,49,76
960,note_on,,0,0,2,,,,,,,,,1,,,43,89
1076,note_on,,116,0,1,,,,,,,,,0,,,67,0
1077,note_on,,1,0,1,,,,,,,,,0,,,73,0
1078,note_on,,1,0,1,,,,,,,,,0,,,79,0
1078,note_on,,0,0,1,,,,,,,,,0,,,70,0
1079,note_on,,119,0,2,,,,,,,,,1,,,49,0
1080,note_on,,0,0,2,,,,,,,,,1,,,43,0
1080,note_on,,0,0,2,,,,,,,,,1,,,41,0
1080,note_on,,1,0,2,,,,,,,,,1,,,46,0
1140,note_on,,62,0,1,,,,,,,,,0,,,72,89
1140,note_on,,0,0,1,,,,,,,,,0,,,68,93
1155,note_on,,0,0,1,,,,,,,,,0,,,70,80
1155,note_on,,15,0,1,,,,,,,,,0,,,68,0
1155,note_on,,0,0,1,,,,,,,,,0,,,67,89
1157,note_on,,2,0,1,,,,,,,,,0,,,72,0
1169,note_on,,12,0,1,,,,,,,,,0,,,70,0
1170,note_on,,1,0,1,,,,,,,,,0,,,67,0
1170,note_on,,0,0,1,,,,,,,,,0,,,66,60
1170,note_on,,0,0,1,,,,,,,,,0,,,69,80
1183,note_on,,13,0,1,,,,,,,,,0,,,66,0
1184,note_on,,1,0,1,,,,,,,,,0,,,69,0
1185,note_on,,1,0,1,,,,,,,,,0,,,70,80
1185,note_on,,0,0,1,,,,,,,,,0,,,67,85
1197,note_on,,12,0,1,,,,,,,,,0,,,70,0
1199,note_on,,2,0,1,,,,,,,,,0,,,67,0
1200,note_on,,1,0,1,,,,,,,,,0,,,70,89
1204,note_on,,4,0,1,,,,,,,,,0,,,73,89
1277,note_on,,73,0,1,,,,,,,,,0,,,73,0
1278,note_on,,1,0,1,,,,,,,,,0,,,70,0
1290,note_on,,12,0,1,,,,,,,,,0,,,73,89
1290,note_on,,0,0,1,,,,,,,,,0,,,70,89
1314,note_on,,24,0,1,,,,,,,,,0,,,70,0
1315,note_on,,1,0,1,,,,,,,,,0,,,73,0
1320,note_on,,5,0,1,,,,,,,,,0,,,72,93
1320,note_on,,0,0,1,,,,,,,,,0,,,68,85
1395,note_on,,75,0,1,,,,,,,,,0,,,72,0
1398,note_on,,3,0,1,,,,,,,,,0,,,68,0
1410,note_on,,0,0,1,,,,,,,,,0,,,67,98
1410,note_on,,12,0,1,,,,,,,,,0,,,70,102
1429,note_on,,19,0,1,,,,,,,,,0,,,70,0
1432,note_on,,3,0,1,,,,,,,,,0,,,67,0
1440,note_on,,0,0,1,,,,,,,,,0,,,67,93
1440,note_on,,0,0,1,,,,,,,,,0,,,70,80
1440,note_on,,0,0,1,,,,,,,,,0,,,82,89
1440,note_on,,0,0,1,,,,,,,,,0,,,79,98
1440,note_on,,8,0,1,,,,,,,,,0,,,73,89
1440,note_on,,360,0,2,,,,,,,,,1,,,40,80
1440,note_on,,0,0,2,,,,,,,,,1,,,46,64
1440,note_on,,0,0,2,,,,,,,,,1,,,43,76
1440,note_on,,0,0,2,,,,,,,,,1,,,49,80
1556,note_on,,116,0,2,,,,,,,,,1,,,49,0
1557,note_on,,1,0,2,,,,,,,,,1,,,46,0
1557,note_on,,117,0,1,,,,,,,,,0,,,82,0
1557,note_on,,0,0,1,,,,,,,,,0,,,79,0
1558,note_on,,1,0,2,,,,,,,,,1,,,43,0
1559,note_on,,1,0,2,,,,,,,,,1,,,40,0
1562,note_on,,5,0,1,,,,,,,,,0,,,73,0
1564,note_on,,2,0,1,,,,,,,,,0,,,70,0
1568,note_on,,4,0,1,,,,,,,,,0,,,67,0
1620,note_on,,0,0,1,,,,,,,,,0,,,68,89
1620,note_on,,52,0,1,,,,,,,,,0,,,72,93
1635,note_on,,0,0,1,,,,,,,,,0,,,67,93
1635,note_on,,15,0,1,,,,,,,,,0,,,70,60
1636,note_on,,1,0,1,,,,,,,,,0,,,68,0
1638,note_on,,2,0,1,,,,,,,,,0,,,72,0
1649,note_on,,11,0,1,,,,,,,,,0,,,70,0
1650,note_on,,1,0,1,,,,,,,,,0,,,69,89
1650,note_on,,0,0,1,,,,,,,,,0,,,66,68
1651,note_on,,1,0,1,,,,,,,,,0,,,67,0
1664,note_on,,13,0,1,,,,,,,,,0,,,69,0
1665,note_on,,1,0,1,,,,,,,,,0,,,66,0
1665,note_on,,0,0,1,,,,,,,,,0,,,70,68
1665,note_on,,0,0,1,,,,,,,,,0,,,67,89
1677,note_on,,12,0,1,,,,,,,,,0,,,70,0
1679,note_on,,2,0,1,,,,,,,,,0,,,67,0
1680,note_on,,1,0,1,,,,,,,,,0,,,73,102
1680,note_on,,0,0,1,,,,,,,,,0,,,70,89
1754,note_on,,74,0,1,,,,,,,,,0,,,70,0
1755,note_on,,1,0,1,,,,,,,,,0,,,73,0
1770,note_on,,0,0,1,,,,,,,,,0,,,70,89
1770,note_on,,15,0,1,,,,,,,,,0,,,73,85
1794,note_on,,0,0,1,,,,,,,,,0,,,73,0
1794,note_on,,24,0,1,,,,,,,,,0,,,70,0
1800,note_on,,0,0,1,,,,,,,,,0,,,68,85
1800,note_on,,6,0,1,,,,,,,,,0,,,72,89
1877,note_on,,77,0,1,,,,,,,,,0,,,72,0
1882,note_on,,5,0,1,,,,,,,,,0,,,68,0
1890,note_on,,8,0,1,,,,,,,,,0,,,70,89
1890,note_on,,0,0,1,,,,,,,,,0,,,67,93
1908,note_on,,18,0,1,,,,,,,,,0,,,70,0
1915,note_on,,7,0,1,,,,,,,,,0,,,67,0
1920,note_on,,5,0,1,,,,,,,,,0,,,84,93
1920,note_on,,0,0,1,,,,,,,,,0,,,78,93
1920,note_on,,0,0,1,,,,,,,,,0,,,81,102
1920,note_on,,0,0,1,,,,,,,,,0,,,75,76
1920,note_on,,0,0,1,,,,,,,,,0,,,72,89
1920,note_on,,0,0,1,,,,,,,,,0,,,69,89
1920,note_on,,361,0,2,,,,,,,,,1,,,54,72
1920,note_on,,0,0,2,,,,,,,,,1,,,51,76
1920,note_on,,0,0,2,,,,,,,,,1,,,42,62
1920,note_on,,0,0,2,,,,,,,,,1,,,45,80
1920,note_on,,0,0,2,,,,,,,,,1,,,39,68
1920,note_on,,0,0,2,,,,,,,,,1,,,48,80
2031,note_on,,111,0,1,,,,,,,,,0,,,72,0
2032,note_on,,1,0,1,,,,,,,,,0,,,75,0
2033,note_on,,0,0,1,,,,,,,,,0,,,69,0
2033,note_on,,1,0,1,,,,,,,,,0,,,81,0
2033,note_on,,0,0,1,,,,,,,,,0,,,78,0
2034,note_on,,1,0,1,,,,,,,,,0,,,84,0
2038,note_on,,0,0,2,,,,,,,,,1,,,51,0
2038,note_on,,118,0,2,,,,,,,,,1,,,45,0
2039,note_on,,0,0,2,,,,,,,,,1,,,42,0
2039,note_on,,1,0,2,,,,,,,,,1,,,48,0
2039,note_on,,0,0,2,,,,,,,,,1,,,39,0
2040,note_on,,1,0,2,,,,,,,,,1,,,54,0
2100,note_on,,66,0,1,,,,,,,,,0,,,73,93
2100,note_on,,0,0,1,,,,,,,,,0,,,70,89
2115,note_on,,0,0,1,,,,,,,,,0,,,69,85
2115,note_on,,15,0,1,,,,,,,,,0,,,72,85
2117,note_on,,2,0,1,,,,,,,,,0,,,73,0
2118,note_on,,1,0,1,,,,,,,,,0,,,70,0
2125,note_on,,7,0,1,,,,,,,,,0,,,69,0
2129,note_on,,4,0,1,,,,,,,,,0,,,72,0
2130,note_on,,1,0,1,,,,,,,,,0,,,71,80
2130,note_on,,0,0,1,,,,,,,,,0,,,68,48
2144,note_on,,14,0,1,,,,,,,,,0,,,71,0
2145,note_on,,0,0,1,,,,,,,,,0,,,69,93
2145,note_on,,1,0,1,,,,,,,,,0,,,72,85
2148,note_on,,3,0,1,,,,,,,,,0,,,68,0
2158,note_on,,10,0,1,,,,,,,,,0,,,72,0
2160,note_on,,2,0,1,,,,,,,,,0,,,69,0
2160,note_on,,0,0,1,,,,,,,,,0,,,75,80
2160,note_on,,0,0,1,,,,,,,,,0,,,72,85
2231,note_on,,71,0,1,,,,,,,,,0,,,75,0
2236,note_on,,5,0,1,,,,,,,,,0,,,72,0
2250,note_on,,14,0,1,,,,,,,,,0,,,75,89
2250,note_on,,0,0,1,,,,,,,,,0,,,72,85
2277,note_on,,27,0,1,,,,,,,,,0,,,72,0
2277,note_on,,0,0,1,,,,,,,,,0,,,75,0
2280,note_on,,3,0,1,,,,,,,,,0,,,73,85
2280,note_on,,0,0,1,,,,,,,,,0,,,70,85
2357,note_on,,77,0,1,,,,,,,,,0,,,73,0
2363,note_on,,6,0,1,,,,,,,,,0,,,70,0
2370,note_on,,7,0,1,,,,,,,,,0,,,72,93
2370,note_on,,330,0,2,,,,,,,,,1,,,54,76
2370,note_on,,0,0,1,,,,,,,,,0,,,69,93
2370,note_on,,0,0,2,,,,,,,,,1,,,51,76
2391,note_on,,21,0,1,,,,,,,,,0,,,72,0
2392,note_on,,1,0,1,,,,,,,,,0,,,69,0
2392,note_on,,22,0,2,,,,,,,,,1,,,51,0
2394,note_on,,2,0,2,,,,,,,,,1,,,54,0
2400,note_on,,0,0,1,,,,,,,,,0,,,73,98
2400,note_on,,6,0,2,,,,,,,,,1,,,49,76
2400,note_on,,0,0,2,,,,,,,,,1,,,53,89
2400,note_on,,0,0,1,,,,,,,,,0,,,77,93
2400,note_on,,8,0,1,,,,,,,,,0,,,82,76
2400,note_on,,0,0,1,,,,,,,,,0,,,70,72
2400,note_on,,0,0,1,,,,,,,,,0,,,73,85
2476,note_on,,76,0,2,,,,,,,,,1,,,49,0
2477,note_on,,1,0,2,,,,,,,,,1,,,53,0
2490,note_on,,0,0,2,,,,,,,,,1,,,49,76
2490,note_on,,13,0,2,,,,,,,,,1,,,53,76
2506,note_on,,106,0,1,,,,,,,,,0,,,70,0
2509,note_on,,3,0,1,,,,,,,,,0,,,73,0
2514,note_on,,5,0,1,,,,,,,,,0,,,73,0
2515,note_on,,1,0,1,,,,,,,,,0,,,77,0
2516,note_on,,26,0,2,,,,,,,,,1,,,49,0
2517,note_on,,2,0,1,,,,,,,,,0,,,82,0
2518,note_on,,2,0,2,,,,,,,,,1,,,53,0
2520,note_on,,2,0,2,,,,,,,,,1,,,51,89
2520,note_on,,0,0,2,,,,,,,,,1,,,48,89
2602,note_on,,82,0,2,,,,,,,,,1,,,48,0
2604,note_on,,2,0,2,,,,,,,,,1,,,51,0
2610,note_on,,0,0,2,,,,,,,,,1,,,49,85
2610,note_on,,6,0,2,,,,,,,,,1,,,46,80
2637,note_on,,0,0,2,,,,,,,,,1,,,46,0
2637,note_on,,27,0,2,,,,,,,,,1,,,49,0
2640,note_on,,3,0,2,,,,,,,,,1,,,48,89
2640,note_on,,0,0,2,,,,,,,,,1,,,45,89
2640,note_on,,0,0,1,,,,,,,,,0,,,72,93
2640,note_on,,0,0,1,,,,,,,,,0,,,75,72
2640,note_on,,0,0,1,,,,,,,,,0,,,77,89
2640,note_on,,0,0,1,,,,,,,,,0,,,81,85
2640,note_on,,123,0,1,,,,,,,,,0,,,84,89
2713,note_on,,0,0,2,,,,,,,,,1,,,48,0
2713,note_on,,73,0,2,,,,,,,,,1,,,45,0
2730,note_on,,0,0,2,,,,,,,,,1,,,45,93
2730,note_on,,17,0,2,,,,,,,,,1,,,48,72
2756,note_on,,116,0,1,,,,,,,,,0,,,77,0
2758,note_on,,2,0,1,,,,,,,,,0,,,81,0
2758,note_on,,28,0,2,,,,,,,,,1,,,48,0
2759,note_on,,1,0,2,,,,,,,,,1,,,45,0
2760,note_on,,1,0,2,,,,,,,,,1,,,43,93
2760,note_on,,0,0,2,,,,,,,,,1,,,46,85
2760,note_on,,2,0,1,,,,,,,,,0,,,84,0
2764,note_on,,0,0,1,,,,,,,,,0,,,75,0
2764,note_on,,4,0,1,,,,,,,,,0,,,72,0
2842,note_on,,82,0,2,,,,,,,,,1,,,46,0
2842,note_on,,0,0,2,,,,,,,,,1,,,43,0
2850,note_on,,8,0,2,,,,,,,,,1,,,45,89
2850,note_on,,0,0,2,,,,,,,,,1,,,41,85
2878,note_on,,28,0,2,,,,,,,,,1,,,45,0
2879,note_on,,1,0,2,,,,,,,,,1,,,41,0
2880,note_on,,0,0,2,,,,,,,,,1,,,49,89
2880,note_on,,116,0,1,,,,,,,,,0,,,77,93
2880,note_on,,0,0,1,,,,,,,,,0,,,82,93
2880,note_on,,0,0,1,,,,,,,,,0,,,85,93
2880,note_on,,0,0,1,,,,,,,,,0,,,73,85
2880,note_on,,0,0,1,,,,,,,,,0,,,70,89
2880,note_on,,1,0,2,,,,,,,,,1,,,46,85
2995,note_on,,115,0,1,,,,,,,,,0,,,82,0
2997,note_on,,2,0,1,,,,,,,,,0,,,85,0
2999,note_on,,119,0,2,,,,,,,,,1,,,46,0
3001,note_on,,2,0,2,,,,,,,,,1,,,49,0
3002,note_on,,5,0,1,,,,,,,,,0,,,77,0
3004,note_on,,2,0,1,,,,,,,,,0,,,70,0
3007,note_on,,3,0,1,,,,,,,,,0,,,73,0
3060,note_on,,53,0,1,,,,,,,,,0,,,78,93
3060,note_on,,0,0,1,,,,,,,,,0,,,75,89
3075,note_on,,0,0,1,,,,,,,,,0,,,73,68
3075,note_on,,15,0,1,,,,,,,,,0,,,77,76
3078,note_on,,0,0,1,,,,,,,,,0,,,78,0
3078,note_on,,3,0,1,,,,,,,,,0,,,75,0
3088,note_on,,10,0,1,,,,,,,,,0,,,73,0
3089,note_on,,1,0,1,,,,,,,,,0,,,77,0
3090,note_on,,1,0,1,,,,,,,,,0,,,76,85
