tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,data,program,channel,control,value,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,program_change,,,,,0,0,3,,,68,1,,,,
0,control_change,,,,,0,0,3,,,,1,7,79,,
0,control_change,,,,,0,0,3,,,,1,10,64,,
0,control_change,,,,,0,0,3,,,,1,91,95,,
0,sequencer_specific,,,,,0,1,4,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,4,,,70,2,,,,
0,sequencer_specific,,,,,0,1,3,,"(67, 0, 1, 0)",,,,,,
0,control_change,,,,,0,0,4,,,,2,7,79,,
0,control_change,,,,,0,0,4,,,,2,10,80,,
0,control_change,,,,,0,0,13,,,,12,91,80,,
0,control_change,,,,,0,0,13,,,,12,10,98,,
0,control_change,,,,,0,0,13,,,,12,7,99,,
0,program_change,,,,,0,0,13,,,48,12,,,,
0,sequencer_specific,,,,,0,1,13,,"(67, 0, 1, 0)",,,,,,
0,control_change,,,,,0,0,4,,,,2,91,95,,
0,sequencer_specific,,,,,0,1,14,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,14,,,48,13,,,,
0,control_change,,,,,0,0,14,,,,13,7,104,,
0,control_change,,,,,0,0,1,,,,0,7,79,,
0,control_change,,,,,0,0,1,,,,0,91,95,,
0,control_change,,,,,0,0,1,,,,0,10,56,,
0,sequencer_specific,,,,,0,1,2,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,2,,,68,1,,,,
0,control_change,,,,,0,0,2,,,,1,7,79,,
0,control_change,,,,,0,0,2,,,,1,10,64,,
0,control_change,,,,,0,0,2,,,,1,91,95,,
0,control_change,,,,,0,0,15,,,,14,91,100,,
0,control_change,,,,,0,0,15,,,,14,10,96,,
0,control_change,,,,,0,0,15,,,,14,7,81,,
0,program_change,,,,,0,0,15,,,43,14,,,,
0,sequencer_specific,,,,,0,1,15,,"(67, 0, 1, 0)",,,,,,
0,control_change,,,,,0,0,14,,,,13,91,80,,
0,control_change,,,,,0,0,14,,,,13,10,84,,
0,sequencer_specific,,,,,0,1,5,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,1,,,73,0,,,,
0,program_change,,,,,0,0,5,,,60,3,,,,
0,control_change,,,,,0,0,5,,,,3,10,36,,
0,control_change,,,,,0,0,8,,,,6,7,126,,
0,control_change,,,,,0,0,8,,,,6,91,100,,
0,control_change,,,,,0,0,11,,,,10,91,80,,
0,control_change,,,,,0,0,11,,,,10,10,28,,
0,control_change,,,,,0,0,11,,,,10,7,114,,
0,program_change,,,,,0,0,11,,,48,10,,,,
0,program_change,,,,,0,0,8,,,0,6,,,,
0,sequencer_specific,,,,,0,1,11,,"(67, 0, 1, 0)",,,,,,
0,control_change,,,,,0,0,10,,,,8,7,124,,
0,program_change,,,,,0,0,10,,,0,8,,,,
0,sequencer_specific,,,,,0,1,10,,"(67, 0, 1, 0)",,,,,,
0,control_change,,,,,0,0,9,,,,7,91,100,,
0,control_change,,,,,0,0,9,,,,7,91,100,,
0,control_change,,,,,0,0,9,,,,7,7,122,,
0,control_change,,,,,0,0,10,,,,8,91,100,,
0,sequencer_specific,,,,,0,1,8,,"(67, 0, 1, 0)",,,,,,
0,control_change,,,,,0,0,7,,,,5,91,90,,
0,control_change,,,,,0,0,7,,,,5,10,72,,
0,control_change,,,,,0,0,5,,,,3,91,80,,
0,program_change,,,,,0,0,9,,,0,7,,,,
0,sequencer_specific,,,,,0,1,6,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,6,,,56,4,,,,
0,control_change,,,,,0,0,6,,,,4,7,104,,
0,control_change,,,,,0,0,6,,,,4,10,92,,
0,control_change,,,,,0,0,6,,,,4,91,80,,
0,control_change,,,,,0,0,12,,,,11,91,80,,
0,control_change,,,,,0,0,12,,,,11,10,40,,
0,control_change,,,,,0,0,12,,,,11,7,104,,
0,program_change,,,,,0,0,12,,,48,11,,,,
0,sequencer_specific,,,,,0,1,12,,"(67, 0, 1, 0)",,,,,,
0,sequencer_specific,,,,,0,1,7,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,7,,,47,5,,,,
0,control_change,,,,,0,0,7,,,,5,7,91,,
0,control_change,,,,,0,0,5,,,,3,7,104,,
0,sequencer_specific,,,,,0,1,1,,"(67, 0, 1, 0)",,,,,,
0,sequencer_specific,,,,,0,1,9,,"(67, 0, 1, 0)",,,,,,
0,set_tempo,,,,,0,1,0,476190,,,,,,,
1920,note_on,,,,,1920,0,14,,,,13,,,48,62
1920,note_on,,,,,1920,0,12,,,,11,,,60,34
1920,note_on,,,,,1920,0,13,,,,12,,,60,62
1920,note_on,,,,,1920,0,15,,,,14,,,36,62
