tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,
0,control_change,0,0,6,,,,,,,,2,91,90,,
0,control_change,0,0,6,,,,,,,,2,93,50,,
0,control_change,0,0,6,,,,,,,,2,10,64,,
0,control_change,0,0,6,,,,,,,,2,7,127,,
0,program_change,0,0,6,,,,,,,0,2,,,,
0,track_name,0,1,6,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,2,91,90,,
0,control_change,0,0,5,,,,,,,,2,93,50,,
0,control_change,0,0,5,,,,,,,,2,10,64,,
0,control_change,0,0,5,,,,,,,,2,7,127,,
0,program_change,0,0,5,,,,,,,0,2,,,,
0,track_name,0,1,5,,,,,,,,,,,,
0,note_on,0,0,4,,,,,,,,1,,,60,64
0,track_name,0,1,12,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,,1,91,90,,
0,control_change,0,0,4,,,,,,,,1,7,127,,
0,program_change,0,0,4,,,,,,,60,1,,,,
0,track_name,0,1,4,,,,,,,,,,,,
0,note_on,0,0,3,,,,,,,,1,,,72,64
0,control_change,0,0,3,,,,,,,,1,91,90,,
0,control_change,0,0,3,,,,,,,,1,10,64,,
0,control_change,0,0,3,,,,,,,,1,7,127,,
0,program_change,0,0,3,,,,,,,60,1,,,,
0,track_name,0,1,3,,,,,,,,,,,,
0,note_on,0,0,2,,,,,,,,0,,,72,64
0,control_change,0,0,2,,,,,,,,0,91,90,,
0,control_change,0,0,2,,,,,,,,0,10,64,,
0,control_change,0,0,2,,,,,,,,0,7,127,,
0,control_change,0,0,4,,,,,,,,1,10,64,,
0,track_name,0,1,7,,,,,,,,,,,,
0,program_change,0,0,7,,,,,,,0,2,,,,
0,control_change,0,0,7,,,,,,,,2,7,127,,
0,note_on,0,0,11,,,,,,,,3,,,36,64
0,control_change,0,0,11,,,,,,,,3,91,90,,
0,control_change,0,0,11,,,,,,,,3,10,64,,
0,control_change,0,0,11,,,,,,,,3,7,127,,
0,program_change,0,0,11,,,,,,,48,3,,,,
