,note,step,duration,channel,velocity
0,75.0,0,120,1.0,72.0
1,64.0,0,190,3.0,72.0
2,57.0,0,190,4.0,72.0
3,60.0,0,190,3.0,72.0
4,76.0,120,305,1.0,72.0
5,60.0,0,190,3.0,73.0
6,64.0,120,190,3.0,73.0
7,57.0,0,190,4.0,73.0
8,64.0,0,190,3.0,73.0
9,60.0,0,190,3.0,73.0
10,57.0,240,190,4.0,73.0
11,76.0,0,290,1.0,73.0
12,57.0,240,190,4.0,74.0
13,64.0,0,190,3.0,74.0
14,60.0,0,190,3.0,74.0
15,76.0,120,95,1.0,74.0
16,60.0,0,190,3.0,75.0
17,57.0,120,190,4.0,75.0
18,64.0,0,190,3.0,75.0
19,76.0,0,385,1.0,75.0
20,64.0,0,190,3.0,76.0
21,60.0,240,190,3.0,76.0
22,57.0,0,190,4.0,76.0
23,57.0,0,190,4.0,76.0
24,64.0,0,190,3.0,76.0
25,60.0,0,190,3.0,76.0
26,72.0,240,360,1.0,76.0
27,57.0,0,190,4.0,77.0
28,64.0,240,190,3.0,77.0
29,60.0,0,190,3.0,77.0
30,69.0,120,95,1.0,77.0
31,69.0,0,135,1.0,79.0
32,57.0,120,190,4.0,79.0
33,59.0,0,190,3.0,79.0
34,62.0,0,190,3.0,79.0
35,64.0,0,190,3.0,79.0
36,68.0,120,300,1.0,77.0
37,64.0,120,190,3.0,76.0
38,59.0,0,190,3.0,76.0
39,62.0,0,190,3.0,76.0
40,57.0,0,190,4.0,76.0
41,62.0,0,190,3.0,75.0
42,59.0,0,190,3.0,75.0
43,57.0,0,190,4.0,75.0
44,64.0,0,190,3.0,75.0
45,57.0,0,190,4.0,73.0
46,62.0,0,190,3.0,73.0
47,59.0,240,190,3.0,73.0
48,64.0,0,190,3.0,73.0
49,57.0,240,190,4.0,72.0
50,62.0,0,190,3.0,72.0
51,59.0,0,190,3.0,72.0
52,64.0,0,190,3.0,72.0
53,68.0,240,905,1.0,75.0
54,57.0,0,190,4.0,70.0
55,62.0,0,190,3.0,70.0
56,64.0,240,190,3.0,70.0
57,59.0,0,190,3.0,70.0
58,59.0,240,190,3.0,69.0
59,62.0,0,190,3.0,69.0
60,57.0,0,190,4.0,69.0
61,64.0,0,190,3.0,69.0
62,74.0,0,360,1.0,69.0
63,57.0,0,190,4.0,68.0
64,62.0,0,190,3.0,68.0
65,64.0,0,190,3.0,68.0
66,59.0,240,190,3.0,68.0
67,71.0,120,95,1.0,67.0
68,57.0,0,190,4.0,66.0
69,64.0,0,190,3.0,66.0
70,60.0,0,190,3.0,66.0
71,76.0,120,420,1.0,66.0
72,60.0,0,190,3.0,67.0
73,57.0,240,190,4.0,67.0
74,64.0,0,190,3.0,67.0
75,57.0,0,190,4.0,68.0
76,64.0,0,190,3.0,68.0
77,60.0,0,190,3.0,68.0
78,76.0,240,300,1.0,68.0
79,64.0,0,190,3.0,69.0
80,57.0,240,190,4.0,69.0
81,60.0,0,190,3.0,69.0
82,76.0,120,95,1.0,69.0
83,64.0,0,190,3.0,70.0
84,60.0,0,190,3.0,70.0
85,76.0,120,190,1.0,70.0
86,57.0,0,190,4.0,70.0
87,77.0,240,120,1.0,71.0
88,60.0,0,190,3.0,71.0
89,64.0,0,190,3.0,71.0
90,57.0,0,190,4.0,71.0
91,76.0,120,120,1.0,71.0
92,74.0,0,120,1.0,72.0
93,57.0,0,190,4.0,72.0
94,60.0,120,190,3.0,72.0
95,64.0,0,190,3.0,72.0
96,72.0,120,120,1.0,72.0
97,71.0,0,120,1.0,72.0
98,60.0,0,190,3.0,72.0
99,57.0,0,190,4.0,72.0
100,64.0,120,190,3.0,72.0
101,69.0,120,95,1.0,73.0
102,69.0,0,140,1.0,74.0
103,59.0,0,190,3.0,74.0
104,64.0,0,190,3.0,74.0
105,62.0,120,190,3.0,74.0
106,57.0,0,190,4.0,74.0
107,68.0,120,305,1.0,73.0
108,57.0,120,190,4.0,72.0
109,59.0,0,190,3.0,72.0
110,62.0,0,190,3.0,72.0
111,64.0,0,190,3.0,72.0
112,57.0,0,190,4.0,71.0
113,64.0,240,190,3.0,71.0
114,62.0,0,190,3.0,71.0
115,59.0,0,190,3.0,71.0
116,64.0,0,190,3.0,70.0
117,59.0,240,190,3.0,70.0
118,57.0,0,190,4.0,70.0
119,62.0,0,190,3.0,70.0
120,62.0,0,190,3.0,69.0
121,64.0,0,190,3.0,69.0
122,59.0,0,190,3.0,69.0
123,57.0,240,190,4.0,69.0
124,68.0,0,905,1.0,71.0
125,59.0,0,190,3.0,68.0
126,64.0,0,190,3.0,68.0
127,62.0,0,190,3.0,68.0
128,57.0,240,190,4.0,68.0
129,57.0,0,190,4.0,67.0
130,62.0,0,190,3.0,67.0
131,59.0,0,190,3.0,67.0
132,64.0,0,190,3.0,67.0
133,74.0,240,360,1.0,67.0
134,62.0,0,190,3.0,66.0
135,64.0,0,190,3.0,66.0
136,59.0,0,190,3.0,66.0
137,57.0,240,190,4.0,66.0
138,71.0,120,95,1.0,66.0
139,60.0,0,190,3.0,64.0
140,64.0,120,190,3.0,64.0
141,57.0,0,190,4.0,64.0
142,72.0,0,360,2.0,64.0
143,76.0,0,360,1.0,64.0
144,57.0,240,155,5.0,61.0
145,69.0,120,95,2.0,59.0
146,72.0,0,95,1.0,59.0
147,52.0,0,155,5.0,57.0
148,72.0,0,360,2.0,57.0
149,76.0,120,360,1.0,57.0
150,48.0,240,155,5.0,54.0
151,72.0,0,120,1.0,47.0
152,69.0,240,120,2.0,47.0
153,45.0,240,480,5.0,50.0
154,74.0,240,120,1.0,50.0
155,71.0,0,120,2.0,50.0
156,72.0,240,120,2.0,54.0
157,76.0,0,120,1.0,54.0
158,73.0,0,480,2.0,58.0
159,76.0,240,480,1.0,58.0
160,77.0,0,360,1.0,50.0
161,74.0,480,360,2.0,50.0
162,60.0,0,480,4.0,55.0
163,57.0,0,480,4.0,55.0
164,53.0,0,480,5.0,55.0
165,62.0,0,720,4.0,55.0
166,59.0,0,240,4.0,48.0
167,55.0,480,240,5.0,48.0
168,67.0,240,120,2.0,44.0
169,71.0,0,120,1.0,44.0
170,69.0,240,120,2.0,47.0
171,72.0,0,120,1.0,47.0
172,74.0,240,120,1.0,50.0
173,71.0,0,120,2.0,50.0
174,75.0,240,480,1.0,55.0
175,71.0,0,480,2.0,55.0
176,72.0,0,360,2.0,45.0
177,76.0,0,360,1.0,45.0
