,note,step,duration,channel,velocity
0,76.0,0,78,10.0,127.0
1,64.0,0,48,11.0,105.0
2,61.0,0,48,11.0,105.0
3,57.0,0,48,12.0,80.0
4,57.0,0,78,13.0,105.0
5,45.0,0,78,14.0,105.0
6,61.0,0,48,11.0,105.0
7,64.0,0,48,11.0,105.0
8,57.0,60,48,12.0,92.0
9,57.0,0,48,12.0,92.0
10,64.0,0,48,11.0,105.0
11,61.0,0,48,11.0,105.0
12,57.0,60,78,13.0,105.0
13,45.0,0,78,14.0,105.0
14,61.0,0,48,11.0,105.0
15,57.0,60,48,12.0,92.0
16,64.0,0,48,11.0,105.0
17,81.0,0,288,10.0,127.0
18,57.0,0,48,12.0,92.0
19,61.0,0,48,11.0,105.0
20,64.0,0,48,11.0,105.0
21,57.0,0,78,13.0,105.0
22,45.0,60,78,14.0,105.0
23,64.0,0,48,11.0,105.0
24,61.0,0,48,11.0,105.0
25,57.0,60,48,12.0,92.0
26,64.0,0,48,11.0,105.0
27,61.0,60,48,11.0,105.0
28,57.0,0,48,12.0,92.0
29,45.0,0,78,14.0,105.0
30,57.0,0,78,13.0,105.0
31,61.0,60,48,11.0,105.0
32,64.0,0,48,11.0,105.0
33,57.0,0,48,12.0,92.0
34,57.0,60,48,12.0,92.0
35,61.0,0,48,11.0,105.0
36,64.0,0,48,11.0,105.0
37,45.0,0,78,14.0,105.0
38,57.0,0,78,13.0,105.0
39,61.0,0,576,4.0,105.0
40,69.0,0,576,4.0,105.0
41,76.0,0,576,1.0,105.0
42,73.0,120,576,1.0,105.0
43,64.0,0,48,11.0,105.0
44,61.0,0,48,11.0,105.0
45,57.0,60,48,12.0,92.0
46,69.0,0,288,10.0,116.0
47,64.0,0,48,11.0,105.0
48,61.0,60,48,11.0,105.0
49,57.0,0,48,12.0,92.0
50,45.0,0,78,14.0,105.0
51,57.0,0,78,13.0,105.0
52,61.0,0,48,11.0,105.0
53,57.0,60,48,12.0,92.0
54,64.0,0,48,11.0,105.0
55,62.0,60,48,11.0,105.0
56,64.0,0,48,11.0,105.0
57,59.0,0,48,12.0,92.0
58,59.0,0,78,13.0,105.0
59,68.0,0,78,10.0,116.0
60,47.0,0,78,14.0,105.0
61,59.0,0,48,12.0,92.0
62,62.0,60,48,11.0,105.0
63,64.0,0,48,11.0,105.0
64,64.0,0,48,11.0,105.0
65,68.0,60,48,10.0,116.0
66,62.0,0,48,11.0,105.0
67,59.0,0,48,12.0,92.0
68,59.0,0,78,13.0,105.0
69,47.0,0,78,14.0,105.0
70,69.0,0,48,10.0,116.0
71,59.0,0,48,12.0,92.0
72,64.0,60,48,11.0,105.0
73,62.0,0,48,11.0,105.0
74,71.0,60,48,10.0,116.0
75,59.0,0,48,12.0,92.0
76,62.0,0,48,11.0,105.0
77,64.0,0,48,11.0,105.0
78,59.0,0,78,13.0,105.0
79,47.0,0,78,14.0,105.0
80,64.0,0,48,11.0,105.0
81,62.0,60,48,11.0,105.0
82,73.0,0,48,10.0,116.0
83,59.0,0,48,12.0,92.0
84,64.0,0,48,11.0,105.0
85,62.0,0,48,11.0,105.0
86,59.0,0,48,12.0,92.0
87,47.0,0,78,14.0,105.0
88,64.0,0,438,4.0,105.0
89,59.0,60,78,13.0,105.0
90,71.0,0,438,4.0,105.0
91,74.0,0,96,10.0,116.0
92,62.0,0,48,11.0,105.0
93,59.0,60,48,12.0,92.0
94,64.0,0,48,11.0,105.0
95,64.0,0,48,11.0,105.0
96,59.0,0,48,12.0,92.0
97,62.0,60,48,11.0,105.0
98,59.0,0,78,13.0,105.0
99,47.0,0,78,14.0,105.0
100,64.0,0,78,4.0,105.0
101,71.0,0,78,4.0,105.0
102,76.0,0,576,1.0,105.0
103,74.0,0,576,1.0,105.0
104,62.0,0,48,11.0,105.0
105,64.0,60,48,11.0,105.0
106,59.0,0,48,12.0,92.0
107,64.0,0,48,11.0,105.0
108,62.0,0,48,11.0,105.0
109,59.0,0,48,12.0,92.0
110,71.0,0,78,4.0,105.0
111,59.0,0,78,13.0,105.0
112,64.0,0,78,4.0,105.0
113,47.0,0,78,14.0,105.0
114,74.0,60,78,10.0,116.0
115,64.0,0,48,11.0,105.0
116,62.0,0,48,11.0,105.0
117,59.0,60,48,12.0,92.0
118,56.0,0,48,12.0,92.0
119,59.0,0,48,11.0,105.0
120,64.0,0,48,11.0,105.0
121,44.0,0,78,14.0,105.0
122,56.0,0,78,13.0,105.0
123,64.0,0,48,11.0,105.0
124,59.0,60,48,11.0,105.0
125,56.0,0,48,12.0,92.0
126,56.0,0,48,12.0,92.0
127,64.0,60,48,11.0,105.0
