tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,data,program,channel,control,value,note,velocity
0,time_signature,4,4,48,8,0,1,0,,,,,,,,
0,sequencer_specific,,,,,0,1,2,,"(67, 0, 1, 0)",,,,,,
0,sequencer_specific,,,,,0,1,7,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,7,,,48,6,,,,
0,control_change,,,,,0,0,7,,,,6,7,123,,
0,control_change,,,,,0,0,7,,,,6,10,98,,
0,control_change,,,,,0,0,7,,,,6,91,85,,
0,sequencer_specific,,,,,0,1,8,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,8,,,48,7,,,,
0,control_change,,,,,0,0,8,,,,7,7,124,,
0,control_change,,,,,0,0,8,,,,7,10,84,,
0,control_change,,,,,0,0,8,,,,7,91,87,,
0,sequencer_specific,,,,,0,1,9,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,9,,,43,8,,,,
0,control_change,,,,,0,0,9,,,,8,7,99,,
0,control_change,,,,,0,0,9,,,,8,10,94,,
0,control_change,,,,,0,0,9,,,,8,91,98,,
0,control_change,,,,,0,0,1,,,,0,91,80,,
0,control_change,,,,,0,0,1,,,,0,10,56,,
0,control_change,,,,,0,0,1,,,,0,7,90,,
0,program_change,,,,,0,0,2,,,68,1,,,,
0,program_change,,,,,0,0,1,,,73,0,,,,
0,control_change,,,,,0,0,2,,,,1,7,90,,
0,control_change,,,,,0,0,2,,,,1,91,80,,
0,control_change,,,,,0,0,3,,,,2,7,90,,
0,control_change,,,,,0,0,3,,,,2,10,72,,
0,control_change,,,,,0,0,3,,,,2,91,80,,
0,sequencer_specific,,,,,0,1,4,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,4,,,60,3,,,,
0,control_change,,,,,0,0,4,,,,3,7,119,,
0,control_change,,,,,0,0,4,,,,3,10,36,,
0,control_change,,,,,0,0,4,,,,3,91,80,,
0,sequencer_specific,,,,,0,1,5,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,5,,,48,4,,,,
0,control_change,,,,,0,0,5,,,,4,7,126,,
0,control_change,,,,,0,0,5,,,,4,10,28,,
0,control_change,,,,,0,0,5,,,,4,91,80,,
0,sequencer_specific,,,,,0,1,6,,"(67, 0, 1, 0)",,,,,,
0,program_change,,,,,0,0,6,,,48,5,,,,
0,control_change,,,,,0,0,6,,,,5,7,123,,
0,control_change,,,,,0,0,6,,,,5,10,40,,
0,control_change,,,,,0,0,6,,,,5,91,85,,
0,program_change,,,,,0,0,3,,,70,2,,,,
0,control_change,,,,,0,0,2,,,,1,10,64,,
0,sequencer_specific,,,,,0,1,1,,"(67, 0, 1, 0)",,,,,,
0,sequencer_specific,,,,,0,1,3,,"(67, 0, 1, 0)",,,,,,
0,set_tempo,,,,,0,1,0,218182,,,,,,,
1440,note_on,,,,,1440,0,5,,,,4,,,62,70
1920,note_on,,,,,1920,0,8,,,,7,,,55,58
1920,note_on,,,,,1920,0,3,,,,2,,,55,70
1920,note_on,,,,,1920,0,9,,,,8,,,43,58
1920,note_on,,,,,0,0,5,,,,4,,,67,70
1920,note_on,,,,,480,0,5,,,,4,,,62,0
2208,note_on,,,,,288,0,5,,,,4,,,67,0
2400,note_on,,,,,192,0,5,,,,4,,,70,70
2400,note_on,,,,,2400,0,7,,,,6,,,58,58
2400,note_on,,,,,2400,0,6,,,,5,,,67,58
2688,note_on,,,,,288,0,7,,,,6,,,58,0
2688,note_on,,,,,288,0,6,,,,5,,,67,0
2688,note_on,,,,,768,0,8,,,,7,,,55,0
2688,note_on,,,,,288,0,5,,,,4,,,70,0
2688,note_on,,,,,768,0,3,,,,2,,,55,0
2688,note_on,,,,,768,0,9,,,,8,,,43,0
2880,note_on,,,,,192,0,6,,,,5,,,67,58
2880,note_on,,,,,192,0,5,,,,4,,,74,70
2880,note_on,,,,,192,0,7,,,,6,,,58,58
3168,note_on,,,,,288,0,5,,,,4,,,74,0
3168,note_on,,,,,288,0,7,,,,6,,,58,0
3168,note_on,,,,,288,0,6,,,,5,,,67,0
3360,note_on,,,,,192,0,7,,,,6,,,58,58
3360,note_on,,,,,192,0,5,,,,4,,,79,70
3360,note_on,,,,,192,0,6,,,,5,,,67,58
3648,note_on,,,,,288,0,7,,,,6,,,58,0
3648,note_on,,,,,288,0,6,,,,5,,,67,0
3648,note_on,,,,,288,0,5,,,,4,,,79,0
3840,note_on,,,,,1152,0,9,,,,8,,,43,58
3840,note_on,,,,,192,0,5,,,,4,,,82,70
3840,note_on,,,,,1152,0,3,,,,2,,,55,70
3840,note_on,,,,,1152,0,8,,,,7,,,55,58
4320,note_on,,,,,672,0,6,,,,5,,,64,58
4320,note_on,,,,,672,0,7,,,,6,,,61,58
4608,note_on,,,,,768,0,8,,,,7,,,55,0
4608,note_on,,,,,288,0,7,,,,6,,,61,0
4608,note_on,,,,,768,0,3,,,,2,,,55,0
4608,note_on,,,,,768,0,9,,,,8,,,43,0
4608,note_on,,,,,288,0,6,,,,5,,,64,0
4800,note_on,,,,,192,0,6,,,,5,,,64,58
4800,note_on,,,,,192,0,7,,,,6,,,61,58
4800,note_on,,,,,0,0,5,,,,4,,,81,70
4800,note_on,,,,,960,0,5,,,,4,,,82,0
5088,note_on,,,,,288,0,6,,,,5,,,64,0
5088,note_on,,,,,288,0,7,,,,6,,,61,0
5088,note_on,,,,,288,0,5,,,,4,,,81,0
5280,note_on,,,,,0,0,2,,,,1,,,81,105
5280,note_on,,,,,192,0,6,,,,5,,,73,58
5280,note_on,,,,,192,0,5,,,,4,,,73,105
5280,note_on,,,,,192,0,7,,,,6,,,69,58
5280,note_on,,,,,5280,0,2,,,,1,,,76,105
5280,note_on,,,,,5280,0,4,,,,3,,,69,80
5280,note_on,,,,,672,0,9,,,,8,,,43,105
5280,note_on,,,,,5280,0,1,,,,0,,,85,105
5280,note_on,,,,,672,0,8,,,,7,,,55,105
