tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,control,value,channel,program,note,velocity
0,time_signature,4,4,24,8,0,1,0,,,,,,,,
0,time_signature,2,4,24,8,0,1,0,,,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,
0,set_tempo,,,,,0,1,0,,681818,,,,,,
0,note_on,,,,,0,0,1,,,,,0,,60,55
0,program_change,,,,,0,0,1,,,,,0,0,,
0,control_change,,,,,0,0,1,,,121,0,0,,,
0,control_change,,,,,0,0,1,,,91,60,0,,,
0,control_change,,,,,0,0,1,,,10,90,0,,,
0,control_change,,,,,0,0,1,,,7,100,0,,,
0,control_change,,,,,0,0,1,,,121,0,1,,,
0,control_change,,,,,0,0,1,,,91,60,1,,,
0,control_change,,,,,0,0,1,,,10,30,1,,,
0,control_change,,,,,0,0,1,,,7,80,1,,,
0,track_name,,,,,0,1,1,,,,,,,,
64,note_on,,,,,64,0,1,,,,,0,,60,0
64,note_on,,,,,0,0,1,,,,,0,,62,65
128,note_on,,,,,64,0,1,,,,,0,,62,0
128,note_on,,,,,0,0,1,,,,,0,,60,56
128,note_on,,,,,0,0,1,,,,,1,,40,57
128,program_change,,,,,0,0,1,,,,,1,0,,
192,note_on,,,,,0,0,1,,,,,0,,62,63
192,note_on,,,,,64,0,1,,,,,0,,60,0
256,note_on,,,,,0,0,1,,,,,1,,40,0
256,note_on,,,,,0,0,1,,,,,0,,67,70
256,note_on,,,,,64,0,1,,,,,0,,62,0
320,note_on,,,,,64,0,1,,,,,0,,67,0
320,note_on,,,,,0,0,1,,,,,0,,69,68
384,note_on,,,,,64,0,1,,,,,0,,69,0
384,note_on,,,,,0,0,1,,,,,0,,67,60
384,note_on,,,,,0,0,1,,,,,1,,50,59
448,note_on,,,,,64,0,1,,,,,0,,67,0
448,note_on,,,,,0,0,1,,,,,0,,69,61
512,note_on,,,,,0,0,1,,,,,1,,50,0
512,note_on,,,,,64,0,1,,,,,0,,69,0
512,note_on,,,,,0,0,1,,,,,0,,65,52
576,note_on,,,,,64,0,1,,,,,0,,65,0
576,note_on,,,,,0,0,1,,,,,0,,67,68
640,note_on,,,,,0,0,1,,,,,0,,65,62
640,note_on,,,,,64,0,1,,,,,0,,67,0
640,note_on,,,,,0,0,1,,,,,1,,52,57
704,note_on,,,,,64,0,1,,,,,0,,65,0
704,note_on,,,,,0,0,1,,,,,0,,67,65
768,note_on,,,,,64,0,1,,,,,0,,67,0
768,note_on,,,,,0,0,1,,,,,0,,59,55
768,note_on,,,,,0,0,1,,,,,1,,52,0
832,note_on,,,,,64,0,1,,,,,0,,59,0
832,note_on,,,,,0,0,1,,,,,0,,60,59
896,note_on,,,,,0,0,1,,,,,1,,47,57
896,note_on,,,,,0,0,1,,,,,0,,59,58
896,note_on,,,,,64,0,1,,,,,0,,60,0
960,note_on,,,,,64,0,1,,,,,0,,59,0
960,note_on,,,,,0,0,1,,,,,0,,60,60
1024,note_on,,,,,0,0,1,,,,,0,,62,67
1024,note_on,,,,,64,0,1,,,,,0,,60,0
1024,note_on,,,,,0,0,1,,,,,1,,47,0
1088,note_on,,,,,0,0,1,,,,,0,,64,65
1088,note_on,,,,,64,0,1,,,,,0,,62,0
1152,note_on,,,,,64,0,1,,,,,0,,64,0
1152,note_on,,,,,0,0,1,,,,,1,,45,50
1152,note_on,,,,,0,0,1,,,,,0,,62,56
1216,note_on,,,,,0,0,1,,,,,0,,64,65
1216,note_on,,,,,64,0,1,,,,,0,,62,0
1280,note_on,,,,,64,0,1,,,,,0,,64,0
1280,note_on,,,,,0,0,1,,,,,0,,65,63
1280,note_on,,,,,0,0,1,,,,,1,,45,0
1344,note_on,,,,,64,0,1,,,,,0,,65,0
1344,note_on,,,,,0,0,1,,,,,0,,67,60
1408,note_on,,,,,0,0,1,,,,,0,,65,59
1408,note_on,,,,,64,0,1,,,,,0,,67,0
1408,note_on,,,,,0,0,1,,,,,1,,59,49
1472,note_on,,,,,64,0,1,,,,,0,,65,0
1472,note_on,,,,,0,0,1,,,,,0,,67,64
1536,note_on,,,,,0,0,1,,,,,0,,69,66
