tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,note,velocity,channel
0,time_signature,4,4,24,8,0,1,0,,,,,
0,track_name,,,,,0,1,5,,,,,
0,track_name,,,,,0,1,7,,,,,
0,track_name,,,,,0,1,4,,,,,
0,track_name,,,,,0,1,3,,,,,
0,track_name,,,,,0,1,8,,,,,
0,track_name,,,,,0,1,2,,,,,
0,track_name,,,,,0,1,6,,,,,
0,track_name,,,,,0,1,1,,,,,
0,key_signature,,,,,0,1,0,D,,,,
0,set_tempo,,,,,0,1,0,,833333,,,
3584,note_on,,,,,3584,0,6,,,69,96,5
4096,note_off,,,,,512,0,6,,,69,0,5
4096,note_on,,,,,0,0,6,,,74,96,5
4096,note_on,,,,,4096,0,5,,,50,96,4
4352,note_off,,,,,256,0,6,,,74,0,5
4352,note_on,,,,,0,0,6,,,76,96,5
4608,note_off,,,,,256,0,6,,,76,0,5
4608,note_on,,,,,0,0,6,,,78,96,5
4608,note_off,,,,,512,0,5,,,50,0,4
4608,note_on,,,,,0,0,5,,,38,96,4
4864,note_off,,,,,256,0,6,,,78,0,5
4864,note_on,,,,,0,0,6,,,76,96,5
5120,note_off,,,,,512,0,5,,,38,0,4
5120,note_off,,,,,256,0,6,,,76,0,5
5120,note_on,,,,,0,0,6,,,74,96,5
5376,note_on,,,,,5376,0,7,,,69,96,6
5632,note_on,,,,,0,0,7,,,71,96,6
5632,note_off,,,,,512,0,6,,,74,0,5
5632,note_on,,,,,0,0,6,,,69,96,5
5632,note_off,,,,,256,0,7,,,69,0,6
5888,note_on,,,,,0,0,7,,,73,96,6
5888,note_off,,,,,256,0,7,,,71,0,6
6144,note_off,,,,,512,0,6,,,69,0,5
6144,note_on,,,,,0,0,6,,,69,96,5
6144,note_off,,,,,256,0,7,,,73,0,6
6144,note_on,,,,,0,0,7,,,74,96,6
6400,note_off,,,,,256,0,7,,,74,0,6
6400,note_on,,,,,0,0,7,,,69,96,6
6400,note_on,,,,,0,0,7,,,69,96,6
6656,note_on,,,,,0,0,7,,,71,96,6
6656,note_off,,,,,256,0,7,,,69,0,6
6656,note_on,,,,,0,0,7,,,74,96,6
6656,note_off,,,,,0,0,7,,,69,0,6
6656,note_on,,,,,0,0,6,,,66,96,5
6656,note_off,,,,,512,0,6,,,69,0,5
6912,note_off,,,,,256,0,7,,,74,0,6
6912,note_on,,,,,0,0,7,,,76,96,6
6912,note_off,,,,,0,0,7,,,71,0,6
6912,note_on,,,,,0,0,7,,,73,96,6
7168,note_on,,,,,0,0,6,,,66,96,5
7168,note_off,,,,,512,0,6,,,66,0,5
7168,note_off,,,,,256,0,7,,,76,0,6
7168,note_on,,,,,0,0,7,,,78,96,6
7168,note_off,,,,,0,0,7,,,73,0,6
7168,note_on,,,,,0,0,7,,,74,96,6
7424,note_off,,,,,256,0,7,,,78,0,6
7424,note_on,,,,,0,0,7,,,74,96,6
7424,note_off,,,,,0,0,7,,,74,0,6
7424,note_on,,,,,0,0,7,,,69,96,6
7680,note_off,,,,,256,0,7,,,74,0,6
7680,note_on,,,,,0,0,7,,,78,96,6
7680,note_off,,,,,0,0,7,,,69,0,6
7680,note_off,,,,,512,0,6,,,66,0,5
7680,note_on,,,,,0,0,6,,,62,96,5
7680,note_on,,,,,0,0,7,,,74,96,6
7936,note_off,,,,,256,0,7,,,78,0,6
7936,note_off,,,,,0,0,7,,,74,0,6
7936,note_on,,,,,0,0,7,,,76,96,6
7936,note_on,,,,,0,0,7,,,79,96,6
8192,note_off,,,,,256,0,7,,,79,0,6
8192,note_off,,,,,0,0,7,,,76,0,6
8192,note_on,,,,,0,0,7,,,81,96,6
8192,note_on,,,,,0,0,7,,,78,96,6
8192,note_on,,,,,0,0,6,,,62,96,5
8192,note_off,,,,,512,0,6,,,62,0,5
8704,note_on,,,,,0,0,6,,,81,96,5
8704,note_off,,,,,512,0,6,,,62,0,5
8704,note_on,,,,,8704,0,8,,,81,96,7
8704,note_on,,,,,0,0,7,,,78,96,6
8704,note_on,,,,,0,0,8,,,62,96,7
8704,note_on,,,,,0,0,6,,,78,96,5
8704,note_on,,,,,0,0,7,,,81,96,6
8704,note_off,,,,,512,0,7,,,81,0,6
8704,note_on,,,,,0,0,8,,,78,96,7
8704,note_on,,,,,0,0,6,,,69,96,5
8704,note_off,,,,,0,0,7,,,78,0,6
8704,note_on,,,,,3584,0,5,,,50,96,4
8704,note_on,,,,,0,0,5,,,50,96,4
8960,note_off,,,,,256,0,5,,,50,0,4
8960,note_on,,,,,0,0,5,,,49,96,4
9216,note_off,,,,,0,0,8,,,78,0,7
9216,note_on,,,,,0,0,7,,,76,96,6
9216,note_off,,,,,0,0,7,,,78,0,6
9216,note_on,,,,,0,0,7,,,79,96,6
9216,note_off,,,,,512,0,7,,,81,0,6
9216,note_on,,,,,0,0,8,,,57,96,7
9216,note_off,,,,,0,0,8,,,62,0,7
9216,note_on,,,,,0,0,8,,,76,96,7
9216,note_on,,,,,0,0,5,,,50,96,4
9216,note_off,,,,,512,0,8,,,81,0,7
9216,note_off,,,,,0,0,5,,,49,0,4
9216,note_on,,,,,0,0,8,,,79,96,7
9216,note_off,,,,,256,0,5,,,50,0,4
9216,note_on,,,,,0,0,6,,,69,96,5
9216,note_off,,,,,0,0,6,,,69,0,5
9216,note_on,,,,,0,0,6,,,76,96,5
9216,note_off,,,,,512,0,6,,,81,0,5
9216,note_on,,,,,0,0,6,,,79,96,5
9216,note_off,,,,,0,0,6,,,78,0,5
9216,note_on,,,,,0,0,5,,,45,96,4
9472,note_off,,,,,256,0,5,,,50,0,4
9472,note_on,,,,,0,0,5,,,52,96,4
9728,note_on,,,,,0,0,6,,,69,96,5
9728,note_on,,,,,0,0,5,,,50,96,4
