tick,type,time,meta,track,key,port,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,instrument_name,0,1,5,,,,,,,,,,,,,
0,track_name,0,1,5,,,,,,,,,,,,,
0,note_on,0,0,4,,,,,,,,,3,,,81,89
0,note_on,0,0,4,,,,,,,,,3,,,69,89
0,control_change,0,0,4,,,,,,,,,3,7,126,,
0,program_change,0,0,4,,,,,,,,49,3,,,,
0,text,0,1,4,,,,,,,,,,,,,
0,midi_port,0,1,4,,0,,,,,,,,,,,
0,instrument_name,0,1,4,,,,,,,,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,3,,,,,,,,,2,7,127,,
0,text,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,61,2,,,,
0,midi_port,0,1,3,,0,,,,,,,,,,,
0,instrument_name,0,1,3,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,text,0,1,11,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,,,1,7,126,,
0,program_change,0,0,2,,,,,,,,44,1,,,,
0,text,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,0,,,,,,,,,,,
0,midi_port,0,1,5,,0,,,,,,,,,,,
0,program_change,0,0,5,,,,,,,,46,4,,,,
0,text,0,1,5,,,,,,,,,,,,,
0,control_change,0,0,5,,,,,,,,,4,7,127,,
0,midi_port,0,1,11,,0,,,,,,,,,,,
0,track_name,0,1,11,,,,,,,,,,,,,
0,end_of_track,0,1,10,,,,,,,,,,,,,
0,text,0,1,10,,,,,,,,,,,,,
0,midi_port,0,1,10,,0,,,,,,,,,,,
0,track_name,0,1,10,,,,,,,,,,,,,
0,end_of_track,0,1,9,,,,,,,,,,,,,
0,text,0,1,9,,,,,,,,,,,,,
0,midi_port,0,1,9,,0,,,,,,,,,,,
0,track_name,0,1,9,,,,,,,,,,,,,
