tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
0,text,0,1,0,,,,,,,,,,,,,,
0,text,0,1,1,,,,,,,,,,,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,,
0,text,0,1,2,,,,,,,,,,,,,,
0,time_signature,0,1,0,,,,,,,2,4,24,8,,,,
0,set_tempo,0,1,0,,,,,,,,,,,500000,,,
0,smpte_offset,0,1,0,24,32,0,0,0,0,,,,,,,,
1440,note_on,1440,0,1,,,,,,,,,,,,60,64,0
1680,note_on,0,0,1,,,,,,,,,,,,62,64,0
1680,note_off,240,0,1,,,,,,,,,,,,60,64,0
1920,note_on,0,0,1,,,,,,,,,,,,63,64,0
1920,note_off,240,0,1,,,,,,,,,,,,62,64,0
2400,note_off,480,0,1,,,,,,,,,,,,63,64,0
2400,note_on,0,0,1,,,,,,,,,,,,64,64,0
2880,note_off,480,0,1,,,,,,,,,,,,64,64,0
2880,note_on,0,0,1,,,,,,,,,,,,65,64,0
3360,note_off,480,0,1,,,,,,,,,,,,65,64,0
3360,note_on,0,0,1,,,,,,,,,,,,66,64,0
3840,note_off,480,0,1,,,,,,,,,,,,66,64,0
3840,note_on,0,0,1,,,,,,,,,,,,67,64,0
4800,note_on,0,0,1,,,,,,,,,,,,68,64,0
4800,note_off,960,0,1,,,,,,,,,,,,67,64,0
5760,note_on,0,0,1,,,,,,,,,,,,59,64,0
5760,note_off,960,0,1,,,,,,,,,,,,68,64,0
6720,note_off,960,0,1,,,,,,,,,,,,59,64,0
7200,note_on,480,0,1,,,,,,,,,,,,67,64,0
7680,note_off,480,0,1,,,,,,,,,,,,67,64,0
7680,note_on,0,0,1,,,,,,,,,,,,66,64,0
8160,note_off,480,0,1,,,,,,,,,,,,66,64,0
8160,note_on,0,0,1,,,,,,,,,,,,65,64,0
9120,note_off,960,0,1,,,,,,,,,,,,65,64,0
9120,note_on,0,0,1,,,,,,,,,,,,64,64,0
9600,note_off,480,0,1,,,,,,,,,,,,64,64,0
9600,note_on,0,0,1,,,,,,,,,,,,63,64,0
