tick,type,key,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,note,velocity,channel
0,key_signature,F,0,1,0,,,,,,,,
0,time_signature,,0,1,0,4,4,24,8,,,,
0,set_tempo,,0,1,0,,,,,468519,,,
0,note_on,,0,0,1,,,,,,69,88,0
192,note_on,,0,0,1,,,,,,62,88,0
192,note_on,,192,0,1,,,,,,69,0,0
384,note_on,,192,0,1,,,,,,62,0,0
384,note_on,,0,0,1,,,,,,65,88,0
576,note_on,,192,0,1,,,,,,65,0,0
576,note_on,,0,0,1,,,,,,69,88,0
768,note_on,,0,0,1,,,,,,70,88,0
768,note_on,,192,0,1,,,,,,69,0,0
960,note_on,,192,0,1,,,,,,70,0,0
960,note_on,,0,0,1,,,,,,69,88,0
1056,note_on,,0,0,1,,,,,,67,88,0
1056,note_on,,96,0,1,,,,,,69,0,0
1152,note_on,,0,0,1,,,,,,65,88,0
1152,note_on,,96,0,1,,,,,,67,0,0
1344,note_on,,0,0,1,,,,,,65,88,0
1344,note_on,,192,0,1,,,,,,65,0,0
1392,note_on,,0,0,1,,,,,,64,88,0
1392,note_on,,48,0,1,,,,,,65,0,0
1440,note_on,,0,0,1,,,,,,65,88,0
1440,note_on,,48,0,1,,,,,,64,0,0
1488,note_on,,0,0,1,,,,,,67,88,0
1488,note_on,,48,0,1,,,,,,65,0,0
1536,note_on,,0,0,1,,,,,,69,88,0
1536,note_on,,48,0,1,,,,,,67,0,0
1536,note_on,,1536,0,2,,,,,,62,88,0
1728,note_on,,192,0,2,,,,,,62,0,0
1728,note_on,,0,0,2,,,,,,57,88,0
1728,note_on,,192,0,1,,,,,,69,0,0
1728,note_on,,0,0,1,,,,,,69,88,0
1776,note_on,,0,0,1,,,,,,70,72,0
1776,note_on,,48,0,1,,,,,,69,0,0
1824,note_on,,0,0,1,,,,,,69,72,0
1824,note_on,,48,0,1,,,,,,70,0,0
1872,note_on,,48,0,1,,,,,,69,0,0
1872,note_on,,0,0,1,,,,,,68,72,0
1920,note_on,,0,0,2,,,,,,60,88,0
1920,note_on,,192,0,2,,,,,,57,0,0
1920,note_on,,48,0,1,,,,,,68,0,0
1920,note_on,,0,0,1,,,,,,69,72,0
2112,note_on,,192,0,1,,,,,,69,0,0
2112,note_on,,0,0,1,,,,,,69,72,0
2112,note_on,,192,0,2,,,,,,60,0,0
2112,note_on,,0,0,2,,,,,,64,88,0
2160,note_on,,0,0,1,,,,,,70,72,0
2160,note_on,,48,0,1,,,,,,69,0,0
2208,note_on,,0,0,1,,,,,,69,72,0
2208,note_on,,48,0,1,,,,,,70,0,0
2256,note_on,,48,0,1,,,,,,69,0,0
2256,note_on,,0,0,1,,,,,,68,72,0
2304,note_on,,0,0,2,,,,,,65,88,0
2304,note_on,,192,0,2,,,,,,64,0,0
2304,note_on,,0,0,1,,,,,,69,72,0
2304,note_on,,48,0,1,,,,,,68,0,0
2400,note_on,,0,0,1,,,,,,74,72,0
2400,note_on,,96,0,1,,,,,,69,0,0
2496,note_on,,96,0,1,,,,,,74,0,0
2496,note_on,,0,0,1,,,,,,67,72,0
2496,note_on,,192,0,2,,,,,,65,0,0
2496,note_on,,0,0,2,,,,,,64,88,0
2592,note_on,,96,0,1,,,,,,67,0,0
2592,note_on,,0,0,1,,,,,,70,72,0
2592,note_on,,96,0,2,,,,,,64,0,0
2592,note_on,,0,0,2,,,,,,62,88,0
2688,note_on,,0,0,2,,,,,,61,88,0
2688,note_on,,0,0,1,,,,,,70,72,0
2688,note_on,,96,0,2,,,,,,62,0,0
2688,note_on,,96,0,1,,,,,,70,0,0
2784,note_on,,0,0,1,,,,,,64,72,0
2784,note_on,,96,0,1,,,,,,70,0,0
2880,note_on,,0,0,1,,,,,,69,72,0
2880,note_on,,96,0,1,,,,,,64,0,0
2880,note_on,,192,0,2,,,,,,61,0,0
2880,note_on,,0,0,2,,,,,,61,88,0
2928,note_on,,48,0,2,,,,,,61,0,0
2928,note_on,,0,0,2,,,,,,57,88,0
2976,note_on,,96,0,1,,,,,,69,0,0
2976,note_on,,0,0,1,,,,,,67,72,0
2976,note_on,,48,0,2,,,,,,57,0,0
2976,note_on,,0,0,2,,,,,,59,88,0
3024,note_on,,0,0,2,,,,,,61,88,0
3024,note_on,,48,0,2,,,,,,59,0,0
3072,note_on,,0,0,2,,,,,,62,88,0
3072,note_on,,0,0,1,,,,,,67,72,0
3072,note_on,,96,0,1,,,,,,67,0,0
3072,note_on,,48,0,2,,,,,,61,0,0
3168,note_on,,0,0,1,,,,,,65,72,0
3168,note_on,,96,0,1,,,,,,67,0,0
3264,note_on,,192,0,2,,,,,,62,0,0
3264,note_on,,0,0,2,,,,,,62,72,0
3264,note_on,,0,0,1,,,,,,70,72,0
3264,note_on,,96,0,1,,,,,,65,0,0
3312,note_on,,48,0,2,,,,,,62,0,0
3312,note_on,,0,0,2,,,,,,60,72,0
3360,note_on,,48,0,2,,,,,,60,0,0
3360,note_on,,0,0,2,,,,,,62,72,0
3408,note_on,,0,0,2,,,,,,64,72,0
3408,note_on,,48,0,2,,,,,,62,0,0
3456,note_on,,48,0,2,,,,,,64,0,0
3456,note_on,,0,0,2,,,,,,65,72,0
3456,note_on,,192,0,1,,,,,,70,0,0
3456,note_on,,0,0,1,,,,,,70,72,0
3552,note_on,,96,0,1,,,,,,70,0,0
3552,note_on,,0,0,1,,,,,,69,72,0
3648,note_on,,0,0,2,,,,,,65,72,0
3648,note_on,,96,0,1,,,,,,69,0,0
3648,note_on,,0,0,1,,,,,,74,72,0
3648,note_on,,192,0,2,,,,,,65,0,0
3696,note_on,,0,0,2,,,,,,64,72,0
3696,note_on,,48,0,2,,,,,,65,0,0
3744,note_on,,0,0,2,,,,,,65,72,0
3744,note_on,,48,0,2,,,,,,64,0,0
3792,note_on,,48,0,2,,,,,,65,0,0
3792,note_on,,0,0,2,,,,,,67,72,0
3840,note_on,,192,0,1,,,,,,74,0,0
3840,note_on,,0,0,1,,,,,,74,72,0
3840,note_on,,3840,0,3,,,,,,57,88,0
3840,note_on,,0,0,2,,,,,,69,72,0
3840,note_on,,48,0,2,,,,,,67,0,0
3936,note_on,,0,0,1,,,,,,72,72,0
3936,note_on,,96,0,1,,,,,,74,0,0
4032,note_on,,0,0,1,,,,,,70,72,0
4032,note_on,,0,0,3,,,,,,50,88,0
4032,note_on,,192,0,3,,,,,,57,0,0
4032,note_on,,96,0,1,,,,,,72,0,0
4032,note_on,,0,0,2,,,,,,69,72,0
4032,note_on,,192,0,2,,,,,,69,0,0
4080,note_on,,0,0,2,,,,,,67,72,0
4080,note_on,,48,0,2,,,,,,69,0,0
4128,note_on,,0,0,2,,,,,,65,72,0
4128,note_on,,48,0,2,,,,,,67,0,0
4176,note_on,,0,0,2,,,,,,64,72,0
4176,note_on,,48,0,2,,,,,,65,0,0
4224,note_on,,48,0,2,,,,,,64,0,0
4224,note_on,,0,0,2,,,,,,62,72,0
4224,note_on,,192,0,1,,,,,,70,0,0
4224,note_on,,0,0,1,,,,,,70,72,0
4224,note_on,,0,0,3,,,,,,53,88,0
4224,note_on,,192,0,3,,,,,,50,0,0
