tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity
0,time_signature,3,4,24,8,0,1,0,,,,,,,
0,program_change,,,,,0,0,1,,,,6,0,,
0,track_name,,,,,0,1,1,,,,,,,
0,program_change,,,,,0,0,2,,,,6,1,,
0,track_name,,,,,0,1,2,,,,,,,
0,midi_port,,,,,0,1,2,,,0,,,,
0,midi_port,,,,,0,1,1,,,0,,,,
0,track_name,,,,,0,1,3,,,,,,,
0,program_change,,,,,0,0,3,,,,6,2,,
0,set_tempo,,,,,0,1,0,,800000,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,
0,midi_port,,,,,0,1,3,,,0,,,,
120,note_on,,,,,120,0,1,,,,,0,62,64
235,note_on,,,,,115,0,1,,,,,0,62,0
240,note_on,,,,,5,0,1,,,,,0,64,64
355,note_on,,,,,115,0,1,,,,,0,64,0
360,note_on,,,,,5,0,1,,,,,0,65,64
475,note_on,,,,,115,0,1,,,,,0,65,0
480,note_on,,,,,5,0,1,,,,,0,67,64
595,note_on,,,,,115,0,1,,,,,0,67,0
600,note_on,,,,,5,0,1,,,,,0,64,64
715,note_on,,,,,115,0,1,,,,,0,64,0
720,note_on,,,,,5,0,1,,,,,0,65,64
780,note_on,,,,,60,0,1,,,,,0,65,0
780,note_on,,,,,0,0,1,,,,,0,62,64
840,note_on,,,,,60,0,1,,,,,0,62,0
840,note_on,,,,,0,0,1,,,,,0,61,64
900,note_on,,,,,60,0,1,,,,,0,61,0
900,note_on,,,,,0,0,1,,,,,0,62,64
960,note_on,,,,,60,0,1,,,,,0,62,0
960,note_on,,,,,0,0,1,,,,,0,70,74
1140,note_on,,,,,180,0,1,,,,,0,70,0
1200,note_on,,,,,60,0,1,,,,,0,67,72
1222,note_on,,,,,22,0,1,,,,,0,69,41
1224,note_on,,,,,2,0,1,,,,,0,67,0
1244,note_on,,,,,20,0,1,,,,,0,67,43
1246,note_on,,,,,2,0,1,,,,,0,69,0
1266,note_on,,,,,20,0,1,,,,,0,69,45
1268,note_on,,,,,2,0,1,,,,,0,67,0
1288,note_on,,,,,20,0,1,,,,,0,67,48
1290,note_on,,,,,2,0,1,,,,,0,69,0
1310,note_on,,,,,20,0,1,,,,,0,69,50
1312,note_on,,,,,2,0,1,,,,,0,67,0
1332,note_on,,,,,20,0,1,,,,,0,67,52
1334,note_on,,,,,2,0,1,,,,,0,69,0
1354,note_on,,,,,20,0,1,,,,,0,69,54
1356,note_on,,,,,2,0,1,,,,,0,67,0
1376,note_on,,,,,20,0,1,,,,,0,67,57
1378,note_on,,,,,2,0,1,,,,,0,69,0
1398,note_on,,,,,20,0,1,,,,,0,69,59
1400,note_on,,,,,2,0,1,,,,,0,67,0
1420,note_on,,,,,20,0,1,,,,,0,67,61
1422,note_on,,,,,2,0,1,,,,,0,69,0
1440,note_on,,,,,18,0,1,,,,,0,69,72
1442,note_on,,,,,2,0,1,,,,,0,67,0
1560,note_on,,,,,1560,0,2,,,,,1,57,64
1680,note_on,,,,,0,0,2,,,,,1,59,64
1680,note_on,,,,,120,0,2,,,,,1,57,0
1740,note_on,,,,,0,0,1,,,,,0,67,64
1740,note_on,,,,,298,0,1,,,,,0,69,0
1800,note_on,,,,,60,0,1,,,,,0,67,0
1800,note_on,,,,,0,0,1,,,,,0,65,64
1800,note_on,,,,,0,0,2,,,,,1,60,64
1800,note_on,,,,,120,0,2,,,,,1,59,0
1860,note_on,,,,,60,0,1,,,,,0,65,0
1860,note_on,,,,,0,0,1,,,,,0,64,64
1920,note_on,,,,,60,0,1,,,,,0,64,0
1920,note_on,,,,,0,0,1,,,,,0,67,64
1920,note_on,,,,,0,0,2,,,,,1,62,64
