tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,program_change,0,0,2,,,,,,,,0,1,,,,
0,control_change,0,0,2,,,,,,,,,1,7,110,,
0,control_change,0,0,2,,,,,,,,,1,10,32,,
0,control_change,0,0,2,,,,,,,,,1,93,16,,
0,control_change,0,0,2,,,,,,,,,1,91,11,,
0,control_change,0,0,4,,,,,,,,,3,91,11,,
0,midi_port,0,1,3,,,,,,,0,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,program_change,0,0,3,,,,,,,,0,2,,,,
0,control_change,0,0,3,,,,,,,,,2,7,104,,
0,control_change,0,0,3,,,,,,,,,2,10,94,,
0,control_change,0,0,3,,,,,,,,,2,93,12,,
0,control_change,0,0,3,,,,,,,,,2,91,14,,
0,midi_port,0,1,4,,,,,,,0,,,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,program_change,0,0,4,,,,,,,,61,3,,,,
0,control_change,0,0,4,,,,,,,,,3,7,121,,
0,control_change,0,0,4,,,,,,,,,3,10,64,,
0,control_change,0,0,4,,,,,,,,,3,93,18,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,midi_port,0,1,2,,,,,,,0,,,,,,
0,end_of_track,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,93,11,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,copyright,0,1,0,,,,,,,,,,,,,
0,text,0,1,0,,,,,,,,,,,,,
0,time_signature,0,1,0,4,4,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,612245,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,91,16,,
0,control_change,0,0,1,,,,,,,,,0,10,64,,
0,key_signature,0,1,0,,,,,E,,,,,,,,
0,control_change,0,0,1,,,,,,,,,0,7,120,,
0,program_change,0,0,1,,,,,,,,71,0,,,,
0,end_of_track,0,1,0,,,,,,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,midi_port,0,1,1,,,,,,,0,,,,,,
240,note_on,240,0,2,,,,,,,,,1,,,71,59
480,note_on,0,0,2,,,,,,,,,1,,,68,59
480,note_on,240,0,2,,,,,,,,,1,,,71,0
480,note_on,0,0,2,,,,,,,,,1,,,71,59
600,note_on,600,0,3,,,,,,,,,2,,,52,58
720,note_on,120,0,3,,,,,,,,,2,,,52,0
720,note_on,0,0,3,,,,,,,,,2,,,64,58
840,note_on,0,0,2,,,,,,,,,1,,,71,59
840,note_on,0,0,2,,,,,,,,,1,,,66,59
840,note_on,0,0,2,,,,,,,,,1,,,71,0
840,note_on,360,0,2,,,,,,,,,1,,,68,0
840,note_on,0,0,3,,,,,,,,,2,,,63,58
840,note_on,120,0,3,,,,,,,,,2,,,64,0
960,note_on,0,0,2,,,,,,,,,1,,,76,59
960,note_on,0,0,2,,,,,,,,,1,,,64,59
960,note_on,120,0,2,,,,,,,,,1,,,71,0
960,note_on,0,0,2,,,,,,,,,1,,,66,0
960,note_on,0,0,3,,,,,,,,,2,,,61,58
960,note_on,120,0,3,,,,,,,,,2,,,63,0
1080,note_on,120,0,3,,,,,,,,,2,,,61,0
1080,note_on,0,0,3,,,,,,,,,2,,,59,58
1080,note_on,0,0,2,,,,,,,,,1,,,75,59
1080,note_on,120,0,2,,,,,,,,,1,,,64,0
1200,note_on,120,0,3,,,,,,,,,2,,,59,0
1200,note_on,0,0,3,,,,,,,,,2,,,57,58
1200,note_on,0,0,2,,,,,,,,,1,,,73,59
1200,note_on,120,0,2,,,,,,,,,1,,,75,0
1320,note_on,0,0,2,,,,,,,,,1,,,76,59
1320,note_on,120,0,3,,,,,,,,,2,,,57,0
1320,note_on,0,0,3,,,,,,,,,2,,,56,58
1320,note_on,0,0,2,,,,,,,,,1,,,71,59
