tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,note,velocity,control,value
0,time_signature,4,4,24,8,0,1,0,,,,,,,,,
0,key_signature,,,,,0,1,0,C,,,,,,,,
0,set_tempo,,,,,0,1,0,,375000,,,,,,,
0,marker,,,,,0,1,0,,,,,,,,,
0,track_name,,,,,0,1,1,,,,,,,,,
0,program_change,,,,,0,0,1,,,,0,0,,,,
0,midi_port,,,,,0,1,1,,,1,,,,,,
40,note_on,,,,,40,0,1,,,,,0,37,58,,
137,note_on,,,,,97,0,1,,,,,0,44,58,,
247,note_on,,,,,110,0,1,,,,,0,44,0,,
247,note_on,,,,,0,0,1,,,,,0,37,0,,
257,note_on,,,,,10,0,1,,,,,0,44,58,,
280,note_on,,,,,23,0,1,,,,,0,49,58,,
390,note_on,,,,,110,0,1,,,,,0,49,0,,
400,note_on,,,,,10,0,1,,,,,0,52,58,,
493,note_on,,,,,93,0,1,,,,,0,52,0,,
493,note_on,,,,,0,0,1,,,,,0,44,0,,
503,note_on,,,,,10,0,1,,,,,0,37,58,,
520,note_on,,,,,17,0,1,,,,,0,56,58,,
630,note_on,,,,,110,0,1,,,,,0,56,0,,
640,note_on,,,,,10,0,1,,,,,0,49,58,,
733,note_on,,,,,93,0,1,,,,,0,49,0,,
733,note_on,,,,,0,0,1,,,,,0,37,0,,
743,note_on,,,,,10,0,1,,,,,0,44,58,,
760,note_on,,,,,17,0,1,,,,,0,52,58,,
870,note_on,,,,,110,0,1,,,,,0,52,0,,
880,note_on,,,,,10,0,1,,,,,0,56,58,,
972,note_on,,,,,92,0,1,,,,,0,56,0,,
972,note_on,,,,,0,0,1,,,,,0,44,0,,
982,note_on,,,,,10,0,1,,,,,0,37,58,,
1000,note_on,,,,,18,0,1,,,,,0,61,58,,
1110,note_on,,,,,110,0,1,,,,,0,61,0,,
1120,note_on,,,,,10,0,1,,,,,0,52,58,,
1212,note_on,,,,,0,0,1,,,,,0,37,0,,
1212,note_on,,,,,92,0,1,,,,,0,52,0,,
1222,note_on,,,,,10,0,1,,,,,0,44,58,,
1240,note_on,,,,,18,0,1,,,,,0,56,58,,
1353,note_on,,,,,113,0,1,,,,,0,56,0,,
1363,note_on,,,,,10,0,1,,,,,0,61,58,,
1450,note_on,,,,,87,0,1,,,,,0,61,0,,
1450,note_on,,,,,0,0,1,,,,,0,44,0,,
1460,note_on,,,,,10,0,1,,,,,0,37,58,,
1483,note_on,,,,,23,0,1,,,,,0,64,58,,
1593,note_on,,,,,110,0,1,,,,,0,64,0,,
1603,note_on,,,,,10,0,1,,,,,0,56,58,,
1690,note_on,,,,,0,0,1,,,,,0,37,0,,
1690,note_on,,,,,87,0,1,,,,,0,56,0,,
1700,note_on,,,,,10,0,1,,,,,0,44,58,,
1720,note_on,,,,,20,0,1,,,,,0,61,58,,
1830,note_on,,,,,110,0,1,,,,,0,61,0,,
1840,note_on,,,,,10,0,1,,,,,0,64,58,,
1933,note_on,,,,,93,0,1,,,,,0,64,0,,
1933,note_on,,,,,0,0,1,,,,,0,44,0,,
1943,note_on,,,,,10,0,1,,,,,0,37,58,,
1960,note_on,,,,,17,0,1,,,,,0,68,58,,
2070,note_on,,,,,110,0,1,,,,,0,68,0,,
2080,note_on,,,,,10,0,1,,,,,0,61,58,,
2173,note_on,,,,,93,0,1,,,,,0,61,0,,
2173,note_on,,,,,0,0,1,,,,,0,37,0,,
2183,note_on,,,,,10,0,1,,,,,0,44,58,,
2200,note_on,,,,,17,0,1,,,,,0,64,58,,
2310,note_on,,,,,110,0,1,,,,,0,64,0,,
2320,note_on,,,,,10,0,1,,,,,0,68,58,,
2412,note_on,,,,,92,0,1,,,,,0,68,0,,
2412,note_on,,,,,0,0,1,,,,,0,44,0,,
2422,note_on,,,,,10,0,1,,,,,0,37,58,,
2440,note_on,,,,,18,0,1,,,,,0,73,58,,
2550,note_on,,,,,110,0,1,,,,,0,73,0,,
2560,note_on,,,,,10,0,1,,,,,0,64,58,,
2652,note_on,,,,,92,0,1,,,,,0,64,0,,
2652,note_on,,,,,0,0,1,,,,,0,37,0,,
2662,note_on,,,,,10,0,1,,,,,0,44,58,,
2683,note_on,,,,,21,0,1,,,,,0,68,58,,
2793,note_on,,,,,110,0,1,,,,,0,68,0,,
2803,note_on,,,,,10,0,1,,,,,0,73,58,,
2890,note_on,,,,,87,0,1,,,,,0,73,0,,
