tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,pitch,note,velocity
0,track_name,0,1,0,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,64,0,1,,,,
0,control_change,0,0,2,,,,,,,1,0,1,,,,
0,pitchwheel,0,0,2,,,,,,,,,1,,0,,
0,control_change,0,0,2,,,,,,,7,122,1,,,,
0,program_change,0,0,2,,,,,,,,,1,0,,,
0,control_change,0,0,2,,,,,,,32,0,1,,,,
0,control_change,0,0,2,,,,,,,0,0,1,,,,
0,track_name,0,1,2,,,,,,,,,,,,,
0,control_change,0,0,2,,,,,,,93,28,1,,,,
0,control_change,0,0,3,,,,,,,0,0,2,,,,
0,program_change,0,0,1,,,,,,,,,0,0,,,
0,control_change,0,0,1,,,,,,,10,73,0,,,,
0,control_change,0,0,1,,,,,,,91,91,0,,,,
0,control_change,0,0,1,,,,,,,93,28,0,,,,
0,control_change,0,0,1,,,,,,,64,0,0,,,,
0,control_change,0,0,1,,,,,,,1,0,0,,,,
0,control_change,0,0,1,,,,,,,7,127,0,,,,
0,control_change,0,0,1,,,,,,,32,0,0,,,,
0,pitchwheel,0,0,1,,,,,,,,,0,,0,,
0,control_change,0,0,2,,,,,,,91,91,1,,,,
0,control_change,0,0,2,,,,,,,10,64,1,,,,
0,control_change,0,0,4,,,,,,,7,122,3,,,,
0,control_change,0,0,3,,,,,,,32,0,2,,,,
0,program_change,0,0,3,,,,,,,,,2,0,,,
0,control_change,0,0,3,,,,,,,7,117,2,,,,
0,pitchwheel,0,0,3,,,,,,,,,2,,0,,
0,control_change,0,0,3,,,,,,,1,0,2,,,,
0,control_change,0,0,3,,,,,,,64,0,2,,,,
0,control_change,0,0,3,,,,,,,93,28,2,,,,
0,control_change,0,0,3,,,,,,,91,91,2,,,,
0,control_change,0,0,3,,,,,,,10,64,2,,,,
0,track_name,0,1,4,,,,,,,,,,,,,
0,control_change,0,0,4,,,,,,,0,0,3,,,,
0,control_change,0,0,4,,,,,,,32,0,3,,,,
0,program_change,0,0,4,,,,,,,,,3,0,,,
0,control_change,0,0,4,,,,,,,10,55,3,,,,
0,control_change,0,0,4,,,,,,,91,91,3,,,,
0,control_change,0,0,4,,,,,,,93,28,3,,,,
0,control_change,0,0,4,,,,,,,64,0,3,,,,
0,control_change,0,0,4,,,,,,,1,0,3,,,,
0,pitchwheel,0,0,4,,,,,,,,,3,,0,,
0,control_change,0,0,1,,,,,,,0,0,0,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,track_name,0,1,3,,,,,,,,,,,,,
0,key_signature,0,1,0,,,,,C,,,,,,,,
0,marker,0,1,0,,,,,,,,,,,,,
0,set_tempo,0,1,0,,,,,,535714,,,,,,,
0,time_signature,0,1,0,3,4,24,8,,,,,,,,,
1440,note_on,0,0,3,,,,,,,,,2,,,56,49
1440,note_on,0,0,3,,,,,,,,,2,,,53,49
1440,note_on,0,0,3,,,,,,,,,2,,,63,47
1440,note_on,0,0,3,,,,,,,,,2,,,60,47
1440,note_on,1440,0,3,,,,,,,,,2,,,51,49
1440,set_tempo,1440,1,0,,,,,,416666,,,,,,,
1440,marker,0,1,0,,,,,,,,,,,,,
1440,note_on,1440,0,4,,,,,,,,,3,,,44,49
1440,control_change,1440,0,1,,,,,,,64,127,0,,,,
1440,note_on,0,0,1,,,,,,,,,0,,,72,47
1800,note_off,360,0,1,,,,,,,,,0,,,72,0
1800,note_on,0,0,1,,,,,,,,,0,,,65,45
1920,note_off,120,0,1,,,,,,,,,0,,,65,0
1920,note_on,0,0,1,,,,,,,,,0,,,65,44
2272,note_off,832,0,3,,,,,,,,,2,,,51,0
2280,control_change,360,0,1,,,,,,,64,0,0,,,,
2280,note_off,0,0,3,,,,,,,,,2,,,53,0
2280,note_off,0,0,3,,,,,,,,,2,,,63,0
2280,note_off,8,0,3,,,,,,,,,2,,,56,0
2287,note_off,7,0,3,,,,,,,,,2,,,60,0
2287,note_off,7,0,1,,,,,,,,,0,,,65,0
2287,note_off,847,0,4,,,,,,,,,3,,,44,0
2370,set_tempo,930,1,0,,,,,,428571,,,,,,,
2880,note_on,593,0,4,,,,,,,,,3,,,44,43
2880,set_tempo,510,1,0,,,,,,425531,,,,,,,
2880,marker,0,1,0,,,,,,,,,,,,,
2880,control_change,593,0,1,,,,,,,64,127,0,,,,
2880,note_on,593,0,3,,,,,,,,,2,,,63,45
2880,note_on,0,0,3,,,,,,,,,2,,,60,45
2880,note_on,0,0,3,,,,,,,,,2,,,53,43
2880,note_on,0,0,3,,,,,,,,,2,,,56,43
2880,note_on,0,0,3,,,,,,,,,2,,,51,43
2880,note_on,0,0,1,,,,,,,,,0,,,72,45
3240,note_on,0,0,1,,,,,,,,,0,,,65,41
3240,note_off,360,0,1,,,,,,,,,0,,,72,0
3360,note_off,120,0,1,,,,,,,,,0,,,65,0
3360,note_on,0,0,1,,,,,,,,,0,,,65,40
3720,control_change,360,0,1,,,,,,,64,0,0,,,,
3720,note_off,0,0,1,,,,,,,,,0,,,65,0
3720,note_off,840,0,4,,,,,,,,,3,,,44,0
3727,note_off,0,0,3,,,,,,,,,2,,,63,0
3727,note_off,0,0,3,,,,,,,,,2,,,60,0
3727,note_off,0,0,3,,,,,,,,,2,,,53,0
3727,note_off,0,0,3,,,,,,,,,2,,,56,0
3727,note_off,847,0,3,,,,,,,,,2,,,51,0
3840,set_tempo,960,1,0,,,,,,441176,,,,,,,
4320,note_on,600,0,1,,,,,,,,,0,,,65,44
4320,set_tempo,480,1,0,,,,,,441176,,,,,,,
4320,marker,0,1,0,,,,,,,,,,,,,
4320,note_on,600,0,4,,,,,,,,,3,,,32,40
4320,note_on,0,0,3,,,,,,,,,2,,,63,44
4320,note_on,593,0,3,,,,,,,,,2,,,60,44
4320,note_on,0,0,3,,,,,,,,,2,,,39,40
4608,note_off,0,0,3,,,,,,,,,2,,,60,0
4608,note_off,288,0,4,,,,,,,,,3,,,32,0
4608,note_off,288,0,3,,,,,,,,,2,,,39,0
4608,note_off,0,0,3,,,,,,,,,2,,,63,0
4608,note_off,288,0,1,,,,,,,,,0,,,65,0
4800,note_on,192,0,1,,,,,,,,,0,,,65,46
4800,note_on,192,0,4,,,,,,,,,3,,,32,42
4800,note_on,0,0,3,,,,,,,,,2,,,63,46
4800,note_on,0,0,3,,,,,,,,,2,,,39,42
4800,note_on,192,0,3,,,,,,,,,2,,,60,46
5055,set_tempo,735,1,0,,,,,,447761,,,,,,,
5088,note_off,0,0,3,,,,,,,,,2,,,60,0
5088,note_off,288,0,1,,,,,,,,,0,,,65,0
5088,note_off,0,0,3,,,,,,,,,2,,,63,0
5088,note_off,288,0,3,,,,,,,,,2,,,39,0
5088,note_off,288,0,4,,,,,,,,,3,,,32,0
5280,note_on,192,0,4,,,,,,,,,3,,,32,44
5280,note_on,192,0,1,,,,,,,,,0,,,65,48
5280,note_on,0,0,3,,,,,,,,,2,,,39,44
5280,note_on,0,0,3,,,,,,,,,2,,,63,48
5280,note_on,192,0,3,,,,,,,,,2,,,60,48
5310,set_tempo,255,1,0,,,,,,508474,,,,,,,
5568,note_off,288,0,1,,,,,,,,,0,,,65,0
5568,note_off,0,0,3,,,,,,,,,2,,,63,0
5568,note_off,0,0,3,,,,,,,,,2,,,60,0
5568,note_off,288,0,3,,,,,,,,,2,,,39,0
5568,note_off,288,0,4,,,,,,,,,3,,,32,0
5760,note_on,192,0,3,,,,,,,,,2,,,60,50
5760,note_on,0,0,3,,,,,,,,,2,,,63,50
5760,note_on,192,0,1,,,,,,,,,0,,,66,50
5760,note_on,192,0,4,,,,,,,,,3,,,33,47
5760,note_on,0,0,3,,,,,,,,,2,,,39,47
5760,set_tempo,450,1,0,,,,,,674157,,,,,,,
5760,marker,0,1,0,,,,,,,,,,,,,
7080,note_off,0,0,3,,,,,,,,,2,,,60,0
7080,note_off,1320,0,3,,,,,,,,,2,,,39,0
7080,note_off,1320,0,4,,,,,,,,,3,,,33,0
7087,note_off,1327,0,1,,,,,,,,,0,,,66,0
7087,note_off,7,0,3,,,,,,,,,2,,,63,0
7200,note_on,113,0,1,,,,,,,,,0,,,66,57
7200,set_tempo,1440,1,0,,,,,,447761,,,,,,,
7200,marker,0,1,0,,,,,,,,,,,,,
7200,note_on,113,0,3,,,,,,,,,2,,,63,57
7200,note_on,0,0,3,,,,,,,,,2,,,51,54
7200,note_on,120,0,4,,,,,,,,,3,,,45,54
7200,note_on,0,0,3,,,,,,,,,2,,,54,54
7488,note_off,288,0,1,,,,,,,,,0,,,66,0
7488,note_off,288,0,4,,,,,,,,,3,,,45,0
7488,note_off,0,0,3,,,,,,,,,2,,,63,0
7488,note_off,288,0,3,,,,,,,,,2,,,51,0
7488,note_off,0,0,3,,,,,,,,,2,,,54,0
7680,note_on,192,0,4,,,,,,,,,3,,,45,58
7680,note_on,192,0,1,,,,,,,,,0,,,66,59
7680,note_on,0,0,3,,,,,,,,,2,,,51,58
7680,note_on,0,0,3,,,,,,,,,2,,,54,58
7680,note_on,192,0,3,,,,,,,,,2,,,63,59
7875,set_tempo,675,1,0,,,,,,454545,,,,,,,
7968,note_off,288,0,4,,,,,,,,,3,,,45,0
7968,note_off,288,0,3,,,,,,,,,2,,,51,0
7968,note_off,0,0,3,,,,,,,,,2,,,54,0
7968,note_off,0,0,3,,,,,,,,,2,,,63,0
7968,note_off,288,0,1,,,,,,,,,0,,,66,0
8145,set_tempo,270,1,0,,,,,,560747,,,,,,,
8160,note_on,192,0,3,,,,,,,,,2,,,63,61
8160,note_on,0,0,3,,,,,,,,,2,,,54,61
8160,note_on,192,0,1,,,,,,,,,0,,,66,61
8160,note_on,0,0,3,,,,,,,,,2,,,51,61
8160,note_on,192,0,4,,,,,,,,,3,,,45,61
8448,note_off,0,0,3,,,,,,,,,2,,,54,0
8448,note_off,288,0,3,,,,,,,,,2,,,51,0
8448,note_off,0,0,3,,,,,,,,,2,,,63,0
8448,note_off,288,0,1,,,,,,,,,0,,,66,0
8448,note_off,288,0,4,,,,,,,,,3,,,45,0
8640,note_on,0,0,3,,,,,,,,,2,,,51,67
8640,note_on,0,0,3,,,,,,,,,2,,,55,67
8640,note_on,0,0,3,,,,,,,,,2,,,63,66
8640,note_on,192,0,3,,,,,,,,,2,,,58,66
8640,set_tempo,495,1,0,,,,,,582524,,,,,,,
8640,note_on,192,0,1,,,,,,,,,0,,,67,66
8640,note_on,192,0,4,,,,,,,,,3,,,46,68
11400,note_off,0,0,3,,,,,,,,,2,,,58,0
11400,note_off,0,0,3,,,,,,,,,2,,,55,0
11400,note_off,2760,0,3,,,,,,,,,2,,,51,0
11400,note_off,2760,0,1,,,,,,,,,0,,,67,0
11407,note_off,2767,0,4,,,,,,,,,3,,,46,0
11407,note_off,7,0,3,,,,,,,,,2,,,63,0
11520,note_on,0,0,3,,,,,,,,,2,,,56,51
11520,note_on,113,0,3,,,,,,,,,2,,,62,51
11520,note_on,120,0,1,,,,,,,,,0,,,67,51
11520,set_tempo,2880,1,0,,,,,,422535,,,,,,,
11520,note_on,0,0,3,,,,,,,,,2,,,46,51
11520,note_on,113,0,4,,,,,,,,,3,,,34,51
11760,note_on,0,0,1,,,,,,,,,0,,,65,50
11760,note_off,240,0,1,,,,,,,,,0,,,67,0
11940,note_off,420,0,3,,,,,,,,,2,,,46,0
11947,note_off,7,0,3,,,,,,,,,2,,,56,0
11947,note_off,0,0,3,,,,,,,,,2,,,62,0
11947,note_off,427,0,4,,,,,,,,,3,,,34,0
12000,note_on,0,0,1,,,,,,,,,0,,,65,50
12000,note_on,53,0,4,,,,,,,,,3,,,34,49
12000,note_on,53,0,3,,,,,,,,,2,,,62,50
12000,note_on,0,0,3,,,,,,,,,2,,,56,50
12000,note_on,0,0,3,,,,,,,,,2,,,46,49
12000,note_off,240,0,1,,,,,,,,,0,,,65,0
12120,note_on,0,0,1,,,,,,,,,0,,,67,49
12120,note_off,120,0,1,,,,,,,,,0,,,65,0
12240,note_off,120,0,1,,,,,,,,,0,,,67,0
