tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
0,time_signature,4,4,24,8,0,1,0,,,,,,,
0,set_tempo,,,,,0,1,0,500000,,,,,,
0,program_change,,,,,0,0,0,,0,0,,,,
0,note_on,,,,,0,0,0,,,0,50,100,,
0,note_on,,,,,0,0,0,,,0,76,92,,
0,note_on,,,,,0,0,0,,,0,70,77,,
0,note_on,,,,,0,0,0,,,0,38,101,,
1,note_on,,,,,1,0,0,,,0,67,95,,
28,note_off,,,,,27,0,0,,,0,50,64,,
30,note_off,,,,,2,0,0,,,0,67,64,,
34,note_off,,,,,4,0,0,,,0,38,64,,
55,note_off,,,,,21,0,0,,,0,70,64,,
60,note_off,,,,,5,0,0,,,0,76,64,,
91,note_on,,,,,31,0,0,,,0,78,92,,
95,note_on,,,,,4,0,0,,,0,72,83,,
98,note_on,,,,,3,0,0,,,0,69,63,,
119,note_off,,,,,21,0,0,,,0,72,64,,
123,note_off,,,,,4,0,0,,,0,69,64,,
151,note_off,,,,,28,0,0,,,0,78,64,,
220,note_on,,,,,69,0,0,,,0,79,114,,
221,note_on,,,,,1,0,0,,,0,70,90,,
223,note_on,,,,,2,0,0,,,0,43,106,,
224,note_on,,,,,1,0,0,,,0,31,108,,
225,note_on,,,,,1,0,0,,,0,74,94,,
242,note_off,,,,,17,0,0,,,0,31,64,,
263,note_off,,,,,21,0,0,,,0,43,64,,
273,control_change,,,,,10,0,0,,,0,,,64,127
283,note_off,,,,,10,0,0,,,0,74,64,,
293,note_off,,,,,10,0,0,,,0,70,64,,
319,note_on,,,,,26,0,0,,,0,70,68,,
319,note_on,,,,,0,0,0,,,0,74,76,,
324,note_on,,,,,5,0,0,,,0,67,65,,
379,note_off,,,,,55,0,0,,,0,67,64,,
389,note_off,,,,,10,0,0,,,0,74,64,,
389,note_off,,,,,0,0,0,,,0,70,64,,
416,note_on,,,,,27,0,0,,,0,58,69,,
417,note_on,,,,,1,0,0,,,0,50,83,,
422,note_on,,,,,5,0,0,,,0,55,74,,
445,note_off,,,,,23,0,0,,,0,55,64,,
454,note_off,,,,,9,0,0,,,0,50,64,,
473,note_off,,,,,19,0,0,,,0,58,64,,
511,note_on,,,,,38,0,0,,,0,62,101,,
512,note_on,,,,,1,0,0,,,0,58,50,,
516,note_on,,,,,4,0,0,,,0,55,87,,
533,note_off,,,,,17,0,0,,,0,62,64,,
539,note_off,,,,,6,0,0,,,0,55,64,,
550,note_off,,,,,11,0,0,,,0,58,64,,
608,note_on,,,,,58,0,0,,,0,67,109,,
608,note_on,,,,,0,0,0,,,0,70,92,,
612,note_on,,,,,4,0,0,,,0,74,103,,
638,note_off,,,,,26,0,0,,,0,79,64,,
701,note_off,,,,,63,0,0,,,0,70,64,,
704,note_off,,,,,3,0,0,,,0,67,64,,
745,note_off,,,,,41,0,0,,,0,74,64,,
795,control_change,,,,,50,0,0,,,0,,,64,0
799,note_on,,,,,4,0,0,,,0,77,95,,
799,note_on,,,,,0,0,0,,,0,69,92,,
801,note_on,,,,,2,0,0,,,0,72,93,,
802,note_on,,,,,1,0,0,,,0,48,85,,
802,note_on,,,,,0,0,0,,,0,36,97,,
822,note_off,,,,,20,0,0,,,0,36,64,,
823,note_off,,,,,1,0,0,,,0,72,64,,
839,note_off,,,,,16,0,0,,,0,69,64,,
840,note_off,,,,,1,0,0,,,0,48,64,,
842,note_off,,,,,2,0,0,,,0,77,64,,
885,note_on,,,,,43,0,0,,,0,75,95,,
887,note_on,,,,,2,0,0,,,0,67,99,,
888,note_on,,,,,1,0,0,,,0,70,83,,
909,note_off,,,,,21,0,0,,,0,70,64,,
921,note_off,,,,,12,0,0,,,0,67,64,,
928,note_off,,,,,7,0,0,,,0,75,64,,
982,note_on,,,,,54,0,0,,,0,74,115,,
986,note_on,,,,,4,0,0,,,0,69,95,,
986,note_on,,,,,0,0,0,,,0,66,92,,
986,note_on,,,,,0,0,0,,,0,50,96,,
989,note_on,,,,,3,0,0,,,0,38,95,,
1006,note_off,,,,,17,0,0,,,0,38,64,,
1026,control_change,,,,,20,0,0,,,0,,,64,127
1036,note_off,,,,,10,0,0,,,0,69,64,,
1042,note_off,,,,,6,0,0,,,0,66,64,,
1043,note_off,,,,,1,0,0,,,0,50,64,,
1067,note_on,,,,,24,0,0,,,0,69,62,,
1071,note_on,,,,,4,0,0,,,0,66,76,,
1076,note_on,,,,,5,0,0,,,0,62,85,,
1093,note_off,,,,,17,0,0,,,0,62,64,,
1133,note_off,,,,,40,0,0,,,0,66,64,,
1138,note_off,,,,,5,0,0,,,0,69,64,,
1164,note_on,,,,,26,0,0,,,0,54,81,,
1165,note_on,,,,,1,0,0,,,0,50,83,,
1168,note_on,,,,,3,0,0,,,0,57,74,,
1220,note_off,,,,,52,0,0,,,0,54,64,,
1223,note_off,,,,,3,0,0,,,0,57,64,,
1244,note_off,,,,,21,0,0,,,0,50,64,,
1254,note_on,,,,,10,0,0,,,0,54,81,,
1254,note_on,,,,,0,0,0,,,0,62,94,,
1255,note_on,,,,,1,0,0,,,0,57,59,,
1275,note_off,,,,,20,0,0,,,0,62,64,,
1304,note_off,,,,,29,0,0,,,0,57,64,,
1304,note_off,,,,,0,0,0,,,0,54,64,,
1351,note_on,,,,,47,0,0,,,0,62,108,,
1353,note_on,,,,,2,0,0,,,0,69,90,,
1354,note_on,,,,,1,0,0,,,0,66,84,,
1438,note_off,,,,,84,0,0,,,0,62,64,,
1453,note_off,,,,,15,0,0,,,0,66,64,,
1470,note_off,,,,,17,0,0,,,0,69,64,,
1483,note_off,,,,,13,0,0,,,0,74,64,,
1526,note_on,,,,,43,0,0,,,0,64,97,,
1527,note_on,,,,,1,0,0,,,0,72,91,,
1531,note_on,,,,,4,0,0,,,0,67,79,,
1532,note_on,,,,,1,0,0,,,0,46,87,,
1536,note_on,,,,,4,0,0,,,0,34,81,,
1548,control_change,,,,,12,0,0,,,0,,,64,0
1553,note_off,,,,,5,0,0,,,0,67,64,,
1555,note_off,,,,,2,0,0,,,0,34,64,,
1575,note_off,,,,,20,0,0,,,0,46,64,,
1584,note_off,,,,,9,0,0,,,0,64,64,,
1596,note_off,,,,,12,0,0,,,0,72,64,,
1619,note_on,,,,,23,0,0,,,0,74,101,,
1620,note_on,,,,,1,0,0,,,0,66,86,,
1620,note_on,,,,,0,0,0,,,0,69,81,,
1642,note_off,,,,,22,0,0,,,0,69,64,,
1643,note_off,,,,,1,0,0,,,0,74,64,,
1646,note_off,,,,,3,0,0,,,0,66,64,,
1725,note_on,,,,,79,0,0,,,0,70,91,,
1728,note_on,,,,,3,0,0,,,0,67,86,,
1731,note_on,,,,,3,0,0,,,0,51,76,,
1733,note_on,,,,,2,0,0,,,0,39,78,,
1762,note_off,,,,,29,0,0,,,0,39,64,,
1778,control_change,,,,,16,0,0,,,0,,,64,127
1785,note_off,,,,,7,0,0,,,0,51,64,,
1785,note_off,,,,,0,0,0,,,0,67,64,,
1817,note_on,,,,,32,0,0,,,0,58,68,,
1818,note_on,,,,,1,0,0,,,0,67,73,,
1830,note_on,,,,,12,0,0,,,0,63,60,,
1855,note_off,,,,,25,0,0,,,0,63,64,,
1871,note_off,,,,,16,0,0,,,0,58,64,,
1886,note_off,,,,,15,0,0,,,0,70,64,,
1887,note_off,,,,,1,0,0,,,0,67,64,,
1925,note_on,,,,,38,0,0,,,0,55,75,,
1925,note_on,,,,,0,0,0,,,0,51,77,,
1946,note_off,,,,,21,0,0,,,0,55,64,,
1976,note_off,,,,,30,0,0,,,0,51,64,,
2031,note_on,,,,,55,0,0,,,0,72,95,,
2031,note_on,,,,,0,0,0,,,0,63,87,,
2032,note_on,,,,,1,0,0,,,0,60,84,,
2036,note_on,,,,,4,0,0,,,0,33,92,,
2039,note_on,,,,,3,0,0,,,0,45,70,,
2054,note_off,,,,,15,0,0,,,0,33,64,,
2061,note_off,,,,,7,0,0,,,0,45,64,,
2061,note_off,,,,,0,0,0,,,0,72,64,,
2072,note_off,,,,,11,0,0,,,0,63,64,,
2078,control_change,,,,,6,0,0,,,0,,,64,0
2091,note_off,,,,,13,0,0,,,0,60,64,,
2117,note_on,,,,,26,0,0,,,0,69,94,,
2121,note_on,,,,,4,0,0,,,0,65,85,,
2122,note_on,,,,,1,0,0,,,0,50,100,,
2122,note_on,,,,,0,0,0,,,0,38,93,,
2185,note_off,,,,,63,0,0,,,0,38,64,,
2201,control_change,,,,,16,0,0,,,0,,,64,127
2202,note_off,,,,,1,0,0,,,0,50,64,,
2211,note_on,,,,,9,0,0,,,0,62,79,,
2214,note_on,,,,,3,0,0,,,0,57,76,,
2235,note_off,,,,,21,0,0,,,0,65,64,,
2246,note_off,,,,,11,0,0,,,0,69,64,,
2254,note_off,,,,,8,0,0,,,0,57,64,,
2263,note_off,,,,,9,0,0,,,0,62,64,,
2287,note_on,,,,,24,0,0,,,0,53,91,,
2293,note_on,,,,,6,0,0,,,0,50,69,,
2305,note_off,,,,,12,0,0,,,0,53,64,,
2322,note_off,,,,,17,0,0,,,0,50,64,,
2380,note_on,,,,,58,0,0,,,0,70,90,,
2382,note_on,,,,,2,0,0,,,0,58,78,,
2389,note_on,,,,,7,0,0,,,0,62,74,,
2390,note_on,,,,,1,0,0,,,0,31,92,,
2397,note_on,,,,,7,0,0,,,0,43,53,,
2406,note_off,,,,,9,0,0,,,0,31,64,,
2412,note_off,,,,,6,0,0,,,0,62,64,,
2424,note_off,,,,,12,0,0,,,0,43,64,,
2429,note_off,,,,,5,0,0,,,0,70,64,,
2431,control_change,,,,,2,0,0,,,0,,,64,0
2438,note_off,,,,,7,0,0,,,0,58,64,,
2471,note_on,,,,,33,0,0,,,0,67,108,,
2475,note_on,,,,,4,0,0,,,0,63,94,,
