tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,note,velocity,channel,control,value
0,time_signature,4,4,24,8,0,1,0,,,,,,
0,set_tempo,,,,,0,1,0,500000,,,,,
0,note_on,,,,,0,0,0,,26,68,0,,
0,note_on,,,,,0,0,0,,38,70,0,,
0,note_on,,,,,0,0,0,,62,84,0,,
56,control_change,,,,,56,0,0,,,,0,64,127
111,note_on,,,,,55,0,0,,50,59,0,,
116,note_off,,,,,5,0,0,,26,64,0,,
157,note_off,,,,,41,0,0,,38,64,0,,
186,note_off,,,,,29,0,0,,50,64,0,,
217,note_on,,,,,31,0,0,,57,49,0,,
248,note_off,,,,,31,0,0,,62,64,0,,
306,note_on,,,,,58,0,0,,63,98,0,,
307,note_on,,,,,1,0,0,,43,84,0,,
307,note_on,,,,,0,0,0,,31,88,0,,
324,control_change,,,,,17,0,0,,,,0,64,0
346,note_off,,,,,22,0,0,,57,64,0,,
398,note_on,,,,,52,0,0,,51,64,0,,
419,note_off,,,,,21,0,0,,31,64,0,,
425,control_change,,,,,6,0,0,,,,0,64,127
443,note_off,,,,,18,0,0,,43,64,0,,
484,note_on,,,,,41,0,0,,58,46,0,,
501,note_off,,,,,17,0,0,,51,64,0,,
554,note_off,,,,,53,0,0,,58,64,0,,
607,note_on,,,,,53,0,0,,67,94,0,,
688,note_off,,,,,81,0,0,,67,64,0,,
694,note_on,,,,,6,0,0,,51,56,0,,
763,note_on,,,,,69,0,0,,58,40,0,,
777,note_off,,,,,14,0,0,,51,64,0,,
841,note_off,,,,,64,0,0,,58,64,0,,
846,note_on,,,,,5,0,0,,70,91,0,,
886,note_off,,,,,40,0,0,,70,64,0,,
914,note_on,,,,,28,0,0,,51,62,0,,
976,note_off,,,,,62,0,0,,51,64,0,,
981,note_on,,,,,5,0,0,,58,49,0,,
1015,note_off,,,,,34,0,0,,63,64,0,,
1067,note_on,,,,,52,0,0,,64,101,0,,
1068,note_off,,,,,1,0,0,,58,64,0,,
1068,note_on,,,,,0,0,0,,36,91,0,,
1069,control_change,,,,,1,0,0,,,,0,64,0
1073,note_on,,,,,4,0,0,,24,86,0,,
1129,note_on,,,,,56,0,0,,52,84,0,,
1134,note_off,,,,,5,0,0,,24,64,0,,
1154,control_change,,,,,20,0,0,,,,0,64,127
1163,note_off,,,,,9,0,0,,36,64,0,,
1204,note_on,,,,,41,0,0,,58,56,0,,
1214,note_off,,,,,10,0,0,,52,64,0,,
1241,note_off,,,,,27,0,0,,64,64,0,,
1263,note_off,,,,,22,0,0,,58,64,0,,
1277,control_change,,,,,14,0,0,,,,0,64,0
1284,note_on,,,,,7,0,0,,65,103,0,,
1286,note_on,,,,,2,0,0,,45,91,0,,
1287,note_on,,,,,1,0,0,,33,91,0,,
1358,note_on,,,,,71,0,0,,53,95,0,,
1369,note_off,,,,,11,0,0,,33,64,0,,
1377,control_change,,,,,8,0,0,,,,0,64,127
1391,note_off,,,,,14,0,0,,45,64,0,,
1434,note_on,,,,,43,0,0,,60,65,0,,
1458,note_off,,,,,24,0,0,,53,64,0,,
1508,note_off,,,,,50,0,0,,60,64,0,,
1512,note_on,,,,,4,0,0,,69,98,0,,
1591,note_on,,,,,79,0,0,,53,91,0,,
1651,note_on,,,,,60,0,0,,60,67,0,,
1670,note_off,,,,,19,0,0,,53,64,0,,
1707,note_off,,,,,37,0,0,,69,64,0,,
1717,note_off,,,,,10,0,0,,60,64,0,,
1726,note_on,,,,,9,0,0,,72,101,0,,
1764,note_off,,,,,38,0,0,,72,64,0,,
1779,note_on,,,,,15,0,0,,53,100,0,,
1812,note_off,,,,,33,0,0,,65,64,0,,
1830,note_off,,,,,18,0,0,,53,64,0,,
1841,note_on,,,,,11,0,0,,60,74,0,,
1863,note_off,,,,,22,0,0,,60,64,0,,
1988,note_on,,,,,125,0,0,,77,100,0,,
1995,note_on,,,,,7,0,0,,33,92,0,,
1996,note_on,,,,,1,0,0,,21,91,0,,
2040,note_off,,,,,44,0,0,,21,64,0,,
2054,note_on,,,,,14,0,0,,65,72,0,,
2058,note_off,,,,,4,0,0,,33,64,0,,
2130,note_on,,,,,72,0,0,,72,78,0,,
2137,note_off,,,,,7,0,0,,77,64,0,,
2176,note_off,,,,,39,0,0,,65,64,0,,
2217,note_on,,,,,41,0,0,,76,94,0,,
2219,note_on,,,,,2,0,0,,36,91,0,,
2220,note_on,,,,,1,0,0,,48,89,0,,
2230,control_change,,,,,10,0,0,,,,0,64,0
2253,note_off,,,,,23,0,0,,72,64,0,,
2276,note_on,,,,,23,0,0,,64,72,0,,
2337,control_change,,,,,61,0,0,,,,0,64,127
2349,note_off,,,,,12,0,0,,76,64,0,,
2352,note_on,,,,,3,0,0,,67,73,0,,
2385,note_off,,,,,33,0,0,,48,64,0,,
2387,note_off,,,,,2,0,0,,64,64,0,,
2416,note_on,,,,,29,0,0,,72,95,0,,
2422,note_off,,,,,6,0,0,,36,64,0,,
2428,note_off,,,,,6,0,0,,67,64,0,,
2479,note_on,,,,,51,0,0,,60,73,0,,
2530,note_off,,,,,51,0,0,,72,64,0,,
2545,note_on,,,,,15,0,0,,64,71,0,,
2578,note_off,,,,,33,0,0,,60,64,0,,
2604,note_off,,,,,26,0,0,,64,64,0,,
2611,note_on,,,,,7,0,0,,67,94,0,,
2616,note_on,,,,,5,0,0,,24,95,0,,
2617,note_on,,,,,1,0,0,,36,89,0,,
2637,note_off,,,,,20,0,0,,24,64,0,,
2667,note_off,,,,,30,0,0,,36,64,0,,
2682,note_on,,,,,15,0,0,,55,85,0,,
2737,note_off,,,,,55,0,0,,55,64,0,,
2748,note_on,,,,,11,0,0,,64,85,0,,
2778,note_off,,,,,30,0,0,,67,64,0,,
2813,note_off,,,,,35,0,0,,64,64,0,,
2813,note_on,,,,,0,0,0,,69,88,0,,
2818,note_on,,,,,5,0,0,,54,92,0,,
2824,note_on,,,,,6,0,0,,67,55,0,,
2825,note_on,,,,,1,0,0,,48,71,0,,
2825,note_on,,,,,0,0,0,,51,79,0,,
2884,note_on,,,,,59,0,0,,57,81,0,,
2891,note_off,,,,,7,0,0,,54,64,0,,
2901,note_off,,,,,10,0,0,,51,64,0,,
2904,note_off,,,,,3,0,0,,48,64,0,,
2958,note_on,,,,,54,0,0,,66,77,0,,
2959,note_on,,,,,1,0,0,,63,83,0,,
2975,note_off,,,,,16,0,0,,67,64,0,,
2979,note_off,,,,,4,0,0,,57,64,0,,
2995,note_off,,,,,16,0,0,,69,64,0,,
3035,note_off,,,,,40,0,0,,63,64,0,,
3043,note_on,,,,,8,0,0,,43,93,0,,
3044,note_on,,,,,1,0,0,,31,97,0,,
3044,control_change,,,,,0,0,0,,,,0,64,0
3045,note_on,,,,,1,0,0,,71,108,0,,
3049,note_off,,,,,4,0,0,,66,64,0,,
3118,note_on,,,,,69,0,0,,59,90,0,,
3126,note_off,,,,,8,0,0,,31,64,0,,
3144,control_change,,,,,18,0,0,,,,0,64,127
3150,note_off,,,,,6,0,0,,43,64,0,,
3180,note_off,,,,,30,0,0,,59,64,0,,
3195,note_on,,,,,15,0,0,,62,74,0,,
3196,note_on,,,,,1,0,0,,67,82,0,,
3219,note_off,,,,,23,0,0,,62,64,0,,
3224,note_off,,,,,5,0,0,,71,64,0,,
3247,note_off,,,,,23,0,0,,67,64,0,,
3291,note_on,,,,,44,0,0,,74,101,0,,
3295,note_on,,,,,4,0,0,,55,87,0,,
3298,note_on,,,,,3,0,0,,47,68,0,,
3301,note_on,,,,,3,0,0,,50,73,0,,
3368,note_off,,,,,67,0,0,,50,64,0,,
3384,note_on,,,,,16,0,0,,62,81,0,,
3417,note_off,,,,,33,0,0,,55,64,0,,
3482,note_on,,,,,65,0,0,,71,72,0,,
3483,note_on,,,,,1,0,0,,67,57,0,,
3492,note_off,,,,,9,0,0,,62,64,0,,
3583,note_off,,,,,91,0,0,,67,64,0,,
3590,note_on,,,,,7,0,0,,59,82,0,,
3593,note_on,,,,,3,0,0,,50,63,0,,
3596,note_on,,,,,3,0,0,,55,73,0,,
3600,note_off,,,,,4,0,0,,71,64,0,,
3702,note_on,,,,,102,0,0,,62,63,0,,
3714,note_off,,,,,12,0,0,,59,64,0,,
3755,note_off,,,,,41,0,0,,47,64,0,,
3766,note_off,,,,,11,0,0,,55,64,0,,
3783,note_off,,,,,17,0,0,,50,64,0,,
3785,note_off,,,,,2,0,0,,62,64,0,,
3841,note_on,,,,,56,0,0,,71,73,0,,
3847,note_on,,,,,6,0,0,,67,47,0,,
3859,note_off,,,,,12,0,0,,74,64,0,,
3876,note_off,,,,,17,0,0,,67,64,0,,
3877,note_off,,,,,1,0,0,,71,64,0,,
4187,note_on,,,,,310,0,0,,66,60,0,,
4189,note_on,,,,,2,0,0,,42,67,0,,
4193,note_on,,,,,4,0,0,,30,70,0,,
4289,control_change,,,,,96,0,0,,,,0,64,0
4301,note_on,,,,,12,0,0,,54,66,0,,
4373,control_change,,,,,72,0,0,,,,0,64,127
4384,note_off,,,,,11,0,0,,30,64,0,,
4396,note_on,,,,,12,0,0,,61,64,0,,
4397,note_off,,,,,1,0,0,,42,64,0,,
4399,note_off,,,,,2,0,0,,54,64,0,,
4468,note_off,,,,,69,0,0,,66,64,0,,
4500,note_on,,,,,32,0,0,,67,85,0,,
4503,note_on,,,,,3,0,0,,47,79,0,,
4505,note_on,,,,,2,0,0,,35,88,0,,
4516,note_off,,,,,11,0,0,,61,64,0,,
4527,control_change,,,,,11,0,0,,,,0,64,0
4592,note_on,,,,,65,0,0,,55,62,0,,
4603,note_off,,,,,11,0,0,,35,64,0,,
4627,control_change,,,,,24,0,0,,,,0,64,127
4628,note_off,,,,,1,0,0,,47,64,0,,
4675,note_on,,,,,47,0,0,,62,58,0,,
4696,note_off,,,,,21,0,0,,55,64,0,,
